
Predictions were generated on 13-Feb-2024 at 17:55:51 using HydroDyn Driver, compiled on Feb 13 2024 at 17:43:26 as a 64-bit application using double precision at commit v2.5.0-3856-g75eff1d1-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    4.1000	  -4.456779E+00	  -4.146343E+04	  -1.108336E+04	   9.487012E+06	   3.552072E+07	   3.103381E+07	   1.995240E+05
    4.2000	  -4.525773E+00	  -3.943721E+04	  -1.054060E+04	   9.488414E+06	   3.551871E+07	   3.105284E+07	   1.896941E+05
    4.3000	  -4.590301E+00	  -3.724943E+04	  -9.955037E+03	   9.489689E+06	   3.551698E+07	   3.106923E+07	   1.791010E+05
    4.4000	  -4.650299E+00	  -3.490986E+04	  -9.328449E+03	   9.490830E+06	   3.551555E+07	   3.108292E+07	   1.677901E+05
    4.5000	  -4.705707E+00	  -3.242751E+04	  -8.663771E+03	   9.491835E+06	   3.551442E+07	   3.109384E+07	   1.558055E+05
    4.6000	  -4.756471E+00	  -2.981323E+04	  -7.963454E+03	   9.492698E+06	   3.551358E+07	   3.110199E+07	   1.431982E+05
    4.7000	  -4.802542E+00	  -2.707817E+04	  -7.231007E+03	   9.493417E+06	   3.551304E+07	   3.110734E+07	   1.300224E+05
    4.8000	  -4.843872E+00	  -2.423341E+04	  -6.469284E+03	   9.493988E+06	   3.551279E+07	   3.110991E+07	   1.163303E+05
    4.9000	  -4.880423E+00	  -2.129059E+04	  -5.681113E+03	   9.494410E+06	   3.551282E+07	   3.110971E+07	   1.021766E+05
    5.0000	  -4.912156E+00	  -1.826309E+04	  -4.869959E+03	   9.494681E+06	   3.551314E+07	   3.110678E+07	   8.762427E+04
    5.1000	  -4.939042E+00	  -1.516287E+04	  -4.039378E+03	   9.494801E+06	   3.551371E+07	   3.110119E+07	   7.273036E+04
    5.2000	  -4.961054E+00	  -1.200309E+04	  -3.192731E+03	   9.494768E+06	   3.551454E+07	   3.109298E+07	   5.755664E+04
    5.3000	  -4.978170E+00	  -8.797021E+03	  -2.333985E+03	   9.494584E+06	   3.551561E+07	   3.108225E+07	   4.216636E+04
    5.4000	  -4.990374E+00	  -5.558084E+03	  -1.466056E+03	   9.494248E+06	   3.551690E+07	   3.106909E+07	   2.662121E+04
    5.5000	  -4.997653E+00	  -2.300227E+03	  -5.932605E+02	   9.493764E+06	   3.551838E+07	   3.105361E+07	   1.098800E+04
    5.6000	  -4.999999E+00	   9.636533E+02	   2.815816E+02	   9.493133E+06	   3.552005E+07	   3.103591E+07	  -4.674133E+03
    5.7000	  -4.997410E+00	   4.219699E+03	   1.154276E+03	   9.492357E+06	   3.552188E+07	   3.101613E+07	  -2.029905E+04
    5.8000	  -4.989890E+00	   7.454388E+03	   2.021469E+03	   9.491441E+06	   3.552386E+07	   3.099439E+07	  -3.582382E+04
    5.9000	  -4.977445E+00	   1.065473E+04	   2.879013E+03	   9.490387E+06	   3.552594E+07	   3.097085E+07	  -5.118601E+04
    6.0000	  -4.960089E+00	   1.380680E+04	   3.724043E+03	   9.489201E+06	   3.552813E+07	   3.094564E+07	  -6.632199E+04
    6.1000	  -4.937838E+00	   1.689854E+04	   4.552520E+03	   9.487888E+06	   3.553038E+07	   3.091892E+07	  -8.117338E+04
    6.2000	  -4.910712E+00	   1.991615E+04	   5.362108E+03	   9.486452E+06	   3.553269E+07	   3.089086E+07	  -9.567793E+04
    6.3000	  -4.878742E+00	   2.284869E+04	   6.147991E+03	   9.484900E+06	   3.553503E+07	   3.086159E+07	  -1.097802E+05
    6.4000	  -4.841957E+00	   2.568334E+04	   6.908148E+03	   9.483238E+06	   3.553737E+07	   3.083128E+07	  -1.234225E+05
    6.5000	  -4.800392E+00	   2.840954E+04	   7.639192E+03	   9.481473E+06	   3.553970E+07	   3.080010E+07	  -1.365538E+05
    6.6000	  -4.754091E+00	   3.101577E+04	   8.338127E+03	   9.479612E+06	   3.554200E+07	   3.076820E+07	  -1.491195E+05
    6.7000	  -4.703097E+00	   3.349190E+04	   9.001971E+03	   9.477663E+06	   3.554426E+07	   3.073574E+07	  -1.610710E+05
    6.8000	  -4.647463E+00	   3.582838E+04	   9.628660E+03	   9.475634E+06	   3.554644E+07	   3.070288E+07	  -1.723636E+05
    6.9000	  -4.587242E+00	   3.801609E+04	   1.021513E+04	   9.473532E+06	   3.554855E+07	   3.066975E+07	  -1.829524E+05
    7.0000	  -4.522494E+00	   4.004627E+04	   1.075950E+04	   9.471367E+06	   3.555056E+07	   3.063651E+07	  -1.927962E+05
