
Predictions were generated on 13-Jun-2022 at 18:33:23 using BeamDyn




Time	RootFxr             	RootFyr             	RootFzr             	RootMxr             	RootMyr             	RootMzr             	N1Fxl               	N1Fyl               	N1Fzl               	N1Mxl               	N1Myl               	N1Mzl               	TipTDxr             	TipTDyr             	TipTDzr             	TipRDxr             	TipRDyr             	TipRDzr             
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.150000	 -1.64167564E+03	 -1.52284525E+05	  2.53761657E+02	  2.49519578E+06	 -7.25825175E+04	 -3.84231002E+02	  3.34561159E+04	 -1.48573079E+05	  2.53761657E+02	  2.44489910E+06	  5.03724738E+05	 -3.84231002E+02	 -2.90508497E-03	 -1.48642836E-01	 -2.01294848E-04	  1.60091135E-03	  2.65738949E-04	  6.62995549E-06
       0.160000	 -1.50456465E+03	 -1.56977031E+05	  3.10501153E+02	  2.63619874E+06	 -7.48393011E+04	 -4.44195469E+02	  3.46696924E+04	 -1.53108015E+05	  3.10501153E+02	  2.58263514E+06	  5.33985409E+05	 -4.44195469E+02	 -4.92234717E-03	 -1.81397766E-01	 -2.83509254E-04	  2.79098185E-03	 -2.93853810E-05	 -2.61794215E-06
       0.170000	 -1.46772103E+03	 -1.62027443E+05	  4.07403675E+02	  2.77161653E+06	 -7.77993887E+04	 -5.00056338E+02	  3.58680790E+04	 -1.58014327E+05	  4.07403675E+02	  2.71509790E+06	  5.62276037E+05	 -5.00056338E+02	 -7.14373634E-03	 -2.16367092E-01	 -4.02724706E-04	  4.06891165E-03	 -3.71068032E-04	 -1.42667929E-05
       0.180000	 -1.48715695E+03	 -1.66022405E+05	  5.26136590E+02	  2.88866234E+06	 -8.12396401E+04	 -5.53282203E+02	  3.67687476E+04	 -1.61906484E+05	  5.26136590E+02	  2.82979254E+06	  5.85870430E+05	 -5.53282203E+02	 -9.47034596E-03	 -2.52664535E-01	 -5.63555934E-04	  5.37104934E-03	 -7.43336355E-04	 -2.52565421E-05
       0.190000	 -1.50098873E+03	 -1.67500154E+05	  6.32544274E+02	  2.97583797E+06	 -8.48221251E+04	 -6.08670869E+02	  3.70954438E+04	 -1.63347735E+05	  6.32544274E+02	  2.91545186E+06	  6.02450722E+05	 -6.08670869E+02	 -1.18032390E-02	 -2.89585598E-01	 -7.66979044E-04	  6.65622986E-03	 -1.13134898E-03	 -3.24160419E-05
       0.200000	 -1.46623667E+03	 -1.65640685E+05	  6.93440374E+02	  3.02853719E+06	 -8.83608381E+04	 -6.72783617E+02	  3.67012398E+04	 -1.61530200E+05	  6.93440374E+02	  2.96755049E+06	  6.11137638E+05	 -6.72783617E+02	 -1.40464547E-02	 -3.26605134E-01	 -1.01107682E-03	  7.90139152E-03	 -1.52169574E-03	 -3.33339538E-05
       0.210000	 -1.38242553E+03	 -1.60677440E+05	  6.90874809E+02	  3.05207451E+06	 -9.19874748E+04	 -7.51735055E+02	  3.56403325E+04	 -1.56680941E+05	  6.90874809E+02	  2.99129056E+06	  6.13026341E+05	 -7.51735055E+02	 -1.61083247E-02	 -3.63343644E-01	 -1.29190364E-03	  9.09493154E-03	 -1.90226144E-03	 -2.67790586E-05
       0.220000	 -1.29219870E+03	 -1.53860680E+05	  6.26383747E+02	  3.06091241E+06	 -9.61450272E+04	 -8.49162177E+02	  3.41590164E+04	 -1.50026465E+05	  6.26383747E+02	  3.00084814E+06	  6.11014790E+05	 -8.49162177E+02	 -1.79024411E-02	 -3.99533724E-01	 -1.60425267E-03	  1.02320602E-02	 -2.26206339E-03	 -1.26718272E-05
       0.230000	 -1.26138641E+03	 -1.47028571E+05	  5.16438674E+02	  3.07464076E+06	 -1.01425853E+05	 -9.65054214E+02	  3.26163481E+04	 -1.43370728E+05	  5.16438674E+02	  3.01542341E+06	  6.09035840E+05	 -9.65054214E+02	 -1.93487050E-02	 -4.34995571E-01	 -1.94233029E-03	  1.13130512E-02	 -2.59120166E-03	  8.17586529E-06
       0.240000	 -1.34998440E+03	 -1.42008327E+05	  3.84623993E+02	  3.11254157E+06	 -1.08339741E+05	 -1.09591139E+03	  3.13745413E+04	 -1.38505688E+05	  3.84623993E+02	  3.05389794E+06	  6.11031834E+05	 -1.09591139E+03	 -2.03741228E-02	 -4.69612688E-01	 -2.30025639E-03	  1.23426075E-02	 -2.88082084E-03	  3.43273983E-05
       0.250000	 -1.58792045E+03	 -1.40103802E+05	  2.54665770E+02	  3.18884282E+06	 -1.17117451E+05	 -1.23633404E+03	  3.07046003E+04	 -1.36707075E+05	  2.54665770E+02	  3.13017075E+06	  6.20053284E+05	 -1.23633404E+03	 -2.09128790E-02	 -5.03295865E-01	 -2.67219907E-03	  1.33279474E-02	 -3.12291517E-03	  6.38996194E-05
       0.260000	 -1.96526318E+03	 -1.41839521E+05	  1.45438341E+02	  3.31010809E+06	 -1.27626445E+05	 -1.38155725E+03	  3.07369281E+04	 -1.38483043E+05	  1.45438341E+02	  3.25059867E+06	  6.37740011E+05	 -1.38155725E+03	 -2.09057114E-02	 -5.35934195E-01	 -3.05204782E-03	  1.42745878E-02	 -3.30993087E-03	  9.46864933E-05
       0.270000	 -2.43879434E+03	 -1.46991615E+05	  6.77866987E+01	  3.47511545E+06	 -1.39417970E+05	 -1.52990582E+03	  3.14620507E+04	 -1.43605786E+05	  6.77866987E+01	  3.41388929E+06	  6.64247448E+05	 -1.52990582E+03	 -2.02993171E-02	 -5.67346862E-01	 -3.43279816E-03	  1.51809642E-02	 -3.43432819E-03	  1.24293066E-04
       0.280000	 -2.94966525E+03	 -1.54818590E+05	  2.32363531E+01	  3.67662102E+06	 -1.51868509E+05	 -1.68404061E+03	  3.27665553E+04	 -1.51340177E+05	  2.32363531E+01	  3.61284971E+06	  6.98514930E+05	 -1.68404061E+03	 -1.90469353E-02	 -5.97257950E-01	 -3.80606965E-03	  1.60344979E-02	 -3.48841575E-03	  1.50287771E-04
       0.290000	 -3.44326464E+03	 -1.64355526E+05	  4.84748468E+00	  3.90394847E+06	 -1.64347880E+05	 -1.85037577E+03	  3.44814762E+04	 -1.60734634E+05	  4.84748468E+00	  3.83694525E+06	  7.38698180E+05	 -1.85037577E+03	 -1.71110423E-02	 -6.25312367E-01	 -4.16223680E-03	  1.68116271E-02	 -3.46475674E-03	  1.70321365E-04
       0.300000	 -3.88329973E+03	 -1.74657408E+05	  3.34161515E-02	  4.14544187E+06	 -1.76349063E+05	 -2.03693067E+03	  3.64246027E+04	 -1.70861168E+05	  3.34161517E-02	  4.07471627E+06	  7.82607577E+05	 -2.03693067E+03	 -1.44682959E-02	 -6.51135948E-01	 -4.49145935E-03	  1.74827350E-02	 -3.35725951E-03	  1.82173596E-04
       0.310000	 -4.25613079E+03	 -1.84940218E+05	 -5.47213846E+00	  4.39024972E+06	 -1.87543390E+05	 -2.25063223E+03	  3.84287382E+04	 -1.80953671E+05	 -5.47213846E+00	  4.31552701E+06	  8.28065099E+05	 -2.25063223E+03	 -1.11158217E-02	 -6.74424288E-01	 -4.78550431E-03	  1.80207268E-02	 -3.16278321E-03	  1.83771339E-04
       0.320000	 -4.56618044E+03	 -1.94630368E+05	 -2.37349876E+01	  4.62936591E+06	 -1.97761587E+05	 -2.49526791E+03	  4.03575475E+04	 -1.90454977E+05	 -2.37349876E+01	  4.55057422E+06	  8.73162400E+05	 -2.49526791E+03	 -7.07709667E-03	 -6.95031904E-01	 -5.03980891E-03	  1.84103486E-02	 -2.88283790E-03	  1.73296212E-04
       0.330000	 -4.82655529E+03	 -2.03364446E+05	 -6.20980621E+01	  4.85611598E+06	 -2.06929220E+05	 -2.77082915E+03	  4.21146238E+04	 -1.99014452E+05	 -6.20980621E+01	  4.77334557E+06	  9.16435553E+05	 -2.77082915E+03	 -2.40543978E-03	 -7.13031733E-01	 -5.25497324E-03	  1.86549547E-02	 -2.52484669E-03	  1.49480914E-04
       0.340000	 -5.04981311E+03	 -2.10976342E+05	 -1.22742806E+02	  5.06629318E+06	 -2.14994985E+05	 -3.07418242E+03	  4.36495102E+04	 -2.06473334E+05	 -1.22742806E+02	  4.97973546E+06	  9.56966149E+05	 -3.07418242E+03	  2.81644945E-03	 -7.28724758E-01	 -5.43699564E-03	  1.87784040E-02	 -2.10251091E-03	  1.12069347E-04
       0.350000	 -5.24237765E+03	 -2.17483011E+05	 -2.03933792E+02	  5.25801991E+06	 -2.21882278E+05	 -3.40033451E+03	  4.49598583E+04	 -2.12849604E+05	 -2.03933792E+02	  5.16789906E+06	  9.94396538E+05	 -3.40033451E+03	  8.48149798E-03	 -7.42596150E-01	 -5.59606507E-03	  1.88215543E-02	 -1.63504939E-03	  6.22654589E-05
       0.360000	 -5.40363171E+03	 -2.23056385E+05	 -3.01494197E+02	  5.43129333E+06	 -2.27476509E+05	 -3.74337695E+03	  4.60858448E+04	 -2.18310432E+05	 -3.01494197E+02	  5.33780723E+06	  1.02883758E+06	 -3.74337695E+03	  1.44672675E-02	 -7.55230559E-01	 -5.74433780E-03	  1.88346177E-02	 -1.14538510E-03	  2.93158423E-06
       0.370000	 -5.52852901E+03	 -2.27963453E+05	 -4.09098585E+02	  5.58717691E+06	 -2.31642646E+05	 -4.09656001E+03	  4.70938380E+04	 -2.23114480E+05	 -4.09098585E+02	  5.49046382E+06	  1.06066548E+06	 -4.09656001E+03	  2.06474625E-02	 -7.67209553E-01	 -5.89349467E-03	  1.88677558E-02	 -6.57624998E-04	 -6.16246239E-05
       0.380000	 -5.61149311E+03	 -2.32471208E+05	 -5.17386866E+02	  5.72672746E+06	 -2.34256684E+05	 -4.45161345E+03	  4.80507222E+04	 -2.27520284E+05	 -5.17386866E+02	  5.62686869E+06	  1.09024416E+06	 -4.45161345E+03	  2.69039266E-02	 -7.79016004E-01	 -6.05281901E-03	  1.89624440E-02	 -1.94339322E-04	 -1.26258633E-04
       0.390000	 -5.64953556E+03	 -2.36736728E+05	 -6.13598139E+02	  5.84991406E+06	 -2.35233568E+05	 -4.79800600E+03	  4.89955625E+04	 -2.31680017E+05	 -6.13598139E+02	  5.74697219E+06	  1.11764929E+06	 -4.79800600E+03	  3.31371351E-02	 -7.90964742E-01	 -6.22815855E-03	  1.91454848E-02	  2.25840476E-04	 -1.85810220E-04
       0.400000	 -5.64348686E+03	 -2.40719660E+05	 -6.83718898E+02	  5.95487893E+06	 -2.34540257E+05	 -5.12299904E+03	  4.99182624E+04	 -2.35554602E+05	 -6.83718898E+02	  5.84895882E+06	  1.14248539E+06	 -5.12299904E+03	  3.92736638E-02	 -8.03169376E-01	 -6.42171223E-03	  1.94264972E-02	  5.89903331E-04	 -2.35891161E-04
       0.410000	 -5.59734882E+03	 -2.44153747E+05	 -7.17411498E+02	  6.03783724E+06	 -2.32191543E+05	 -5.41302181E+03	  5.07536390E+04	 -2.38885853E+05	 -7.17411498E+02	  5.92914880E+06	  1.16386684E+06	 -5.41302181E+03	  4.52698533E-02	 -8.15545552E-01	 -6.63234244E-03	  1.97987244E-02	  8.91214161E-04	 -2.73449125E-04
       0.420000	 -5.51653417E+03	 -2.46595267E+05	 -7.13459182E+02	  6.09372164E+06	 -2.28233564E+05	 -5.65625358E+03	  5.13942863E+04	 -2.41243208E+05	 -7.13459182E+02	  5.98262145E+06	  1.18058232E+06	 -5.65625358E+03	  5.11116742E-02	 -8.27843760E-01	 -6.85610731E-03	  2.02423401E-02	  1.12934983E-03	 -2.97036505E-04
       0.430000	 -5.40595745E+03	 -2.47538060E+05	 -6.82248911E+02	  6.11742411E+06	 -2.22723291E+05	 -5.84566493E+03	  5.17189110E+04	 -2.42135230E+05	 -6.82248911E+02	  6.00441904E+06	  1.19140059E+06	 -5.84566493E+03	  5.68114560E-02	 -8.39700996E-01	 -7.08684288E-03	  2.07291815E-02	  1.30919727E-03	 -3.06818454E-04
       0.440000	 -5.26868459E+03	 -2.46560189E+05	 -6.43081071E+02	  6.10527956E+06	 -2.15711520E+05	 -5.98143814E+03	  5.16274059E+04	 -2.41152021E+05	 -6.43081071E+02	  5.99098661E+06	  1.19542858E+06	 -5.98143814E+03	  6.24025581E-02	 -8.50699635E-01	 -7.31676397E-03	  2.12278679E-02	  1.43960314E-03	 -3.04402072E-04
       0.450000	 -5.10540849E+03	 -2.43456427E+05	 -6.17062878E+02	  6.05635328E+06	 -2.07233722E+05	 -6.07179522E+03	  5.10718561E+04	 -2.38094020E+05	 -6.17062878E+02	  5.94142268E+06	  1.19241659E+06	 -6.07179522E+03	  6.79331867E-02	 -8.60422856E-01	 -7.53711108E-03	  2.17084377E-02	  1.53189405E-03	 -2.92562945E-04
       0.460000	 -4.91464833E+03	 -2.38317084E+05	 -6.18943609E+02	  5.97316183E+06	 -1.97309455E+05	 -6.13175921E+03	  5.00744909E+04	 -2.33048775E+05	 -6.18943609E+02	  5.85818077E+06	  1.18292488E+06	 -6.13175921E+03	  7.34604396E-02	 -8.68498084E-01	 -7.73883923E-03	  2.21458459E-02	  1.59854578E-03	 -2.74917634E-04
       0.470000	 -4.69339588E+03	 -2.31533016E+05	 -6.51784259E+02	  5.86163857E+06	 -1.85948369E+05	 -6.18005905E+03	  4.87282071E+04	 -2.26395953E+05	 -6.51784259E+02	  5.74703712E+06	  1.16830984E+06	 -6.18005905E+03	  7.90453386E-02	 -8.74622779E-01	 -7.91327186E-03	  2.25218827E-02	  1.65218804E-03	 -2.55568640E-04
       0.480000	 -4.43793148E+03	 -2.23730188E+05	 -7.06651102E+02	  5.73037469E+06	 -1.73159576E+05	 -6.23499931E+03	  4.71807126E+04	 -2.18743851E+05	 -7.06651102E+02	  5.61635431E+06	  1.15054015E+06	 -6.23499931E+03	  8.47491900E-02	 -8.78570517E-01	 -8.05259634E-03	  2.28253306E-02	  1.70501442E-03	 -2.38739134E-04
       0.490000	 -4.14461058E+03	 -2.15656241E+05	 -7.66852023E+02	  5.58935054E+06	 -1.58961171E+05	 -6.31043137E+03	  4.56076505E+04	 -2.10819198E+05	 -7.66852023E+02	  5.47584884E+06	  1.13189555E+06	 -6.31043137E+03	  9.06311940E-02	 -8.80179285E-01	 -8.15009882E-03	  2.30505019E-02	  1.76855236E-03	 -2.28411796E-04
       0.500000	 -3.81049846E+03	 -2.08050667E+05	 -8.14237010E+02	  5.44846987E+06	 -1.43387378E+05	 -6.41288400E+03	  4.41820967E+04	 -2.03340950E+05	 -8.14237010E+02	  5.33516641E+06	  1.11462244E+06	 -6.41288400E+03	  9.67468925E-02	 -8.79327799E-01	 -8.20012660E-03	  2.31946344E-02	  1.85366080E-03	 -2.27982690E-04
       0.510000	 -3.43377906E+03	 -2.01528823E+05	 -8.34698051E+02	  5.31621171E+06	 -1.26491928E+05	 -6.54049686E+03	  4.30474654E+04	 -1.96907524E+05	 -8.34698051E+02	  5.20257073E+06	  1.10062026E+06	 -6.54049686E+03	  1.03146878E-01	 -8.75908364E-01	 -8.19788335E-03	  2.32549120E-02	  1.97057976E-03	 -2.39938482E-04
       0.520000	 -3.01390392E+03	 -1.96501316E+05	 -8.21058634E+02	  5.19864217E+06	 -1.08347486E+05	 -6.68383076E+03	  4.22988057E+04	 -1.91918373E+05	 -8.21058634E+02	  5.08398173E+06	  1.09121465E+06	 -6.68383076E+03	  1.09875208E-01	 -8.69805544E-01	 -8.13924851E-03	  2.32259862E-02	  2.12886517E-03	 -2.65568535E-04
       0.530000	 -2.55150547E+03	 -1.93138645E+05	 -7.73129321E+02	  5.09891853E+06	 -8.90420572E+04	 -6.82811644E+03	  4.19747489E+04	 -1.88539563E+05	 -7.73129321E+02	  4.98249216E+06	  1.08704672E+06	 -6.82811644E+03	  1.16967153E-01	 -8.60888181E-01	 -8.02082272E-03	  2.30987568E-02	  2.33709689E-03	 -3.04733705E-04
       0.540000	 -2.04817167E+03	 -1.91380423E+05	 -6.95883166E+02	  5.01730496E+06	 -6.86741355E+04	 -6.95620628E+03	  4.20598491E+04	 -1.86712695E+05	 -6.95883166E+02	  4.89838178E+06	  1.08808142E+06	 -6.95620628E+03	  1.24446247E-01	 -8.49018526E-01	 -7.84032459E-03	  2.28608295E-02	  2.60233335E-03	 -3.55725093E-04
       0.550000	 -1.50623415E+03	 -1.90980808E+05	 -5.97042970E+02	  4.95162574E+06	 -4.73486161E+04	 -7.05145862E+03	  4.24952481E+04	 -1.86199064E+05	 -5.97042970E+02	  4.82955743E+06	  1.09371587E+06	 -7.05145862E+03	  1.32320893E-01	 -8.34077307E-01	 -7.59732158E-03	  2.24986006E-02	  2.92937816E-03	 -4.15250283E-04
       0.560000	 -9.28717335E+02	 -1.91577317E+05	 -4.85034820E+02	  4.89801768E+06	 -2.51749733E+04	 -7.09996227E+03	  4.31945646E+04	 -1.86646620E+05	 -4.85034820E+02	  4.77228487E+06	  1.10295428E+06	 -7.09996227E+03	  1.40581107E-01	 -8.15999020E-01	 -7.29411694E-03	  2.20004618E-02	  3.31999860E-03	 -4.78577754E-04
       0.570000	 -3.19516850E+02	 -1.92768252E+05	 -3.67699776E+02	  4.85180984E+06	 -2.26812889E+03	 -7.09179641E+03	  4.40615422E+04	 -1.87665345E+05	 -3.67699776E+02	  4.72204503E+06	  1.11460962E+06	 -7.09179641E+03	  1.49196082E-01	 -7.94808711E-01	 -6.93649370E-03	  2.13603091E-02	  3.77227346E-03	 -5.39855059E-04
       0.580000	  3.16256015E+02	 -1.94184037E+05	 -2.51726292E+02	  4.80835498E+06	  2.12489333E+04	 -7.02131450E+03	  4.50061358E+04	 -1.88896766E+05	 -2.51726292E+02	  4.67434378E+06	  1.12749248E+06	 -7.02131450E+03	  1.58113224E-01	 -7.70650905E-01	 -6.53399146E-03	  2.05804640E-02	  4.28024038E-03	 -5.92598187E-04
       0.590000	  9.71951158E+02	 -1.95539741E+05	 -1.42560953E+02	  4.76366207E+06	  4.52428123E+04	 -6.88666637E+03	  4.59562869E+04	 -1.90065133E+05	 -1.42560953E+02	  4.62532798E+06	  1.14055438E+06	 -6.88666637E+03	  1.67259154E-01	 -7.43803125E-01	 -6.09948953E-03	  1.96732716E-02	  4.83396342E-03	 -6.30330073E-04
       0.600000	  1.63932115E+03	 -1.96660016E+05	 -4.44926870E+01	  4.71472999E+06	  6.95698946E+04	 -6.68889774E+03	  4.68636069E+04	 -1.91001705E+05	 -4.44926870E+01	  4.57211015E+06	  1.15296475E+06	 -6.68889774E+03	  1.76542804E-01	 -7.14669962E-01	 -5.64806990E-03	  1.86609797E-02	  5.42006472E-03	 -6.47322405E-04
       0.610000	  2.30892021E+03	 -1.97473542E+05	  3.93732941E+01	  4.65955328E+06	  9.40807360E+04	 -6.43098997E+03	  4.77024871E+04	 -1.91639254E+05	  3.93732941E+01	  4.51277306E+06	  1.16411650E+06	 -6.43098997E+03	  1.85860420E-01	 -6.83757975E-01	 -5.19536709E-03	  1.75739029E-02	  6.02267864E-03	 -6.39364326E-04
       0.620000	  2.97100593E+03	 -1.97980908E+05	  1.07408132E+02	  4.59684707E+06	  1.18628761E+05	 -6.11714551E+03	  4.84635821E+04	 -1.91980593E+05	  1.07408132E+02	  4.44610011E+06	  1.17357127E+06	 -6.11714551E+03	  1.95101952E-01	 -6.51635638E-01	 -4.75578539E-03	  1.64472511E-02	  6.62471222E-03	 -6.04449496E-04
