
Predictions were generated on 12-Feb-2024 at 14:25:23 using HydroDyn Driver, compiled on Dec 20 2023 at 14:52:34 as a 64-bit application using double precision at commit v2.5.0-3665-g13e4c61c-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00 - Regression test for the MacCamy-Fuchs diffraction correction for strip-theory memebers

Time	Wave1Elev	HydroFxi	HydroMyi
(s)	(m)	(N)	(N-m)
    8.7000	   1.743445E-01	  -1.971750E+07	   2.423938E+08
    8.8000	  -6.710324E-02	  -1.985650E+07	   2.432248E+08
    8.9000	  -3.184337E-01	  -1.987976E+07	   2.431965E+08
    9.0000	  -5.779171E-01	  -1.978998E+07	   2.422441E+08
    9.1000	  -8.437365E-01	  -1.958919E+07	   2.403187E+08
    9.2000	  -1.114002E+00	  -1.928114E+07	   2.373857E+08
    9.3000	  -1.386780E+00	  -1.887158E+07	   2.334167E+08
    9.4000	  -1.660105E+00	  -1.836621E+07	   2.283889E+08
    9.5000	  -1.932011E+00	  -1.777194E+07	   2.222991E+08
    9.6000	  -2.200547E+00	  -1.709522E+07	   2.151606E+08
    9.7000	  -2.463794E+00	  -1.634342E+07	   2.069832E+08
    9.8000	  -2.719889E+00	  -1.552385E+07	   1.977929E+08
    9.9000	  -2.967040E+00	  -1.464297E+07	   1.876254E+08
   10.0000	  -3.203539E+00	  -1.370692E+07	   1.765288E+08
   10.1000	  -3.427779E+00	  -1.272212E+07	   1.645447E+08
   10.2000	  -3.638265E+00	  -1.169394E+07	   1.517260E+08
   10.3000	  -3.833622E+00	  -1.062716E+07	   1.381293E+08
   10.4000	  -4.012606E+00	  -9.526171E+06	   1.238147E+08
   10.5000	  -4.174109E+00	  -8.394693E+06	   1.088452E+08
   10.6000	  -4.317164E+00	  -7.236286E+06	   9.327944E+07
   10.7000	  -4.440947E+00	  -6.053828E+06	   7.718068E+07
   10.8000	  -4.544778E+00	  -4.849852E+06	   6.061304E+07
   10.9000	  -4.628119E+00	  -3.626601E+06	   4.364108E+07
