
These predictions were generated by MoorDyn (v2.a272022-07-20) on 06-Dec-2022 at 13:08:30.

 
 
 
      Time          CON1FX          CON1FY          CON1FZ          CON2FX          CON2FY          CON2FZ         L1N20PX         L1N20PY         L1N20PZ          L1N9PX         L1N10PY         L1N10PZ          L1N10T          L1N1PX          L1N1PY          L1N1PZ           L1N1T
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (N)             (m)             (m)             (m)             (N)
    3.8000   2.3618950E+06   0.0000000E+00  -2.9970988E+06  -2.3542847E+06   0.0000000E+00  -1.0998202E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9087596E+02   0.0000000E+00  -5.4416358E+02   2.4929017E+06   1.5098277E+03   0.0000000E+00  -6.0000377E+02   2.3543071E+06
    4.0000   2.3639259E+06   0.0000000E+00  -2.9985124E+06  -2.3560367E+06   0.0000000E+00  -1.0998209E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9087045E+02   0.0000000E+00  -5.4417700E+02   2.4946868E+06   1.5098276E+03   0.0000000E+00  -6.0000377E+02   2.3560607E+06
    4.2000   2.3666819E+06   0.0000000E+00  -3.0009353E+06  -2.3587929E+06   0.0000000E+00  -1.0998221E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086470E+02   0.0000000E+00  -5.4419300E+02   2.4975353E+06   1.5098274E+03   0.0000000E+00  -6.0000377E+02   2.3588189E+06
    4.4000   2.3698519E+06   0.0000000E+00  -3.0040483E+06  -2.3626143E+06   0.0000000E+00  -1.0998237E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9085887E+02   0.0000000E+00  -5.4421058E+02   2.5012763E+06   1.5098272E+03   0.0000000E+00  -6.0000377E+02   2.3626397E+06
    4.6000   2.3731532E+06   0.0000000E+00  -3.0075500E+06  -2.3674369E+06   0.0000000E+00  -1.0998257E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9085312E+02   0.0000000E+00  -5.4422868E+02   2.5056878E+06   1.5098268E+03   0.0000000E+00  -6.0000377E+02   2.3674571E+06
    4.8000   2.3763891E+06   0.0000000E+00  -3.0112261E+06  -2.3730056E+06   0.0000000E+00  -1.0998280E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9084768E+02   0.0000000E+00  -5.4424617E+02   2.5105126E+06   1.5098264E+03   0.0000000E+00  -6.0000377E+02   2.3730160E+06
    5.0000   2.3794529E+06   0.0000000E+00  -3.0149534E+06  -2.3788908E+06   0.0000000E+00  -1.0998305E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9084277E+02   0.0000000E+00  -5.4426203E+02   2.5154715E+06   1.5098260E+03   0.0000000E+00  -6.0000377E+02   2.3788887E+06
    5.2000   2.3822819E+06   0.0000000E+00  -3.0186443E+06  -2.3845773E+06   0.0000000E+00  -1.0998328E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083868E+02   0.0000000E+00  -5.4427534E+02   2.5202707E+06   1.5098256E+03   0.0000000E+00  -6.0000377E+02   2.3845629E+06
    5.4000   2.3847983E+06   0.0000000E+00  -3.0221744E+06  -2.3895833E+06   0.0000000E+00  -1.0998349E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083562E+02   0.0000000E+00  -5.4428536E+02   2.5246193E+06   1.5098252E+03   0.0000000E+00  -6.0000377E+02   2.3895593E+06
    5.6000   2.3868793E+06   0.0000000E+00  -3.0253491E+06  -2.3935505E+06   0.0000000E+00  -1.0998366E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083377E+02   0.0000000E+00  -5.4429155E+02   2.5282469E+06   1.5098249E+03   0.0000000E+00  -6.0000377E+02   2.3935209E+06
    5.8000   2.3883704E+06   0.0000000E+00  -3.0279244E+06  -2.3962810E+06   0.0000000E+00  -1.0998377E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083320E+02   0.0000000E+00  -5.4429361E+02   2.5309282E+06   1.5098247E+03   0.0000000E+00  -6.0000377E+02   2.3962494E+06
    6.0000   2.3891144E+06   0.0000000E+00  -3.0296477E+06  -2.3977200E+06   0.0000000E+00  -1.0998383E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083388E+02   0.0000000E+00  -5.4429150E+02   2.5325041E+06   1.5098245E+03   0.0000000E+00  -6.0000377E+02   2.3976891E+06
    6.2000   2.3889997E+06   0.0000000E+00  -3.0303226E+06  -2.3979093E+06   0.0000000E+00  -1.0998384E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083573E+02   0.0000000E+00  -5.4428546E+02   2.5328892E+06   1.5098245E+03   0.0000000E+00  -6.0000377E+02   2.3978803E+06
    6.4000   2.3880059E+06   0.0000000E+00  -3.0298680E+06  -2.3969273E+06   0.0000000E+00  -1.0998380E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083860E+02   0.0000000E+00  -5.4427604E+02   2.5320745E+06   1.5098246E+03   0.0000000E+00  -6.0000377E+02   2.3969003E+06
    6.6000   2.3862165E+06   0.0000000E+00  -3.0283374E+06  -2.3948561E+06   0.0000000E+00  -1.0998371E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9084229E+02   0.0000000E+00  -5.4426403E+02   2.5301288E+06   1.5098247E+03   0.0000000E+00  -6.0000377E+02   2.3948312E+06
    6.8000   2.3838013E+06   0.0000000E+00  -3.0258986E+06  -2.3917870E+06   0.0000000E+00  -1.0998358E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9084662E+02   0.0000000E+00  -5.4425044E+02   2.5271989E+06   1.5098249E+03   0.0000000E+00  -6.0000377E+02   2.3917650E+06
    7.0000   2.3809810E+06   0.0000000E+00  -3.0227906E+06  -2.3878541E+06   0.0000000E+00  -1.0998342E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9085136E+02   0.0000000E+00  -5.4423635E+02   2.5234940E+06   1.5098252E+03   0.0000000E+00  -6.0000377E+02   2.3878367E+06
    7.2000   2.3779883E+06   0.0000000E+00  -3.0192754E+06  -2.3832672E+06   0.0000000E+00  -1.0998323E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9085626E+02   0.0000000E+00  -5.4422288E+02   2.5192657E+06   1.5098255E+03   0.0000000E+00  -6.0000377E+02   2.3832566E+06
    7.4000   2.3750377E+06   0.0000000E+00  -3.0156004E+06  -2.3783206E+06   0.0000000E+00  -1.0998302E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086103E+02   0.0000000E+00  -5.4421108E+02   2.5147939E+06   1.5098259E+03   0.0000000E+00  -6.0000377E+02   2.3783185E+06
    7.6000   2.3723105E+06   0.0000000E+00  -3.0119807E+06  -2.3733711E+06   0.0000000E+00  -1.0998282E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086536E+02   0.0000000E+00  -5.4420188E+02   2.5103720E+06   1.5098262E+03   0.0000000E+00  -6.0000377E+02   2.3733782E+06
    7.8000   2.3699585E+06   0.0000000E+00  -3.0086038E+06  -2.3687942E+06   0.0000000E+00  -1.0998262E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086898E+02   0.0000000E+00  -5.4419605E+02   2.5062907E+06   1.5098266E+03   0.0000000E+00  -6.0000377E+02   2.3688101E+06
    8.0000   2.3681148E+06   0.0000000E+00  -3.0056452E+06  -2.3649356E+06   0.0000000E+00  -1.0998246E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9087160E+02   0.0000000E+00  -5.4419415E+02   2.5028196E+06   1.5098269E+03   0.0000000E+00  -6.0000377E+02   2.3649586E+06
    8.2000   2.3669023E+06   0.0000000E+00  -3.0032769E+06  -2.3620709E+06   0.0000000E+00  -1.0998234E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9087303E+02   0.0000000E+00  -5.4419652E+02   2.5001898E+06   1.5098271E+03   0.0000000E+00  -6.0000377E+02   2.3620990E+06
    8.4000   2.3664294E+06   0.0000000E+00  -3.0016628E+06  -2.3603845E+06   0.0000000E+00  -1.0998227E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9087313E+02   0.0000000E+00  -5.4420324E+02   2.4985785E+06   1.5098272E+03   0.0000000E+00  -6.0000377E+02   2.3604152E+06
    8.6000   2.3667734E+06   0.0000000E+00  -3.0009366E+06  -2.3599666E+06   0.0000000E+00  -1.0998226E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9087185E+02   0.0000000E+00  -5.4421413E+02   2.4981038E+06   1.5098273E+03   0.0000000E+00  -6.0000377E+02   2.3599980E+06
