





Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000  -3.707106E+06  -3.141637E+06   2.699097E+05  -4.611737E+07   7.146258E+07  -4.029340E+07
    0.1000  -3.683299E+06  -3.112311E+06   1.212028E+05  -4.202627E+07   6.973634E+07  -3.838638E+07
    0.2000  -3.638987E+06  -3.064405E+06  -2.737801E+04  -3.769746E+07   6.763101E+07  -3.627092E+07
    0.3000  -3.574538E+06  -2.998324E+06  -1.749605E+05  -3.315980E+07   6.516210E+07  -3.396007E+07
    0.4000  -3.490434E+06  -2.914584E+06  -3.206825E+05  -2.844335E+07   6.234708E+07  -3.146796E+07
    0.5000  -3.387267E+06  -2.813805E+06  -4.636964E+05  -2.357919E+07   5.920537E+07  -2.880973E+07
    0.6000  -3.265739E+06  -2.696712E+06  -6.031749E+05  -1.859920E+07   5.575813E+07  -2.600141E+07
    0.7000  -3.126653E+06  -2.564127E+06  -7.383151E+05  -1.353588E+07   5.202815E+07  -2.305988E+07
    0.8000  -2.970909E+06  -2.416962E+06  -8.683440E+05  -8.422122E+06   4.803974E+07  -2.000271E+07
    0.9000  -2.799500E+06  -2.256216E+06  -9.925225E+05  -3.291012E+06   4.381852E+07  -1.684806E+07
    1.0000  -2.613505E+06  -2.082967E+06  -1.110150E+06   1.824397E+06   3.939128E+07  -1.361463E+07
    1.1000  -2.414083E+06  -1.898365E+06  -1.220568E+06   6.891288E+06   3.478583E+07  -1.032147E+07
    1.2000  -2.202462E+06  -1.703625E+06  -1.323165E+06   1.187729E+07   3.003081E+07  -6.987933E+06
    1.3000  -1.979938E+06  -1.500018E+06  -1.417379E+06   1.675069E+07   2.515550E+07  -3.633511E+06
    1.4000  -1.747861E+06  -1.288865E+06  -1.502700E+06   2.148063E+07   2.018967E+07  -2.777462E+05
    1.5000  -1.507631E+06  -1.071524E+06  -1.578676E+06   2.603731E+07   1.516337E+07   3.059895E+06
    1.6000  -1.260686E+06  -8.493868E+05  -1.644912E+06   3.039217E+07   1.010676E+07   6.360135E+06
    1.7000  -1.008496E+06  -6.238670E+05  -1.701074E+06   3.451807E+07   5.049910E+06   9.604000E+06
    1.8000  -7.525539E+05  -3.963910E+05  -1.746890E+06   3.838949E+07   2.265221E+04   1.277293E+07
    1.9000  -4.943647E+05  -1.683895E+05  -1.782152E+06   4.198265E+07  -4.945636E+06   1.584890E+07
    2.0000  -2.354379E+05   5.871159E+04  -1.806717E+06   4.527568E+07  -9.826188E+06   1.881450E+07
    2.1000   2.272213E+04   2.835005E+05  -1.820507E+06   4.824876E+07  -1.459103E+07   2.165307E+07
    2.2000   2.786246E+05   5.045882E+05  -1.823510E+06   5.088423E+07  -1.921312E+07   2.434875E+07
    2.3000   5.308015E+05   7.206175E+05  -1.815780E+06   5.316674E+07  -2.366656E+07   2.688665E+07
    2.4000   7.778164E+05   9.302712E+05  -1.797432E+06   5.508326E+07  -2.792669E+07   2.925283E+07
    2.5000   1.018273E+06   1.132281E+06  -1.768650E+06   5.662325E+07  -3.197025E+07   3.143449E+07
    2.6000   1.250821E+06   1.325433E+06  -1.729676E+06   5.777866E+07  -3.577552E+07   3.341994E+07
    2.7000   1.474169E+06   1.508580E+06  -1.680814E+06   5.854399E+07  -3.932245E+07   3.519873E+07
    2.8000   1.687086E+06   1.680644E+06  -1.622426E+06   5.891635E+07  -4.259272E+07   3.676171E+07
    2.9000   1.888414E+06   1.840623E+06  -1.554929E+06   5.889542E+07  -4.556991E+07   3.810102E+07
    3.0000   2.077068E+06   1.987601E+06  -1.478794E+06   5.848346E+07  -4.823952E+07   3.921020E+07
    3.1000   2.252050E+06   2.120748E+06  -1.394541E+06   5.768530E+07  -5.058909E+07   4.008417E+07
    3.2000   2.412447E+06   2.239330E+06  -1.302736E+06   5.650832E+07  -5.260822E+07   4.071928E+07
    3.3000   2.557440E+06   2.342710E+06  -1.203987E+06   5.496232E+07  -5.428865E+07   4.111331E+07
    3.4000   2.686308E+06   2.430352E+06  -1.098940E+06   5.305953E+07  -5.562427E+07   4.126548E+07
    3.5000   2.798431E+06   2.501824E+06  -9.882764E+05   5.081445E+07  -5.661114E+07   4.117645E+07
    3.6000   2.893292E+06   2.556802E+06  -8.727062E+05   4.824381E+07  -5.724751E+07   4.084832E+07
    3.7000   2.970483E+06   2.595068E+06  -7.529650E+05   4.536640E+07  -5.753378E+07   4.028458E+07
    3.8000   3.029700E+06   2.616513E+06  -6.298086E+05   4.220299E+07  -5.747252E+07   3.949008E+07
    3.9000   3.070752E+06   2.621139E+06  -5.040087E+05   3.877614E+07  -5.706837E+07   3.847104E+07
