
Predictions were generated on 22-May-2026 at 16:29:15 using HydroDyn Driver, compiled on May 22 2026 at 16:27:45 as a 64-bit application using double precision at commit v5.0.0-133-g50658afd
 linked with  NWTC Subroutine Library

Description from the driver input file: Nonlinear Froude-Krylov and hydrostatic load example

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1NFKFxi	B1NFKFyi	B1NFKFzi	B1NFKMxi	B1NFKMyi	B1NFKMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(Nm)	(Nm)	(Nm)
    0.0000	   4.627853E-01	  -1.722158E+05	  -1.757696E+01	   7.714480E+06	  -2.379976E+02	  -8.464253E+05	   4.403043E+00	  -2.493165E+04	  -1.767071E+01	   8.500571E+06	  -2.396461E+02	  -1.325738E+05	   2.263399E+00
    0.1000	   1.017758E+00	  -2.406640E+05	  -7.158631E+00	   7.569812E+06	  -1.259289E+01	  -1.109140E+06	  -2.485900E+01	  -6.062322E+04	  -7.400674E+00	   8.393901E+06	  -1.472870E+01	  -2.254319E+05	  -2.560045E+01
    0.2000	   1.361405E+00	  -3.071210E+05	  -3.836622E+02	   7.445352E+06	  -4.678981E+03	  -1.394666E+06	  -1.487715E+03	  -9.833256E+04	  -3.840500E+02	   8.304942E+06	  -4.681627E+03	  -3.618497E+05	  -1.486975E+03
    0.3000	   1.249238E+00	  -3.700437E+05	  -3.902578E+02	   7.304080E+06	  -5.044506E+03	  -1.695338E+06	  -1.530556E+03	  -1.373033E+05	  -3.907878E+02	   8.195994E+06	  -5.047674E+03	  -5.384397E+05	  -1.528261E+03
    0.4000	   9.454508E-01	  -4.284213E+05	  -5.550803E+02	   7.165475E+06	  -7.514241E+03	  -1.990978E+06	  -1.871650E+03	  -1.771680E+05	  -5.557480E+02	   8.085796E+06	  -7.517932E+03	  -7.385488E+05	  -1.867734E+03
    0.5000	   7.797776E-01	  -4.815791E+05	  -3.680732E+02	   7.024471E+06	  -5.215884E+03	  -2.268666E+06	  -1.367753E+03	  -2.177245E+05	  -3.688733E+02	   7.968498E+06	  -5.220085E+03	  -9.518820E+05	  -1.362161E+03
    0.6000	   7.270280E-01	  -5.288699E+05	  -2.767848E+00	   6.869367E+06	  -1.969111E+02	  -2.522453E+06	  -3.866254E+01	  -2.586069E+05	  -3.694234E+00	   7.831610E+06	  -2.016012E+02	  -1.174096E+06	  -3.134938E+01
    0.7000	   5.940682E-01	  -5.697565E+05	   4.026302E+00	   6.713318E+06	  -1.281401E+02	  -2.743339E+06	  -6.340885E+01	  -2.993528E+05	   2.980749E+00	   7.687516E+06	  -1.332857E+02	  -1.396690E+06	  -5.434204E+01
    0.8000	   3.816788E-01	  -6.040076E+05	   9.688533E+00	   6.555992E+06	  -1.187124E+02	  -2.922428E+06	  -8.682726E+01	  -3.395940E+05	   8.531736E+00	   7.535161E+06	  -1.242721E+02	  -1.610120E+06	  -7.598568E+01
    0.9000	   2.278062E-01	  -6.315081E+05	   2.495002E+00	   6.386702E+06	  -1.232941E+02	  -3.059841E+06	  -6.274723E+01	  -3.788691E+05	   1.235757E+00	   7.363204E+06	  -1.292202E+02	  -1.812720E+06	  -5.012127E+01
    1.0000	   1.388392E-01	  -6.521649E+05	  -4.563391E-01	   6.208587E+06	  -6.014892E+01	  -3.150102E+06	  -5.902609E+01	  -4.165392E+05	  -1.808379E+00	   7.174231E+06	  -6.638921E+01	  -1.996132E+06	  -4.461691E+01
    1.1000	   8.224894E-03	  -6.659636E+05	  -9.093688E-01	   6.031498E+06	  -4.962150E+01	  -3.190531E+06	  -7.292699E+01	  -4.518626E+05	  -2.343735E+00	   6.977654E+06	  -5.612154E+01	  -2.153800E+06	  -5.674543E+01
