
Predictions were generated on 20-Dec-2018 at 14:15:29 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
(s)	(m)	(m)	(m)	(-)	(-)	(-)
       0.000000	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00
       0.002000	  9.06015199E+00	  0.00000000E+00	 -8.52175731E+00	  0.00000000E+00	  1.61601351E+00	  0.00000000E+00
       0.004000	  9.06014789E+00	  0.00000000E+00	 -8.52177336E+00	  0.00000000E+00	  1.61602528E+00	  0.00000000E+00
       0.006000	  9.06014770E+00	  0.00000000E+00	 -8.52177367E+00	  0.00000000E+00	  1.61602535E+00	  0.00000000E+00
       0.008000	  9.06014769E+00	  0.00000000E+00	 -8.52177367E+00	  0.00000000E+00	  1.61602534E+00	  0.00000000E+00
       0.010000	  9.06014769E+00	  0.00000000E+00	 -8.52177367E+00	  0.00000000E+00	  1.61602534E+00	  0.00000000E+00
       0.012000	  9.06014769E+00	  0.00000000E+00	 -8.52177367E+00	  0.00000000E+00	  1.61602534E+00	  0.00000000E+00
       0.014000	  9.06014769E+00	  0.00000000E+00	 -8.52177367E+00	  0.00000000E+00	  1.61602534E+00	  0.00000000E+00
       0.016000	  9.06014769E+00	  0.00000000E+00	 -8.52177367E+00	  0.00000000E+00	  1.61602534E+00	  0.00000000E+00
       0.018000	  9.06014769E+00	  0.00000000E+00	 -8.52177367E+00	  0.00000000E+00	  1.61602534E+00	  0.00000000E+00
