  0.000000000000E+00 -1.294095225513E+00 -4.829629131445E+00  0.000000000000E+00  0.000000000000E+00  3.316125600000E-02 -1.832595714594E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  6.331176928206E-03  2.399778451118E-02  2.403347800000E-02  3.466276700000E-06 -6.628964600000E-03 -1.166935800000E-07
  1.250000000000E-02 -1.294094764223E+00 -4.829627288023E+00  1.874297600000E-06  1.226016700000E-09  3.316073900000E-02 -1.832595714635E+00  7.162112017439E-05  2.957814899358E-04  2.994401400000E-04  2.882012200000E-07 -8.258713200000E-05 -9.578910100000E-09  5.813949436281E-03  2.317066026137E-02  2.388594900000E-02  1.376143300000E-05 -6.619827400000E-03 -1.052925500000E-06
  2.500000000000E-02 -1.294093412306E+00 -4.829621749193E+00  7.474096900000E-06  6.075032000000E-09  3.315918900000E-02 -1.832595714870E+00  1.392892801375E-04  5.707637548525E-04  5.956476100000E-04  4.865222500000E-07 -1.650151200000E-04 -3.042855900000E-08  4.997143992549E-03  2.184388841188E-02  2.369357600000E-02  2.969104200000E-05 -6.588034800000E-03 -2.907515900000E-06
  3.750000000000E-02 -1.294091284513E+00 -4.829612898321E+00  1.676518500000E-05  1.464376500000E-08  3.315661500000E-02 -1.832595715532E+00  1.980605662021E-04  8.335242639450E-04  8.904906000000E-04  8.738307400000E-07 -2.471076100000E-04 -7.940763400000E-08  4.037531878176E-03  2.001627281155E-02  2.344590100000E-02  4.560029300000E-05 -6.535530100000E-03 -5.278280200000E-06
  5.000000000000E-02 -1.294088601412E+00 -4.829601297469E+00  2.972124600000E-05  2.928348600000E-08  3.315301600000E-02 -1.832595716998E+00  2.455719826509E-04  1.070880978429E-03  1.181956700000E-03  1.403896200000E-06 -3.284578300000E-04 -1.582735400000E-07  3.127143439354E-03  1.777285403692E-02  2.315413400000E-02  5.538282900000E-05 -6.467239000000E-03 -7.677488600000E-06
  6.250000000000E-02 -1.294085240291E+00 -4.829586358353E+00  4.629667100000E-05  5.098270300000E-08  3.314840800000E-02 -1.832595719625E+00  2.828077082562E-04  1.278780984402E-03  1.469460100000E-03  2.002426300000E-06 -4.089099200000E-04 -2.653072800000E-07  2.456453333724E-03  1.521729173584E-02  2.282407900000E-02  5.318844700000E-05 -6.388898000000E-03 -9.599781200000E-06
  7.500000000000E-02 -1.294081488595E+00 -4.829569142756E+00  6.643895200000E-05  7.961516200000E-08  3.314279800000E-02 -1.832595723719E+00  3.137039171005E-04  1.453680617616E-03  1.752755100000E-03  2.490703800000E-06 -4.883598900000E-04 -3.915042700000E-07  2.181154748891E-03  1.247820306967E-02  2.246323000000E-02  3.467899300000E-05 -6.306820100000E-03 -1.064487900000E-05
  8.750000000000E-02 -1.294077360331E+00 -4.829549957508E+00  9.009389800000E-05  1.124505400000E-07  3.313620400000E-02 -1.832595729445E+00  3.431031100760E-04  1.594241026347E-03  2.031363100000E-03  2.681697700000E-06 -5.667941900000E-04 -5.251439500000E-07  2.391737263277E-03  9.701111296902E-03  2.207936300000E-02 -1.940217300000E-06 -6.227301400000E-03 -1.056186200000E-05
  1.000000000000E-01 -1.294072912727E+00 -4.829529511968E+00  1.172008900000E-04  1.444472700000E-07  3.312863400000E-02 -1.832595736805E+00  3.772352980189E-04  1.700699655893E-03  2.305070200000E-03  2.350872400000E-06 -6.442712600000E-04 -6.513284900000E-07  3.102486303782E-03  7.036075516815E-03  2.168004600000E-02 -5.564353000000E-05 -6.156049200000E-03 -9.293330500000E-06
  1.125000000000E-01 -1.294067873838E+00 -4.829507568420E+00  1.476977900000E-04  1.678162100000E-07  3.312009900000E-02 -1.832595745617E+00  4.218293017074E-04  1.775215856401E-03  2.573700900000E-03  1.312250100000E-06 -7.209162600000E-04 -7.561019400000E-07  4.243458702784E-03  4.622323111254E-03  2.127228900000E-02 -1.224450000000E-04 -6.097539800000E-03 -6.989595900000E-06
  1.250000000000E-01 -1.294062336308E+00 -4.829485447900E+00  1.815205600000E-04  1.728640600000E-07  3.311061500000E-02 -1.832595755541E+00  4.816379900917E-04  1.821473416938E-03  2.837181300000E-03 -5.708456600000E-07 -7.969014700000E-04 -8.281045900000E-07  5.676400010894E-03  2.588468598222E-03  2.086189900000E-02 -1.959796800000E-04 -6.055151600000E-03 -3.990850900000E-06
  1.375000000000E-01 -1.294055818002E+00 -4.829462451374E+00  2.186047500000E-04  1.486842800000E-07  3.310018000000E-02 -1.832595766124E+00  5.594574068728E-04  1.844763872836E-03  3.095492300000E-03 -3.347710800000E-06 -8.724391800000E-04 -8.611886500000E-07  7.210897639593E-03  1.024340618772E-03  2.045164600000E-02 -2.683699100000E-04 -6.030314100000E-03 -7.739398600000E-07
  1.500000000000E-01 -1.294048225078E+00 -4.829439328681E+00  2.588857000000E-04  8.438895800000E-08  3.308880300000E-02 -1.832595776877E+00  6.556411913929E-04  1.851001727309E-03  3.348628100000E-03 -6.972743000000E-06 -9.477406300000E-04 -8.554617400000E-07  8.630362689718E-03 -4.261003186888E-05  2.004200600000E-02 -3.314057200000E-04 -6.021920600000E-03  2.123941200000E-06
  1.625000000000E-01 -1.294039286495E+00 -4.829416048917E+00  3.022987500000E-04 -2.973247800000E-08  3.307648700000E-02 -1.832595787351E+00  7.678841587787E-04  1.846189952418E-03  3.596602000000E-03 -1.130210400000E-05 -1.022995700000E-03 -8.177155500000E-07  9.731772187109E-03 -6.256572380351E-04  1.963333400000E-02 -3.777831700000E-04 -6.027463400000E-03  4.190964300000E-06
