
These predictions were generated by HydroDyn on 19-Mar-2021 at 09:17:54.




    Time                       HydroFxi                       HydroFyi                       HydroFzi                       HydroMxi                       HydroMyi                       HydroMzi                       PRPPitch
   (sec)                            (N)                            (N)                            (N)                          (N-m)                          (N-m)                          (N-m)                          (rad)
    0.0000                      0.0000000E+00                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3805803E+06                      0.0000000E+00                      3.3161256E-02
    0.0125                      4.5102810E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3804342E+06                      0.0000000E+00                      3.3160739E-02
    0.0250                      1.3877788E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3799963E+06                      0.0000000E+00                      3.3159189E-02
    0.0375                      2.4286129E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3792690E+06                      0.0000000E+00                      3.3156615E-02
    0.0500                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3782520E+06                      0.0000000E+00                      3.3153016E-02
    0.0625                     -3.4694470E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3769499E+06                      0.0000000E+00                      3.3148408E-02
    0.0750                      6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3753648E+06                      0.0000000E+00                      3.3142798E-02
    0.0875                     -1.7347235E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3735015E+06                      0.0000000E+00                      3.3136204E-02
    0.1000                      6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3713625E+06                      0.0000000E+00                      3.3128634E-02
    0.1125                      1.3877788E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3689508E+06                      0.0000000E+00                      3.3120099E-02
    0.1250                      6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3662710E+06                      0.0000000E+00                      3.3110615E-02
    0.1375                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3633224E+06                      0.0000000E+00                      3.3100180E-02
    0.1500                      1.3877788E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3601077E+06                      0.0000000E+00                      3.3088803E-02
    0.1625                      2.4286129E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3566276E+06                      0.0000000E+00                      3.3076487E-02
    0.1750                      6.9388939E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3528813E+06                      0.0000000E+00                      3.3063229E-02
    0.1875                      2.7755576E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3488678E+06                      0.0000000E+00                      3.3049025E-02
    0.2000                      1.0408341E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3445877E+06                      0.0000000E+00                      3.3033878E-02
    0.2125                      1.0408341E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3400392E+06                      0.0000000E+00                      3.3017781E-02
    0.2250                      3.1225023E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3352223E+06                      0.0000000E+00                      3.3000734E-02
    0.2375                      1.7347235E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3301358E+06                      0.0000000E+00                      3.2982733E-02
    0.2500                      1.3877788E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3247831E+06                      0.0000000E+00                      3.2963790E-02
    0.2625                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3191639E+06                      0.0000000E+00                      3.2943904E-02
    0.2750                      2.0816682E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3132816E+06                      0.0000000E+00                      3.2923087E-02
    0.2875                      2.4286129E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3071394E+06                      0.0000000E+00                      3.2901350E-02
    0.3000                      1.7347235E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.3007426E+06                      0.0000000E+00                      3.2878712E-02
    0.3125                      3.1225023E-10                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2940951E+06                      0.0000000E+00                      3.2855187E-02
    0.3250                     -3.4694470E-11                      0.0000000E+00                      1.9024643E+07                      0.0000000E+00                      9.2872042E+06                      0.0000000E+00                      3.2830801E-02
