
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:36:25.

 
 
 
      Time        FAIRTEN2       LINE1NBPZ
       (s)             (N)             (m)
   23.2000   1.1696428E+06  -1.6414183E+02
   23.3000   1.0412558E+06  -1.6439147E+02
   23.4000   9.3642603E+05  -1.6463463E+02
   23.5000   8.9680529E+05  -1.6487371E+02
   23.6000   9.0935227E+05  -1.6510759E+02
   23.7000   9.3717416E+05  -1.6533304E+02
   23.8000   9.4574813E+05  -1.6554693E+02
   23.9000   9.3316037E+05  -1.6574863E+02
   24.0000   9.2940093E+05  -1.6594009E+02
   24.1000   9.5918991E+05  -1.6612326E+02
   24.2000   1.0199547E+06  -1.6629807E+02
   24.3000   1.0857092E+06  -1.6646267E+02
   24.4000   1.1245785E+06  -1.6661527E+02
   24.5000   1.1226914E+06  -1.6675630E+02
   24.6000   1.0931074E+06  -1.6688901E+02
   24.7000   1.0613272E+06  -1.6701811E+02
   24.8000   1.0456945E+06  -1.6714771E+02
   24.9000   1.0471319E+06  -1.6728012E+02
   25.0000   1.0524856E+06  -1.6741595E+02
   25.1000   1.0486986E+06  -1.6755525E+02
   25.2000   1.0349003E+06  -1.6769844E+02
   25.3000   1.0222594E+06  -1.6784639E+02
   25.4000   1.0240321E+06  -1.6799970E+02
   25.5000   1.0445253E+06  -1.6815792E+02
   25.6000   1.0754741E+06  -1.6831938E+02
   25.7000   1.1025094E+06  -1.6848173E+02
   25.8000   1.1157718E+06  -1.6864292E+02
   25.9000   1.1158604E+06  -1.6880172E+02
   26.0000   1.1113042E+06  -1.6895761E+02
   26.1000   1.1104604E+06  -1.6911014E+02
   26.2000   1.1147774E+06  -1.6925844E+02
   26.3000   1.1186853E+06  -1.6940116E+02
   26.4000   1.1154003E+06  -1.6953697E+02
   26.5000   1.1033746E+06  -1.6966516E+02
   26.6000   1.0881641E+06  -1.6978581E+02
   26.7000   1.0784982E+06  -1.6989950E+02
   26.8000   1.0800419E+06  -1.7000670E+02
   26.9000   1.0918941E+06  -1.7010745E+02
   27.0000   1.1081667E+06  -1.7020148E+02
   27.1000   1.1228679E+06  -1.7028871E+02
   27.2000   1.1340511E+06  -1.7036966E+02
   27.3000   1.1441186E+06  -1.7044551E+02
   27.4000   1.1565022E+06  -1.7051776E+02
   27.5000   1.1718449E+06  -1.7058783E+02
   27.6000   1.1868290E+06  -1.7065684E+02
   27.7000   1.1963896E+06  -1.7072572E+02
   27.8000   1.1973986E+06  -1.7079536E+02
   27.9000   1.1908937E+06  -1.7086671E+02
   28.0000   1.1812168E+06  -1.7094058E+02
   28.1000   1.1729464E+06  -1.7101742E+02
   28.2000   1.1681150E+06  -1.7109704E+02
   28.3000   1.1657220E+06  -1.7117866E+02
   28.4000   1.1636155E+06  -1.7126116E+02
   28.5000   1.1609823E+06  -1.7134338E+02
   28.6000   1.1593792E+06  -1.7142435E+02
   28.7000   1.1615597E+06  -1.7150324E+02
   28.8000   1.1691618E+06  -1.7157928E+02
   28.9000   1.1811834E+06  -1.7165163E+02
   29.0000   1.1944416E+06  -1.7171948E+02
   29.1000   1.2055868E+06  -1.7178227E+02
   29.2000   1.2130952E+06  -1.7183981E+02
   29.3000   1.2177848E+06  -1.7189240E+02
   29.4000   1.2216250E+06  -1.7194062E+02
   29.5000   1.2259265E+06  -1.7198515E+02
   29.6000   1.2303795E+06  -1.7202659E+02
   29.7000   1.2335864E+06  -1.7206546E+02
   29.8000   1.2345047E+06  -1.7210228E+02
   29.9000   1.2335641E+06  -1.7213764E+02
   30.0000   1.2325573E+06  -1.7217213E+02
   30.1000   1.2334341E+06  -1.7220628E+02
   30.2000   1.2369822E+06  -1.7224043E+02
   30.3000   1.2424102E+06  -1.7227470E+02
   30.4000   1.2480798E+06  -1.7230903E+02
   30.5000   1.2527488E+06  -1.7234336E+02
   30.6000   1.2563359E+06  -1.7237766E+02
   30.7000   1.2596815E+06  -1.7241191E+02
   30.8000   1.2635816E+06  -1.7244606E+02
   30.9000   1.2679223E+06  -1.7247990E+02
   31.0000   1.2716185E+06  -1.7251306E+02
   31.1000   1.2733821E+06  -1.7254510E+02
   31.2000   1.2726881E+06  -1.7257556E+02
   31.3000   1.2701935E+06  -1.7260408E+02
   31.4000   1.2673276E+06  -1.7263037E+02
   31.5000   1.2654023E+06  -1.7265418E+02
   31.6000   1.2649415E+06  -1.7267526E+02
   31.7000   1.2656938E+06  -1.7269342E+02
   31.8000   1.2672140E+06  -1.7270862E+02
   31.9000   1.2694835E+06  -1.7272099E+02
   32.0000   1.2730500E+06  -1.7273093E+02
   32.1000   1.2785789E+06  -1.7273900E+02
   32.2000   1.2861957E+06  -1.7274587E+02
   32.3000   1.2951582E+06  -1.7275224E+02
   32.4000   1.3041158E+06  -1.7275877E+02
   32.5000   1.3117554E+06  -1.7276610E+02
   32.6000   1.3173647E+06  -1.7277477E+02
   32.7000   1.3209329E+06  -1.7278521E+02
   32.8000   1.3227963E+06  -1.7279760E+02
   32.9000   1.3231666E+06  -1.7281183E+02
   33.0000   1.3219277E+06  -1.7282751E+02
   33.1000   1.3188502E+06  -1.7284401E+02
   33.2000   1.3140194E+06  -1.7286059E+02
   33.3000   1.3081022E+06  -1.7287649E+02
   33.4000   1.3022148E+06  -1.7289103E+02
   33.5000   1.2974774E+06  -1.7290362E+02
   33.6000   1.2945764E+06  -1.7291381E+02
   33.7000   1.2936273E+06  -1.7292130E+02
   33.8000   1.2943878E+06  -1.7292598E+02
   33.9000   1.2966067E+06  -1.7292794E+02
   34.0000   1.3002187E+06  -1.7292749E+02
   34.1000   1.3052439E+06  -1.7292511E+02
   34.2000   1.3115096E+06  -1.7292138E+02
   34.3000   1.3184487E+06  -1.7291690E+02
   34.4000   1.3251639E+06  -1.7291221E+02
   34.5000   1.3307295E+06  -1.7290776E+02
   34.6000   1.3345242E+06  -1.7290390E+02
   34.7000   1.3363732E+06  -1.7290085E+02
   34.8000   1.3364334E+06  -1.7289867E+02
   34.9000   1.3349500E+06  -1.7289732E+02
   35.0000   1.3320859E+06  -1.7289660E+02
   35.1000   1.3279468E+06  -1.7289628E+02
   35.2000   1.3227564E+06  -1.7289609E+02
   35.3000   1.3170048E+06  -1.7289581E+02
   35.4000   1.3114177E+06  -1.7289530E+02
   35.5000   1.3067434E+06  -1.7289449E+02
   35.6000   1.3034945E+06  -1.7289334E+02
   35.7000   1.3018131E+06  -1.7289184E+02
   35.8000   1.3015276E+06  -1.7288998E+02
   35.9000   1.3023361E+06  -1.7288778E+02
   36.0000   1.3039679E+06  -1.7288520E+02
   36.1000   1.3062170E+06  -1.7288224E+02
   36.2000   1.3088583E+06  -1.7287881E+02
   36.3000   1.3115521E+06  -1.7287484E+02
   36.4000   1.3138485E+06  -1.7287017E+02
   36.5000   1.3153128E+06  -1.7286469E+02
   36.6000   1.3156907E+06  -1.7285830E+02
   36.7000   1.3150003E+06  -1.7285096E+02
   36.8000   1.3134834E+06  -1.7284275E+02
   36.9000   1.3114602E+06  -1.7283381E+02
   37.0000   1.3091922E+06  -1.7282438E+02
   37.1000   1.3068378E+06  -1.7281477E+02
   37.2000   1.3045054E+06  -1.7280534E+02
   37.3000   1.3023359E+06  -1.7279650E+02
   37.4000   1.3005290E+06  -1.7278865E+02
   37.5000   1.2992809E+06  -1.7278217E+02
   37.6000   1.2986808E+06  -1.7277733E+02
   37.7000   1.2986463E+06  -1.7277429E+02
   37.8000   1.2989443E+06  -1.7277307E+02
   37.9000   1.2992873E+06  -1.7277355E+02
   38.0000   1.2994418E+06  -1.7277545E+02
   38.1000   1.2992830E+06  -1.7277841E+02
   38.2000   1.2987809E+06  -1.7278197E+02
   38.3000   1.2979510E+06  -1.7278567E+02
   38.4000   1.2968224E+06  -1.7278905E+02
   38.5000   1.2954548E+06  -1.7279172E+02
   38.6000   1.2939829E+06  -1.7279339E+02
   38.7000   1.2926395E+06  -1.7279394E+02
   38.8000   1.2917172E+06  -1.7279339E+02
   38.9000   1.2914828E+06  -1.7279190E+02
   39.0000   1.2920917E+06  -1.7278975E+02
   39.1000   1.2935446E+06  -1.7278731E+02
   39.2000   1.2957086E+06  -1.7278502E+02
   39.3000   1.2983772E+06  -1.7278330E+02
   39.4000   1.3013249E+06  -1.7278255E+02
   39.5000   1.3043234E+06  -1.7278310E+02
   39.6000   1.3071275E+06  -1.7278517E+02
   39.7000   1.3094642E+06  -1.7278882E+02
   39.8000   1.3110590E+06  -1.7279398E+02
   39.9000   1.3116993E+06  -1.7280044E+02
   40.0000   1.3113026E+06  -1.7280788E+02
   40.1000   1.3099478E+06  -1.7281590E+02
   40.2000   1.3078533E+06  -1.7282410E+02
   40.3000   1.3053194E+06  -1.7283207E+02
   40.4000   1.3026686E+06  -1.7283944E+02
   40.5000   1.3002113E+06  -1.7284596E+02
   40.6000   1.2982363E+06  -1.7285142E+02
   40.7000   1.2970084E+06  -1.7285577E+02
   40.8000   1.2967474E+06  -1.7285902E+02
   40.9000   1.2975861E+06  -1.7286131E+02
   41.0000   1.2995257E+06  -1.7286281E+02
   41.1000   1.3024151E+06  -1.7286373E+02
   41.2000   1.3059700E+06  -1.7286429E+02
   41.3000   1.3098280E+06  -1.7286470E+02
   41.4000   1.3136104E+06  -1.7286510E+02
   41.5000   1.3169686E+06  -1.7286561E+02
   41.6000   1.3196090E+06  -1.7286628E+02
   41.7000   1.3213037E+06  -1.7286709E+02
   41.8000   1.3219054E+06  -1.7286798E+02
   41.9000   1.3213690E+06  -1.7286886E+02
   42.0000   1.3197730E+06  -1.7286962E+02
   42.1000   1.3173207E+06  -1.7287018E+02
   42.2000   1.3143139E+06  -1.7287048E+02
   42.3000   1.3111019E+06  -1.7287048E+02
   42.4000   1.3080278E+06  -1.7287019E+02
   42.5000   1.3053880E+06  -1.7286964E+02
   42.6000   1.3034128E+06  -1.7286888E+02
   42.7000   1.3022585E+06  -1.7286797E+02
   42.8000   1.3020013E+06  -1.7286695E+02
   42.9000   1.3026283E+06  -1.7286584E+02
   43.0000   1.3040268E+06  -1.7286464E+02
   43.1000   1.3059875E+06  -1.7286332E+02
   43.2000   1.3082290E+06  -1.7286180E+02
   43.3000   1.3104433E+06  -1.7286001E+02
   43.4000   1.3123451E+06  -1.7285789E+02
   43.5000   1.3137104E+06  -1.7285536E+02
   43.6000   1.3143952E+06  -1.7285241E+02
   43.7000   1.3143365E+06  -1.7284904E+02
   43.8000   1.3135478E+06  -1.7284532E+02
   43.9000   1.3121145E+06  -1.7284134E+02
   44.0000   1.3101883E+06  -1.7283724E+02
   44.1000   1.3079758E+06  -1.7283317E+02
   44.2000   1.3057154E+06  -1.7282928E+02
   44.3000   1.3036434E+06  -1.7282573E+02
   44.4000   1.3019576E+06  -1.7282263E+02
   44.5000   1.3007899E+06  -1.7282006E+02
   44.6000   1.3001923E+06  -1.7281803E+02
   44.7000   1.3001402E+06  -1.7281653E+02
   44.8000   1.3005453E+06  -1.7281550E+02
   44.9000   1.3012731E+06  -1.7281483E+02
   45.0000   1.3021602E+06  -1.7281441E+02
   45.1000   1.3030346E+06  -1.7281411E+02
   45.2000   1.3037382E+06  -1.7281384E+02
   45.3000   1.3041508E+06  -1.7281349E+02
   45.4000   1.3042091E+06  -1.7281302E+02
   45.5000   1.3039166E+06  -1.7281241E+02
   45.6000   1.3033372E+06  -1.7281165E+02
   45.7000   1.3025774E+06  -1.7281081E+02
   45.8000   1.3017632E+06  -1.7280992E+02
   45.9000   1.3010199E+06  -1.7280907E+02
   46.0000   1.3004576E+06  -1.7280833E+02
   46.1000   1.3001614E+06  -1.7280776E+02
   46.2000   1.3001839E+06  -1.7280742E+02
   46.3000   1.3005376E+06  -1.7280735E+02
   46.4000   1.3011889E+06  -1.7280758E+02
   46.5000   1.3020578E+06  -1.7280810E+02
   46.6000   1.3030276E+06  -1.7280891E+02
   46.7000   1.3039627E+06  -1.7280997E+02
   46.8000   1.3047309E+06  -1.7281124E+02
   46.9000   1.3052238E+06  -1.7281268E+02
   47.0000   1.3053712E+06  -1.7281426E+02
   47.1000   1.3051494E+06  -1.7281592E+02
   47.2000   1.3045858E+06  -1.7281764E+02
   47.3000   1.3037585E+06  -1.7281940E+02
   47.4000   1.3027909E+06  -1.7282120E+02
   47.5000   1.3018402E+06  -1.7282304E+02
   47.6000   1.3010778E+06  -1.7282494E+02
   47.7000   1.3006633E+06  -1.7282693E+02
   47.8000   1.3007189E+06  -1.7282901E+02
   47.9000   1.3013098E+06  -1.7283120E+02
   48.0000   1.3024350E+06  -1.7283352E+02
   48.1000   1.3040274E+06  -1.7283596E+02
   48.2000   1.3059620E+06  -1.7283851E+02
   48.3000   1.3080679E+06  -1.7284116E+02
   48.4000   1.3101451E+06  -1.7284387E+02
   48.5000   1.3119863E+06  -1.7284663E+02
   48.6000   1.3134012E+06  -1.7284939E+02
   48.7000   1.3142414E+06  -1.7285211E+02
   48.8000   1.3144206E+06  -1.7285475E+02
   48.9000   1.3139257E+06  -1.7285723E+02
   49.0000   1.3128185E+06  -1.7285950E+02
   49.1000   1.3112281E+06  -1.7286149E+02
   49.2000   1.3093356E+06  -1.7286311E+02
   49.3000   1.3073550E+06  -1.7286429E+02
   49.4000   1.3055111E+06  -1.7286498E+02
   49.5000   1.3040158E+06  -1.7286514E+02
   49.6000   1.3030452E+06  -1.7286476E+02
   49.7000   1.3027192E+06  -1.7286385E+02
   49.8000   1.3030868E+06  -1.7286249E+02
   49.9000   1.3041202E+06  -1.7286075E+02
   50.0000   1.3057169E+06  -1.7285876E+02
   50.1000   1.3077101E+06  -1.7285665E+02
   50.2000   1.3098862E+06  -1.7285454E+02
   50.3000   1.3120077E+06  -1.7285256E+02
   50.4000   1.3138383E+06  -1.7285081E+02
   50.5000   1.3151677E+06  -1.7284933E+02
   50.6000   1.3158353E+06  -1.7284816E+02
   50.7000   1.3157473E+06  -1.7284724E+02
   50.8000   1.3148873E+06  -1.7284653E+02
   50.9000   1.3133186E+06  -1.7284591E+02
   51.0000   1.3111769E+06  -1.7284526E+02
   51.1000   1.3086565E+06  -1.7284448E+02
   51.2000   1.3059890E+06  -1.7284344E+02
   51.3000   1.3034183E+06  -1.7284206E+02
   51.4000   1.3011741E+06  -1.7284030E+02
   51.5000   1.2994482E+06  -1.7283816E+02
   51.6000   1.2983755E+06  -1.7283567E+02
   51.7000   1.2980218E+06  -1.7283291E+02
   51.8000   1.2983783E+06  -1.7283000E+02
   51.9000   1.2993656E+06  -1.7282705E+02
   52.0000   1.3008431E+06  -1.7282422E+02
   52.1000   1.3026267E+06  -1.7282161E+02
   52.2000   1.3045092E+06  -1.7281934E+02
   52.3000   1.3062835E+06  -1.7281746E+02
   52.4000   1.3077635E+06  -1.7281601E+02
   52.5000   1.3088014E+06  -1.7281498E+02
   52.6000   1.3093017E+06  -1.7281432E+02
   52.7000   1.3092284E+06  -1.7281397E+02
   52.8000   1.3086067E+06  -1.7281386E+02
   52.9000   1.3075175E+06  -1.7281391E+02
   53.0000   1.3060872E+06  -1.7281406E+02
   53.1000   1.3044726E+06  -1.7281429E+02
   53.2000   1.3028423E+06  -1.7281457E+02
   53.3000   1.3013573E+06  -1.7281494E+02
   53.4000   1.3001527E+06  -1.7281543E+02
   53.5000   1.2993249E+06  -1.7281608E+02
   53.6000   1.2989241E+06  -1.7281693E+02
   53.7000   1.2989523E+06  -1.7281799E+02
   53.8000   1.2993683E+06  -1.7281926E+02
   53.9000   1.3000956E+06  -1.7282069E+02
   54.0000   1.3010349E+06  -1.7282220E+02
   54.1000   1.3020772E+06  -1.7282372E+02
   54.2000   1.3031185E+06  -1.7282513E+02
   54.3000   1.3040726E+06  -1.7282633E+02
   54.4000   1.3048794E+06  -1.7282724E+02
   54.5000   1.3055093E+06  -1.7282780E+02
