
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 24-Apr-2025 at 17:56:06.

 
 
 
      Time        FAIRTEN1       LINE1NBFX         ROD1SUB      LINE1N15PX
       (s)             (N)             (N)          (frac)             (m)
    0.0730   3.4467128E+06   2.5248310E+05   5.8894505E-01   4.7601941E-02
    0.0740   3.4470253E+06   2.5282467E+05   5.8903910E-01   4.8852298E-02
    0.0750   3.4473434E+06   2.5316922E+05   5.8913315E-01   5.0117289E-02
    0.0760   3.4476672E+06   2.5351678E+05   5.8922720E-01   5.1396861E-02
    0.0770   3.4479967E+06   2.5386736E+05   5.8932124E-01   5.2690959E-02
    0.0780   3.4483320E+06   2.5422089E+05   5.8941529E-01   5.3999529E-02
    0.0790   3.4486730E+06   2.5457737E+05   5.8950934E-01   5.5322517E-02
    0.0800   3.4490199E+06   2.5493685E+05   5.8960339E-01   5.6659869E-02
    0.0810   3.4493726E+06   2.5529927E+05   5.8969744E-01   5.8011533E-02
    0.0820   3.4497311E+06   2.5566457E+05   5.8979149E-01   5.9377454E-02
    0.0830   3.4500955E+06   2.5603282E+05   5.8988554E-01   6.0757582E-02
    0.0840   3.4504658E+06   2.5640393E+05   5.8997959E-01   6.2151862E-02
    0.0850   3.4508419E+06   2.5677797E+05   5.9007364E-01   6.3560243E-02
    0.0860   3.4512240E+06   2.5715484E+05   5.9016768E-01   6.4982674E-02
    0.0870   3.4516119E+06   2.5753457E+05   5.9026173E-01   6.6419102E-02
    0.0880   3.4520059E+06   2.5791719E+05   5.9035578E-01   6.7869477E-02
    0.0890   3.4524057E+06   2.5830261E+05   5.9044983E-01   6.9333748E-02
    0.0900   3.4528116E+06   2.5869085E+05   5.9054388E-01   7.0811863E-02
    0.0910   3.4532234E+06   2.5908194E+05   5.9063793E-01   7.2303772E-02
    0.0920   3.4536411E+06   2.5947578E+05   5.9073197E-01   7.3809426E-02
    0.0930   3.4540649E+06   2.5987246E+05   5.9082603E-01   7.5328775E-02
    0.0940   3.4544947E+06   2.6027187E+05   5.9092007E-01   7.6861768E-02
    0.0950   3.4549305E+06   2.6067408E+05   5.9101412E-01   7.8408357E-02
    0.0960   3.4553724E+06   2.6107904E+05   5.9110817E-01   7.9968492E-02
    0.0970   3.4558202E+06   2.6148669E+05   5.9120223E-01   8.1542125E-02
    0.0980   3.4562741E+06   2.6189708E+05   5.9129627E-01   8.3129207E-02
    0.0990   3.4567340E+06   2.6231022E+05   5.9139032E-01   8.4729690E-02
    0.1000   3.4572000E+06   2.6272602E+05   5.9148437E-01   8.6343527E-02
    0.1010   3.4576747E+06   2.6313571E+05   5.9156839E-01   8.7970668E-02
    0.1020   3.4581554E+06   2.6354812E+05   5.9165242E-01   8.9611067E-02
    0.1030   3.4586422E+06   2.6396315E+05   5.9173645E-01   9.1264676E-02
    0.1040   3.4591351E+06   2.6438084E+05   5.9182047E-01   9.2931449E-02
    0.1050   3.4596339E+06   2.6480120E+05   5.9190450E-01   9.4611339E-02
    0.1060   3.4601388E+06   2.6522416E+05   5.9198852E-01   9.6304299E-02
    0.1070   3.4606498E+06   2.6564977E+05   5.9207255E-01   9.8010283E-02
    0.1080   3.4611667E+06   2.6607791E+05   5.9215657E-01   9.9729245E-02
    0.1090   3.4616897E+06   2.6650872E+05   5.9224060E-01   1.0146114E-01
    0.1100   3.4622187E+06   2.6694207E+05   5.9232463E-01   1.0320592E-01
    0.1110   3.4627538E+06   2.6737800E+05   5.9240865E-01   1.0496354E-01
    0.1120   3.4632949E+06   2.6781653E+05   5.9249268E-01   1.0673396E-01
    0.1130   3.4638419E+06   2.6825757E+05   5.9257670E-01   1.0851713E-01
    0.1140   3.4643950E+06   2.6870115E+05   5.9266073E-01   1.1031301E-01
    0.1150   3.4649541E+06   2.6914729E+05   5.9274476E-01   1.1212155E-01
    0.1160   3.4655192E+06   2.6959592E+05   5.9282878E-01   1.1394271E-01
    0.1170   3.4660902E+06   2.7004704E+05   5.9291281E-01   1.1577645E-01
    0.1180   3.4666673E+06   2.7050071E+05   5.9299682E-01   1.1762271E-01
    0.1190   3.4672503E+06   2.7095682E+05   5.9308085E-01   1.1948147E-01
    0.1200   3.4678392E+06   2.7141544E+05   5.9316488E-01   1.2135267E-01
    0.1210   3.4684341E+06   2.7187645E+05   5.9324890E-01   1.2323627E-01
    0.1220   3.4690350E+06   2.7233995E+05   5.9333293E-01   1.2513222E-01
    0.1230   3.4696417E+06   2.7280592E+05   5.9341695E-01   1.2704050E-01
    0.1240   3.4702544E+06   2.7327430E+05   5.9350098E-01   1.2896105E-01
    0.1250   3.4708730E+06   2.7374509E+05   5.9358501E-01   1.3089383E-01
    0.1260   3.4714974E+06   2.7421833E+05   5.9366903E-01   1.3283880E-01
    0.1270   3.4721277E+06   2.7469393E+05   5.9375306E-01   1.3479592E-01
    0.1280   3.4727639E+06   2.7517200E+05   5.9383709E-01   1.3676515E-01
    0.1290   3.4734060E+06   2.7565233E+05   5.9392111E-01   1.3874645E-01
    0.1300   3.4740538E+06   2.7613507E+05   5.9400514E-01   1.4073976E-01
    0.1310   3.4747075E+06   2.7662020E+05   5.9408916E-01   1.4274507E-01
    0.1320   3.4753669E+06   2.7710765E+05   5.9417319E-01   1.4476231E-01
    0.1330   3.4760321E+06   2.7759743E+05   5.9425721E-01   1.4679146E-01
    0.1340   3.4767031E+06   2.7808954E+05   5.9434123E-01   1.4883247E-01
    0.1350   3.4773799E+06   2.7858400E+05   5.9442526E-01   1.5088531E-01
    0.1360   3.4780623E+06   2.7908074E+05   5.9450929E-01   1.5294993E-01
    0.1370   3.4787505E+06   2.7957977E+05   5.9459332E-01   1.5502629E-01
    0.1380   3.4794443E+06   2.8008113E+05   5.9467734E-01   1.5711435E-01
    0.1390   3.4801438E+06   2.8058472E+05   5.9476137E-01   1.5921408E-01
    0.1400   3.4808490E+06   2.8109062E+05   5.9484539E-01   1.6132544E-01
    0.1410   3.4815597E+06   2.8159874E+05   5.9492942E-01   1.6344839E-01
