
These predictions were generated by SubDyn on 08-Jun-2026 at 17:07:19.




    Time	  IntfRDYss	   M1N1FKze	   M1N2FKze	   M1N3FKze	   M2N1FKze	   M2N2FKze	   M2N3FKze	   M1N1FKye	   M1N2FKye	   M1N3FKye	   M2N1FKye	   M2N2FKye	   M2N3FKye	   M1N1MKxe	   M1N2MKxe	   M1N3MKxe	   M2N1MKxe	   M2N2MKxe	   M2N3MKxe
       s	      (rad)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	      (N*m)	      (N*m)	      (N*m)
    0.0000	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9613E+04
    0.0100	-1.7500E-04	-2.1108E+02	-1.5917E+02	-1.0726E+02	-1.0726E+02	-5.5344E+01	-3.4323E+00	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9613E+04
    0.0200	-3.4900E-04	-4.2095E+02	-3.1743E+02	-2.1390E+02	-2.1390E+02	-1.1037E+02	-6.8449E+00	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9612E+04
    0.0300	-5.2400E-04	-6.3203E+02	-4.7659E+02	-3.2116E+02	-3.2116E+02	-1.6572E+02	-1.0277E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9612E+04
    0.0400	-6.9800E-04	-8.4191E+02	-6.3485E+02	-4.2780E+02	-4.2780E+02	-2.2074E+02	-1.3690E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9612E+04
    0.0500	-8.7300E-04	-1.0530E+03	-7.9402E+02	-5.3505E+02	-5.3505E+02	-2.7609E+02	-1.7123E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9613E+04
    0.0600	-1.0470E-03	-1.2629E+03	-9.5228E+02	-6.4170E+02	-6.4170E+02	-3.3112E+02	-2.0535E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9612E+04
    0.0700	-1.2220E-03	-1.4739E+03	-1.1114E+03	-7.4895E+02	-7.4895E+02	-3.8646E+02	-2.3967E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9612E+04
    0.0800	-1.3960E-03	-1.6838E+03	-1.2697E+03	-8.5560E+02	-8.5560E+02	-4.4149E+02	-2.7380E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9613E+04
    0.0900	-1.5710E-03	-1.8949E+03	-1.4289E+03	-9.6285E+02	-9.6285E+02	-4.9683E+02	-3.0813E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9612E+04
    0.1000	-1.7450E-03	-2.1048E+03	-1.5871E+03	-1.0695E+03	-1.0695E+03	-5.5186E+02	-3.4225E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3945E+05	-1.9613E+04
    0.1100	-1.9200E-03	-2.3158E+03	-1.7463E+03	-1.1768E+03	-1.1768E+03	-6.0721E+02	-3.7658E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.1200	-2.0940E-03	-2.5257E+03	-1.9046E+03	-1.2834E+03	-1.2834E+03	-6.6223E+02	-4.1070E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9612E+04
    0.1300	-2.2690E-03	-2.7368E+03	-2.0637E+03	-1.3907E+03	-1.3907E+03	-7.1758E+02	-4.4503E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.1400	-2.4430E-03	-2.9467E+03	-2.2220E+03	-1.4973E+03	-1.4973E+03	-7.7260E+02	-4.7915E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9612E+04
    0.1500	-2.6180E-03	-3.1578E+03	-2.3812E+03	-1.6046E+03	-1.6046E+03	-8.2795E+02	-5.1347E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9612E+04
    0.1600	-2.7930E-03	-3.3688E+03	-2.5403E+03	-1.7118E+03	-1.7118E+03	-8.8329E+02	-5.4780E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9611E+04
    0.1700	-2.9670E-03	-3.5787E+03	-2.6986E+03	-1.8184E+03	-1.8184E+03	-9.3832E+02	-5.8192E+01	 1.2062E+06	 9.0953E+05	 6.1289E+05	 6.1289E+05	 3.1625E+05	 1.9614E+04	-6.1485E+06	-3.5039E+06	-1.6009E+06	-1.6009E+06	-4.3944E+05	-1.9612E+04
