
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:32:21.

 
 
 
      Time          ROD1PX          ROD1PY          ROD1PZ          ROD1RX          ROD1RY
       (s)             (m)             (m)             (m)           (deg)           (deg)
    0.1000  -5.0000000E+00   0.0000000E+00  -5.0002263E+00  -0.0000000E+00   9.0000000E+01
    0.2000  -5.0000000E+00   0.0000000E+00  -5.0009054E+00  -0.0000000E+00   9.0000000E+01
    0.3000  -5.0000000E+00   0.0000000E+00  -5.0020370E+00  -0.0000000E+00   9.0000000E+01
    0.4000  -5.0000000E+00   0.0000000E+00  -5.0036212E+00  -0.0000000E+00   9.0000000E+01
    0.5000  -5.0000000E+00   0.0000000E+00  -5.0056577E+00  -0.0000000E+00   9.0000000E+01
    0.6000  -5.0000000E+00   0.0000000E+00  -5.0081464E+00  -0.0000000E+00   9.0000000E+01
    0.7000  -5.0000000E+00   0.0000000E+00  -5.0110872E+00  -0.0000000E+00   9.0000000E+01
    0.8000  -5.0000000E+00   0.0000000E+00  -5.0144796E+00  -0.0000000E+00   9.0000000E+01
    0.9000  -5.0000000E+00   0.0000000E+00  -5.0183236E+00  -0.0000000E+00   9.0000000E+01
    1.0000  -5.0000000E+00   0.0000000E+00  -5.0226186E+00  -0.0000000E+00   9.0000000E+01
    1.1000  -5.0000000E+00   0.0000000E+00  -5.0273644E+00  -0.0000000E+00   9.0000000E+01
    1.2000  -5.0000000E+00   0.0000000E+00  -5.0325605E+00  -0.0000000E+00   9.0000000E+01
    1.3000  -5.0000000E+00   0.0000000E+00  -5.0382066E+00  -0.0000000E+00   9.0000000E+01
    1.4000  -5.0000000E+00   0.0000000E+00  -5.0443020E+00  -0.0000000E+00   9.0000000E+01
    1.5000  -5.0000000E+00   0.0000000E+00  -5.0508464E+00  -0.0000000E+00   9.0000000E+01
    1.6000  -5.0000000E+00   0.0000000E+00  -5.0578390E+00  -0.0000000E+00   9.0000000E+01
    1.7000  -5.0000000E+00   0.0000000E+00  -5.0652795E+00  -0.0000000E+00   9.0000000E+01
    1.8000  -5.0000000E+00   0.0000000E+00  -5.0731670E+00  -0.0000000E+00   9.0000000E+01
    1.9000  -5.0000000E+00   0.0000000E+00  -5.0815010E+00  -0.0000000E+00   9.0000000E+01
    2.0000  -5.0000000E+00   0.0000000E+00  -5.0902807E+00  -0.0000000E+00   9.0000000E+01
    2.1000  -5.0000000E+00   0.0000000E+00  -5.0995054E+00  -0.0000000E+00   9.0000000E+01
    2.2000  -5.0000000E+00   0.0000000E+00  -5.1091743E+00  -0.0000000E+00   9.0000000E+01
    2.3000  -5.0000000E+00   0.0000000E+00  -5.1192866E+00  -0.0000000E+00   9.0000000E+01
    2.4000  -5.0000000E+00   0.0000000E+00  -5.1298415E+00  -0.0000000E+00   9.0000000E+01
    2.5000  -5.0000000E+00   0.0000000E+00  -5.1408380E+00  -0.0000000E+00   9.0000000E+01
    2.6000  -5.0000000E+00   0.0000000E+00  -5.1522752E+00  -0.0000000E+00   9.0000000E+01
    2.7000  -5.0000000E+00   0.0000000E+00  -5.1641522E+00  -0.0000000E+00   9.0000000E+01
    2.8000  -5.0000000E+00   0.0000000E+00  -5.1764680E+00  -0.0000000E+00   9.0000000E+01
    2.9000  -5.0000000E+00   0.0000000E+00  -5.1892216E+00  -0.0000000E+00   9.0000000E+01
    3.0000  -5.0000000E+00   0.0000000E+00  -5.2024118E+00  -0.0000000E+00   9.0000000E+01
    3.1000  -5.0000000E+00   0.0000000E+00  -5.2160377E+00  -0.0000000E+00   9.0000000E+01
    3.2000  -5.0000000E+00   0.0000000E+00  -5.2300980E+00  -0.0000000E+00   9.0000000E+01
    3.3000  -5.0000000E+00   0.0000000E+00  -5.2445917E+00  -0.0000000E+00   9.0000000E+01
    3.4000  -5.0000000E+00   0.0000000E+00  -5.2595175E+00  -0.0000000E+00   9.0000000E+01
    3.5000  -5.0000000E+00   0.0000000E+00  -5.2748742E+00  -0.0000000E+00   9.0000000E+01
    3.6000  -5.0000000E+00   0.0000000E+00  -5.2906605E+00  -0.0000000E+00   9.0000000E+01
    3.7000  -5.0000000E+00   0.0000000E+00  -5.3068752E+00  -0.0000000E+00   9.0000000E+01
    3.8000  -5.0000000E+00   0.0000000E+00  -5.3235169E+00  -0.0000000E+00   9.0000000E+01
    3.9000  -5.0000000E+00   0.0000000E+00  -5.3405843E+00  -0.0000000E+00   9.0000000E+01
    4.0000  -5.0000000E+00   0.0000000E+00  -5.3580761E+00  -0.0000000E+00   9.0000000E+01
    4.1000  -5.0000000E+00   0.0000000E+00  -5.3759907E+00  -0.0000000E+00   9.0000000E+01
    4.2000  -5.0000000E+00   0.0000000E+00  -5.3943268E+00  -0.0000000E+00   9.0000000E+01
    4.3000  -5.0000000E+00   0.0000000E+00  -5.4130829E+00  -0.0000000E+00   9.0000000E+01
    4.4000  -5.0000000E+00   0.0000000E+00  -5.4322575E+00  -0.0000000E+00   9.0000000E+01
    4.5000  -5.0000000E+00   0.0000000E+00  -5.4518491E+00  -0.0000000E+00   9.0000000E+01
    4.6000  -5.0000000E+00   0.0000000E+00  -5.4718561E+00  -0.0000000E+00   9.0000000E+01
    4.7000  -5.0000000E+00   0.0000000E+00  -5.4922770E+00  -0.0000000E+00   9.0000000E+01
    4.8000  -5.0000000E+00   0.0000000E+00  -5.5131101E+00  -0.0000000E+00   9.0000000E+01
    4.9000  -5.0000000E+00   0.0000000E+00  -5.5343538E+00  -0.0000000E+00   9.0000000E+01
    5.0000  -5.0000000E+00   0.0000000E+00  -5.5560065E+00  -0.0000000E+00   9.0000000E+01
    5.1000  -5.0000000E+00   0.0000000E+00  -5.5780665E+00  -0.0000000E+00   9.0000000E+01
    5.2000  -5.0000000E+00   0.0000000E+00  -5.6005321E+00  -0.0000000E+00   9.0000000E+01
    5.3000  -5.0000000E+00   0.0000000E+00  -5.6234015E+00  -0.0000000E+00   9.0000000E+01
    5.4000  -5.0000000E+00   0.0000000E+00  -5.6466731E+00  -0.0000000E+00   9.0000000E+01
    5.5000  -5.0000000E+00   0.0000000E+00  -5.6703449E+00  -0.0000000E+00   9.0000000E+01
    5.6000  -5.0000000E+00   0.0000000E+00  -5.6944153E+00  -0.0000000E+00   9.0000000E+01
    5.7000  -5.0000000E+00   0.0000000E+00  -5.7188824E+00  -0.0000000E+00   9.0000000E+01
    5.8000  -5.0000000E+00   0.0000000E+00  -5.7437444E+00  -0.0000000E+00   9.0000000E+01
    5.9000  -5.0000000E+00   0.0000000E+00  -5.7689994E+00  -0.0000000E+00   9.0000000E+01
    6.0000  -5.0000000E+00   0.0000000E+00  -5.7946455E+00  -0.0000000E+00   9.0000000E+01
    6.1000  -5.0000000E+00   0.0000000E+00  -5.8206808E+00  -0.0000000E+00   9.0000000E+01
    6.2000  -5.0000000E+00   0.0000000E+00  -5.8471034E+00  -0.0000000E+00   9.0000000E+01
    6.3000  -5.0000000E+00   0.0000000E+00  -5.8739114E+00  -0.0000000E+00   9.0000000E+01
    6.4000  -5.0000000E+00   0.0000000E+00  -5.9011028E+00  -0.0000000E+00   9.0000000E+01
    6.5000  -5.0000000E+00   0.0000000E+00  -5.9286756E+00  -0.0000000E+00   9.0000000E+01
    6.6000  -5.0000000E+00   0.0000000E+00  -5.9566278E+00  -0.0000000E+00   9.0000000E+01
