
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:26.

 
 
 
      Time        FAIRTEN1         BODY1PZ         BODY1RY         BODY1RX
       (s)             (N)             (m)           (deg)           (deg)
    0.0560   2.2403650E+00  -9.2841676E-03  -9.0000000E+01   0.0000000E+00
    0.0580   1.8522041E+00  -9.9493437E-03  -9.0000000E+01   0.0000000E+00
    0.0600   1.4629248E+00  -1.0636694E-02  -9.0000000E+01   0.0000000E+00
    0.0620   1.0725586E+00  -1.1346121E-02  -9.0000000E+01   0.0000000E+00
    0.0640   6.8113687E-01  -1.2077530E-02  -9.0000000E+01   0.0000000E+00
    0.0660   2.8869052E-01  -1.2830820E-02  -9.0000000E+01   0.0000000E+00
    0.0680   1.0474965E-01  -1.3605892E-02  -9.0000000E+01   0.0000000E+00
    0.0700   4.9915310E-01  -1.4402644E-02  -9.0000000E+01   0.0000000E+00
    0.0720   8.9448954E-01  -1.5220973E-02  -9.0000000E+01   0.0000000E+00
    0.0740   1.2907289E+00  -1.6060775E-02  -9.0000000E+01   0.0000000E+00
    0.0760   1.6878415E+00  -1.6921945E-02  -9.0000000E+01   0.0000000E+00
    0.0780   2.0857977E+00  -1.7804375E-02  -9.0000000E+01   0.0000000E+00
    0.0800   2.4845683E+00  -1.8707959E-02  -9.0000000E+01   0.0000000E+00
    0.0820   2.8841243E+00  -1.9632585E-02  -9.0000000E+01   0.0000000E+00
    0.0840   3.2844370E+00  -2.0578145E-02  -9.0000000E+01   0.0000000E+00
    0.0860   3.6854781E+00  -2.1544526E-02  -9.0000000E+01   0.0000000E+00
