
Predictions were generated on 12-Feb-2024 at 14:25:03 using HydroDyn Driver, compiled on Dec 20 2023 at 14:52:34 as a 64-bit application using double precision at commit v2.5.0-3665-g13e4c61c-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00 - Regression test for the MacCamy-Fuchs diffraction correction for strip-theory memebers

Time	Wave1Elev	HydroFxi	HydroMyi
(s)	(m)	(N)	(N-m)
    0.0000	  -4.067737E+00	   1.779643E+07	  -2.387376E+08
    0.1000	  -3.777394E+00	   1.920286E+07	  -2.551513E+08
    0.2000	  -3.468719E+00	   2.056797E+07	  -2.704100E+08
    0.3000	  -3.143669E+00	   2.188390E+07	  -2.844066E+08
    0.4000	  -2.804338E+00	   2.314101E+07	  -2.970461E+08
    0.5000	  -2.452938E+00	   2.432772E+07	  -3.082326E+08
    0.6000	  -2.091788E+00	   2.543258E+07	  -3.178686E+08
    0.7000	  -1.723287E+00	   2.644004E+07	  -3.258852E+08
    0.8000	  -1.349901E+00	   2.733614E+07	  -3.322161E+08
    0.9000	  -9.741340E-01	   2.810511E+07	  -3.368067E+08
    1.0000	  -5.985143E-01	   2.872939E+07	  -3.396548E+08
    1.1000	  -2.255646E-01	   2.919784E+07	  -3.407495E+08
    1.2000	   1.422174E-01	   2.950897E+07	  -3.401615E+08
    1.3000	   5.023844E-01	   2.965679E+07	  -3.379950E+08
    1.4000	   8.525615E-01	   2.963415E+07	  -3.343359E+08
    1.5000	   1.190470E+00	   2.943374E+07	  -3.293048E+08
    1.6000	   1.513949E+00	   2.904978E+07	  -3.230242E+08
    1.7000	   1.820976E+00	   2.847839E+07	  -3.156013E+08
    1.8000	   2.109691E+00	   2.771815E+07	  -3.071509E+08
    1.9000	   2.378410E+00	   2.677095E+07	  -2.977912E+08
    2.0000	   2.625646E+00	   2.564239E+07	  -2.876256E+08
    2.1000	   2.850122E+00	   2.434185E+07	  -2.767611E+08
    2.2000	   3.050783E+00	   2.288250E+07	  -2.652988E+08
    2.3000	   3.226813E+00	   2.128122E+07	  -2.533304E+08
    2.4000	   3.377634E+00	   1.955845E+07	  -2.409293E+08
    2.5000	   3.502920E+00	   1.773761E+07	  -2.281617E+08
    2.6000	   3.602594E+00	   1.584459E+07	  -2.150834E+08
    2.7000	   3.676831E+00	   1.390697E+07	  -2.017416E+08
    2.8000	   3.726053E+00	   1.195322E+07	  -1.881780E+08
    2.9000	   3.750926E+00	   1.001180E+07	  -1.744315E+08
    3.0000	   3.752349E+00	   8.110176E+06	  -1.605423E+08
    3.1000	   3.731442E+00	   6.273959E+06	  -1.465540E+08
    3.2000	   3.689536E+00	   4.526078E+06	  -1.325169E+08
    3.3000	   3.628151E+00	   2.886091E+06	  -1.184886E+08
