
These predictions were generated by SubDyn on 27-Nov-2023 at 17:39:51.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    0.6500	 1.2297E-01	 3.8627E-01
    0.6550	 1.2597E-01	 3.9491E-01
    0.6600	 1.2759E-01	 3.9960E-01
    0.6650	 1.2773E-01	 4.0001E-01
    0.6700	 1.2642E-01	 3.9624E-01
    0.6750	 1.2383E-01	 3.8875E-01
    0.6800	 1.2024E-01	 3.7837E-01
    0.6850	 1.1600E-01	 3.6614E-01
    0.6900	 1.1154E-01	 3.5325E-01
    0.6950	 1.0727E-01	 3.4092E-01
    0.7000	 1.0359E-01	 3.3028E-01
    0.7050	 1.0081E-01	 3.2227E-01
    0.7100	 9.9179E-02	 3.1756E-01
    0.7150	 9.8803E-02	 3.1647E-01
    0.7200	 9.9681E-02	 3.1901E-01
    0.7250	 1.0170E-01	 3.2482E-01
    0.7300	 1.0462E-01	 3.3328E-01
    0.7350	 1.0816E-01	 3.4351E-01
    0.7400	 1.1197E-01	 3.5451E-01
    0.7450	 1.1569E-01	 3.6523E-01
    0.7500	 1.1896E-01	 3.7469E-01
    0.7550	 1.2151E-01	 3.8204E-01
    0.7600	 1.2311E-01	 3.8667E-01
    0.7650	 1.2365E-01	 3.8823E-01
    0.7700	 1.2311E-01	 3.8666E-01
    0.7750	 1.2157E-01	 3.8221E-01
    0.7800	 1.1920E-01	 3.7537E-01
    0.7850	 1.1625E-01	 3.6686E-01
    0.7900	 1.1301E-01	 3.5751E-01
    0.7950	 1.0980E-01	 3.4822E-01
    0.8000	 1.0690E-01	 3.3985E-01
    0.8050	 1.0458E-01	 3.3315E-01
    0.8100	 1.0303E-01	 3.2869E-01
    0.8150	 1.0239E-01	 3.2682E-01
    0.8200	 1.0267E-01	 3.2764E-01
    0.8250	 1.0383E-01	 3.3098E-01
    0.8300	 1.0573E-01	 3.3647E-01
    0.8350	 1.0817E-01	 3.4352E-01
    0.8400	 1.1091E-01	 3.5144E-01
    0.8450	 1.1369E-01	 3.5946E-01
