





Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    5.4000   1.717730E+06   9.984635E+05   1.177681E+06  -2.501538E+07  -1.900491E+07   4.181266E+06
    5.5000   1.526395E+06   8.135510E+05   1.247156E+06  -2.881014E+07  -1.516507E+07   1.263292E+06
    5.6000   1.328220E+06   6.253394E+05   1.308324E+06  -3.238599E+07  -1.129391E+07  -1.638180E+06
    5.7000   1.124459E+06   4.350971E+05   1.360881E+06  -3.571937E+07  -7.416124E+06  -4.506096E+06
    5.8000   9.163880E+05   2.440980E+05   1.404583E+06  -3.878839E+07  -3.556142E+06  -7.323719E+06
    5.9000   7.052975E+05   5.361315E+04   1.439237E+06  -4.157296E+07   2.619928E+05  -1.007473E+07
    6.0000   4.924858E+05  -1.350975E+05   1.464711E+06  -4.405496E+07   4.014780E+06  -1.274331E+07
    6.1000   2.792501E+05  -3.207930E+05   1.480932E+06  -4.621831E+07   7.679407E+06  -1.531425E+07
    6.2000   6.687914E+04  -5.022601E+05   1.487882E+06  -4.804909E+07   1.123389E+07  -1.777303E+07
    6.3000  -1.433550E+05  -6.783202E+05   1.485604E+06  -4.953565E+07   1.465719E+07  -2.010590E+07
    6.4000  -3.502043E+05  -8.478374E+05   1.474196E+06  -5.066866E+07   1.792937E+07  -2.229995E+07
    6.5000  -5.524522E+05  -1.009726E+06   1.453814E+06  -5.144114E+07   2.103167E+07  -2.434321E+07
    6.6000  -7.489209E+05  -1.162957E+06   1.424669E+06  -5.184859E+07   2.394666E+07  -2.622468E+07
    6.7000  -9.384784E+05  -1.306563E+06   1.387024E+06  -5.188892E+07   2.665831E+07  -2.793442E+07
    6.8000  -1.120045E+06  -1.439650E+06   1.341194E+06  -5.156252E+07   2.915207E+07  -2.946359E+07
    6.9000  -1.292599E+06  -1.561395E+06   1.287544E+06  -5.087226E+07   3.141498E+07  -3.080449E+07
    7.0000  -1.455183E+06  -1.671057E+06   1.226484E+06  -4.982342E+07   3.343573E+07  -3.195062E+07
    7.1000  -1.606910E+06  -1.767978E+06   1.158469E+06  -4.842371E+07   3.520470E+07  -3.289667E+07
    7.2000  -1.746968E+06  -1.851593E+06   1.083993E+06  -4.668317E+07   3.671402E+07  -3.363860E+07
    7.3000  -1.874622E+06  -1.921423E+06   1.003588E+06  -4.461414E+07   3.795761E+07  -3.417363E+07
    7.4000  -1.989222E+06  -1.977089E+06   9.178198E+05  -4.223115E+07   3.893119E+07  -3.450023E+07
    7.5000  -2.090203E+06  -2.018306E+06   8.272833E+05  -3.955087E+07   3.963229E+07  -3.461814E+07
    7.6000  -2.177091E+06  -2.044890E+06   7.325994E+05  -3.659191E+07   4.006026E+07  -3.452839E+07
    7.7000  -2.249502E+06  -2.056754E+06   6.344108E+05  -3.337482E+07   4.021627E+07  -3.423322E+07
    7.8000  -2.307146E+06  -2.053914E+06   5.333777E+05  -2.992183E+07   4.010324E+07  -3.373614E+07
    7.9000  -2.349826E+06  -2.036483E+06   4.301734E+05  -2.625680E+07   3.972585E+07  -3.304181E+07
    8.0000  -2.377442E+06  -2.004674E+06   3.254801E+05  -2.240502E+07   3.909049E+07  -3.215609E+07
    8.1000  -2.389988E+06  -1.958795E+06   2.199844E+05  -1.839304E+07   3.820518E+07  -3.108595E+07
    8.2000  -2.387552E+06  -1.899250E+06   1.143729E+05  -1.424850E+07   3.707950E+07  -2.983942E+07
    8.3000  -2.370314E+06  -1.826534E+06   9.327827E+03  -9.999973E+06   3.572455E+07  -2.842556E+07
    8.4000  -2.338547E+06  -1.741229E+06  -9.447722E+04  -5.676742E+06   3.415284E+07  -2.685437E+07
    8.5000  -2.292612E+06  -1.644004E+06  -1.963817E+05  -1.308624E+06   3.237818E+07  -2.513675E+07
    8.6000  -2.232954E+06  -1.535604E+06  -2.957423E+05   3.074230E+06   3.041560E+07  -2.328440E+07
    8.7000  -2.160105E+06  -1.416849E+06  -3.919368E+05   7.441534E+06   2.828125E+07  -2.130976E+07
    8.8000  -2.074670E+06  -1.288629E+06  -4.843683E+05   1.176307E+07   2.599224E+07  -1.922592E+07
    8.9000  -1.977333E+06  -1.151893E+06  -5.724684E+05   1.600888E+07   2.356656E+07  -1.704656E+07
    9.0000  -1.868844E+06  -1.007651E+06  -6.557015E+05   2.014947E+07   2.102293E+07  -1.478583E+07
    9.1000  -1.750019E+06  -8.569569E+05  -7.335675E+05   2.415603E+07   1.838067E+07  -1.245827E+07
    9.2000  -1.621731E+06  -7.009094E+05  -8.056049E+05   2.800059E+07   1.565958E+07  -1.007873E+07
    9.3000  -1.484907E+06  -5.406408E+05  -8.713939E+05   3.165621E+07   1.287978E+07  -7.662260E+06
    9.4000  -1.340518E+06  -3.773099E+05  -9.305589E+05   3.509719E+07   1.006157E+07  -5.224016E+06
    9.5000  -1.189577E+06  -2.120944E+05  -9.827704E+05   3.829925E+07   7.225332E+06  -2.779182E+06
    9.6000  -1.033129E+06  -4.618275E+04  -1.027747E+06   4.123962E+07   4.391334E+06  -3.428583E+05
    9.7000  -8.722432E+05   1.192338E+05  -1.065259E+06   4.389730E+07   1.579629E+06   2.070026E+06
