                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.318980       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  7.33011585304879e-03
 9.88015881652854e-01  4.43901859863505e-03
 9.62536164640122e-01 -3.89669626955909e-05
 9.36911971957448e-01 -1.69410831381121e-03
 9.11241170223046e-01 -1.17240011495893e-03
 8.85666793201793e-01 -2.10722669928932e-03
 8.60313022566085e-01 -4.59638877320528e-03
 8.35311881620322e-01 -8.39416547456151e-03
 8.10697405674615e-01 -1.32935989384121e-02
 7.86493195757019e-01 -1.91554917116426e-02
 7.62746847156674e-01 -2.58940874124819e-02
 7.39468647623376e-01 -3.33475522827163e-02
 7.16640323980016e-01 -4.13019838735527e-02
 6.94197403875862e-01 -4.96314954794230e-02
 6.72106307283305e-01 -5.81900605866221e-02
 6.50413926334531e-01 -6.68388236131034e-02
 6.29085932917186e-01 -7.54478935693847e-02
 6.08098241473985e-01 -8.39163825593497e-02
 5.87472956346059e-01 -9.21440294208766e-02
 5.67166751171702e-01 -1.00051846745265e-01
 5.47151131740127e-01 -1.07582685014203e-01
 5.27416238788011e-01 -1.14676521087075e-01
 5.07963382075498e-01 -1.21300143280008e-01
 4.88802884708627e-01 -1.27431039408403e-01
 4.69938058858910e-01 -1.33041183709899e-01
 4.51381974568315e-01 -1.38114704478946e-01
 4.33145484410298e-01 -1.42639280957731e-01
 4.15245109721913e-01 -1.46621640469471e-01
 3.97697121739088e-01 -1.50073087043867e-01
 3.80515416565739e-01 -1.52999404613319e-01
 3.63716564692197e-01 -1.55427992644584e-01
 3.47312102359560e-01 -1.57367374702679e-01
 3.31314899366715e-01 -1.58842429050887e-01
 3.15735007048725e-01 -1.59867679947762e-01
 3.00581766040732e-01 -1.60477870386185e-01
 2.85862056350837e-01 -1.60677781780142e-01
 2.71581537841116e-01 -1.60496344764540e-01
 2.57746229823168e-01 -1.59961388454080e-01
 2.44357338782536e-01 -1.59086823402026e-01
 2.31417129261950e-01 -1.57900080555067e-01
 2.18926756328196e-01 -1.56416472785516e-01
 2.06883747269007e-01 -1.54664617391517e-01
 1.95287643643434e-01 -1.52661694403865e-01
 1.84133983411001e-01 -1.50429870539456e-01
 1.73419400668466e-01 -1.47989276149001e-01
 1.63140149580692e-01 -1.45352209048559e-01
 1.53290874676278e-01 -1.42535406678083e-01
 1.43865797038379e-01 -1.39559310525063e-01
 1.34853269883759e-01 -1.36449398276065e-01
 1.26248709086729e-01 -1.33216545361649e-01
 1.18042184452667e-01 -1.29878239342573e-01
 1.10223768024249e-01 -1.26452709022570e-01
 1.02786641045362e-01 -1.22949891449440e-01
 9.57208380414711e-02 -1.19381762902840e-01
 8.90169700337775e-02 -1.15762983097171e-01
 8.26635740157928e-02 -1.12108072531256e-01
 7.66507876833880e-02 -1.08426868986317e-01
 7.09693873856649e-02 -1.04729063775129e-01
 6.55996563652634e-02 -1.01034361176702e-01
 6.05366830116794e-02 -9.73466604301776e-02
 5.57717920270570e-02 -9.36735535307410e-02
 5.12832329210412e-02 -9.00311079388080e-02
 4.70641391127173e-02 -8.64237432840938e-02
 4.31077228742271e-02 -8.28536871238816e-02
 3.94054874975252e-02 -7.93254112004301e-02
 3.59479225888763e-02 -7.58453670897877e-02
 3.27198393377081e-02 -7.24207755261697e-02
 2.97137142543621e-02 -6.90548757557198e-02
 2.69198752654292e-02 -6.57513972147377e-02
 2.43241412929642e-02 -6.25169437293382e-02
 2.19142526487082e-02 -5.93533986816802e-02
