                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.369879       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.61914519542696e-03
 9.73894903244308e-01 -2.43211288697999e-03
 9.47815547647648e-01 -3.72431960082685e-03
 9.21887711279392e-01 -5.66117497715200e-03
 8.96115379785458e-01 -7.07268917818771e-03
 8.70620639247878e-01 -1.01270359757221e-02
 8.45495138347418e-01 -1.47257820258703e-02
 8.20693301079893e-01 -2.06498535734011e-02
 7.96288309760601e-01 -2.75745025302349e-02
 7.72338337261888e-01 -3.53101828572438e-02
 7.48858576431479e-01 -4.37022881360295e-02
 7.25850894180664e-01 -5.26317718434335e-02
 7.03280113745494e-01 -6.18991810906307e-02
 6.81115073769939e-01 -7.13443211117866e-02
 6.59313089319075e-01 -8.08096201521285e-02
 6.37841279682482e-01 -9.01682926790299e-02
 6.16671757102320e-01 -9.93177731149430e-02
 5.95783470169301e-01 -1.08170206209681e-01
 5.75048865643688e-01 -1.16657469736315e-01
 5.54528769608773e-01 -1.24743485067393e-01
 5.34269707276327e-01 -1.32372786359226e-01
 5.14280827278379e-01 -1.39517821870939e-01
 4.94580175490086e-01 -1.46168440804495e-01
 4.75168271881382e-01 -1.52294403439294e-01
 4.56065440871374e-01 -1.57888254648039e-01
 4.37273267917149e-01 -1.62915532431640e-01
 4.18802617346024e-01 -1.67337795828388e-01
 4.00670885250511e-01 -1.71159578638973e-01
 3.82897830505917e-01 -1.74405176338327e-01
 3.65501320915813e-01 -1.77094852077444e-01
 3.48498450922945e-01 -1.79261347099589e-01
 3.31902610725726e-01 -1.80910225339378e-01
 3.15726475625067e-01 -1.82072004997834e-01
 2.99980995450039e-01 -1.82775042684383e-01
 2.84676473390302e-01 -1.83020023420551e-01
 2.69820238005220e-01 -1.82877932349352e-01
 2.55419574120340e-01 -1.82304906908403e-01
 2.41477357367874e-01 -1.81354346598876e-01
 2.27999828550228e-01 -1.80052720128738e-01
 2.14988340306269e-01 -1.78422864644091e-01
 2.02442031080059e-01 -1.76493872639683e-01
 1.90361916554612e-01 -1.74289730797944e-01
 1.78742901035223e-01 -1.71835021510435e-01
 1.67584524263419e-01 -1.69149211205418e-01
 1.56878866988366e-01 -1.66262329974947e-01
 1.46628698773258e-01 -1.63166519873920e-01
 1.36828480152700e-01 -1.59887485665573e-01
 1.27467040343420e-01 -1.56449255938463e-01
 1.18547122278013e-01 -1.52855905358272e-01
 1.10052432540606e-01 -1.49138540576723e-01
 1.01979797407212e-01 -1.45309402660923e-01
 9.43239489408043e-02 -1.41374667361048e-01
 8.70752280219965e-02 -1.37349816768320e-01
 8.02339629835662e-02 -1.33239099703404e-01
 7.37852468593064e-02 -1.29060892354709e-01
 6.77199291797165e-02 -1.24829791033006e-01
 6.20316695276933e-02 -1.20555843085929e-01
 5.67050727398258e-02 -1.16257087816897e-01
 5.17370531865395e-02 -1.11944609157779e-01
 4.71037540259826e-02 -1.07639066697336e-01
 4.27859228486715e-02 -1.03355936840763e-01
 3.87810144834077e-02 -9.91049607168031e-02
 3.50716003675823e-02 -9.48960964034336e-02
 3.16463288909760e-02 -9.07361555068331e-02
 2.84924923765887e-02 -8.66322870155763e-02
 2.55940535168400e-02 -8.25926944429079e-02
 2.29476705597984e-02 -7.86215551525763e-02
 2.05343673855714e-02 -7.47271851055624e-02
 1.83388319639776e-02 -7.09153024545215e-02
 1.63378919431449e-02 -6.71980814781654e-02
 1.45107484509606e-02 -6.35858379118674e-02
 1.28448505850102e-02 -6.00793920137934e-02
 1.13293941690482e-02 -5.66788923195909e-02
 9.95152559673614e-03 -5.33870710226812e-02
 8.69846240807899e-03 -5.02046308734473e-02
 7.57926376009607e-03 -4.71235467042676e-02
 6.59729273837106e-03 -4.41370260432116e-02
 5.72791184653531e-03 -4.12528786961565e-02
 4.96487467183360e-03 -3.84680193357501e-02
 4.30050402614947e-03 -3.57796729305821e-02
 3.74387863460403e-03 -3.31877361515445e-02
 3.27582994635816e-03 -3.06897068017065e-02
 2.86965692191848e-03 -2.82905488818507e-02
 2.51232891728220e-03 -2.59877609196876e-02
 2.18615651015294e-03 -2.37810797401728e-02
 1.87934807230979e-03 -2.16691569274171e-02
 1.59801273421376e-03 -1.96459683919812e-02
 1.34921338671145e-03 -1.77069205736974e-02
 1.12641299529080e-03 -1.58510032622823e-02
 9.33276926970015e-04 -1.40740369738409e-02
 7.69183503993151e-04 -1.23722174775656e-02
 6.31157620442863e-04 -1.07428598245731e-02
 5.22096357206619e-04 -9.18343877839646e-03
 4.32330789052073e-04 -7.69000250525033e-03
 3.50694300405056e-04 -6.26064370595635e-03
 2.74188466437459e-04 -4.89347306525461e-03
 2.03686670644984e-04 -3.58564389705906e-03
 1.37502650566574e-04 -2.33465210203820e-03
 7.09330478940253e-05 -1.13916135475528e-03
 0.00000000000000e+00  0.00000000000000e+00
