                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.303292       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  9.09518015108171e-03
 9.91815365111290e-01  6.73956085275401e-03
 9.66411199834414e-01  1.33187311231119e-03
 9.40846230322962e-01 -6.46111541149988e-04
 9.15242506123944e-01  2.51870752213562e-04
 8.89731472391227e-01 -2.62525415804640e-04
 8.64423109754537e-01 -2.28089401506429e-03
 8.39401818470844e-01 -5.55745670777762e-03
 8.14730388832608e-01 -9.92008574897306e-03
 7.90456681714799e-01 -1.52558830283196e-02
 7.66636891049555e-01 -2.14985411122393e-02
 7.43283762879469e-01 -2.84870363149620e-02
 7.20383617450865e-01 -3.60099877269467e-02
 6.97920974665691e-01 -4.39477523878276e-02
 6.75876556112758e-01 -5.21660736700376e-02
 6.54241167416874e-01 -6.05235599580466e-02
 6.32983344806441e-01 -6.88876322657235e-02
 6.12079171639173e-01 -7.71541959807074e-02
 5.91502809429974e-01 -8.52171386420534e-02
 5.71233192293242e-01 -9.29877790357408e-02
 5.51260979767854e-01 -1.00405078008268e-01
 5.31575578321701e-01 -1.07401522364228e-01
 5.12178466527183e-01 -1.13939463202938e-01
 4.93075784545125e-01 -1.19992322942087e-01
 4.74273704517774e-01 -1.25532392851763e-01
 4.55782080445123e-01 -1.30541499190847e-01
 4.37615586610803e-01 -1.35019323670891e-01
 4.19790196222379e-01 -1.38975196921616e-01
 4.02319742734742e-01 -1.42414393247710e-01
 3.85216576809033e-01 -1.45337674246985e-01
 3.68497183902502e-01 -1.47777883996105e-01
 3.52171688022672e-01 -1.49734998896113e-01
 3.36252602064126e-01 -1.51238943216138e-01
 3.20749099814108e-01 -1.52300672692390e-01
 3.05670520838468e-01 -1.52963196455800e-01
 2.91023047001181e-01 -1.53209431653147e-01
 2.76812005735889e-01 -1.53092674138514e-01
 2.63041959588285e-01 -1.52637162982162e-01
 2.49714563647857e-01 -1.51847798493140e-01
 2.36831549390541e-01 -1.50754516597309e-01
 2.24393515673634e-01 -1.49370197995151e-01
 2.12398847817557e-01 -1.47720585848458e-01
 2.00845546134791e-01 -1.45825590498092e-01
 1.89730829734358e-01 -1.43702342681414e-01
 1.79050235407311e-01 -1.41371966917578e-01
 1.68799276956512e-01 -1.38851364204829e-01
 1.58973446110096e-01 -1.36153770060707e-01
 1.49564775548817e-01 -1.33302316349670e-01
 1.40563039925125e-01 -1.30323210197956e-01
 1.31962299493880e-01 -1.27225693824432e-01
 1.23754073094476e-01 -1.24025466007909e-01
 1.15925526918408e-01 -1.20746709335981e-01
 1.08468512210817e-01 -1.17399458685619e-01
 1.01373787603834e-01 -1.13995150850967e-01
 9.46280878647448e-02 -1.10551757680933e-01
 8.82193350277597e-02 -1.07083488856909e-01
 8.21375537993602e-02 -1.03599118286190e-01
 7.63721015102721e-02 -1.00107721176705e-01
 7.09073098083817e-02 -9.66259076275104e-02
 6.57359684911165e-02 -9.31563970377948e-02
 6.08480761736771e-02 -8.97057353674379e-02
 5.62288915260151e-02 -8.62856691989718e-02
 5.18684671195951e-02 -8.29014167979301e-02
