                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.232070       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  3.21434820779123e-03
 9.80414835047819e-01  3.40383129800876e-03
 9.56067816264002e-01  3.92569934198709e-03
 9.31734187260591e-01  4.61912028768336e-03
 9.07420477045444e-01  5.70278282453753e-03
 8.83182538417119e-01  5.71552604955990e-03
 8.59084213245723e-01  4.83150531947338e-03
 8.35177954637696e-01  3.12510931832884e-03
 8.11511413120719e-01  6.53218434199011e-04
 7.88134362940034e-01 -2.56997624045339e-03
 7.65096038814120e-01 -6.53652721507152e-03
 7.42424191612095e-01 -1.11494208714295e-02
 7.20134835684134e-01 -1.63210374106649e-02
 6.98225071575530e-01 -2.20355416888001e-02
 6.76701208427174e-01 -2.80899642148041e-02
 6.55572249057124e-01 -3.43829383336412e-02
 6.34825569565719e-01 -4.08107629690589e-02
 6.14444402973415e-01 -4.72648888149630e-02
 5.94415024653822e-01 -5.36546740443234e-02
 5.74725470411338e-01 -5.98978217262591e-02
 5.55363083366770e-01 -6.59111855597142e-02
 5.36323752135304e-01 -7.16434138804345e-02
 5.17604063743341e-01 -7.70422986155172e-02
 4.99206034509638e-01 -8.20748533854813e-02
 4.81128403282278e-01 -8.66918186541772e-02
 4.63372689901892e-01 -9.08531659353366e-02
 4.45948380175619e-01 -9.45488757435778e-02
 4.28867673699035e-01 -9.77848524003485e-02
 4.12143544133757e-01 -1.00571809385817e-01
 3.95787395104822e-01 -1.02925707178419e-01
 3.79811969816781e-01 -1.04873977384058e-01
 3.64224872586527e-01 -1.06423333015170e-01
 3.49034671929597e-01 -1.07596936928995e-01
 3.34248777274241e-01 -1.08428594566261e-01
 3.19871931576108e-01 -1.08938210065399e-01
 3.05907162329024e-01 -1.09120974818249e-01
 2.92356733708130e-01 -1.09045608881207e-01
 2.79221434732701e-01 -1.08708089210798e-01
 2.66499737888666e-01 -1.08131066970316e-01
 2.54189895881888e-01 -1.07340937536206e-01
