                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.912834       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 3.19991957937632e-02  1.59478950713296e-01
 3.53661098990322e-02  1.67715115934648e-01
 3.89825924738982e-02  1.76041045335518e-01
 4.28342832065533e-02  1.84454441353503e-01
 4.69300406709758e-02  1.92933345781574e-01
 5.13152311511595e-02  2.01478385989940e-01
 5.59804732110996e-02  2.10079052456921e-01
 6.09247995059697e-02  2.18727128131007e-01
 6.61760622659169e-02  2.27421871984020e-01
 7.17078629714371e-02  2.36149902538171e-01
 7.75186967954153e-02  2.44930393959048e-01
 8.36386569527470e-02  2.53732905902792e-01
 9.00802491085198e-02  2.62542021484538e-01
 9.68433730224159e-02  2.71370423347915e-01
 1.03882370375432e-01  2.80214048352564e-01
 1.11289045082351e-01  2.89043497793636e-01
 1.19059205396245e-01  2.97823202720072e-01
 1.27198822705344e-01  3.06566022674195e-01
 1.35701226429742e-01  3.15250420718448e-01
 1.44567712493532e-01  3.23877622320760e-01
 1.53807312348335e-01  3.32429849326606e-01
 1.63459913964165e-01  3.40853728819928e-01
 1.73520083275233e-01  3.49160444701135e-01
 1.83951593651863e-01  3.57349243609978e-01
 1.94798521097135e-01  3.65388787174390e-01
 2.06060947388404e-01  3.73228192280044e-01
 2.17762552508943e-01  3.80858487199380e-01
 2.29890937230557e-01  3.88237977624453e-01
 2.42471612488399e-01  3.95339650998151e-01
 2.55474477177949e-01  4.02147003225830e-01
 2.68904141068879e-01  4.08643794209836e-01
 2.82776766243838e-01  4.14762761524987e-01
 2.97052999558358e-01  4.20530572519540e-01
 3.11750486880572e-01  4.25905810620843e-01
 3.26857241294217e-01  4.30808141454606e-01
 3.42358443971444e-01  4.35311027362753e-01
 3.58233619893597e-01  4.39283351114032e-01
 3.74490200398210e-01  4.42793002218015e-01
 3.91105765609212e-01  4.45593574934236e-01
 4.08074735390734e-01  4.47896635620571e-01
 4.25356661301386e-01  4.49493045574429e-01
 4.42928597619675e-01  4.50597777764333e-01
 4.60777195396598e-01  4.50881027668327e-01
 4.78860086062526e-01  4.50576542357223e-01
 4.97168679822333e-01  4.49439429729513e-01
 5.15656557502455e-01  4.47682168383190e-01
 5.34301427280155e-01  4.45109511113524e-01
 5.53074128677418e-01  4.41756429666707e-01
 5.71934659114804e-01  4.37694152948638e-01
 5.90844562869987e-01  4.32763958777148e-01
 6.09784817169750e-01  4.27079193089379e-01
 6.28706042430728e-01  4.20614644579881e-01
 6.47582437450217e-01  4.13340059292167e-01
 6.66361846466474e-01  4.05201027421980e-01
 6.85020352430625e-01  3.96304066530645e-01
 7.03517711938251e-01  3.86563298402522e-01
 7.21811558704869e-01  3.76020491771499e-01
 7.39850896507932e-01  3.64639687313969e-01
 7.57619745335085e-01  3.52461035341306e-01
 7.75206205110804e-01  3.39606252219554e-01
 7.92461645993867e-01  3.25927284904827e-01
 8.09369056893612e-01  3.11603727700441e-01
 8.25805258316226e-01  2.96482706970707e-01
 8.41801274086289e-01  2.80737176343655e-01
 8.57280443715335e-01  2.64258275668793e-01
 8.72224596860684e-01  2.46650798976617e-01
 8.86630625994763e-01  2.28176791838953e-01
 9.00429785042701e-01  2.09199537412576e-01
 9.13611452655384e-01  1.89764433432596e-01
 9.26141666173690e-01  1.69918994992348e-01
 9.38014884274187e-01  1.49695574016610e-01
 9.49154892896189e-01  1.29120478568343e-01
 9.59570377291244e-01  1.08259612652270e-01
 9.69301466313415e-01  8.71572747177822e-02
 9.78281362596913e-01  6.58348355233583e-02
 9.86482797246396e-01  4.43372177776654e-02
 9.93651358793530e-01  2.39946321512211e-02
 1.00000000000000e+00  2.63279359651219e-03
