                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.219014       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  1.56917828825912e-03
 9.77532212014315e-01  2.77641802799045e-03
 9.53431119559887e-01  3.95390134478926e-03
 9.29381785688542e-01  5.02551031816063e-03
 9.05365835071422e-01  5.96376497690556e-03
 8.81433416790205e-01  5.90794327022193e-03
 8.57638612857864e-01  5.05311166391961e-03
 8.34028689776711e-01  3.46061905963274e-03
 8.10643883200470e-01  1.19039517768197e-03
 7.87525021475510e-01 -1.72319730621538e-03
 7.64708958826130e-01 -5.24865357240203e-03
 7.42214732080577e-01 -9.27400497403375e-03
 7.20064744945208e-01 -1.37918507209000e-02
 6.98251716346768e-01 -1.89485705584201e-02
 6.76786335112003e-01 -2.44040340165180e-02
 6.55704917220757e-01 -3.00866563486107e-02
 6.35000322270372e-01 -3.59156691806884e-02
 6.14663339750892e-01 -4.18041900282468e-02
 5.94685546799411e-01 -4.76746085411032e-02
 5.75057530525038e-01 -5.34450186562652e-02
 5.55767735681272e-01 -5.90267380558761e-02
 5.36814936414424e-01 -6.43776295118149e-02
 5.18197907100674e-01 -6.94519779551791e-02
 4.99917600283331e-01 -7.42127490543876e-02
 4.81966724164043e-01 -7.85853476571344e-02
 4.64343524215431e-01 -8.25177441073501e-02
 4.47056835334914e-01 -8.60029103024735e-02
 4.30115545645910e-01 -8.90341828701698e-02
 4.13532030907877e-01 -9.16237758914189e-02
 3.97317684313279e-01 -9.37916568741581e-02
 3.81484810483841e-01 -9.55694824007510e-02
 3.66041298764947e-01 -9.69726913242293e-02
 3.50993939079682e-01 -9.80146816713320e-02
 3.36350094020865e-01 -9.87416926831847e-02
 3.22113122948795e-01 -9.91609850996950e-02
 3.08285763682343e-01 -9.92380297588419e-02
 2.94869328195524e-01 -9.91359160661804e-02
 2.81863744299224e-01 -9.87648262959170e-02
 2.69267253467247e-01 -9.81733631106227e-02
 2.57076748178802e-01 -9.73943915556933e-02
 2.45287937743556e-01 -9.64465454455457e-02
 2.33897382331744e-01 -9.53347932904904e-02
 2.22898674199667e-01 -9.40874195936691e-02
 2.12285263568711e-01 -9.27185717060759e-02
 2.02050498655095e-01 -9.12404128711688e-02
 1.92188842647276e-01 -8.96538585910026e-02
 1.82692275204816e-01 -8.79743082955051e-02
 1.73551999744439e-01 -8.62209808870388e-02
 1.64758712747326e-01 -8.44076189158517e-02
 1.56305487093397e-01 -8.25356718816657e-02
 1.48183413256929e-01 -8.06131744281473e-02
 1.40380831146486e-01 -7.86609912962710e-02
 1.32888913007322e-01 -7.66865653307229e-02
 1.25700884904921e-01 -7.46880182025784e-02
 1.18806401846513e-01 -7.26752728335078e-02
 1.12196001714102e-01 -7.06555674243462e-02
 1.05863228440231e-01 -6.86251427268424e-02
 9.97976247844320e-02 -6.65948950148055e-02
 9.39897951389660e-02 -6.45708892274881e-02
 8.84311288784295e-02 -6.25568583782502e-02
 8.31131441187575e-02 -6.05561319521885e-02
 7.80278536273895e-02 -5.85705823225555e-02
 7.31670967812909e-02 -5.66027955961650e-02
 6.85230180199479e-02 -5.46545182584161e-02
 6.40874559849889e-02 -5.27284658381437e-02
 5.98516761883131e-02 -5.08294456331646e-02
 5.58092201225621e-02 -4.89567538637905e-02
 5.19541452868108e-02 -4.71087810354074e-02
 4.82808244550283e-02 -4.52835706801366e-02
 4.47824830488896e-02 -4.34828661392069e-02
 4.14525421837882e-02 -4.17076894219956e-02
 3.82841080365144e-02 -3.99596837963864e-02
 3.52727486486779e-02 -3.82365356688098e-02
 3.24125774371447e-02 -3.65393096685416e-02
 2.96971544567895e-02 -3.48694849719031e-02
 2.71223661268469e-02 -3.32251717915675e-02
 2.46854777843475e-02 -3.16027951445019e-02
 2.23762521428990e-02 -3.00105866347975e-02
 2.01915110945822e-02 -2.84466705892044e-02
 1.81339950056484e-02 -2.69010246218731e-02
 1.62021138824380e-02 -2.53712277403013e-02
 1.43794269393366e-02 -2.38733097193529e-02
 1.26657168102468e-02 -2.24026085508074e-02
 1.10699551900136e-02 -2.09440643431369e-02
 9.60038108062554e-03 -1.94866924887507e-02
 8.23220455996443e-03 -1.80541208220135e-02
