## This file was generated by InflowWind_Driver on 21-Apr-2023 at 16:49:28.
## This file contains the wind velocity at the 1000 points specified in the file ./Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)
     30.00000000        -4.50000000         2.50000000       150.50000000        22.25810794        -7.69901545        -1.93037525
     30.00000000        -4.50000000         3.50000000       150.50000000        22.25854753        -7.69916865        -1.93033505
     30.00000000        -4.50000000         4.50000000       150.50000000        22.25898709        -7.69932185        -1.93029485
     30.00000000        -4.50000000        -4.50000000       151.50000000        22.28390621        -7.70800666        -1.92801589
     30.00000000        -4.50000000        -3.50000000       151.50000000        22.28434374        -7.70815915        -1.92797587
     30.00000000        -4.50000000        -2.50000000       151.50000000        22.28478123        -7.70831162        -1.92793586
     30.00000000        -4.50000000        -1.50000000       151.50000000        22.28521869        -7.70846408        -1.92789585
     30.00000000        -4.50000000        -0.50000000       151.50000000        22.28565611        -7.70861653        -1.92785585
     30.00000000        -4.50000000         0.50000000       151.50000000        22.28609349        -7.70876897        -1.92781585
     30.00000000        -4.50000000         1.50000000       151.50000000        22.28653085        -7.70892140        -1.92777585
     30.00000000        -4.50000000         2.50000000       151.50000000        22.28696816        -7.70907381        -1.92773586
     30.00000000        -4.50000000         3.50000000       151.50000000        22.28740545        -7.70922621        -1.92769586
     30.00000000        -4.50000000         4.50000000       151.50000000        22.28784270        -7.70937860        -1.92765588
     30.00000000        -4.50000000        -4.50000000       152.50000000        22.31263140        -7.71801796        -1.92538884
     30.00000000        -4.50000000        -3.50000000       152.50000000        22.31306665        -7.71816965        -1.92534904
     30.00000000        -4.50000000        -2.50000000       152.50000000        22.31350186        -7.71832133        -1.92530924
     30.00000000        -4.50000000        -1.50000000       152.50000000        22.31393703        -7.71847300        -1.92526944
     30.00000000        -4.50000000        -0.50000000       152.50000000        22.31437217        -7.71862466        -1.92522964
     30.00000000        -4.50000000         0.50000000       152.50000000        22.31480728        -7.71877630        -1.92518985
     30.00000000        -4.50000000         1.50000000       152.50000000        22.31524235        -7.71892793        -1.92515006
     30.00000000        -4.50000000         2.50000000       152.50000000        22.31567738        -7.71907955        -1.92511027
     30.00000000        -4.50000000         3.50000000       152.50000000        22.31611239        -7.71923116        -1.92507049
     30.00000000        -4.50000000         4.50000000       152.50000000        22.31654735        -7.71938275        -1.92503071
     30.00000000        -4.50000000        -4.50000000       153.50000000        22.34120717        -7.72797719        -1.92277546
     30.00000000        -4.50000000        -3.50000000       153.50000000        22.34164016        -7.72812809        -1.92273587
     30.00000000        -4.50000000        -2.50000000       153.50000000        22.34207311        -7.72827899        -1.92269627
     30.00000000        -4.50000000        -1.50000000       153.50000000        22.34250603        -7.72842987        -1.92265668
     30.00000000        -4.50000000        -0.50000000       153.50000000        22.34293892        -7.72858074        -1.92261709
     30.00000000        -4.50000000         0.50000000       153.50000000        22.34337177        -7.72873159        -1.92257750
     30.00000000        -4.50000000         1.50000000       153.50000000        22.34380458        -7.72888244        -1.92253792
     30.00000000        -4.50000000         2.50000000       153.50000000        22.34423737        -7.72903327        -1.92249834
     30.00000000        -4.50000000         3.50000000       153.50000000        22.34467011        -7.72918409        -1.92245876
     30.00000000        -4.50000000         4.50000000       153.50000000        22.34510283        -7.72933490        -1.92241919
     30.00000000        -4.50000000        -4.50000000       154.50000000        22.36963526        -7.73788494        -1.92017559
     30.00000000        -4.50000000        -3.50000000       154.50000000        22.37006601        -7.73803507        -1.92013620
     30.00000000        -4.50000000        -2.50000000       154.50000000        22.37049674        -7.73818519        -1.92009681
     30.00000000        -4.50000000        -1.50000000       154.50000000        22.37092742        -7.73833529        -1.92005742
     30.00000000        -4.50000000        -0.50000000       154.50000000        22.37135808        -7.73848538        -1.92001803
     30.00000000        -4.50000000         0.50000000       154.50000000        22.37178870        -7.73863546        -1.91997865
     30.00000000        -4.50000000         1.50000000       154.50000000        22.37221929        -7.73878553        -1.91993927
     30.00000000        -4.50000000         2.50000000       154.50000000        22.37264984        -7.73893559        -1.91989990
     30.00000000        -4.50000000         3.50000000       154.50000000        22.37308036        -7.73908563        -1.91986052
     30.00000000        -4.50000000         4.50000000       154.50000000        22.37351085        -7.73923567        -1.91982115
     30.00000000        -3.50000000        -4.50000000       145.50000000        22.10575262        -7.64591658        -1.94430880
     30.00000000        -3.50000000        -3.50000000       145.50000000        22.10620464        -7.64607412        -1.94426746
     30.00000000        -3.50000000        -2.50000000       145.50000000        22.10665663        -7.64623164        -1.94422612
     30.00000000        -3.50000000        -1.50000000       145.50000000        22.10710858        -7.64638916        -1.94418479
     30.00000000        -3.50000000        -0.50000000       145.50000000        22.10756050        -7.64654666        -1.94414346
     30.00000000        -3.50000000         0.50000000       145.50000000        22.10801237        -7.64670415        -1.94410214
     30.00000000        -3.50000000         1.50000000       145.50000000        22.10846421        -7.64686162        -1.94406081
     30.00000000        -3.50000000         2.50000000       145.50000000        22.10891602        -7.64701908        -1.94401949
     30.00000000        -3.50000000         3.50000000       145.50000000        22.10936778        -7.64717653        -1.94397818
     30.00000000        -3.50000000         4.50000000       145.50000000        22.10981951        -7.64733397        -1.94393687
     30.00000000        -3.50000000        -4.50000000       146.50000000        22.13542662        -7.65625856        -1.94159498
     30.00000000        -3.50000000        -3.50000000       146.50000000        22.13587619        -7.65641524        -1.94155387
     30.00000000        -3.50000000        -2.50000000       146.50000000        22.13632573        -7.65657192        -1.94151276
     30.00000000        -3.50000000        -1.50000000       146.50000000        22.13677522        -7.65672857        -1.94147165
     30.00000000        -3.50000000        -0.50000000       146.50000000        22.13722468        -7.65688522        -1.94143054
     30.00000000        -3.50000000         0.50000000       146.50000000        22.13767410        -7.65704185        -1.94138944
     30.00000000        -3.50000000         1.50000000       146.50000000        22.13812349        -7.65719847        -1.94134834
     30.00000000        -3.50000000         2.50000000       146.50000000        22.13857284        -7.65735508        -1.94130725
     30.00000000        -3.50000000         3.50000000       146.50000000        22.13902215        -7.65751167        -1.94126616
     30.00000000        -3.50000000         4.50000000       146.50000000        22.13947142        -7.65766825        -1.94122507
     30.00000000        -3.50000000        -4.50000000       147.50000000        22.16493991        -7.66654453        -1.93889587
     30.00000000        -3.50000000        -3.50000000       147.50000000        22.16538705        -7.66670037        -1.93885497
     30.00000000        -3.50000000        -2.50000000       147.50000000        22.16583416        -7.66685619        -1.93881408
     30.00000000        -3.50000000        -1.50000000       147.50000000        22.16628123        -7.66701201        -1.93877320
     30.00000000        -3.50000000        -0.50000000       147.50000000        22.16672826        -7.66716781        -1.93873231
     30.00000000        -3.50000000         0.50000000       147.50000000        22.16717526        -7.66732359        -1.93869143
     30.00000000        -3.50000000         1.50000000       147.50000000        22.16762222        -7.66747937        -1.93865056
     30.00000000        -3.50000000         2.50000000       147.50000000        22.16806914        -7.66763513        -1.93860968
     30.00000000        -3.50000000         3.50000000       147.50000000        22.16851603        -7.66779088        -1.93856881
     30.00000000        -3.50000000         4.50000000       147.50000000        22.16896288        -7.66794662        -1.93852795
     30.00000000        -3.50000000        -4.50000000       148.50000000        22.19429442        -7.67677516        -1.93621127
     30.00000000        -3.50000000        -3.50000000       148.50000000        22.19473916        -7.67693016        -1.93617060
     30.00000000        -3.50000000        -2.50000000       148.50000000        22.19518387        -7.67708516        -1.93612993
     30.00000000        -3.50000000        -1.50000000       148.50000000        22.19562855        -7.67724013        -1.93608926
     30.00000000        -3.50000000        -0.50000000       148.50000000        22.19607319        -7.67739510        -1.93604859
     30.00000000        -3.50000000         0.50000000       148.50000000        22.19651779        -7.67755005        -1.93600793
     30.00000000        -3.50000000         1.50000000       148.50000000        22.19696235        -7.67770499        -1.93596728
     30.00000000        -3.50000000         2.50000000       148.50000000        22.19740688        -7.67785992        -1.93592662
     30.00000000        -3.50000000         3.50000000       148.50000000        22.19785138        -7.67801483        -1.93588597
     30.00000000        -3.50000000         4.50000000       148.50000000        22.19829583        -7.67816974        -1.93584532
     30.00000000        -3.50000000        -4.50000000       149.50000000        22.22349206        -7.68695112        -1.93354102
     30.00000000        -3.50000000        -3.50000000       149.50000000        22.22393444        -7.68710530        -1.93350056
     30.00000000        -3.50000000        -2.50000000       149.50000000        22.22437678        -7.68725947        -1.93346011
     30.00000000        -3.50000000        -1.50000000       149.50000000        22.22481909        -7.68741362        -1.93341966
     30.00000000        -3.50000000        -0.50000000       149.50000000        22.22526136        -7.68756776        -1.93337921
     30.00000000        -3.50000000         0.50000000       149.50000000        22.22570359        -7.68772189        -1.93333877
     30.00000000        -3.50000000         1.50000000       149.50000000        22.22614579        -7.68787600        -1.93329832
     30.00000000        -3.50000000         2.50000000       149.50000000        22.22658796        -7.68803010        -1.93325789
     30.00000000        -3.50000000         3.50000000       149.50000000        22.22703008        -7.68818419        -1.93321745
     30.00000000        -3.50000000         4.50000000       149.50000000        22.22747218        -7.68833827        -1.93317702
     30.00000000        -3.50000000        -4.50000000       150.50000000        22.25253471        -7.69707307        -1.93088494
     30.00000000        -3.50000000        -3.50000000       150.50000000        22.25297475        -7.69722643        -1.93084470
     30.00000000        -3.50000000        -2.50000000       150.50000000        22.25341475        -7.69737978        -1.93080446
     30.00000000        -3.50000000        -1.50000000       150.50000000        22.25385472        -7.69753312        -1.93076422
     30.00000000        -3.50000000        -0.50000000       150.50000000        22.25429465        -7.69768644        -1.93072399
     30.00000000        -3.50000000         0.50000000       150.50000000        22.25473455        -7.69783975        -1.93068376
     30.00000000        -3.50000000         1.50000000       150.50000000        22.25517441        -7.69799305        -1.93064353
     30.00000000        -3.50000000         2.50000000       150.50000000        22.25561423        -7.69814634        -1.93060331
     30.00000000        -3.50000000         3.50000000       150.50000000        22.25605402        -7.69829962        -1.93056309
     30.00000000        -3.50000000         4.50000000       150.50000000        22.25649378        -7.69845288        -1.93052287
     30.00000000        -3.50000000        -4.50000000       151.50000000        22.28142421        -7.70714163        -1.92824287
     30.00000000        -3.50000000        -3.50000000       151.50000000        22.28186194        -7.70729419        -1.92820284
     30.00000000        -3.50000000        -2.50000000       151.50000000        22.28229963        -7.70744673        -1.92816281
     30.00000000        -3.50000000        -1.50000000       151.50000000        22.28273728        -7.70759927        -1.92812279
     30.00000000        -3.50000000        -0.50000000       151.50000000        22.28317490        -7.70775178        -1.92808277
     30.00000000        -3.50000000         0.50000000       151.50000000        22.28361249        -7.70790429        -1.92804275
     30.00000000        -3.50000000         1.50000000       151.50000000        22.28405004        -7.70805679        -1.92800273
     30.00000000        -3.50000000         2.50000000       151.50000000        22.28448755        -7.70820927        -1.92796272
     30.00000000        -3.50000000         3.50000000       151.50000000        22.28492503        -7.70836174        -1.92792271
     30.00000000        -3.50000000         4.50000000       151.50000000        22.28536248        -7.70851420        -1.92788270
     30.00000000        -3.50000000        -4.50000000       152.50000000        22.31016236        -7.71715745        -1.92561465
     30.00000000        -3.50000000        -3.50000000       152.50000000        22.31059780        -7.71730921        -1.92557482
     30.00000000        -3.50000000        -2.50000000       152.50000000        22.31103321        -7.71746096        -1.92553500
     30.00000000        -3.50000000        -1.50000000       152.50000000        22.31146858        -7.71761270        -1.92549519
     30.00000000        -3.50000000        -0.50000000       152.50000000        22.31190391        -7.71776442        -1.92545537
     30.00000000        -3.50000000         0.50000000       152.50000000        22.31233921        -7.71791613        -1.92541556
     30.00000000        -3.50000000         1.50000000       152.50000000        22.31277448        -7.71806783        -1.92537576
     30.00000000        -3.50000000         2.50000000       152.50000000        22.31320971        -7.71821952        -1.92533595
     30.00000000        -3.50000000         3.50000000       152.50000000        22.31364491        -7.71837119        -1.92529615
     30.00000000        -3.50000000         4.50000000       152.50000000        22.31408007        -7.71852285        -1.92525636
     30.00000000        -3.50000000        -4.50000000       153.50000000        22.33875094        -7.72712114        -1.92300010
     30.00000000        -3.50000000        -3.50000000       153.50000000        22.33918412        -7.72727211        -1.92296048
     30.00000000        -3.50000000        -2.50000000       153.50000000        22.33961726        -7.72742307        -1.92292087
     30.00000000        -3.50000000        -1.50000000       153.50000000        22.34005038        -7.72757402        -1.92288126
     30.00000000        -3.50000000        -0.50000000       153.50000000        22.34048345        -7.72772496        -1.92284165
     30.00000000        -3.50000000         0.50000000       153.50000000        22.34091650        -7.72787588        -1.92280205
     30.00000000        -3.50000000         1.50000000       153.50000000        22.34134951        -7.72802680        -1.92276245
     30.00000000        -3.50000000         2.50000000       153.50000000        22.34178248        -7.72817770        -1.92272285
     30.00000000        -3.50000000         3.50000000       153.50000000        22.34221543        -7.72832859        -1.92268326
     30.00000000        -3.50000000         4.50000000       153.50000000        22.34264833        -7.72847946        -1.92264366
     30.00000000        -3.50000000        -4.50000000       154.50000000        22.36719168        -7.73703331        -1.92039907
     30.00000000        -3.50000000        -3.50000000       154.50000000        22.36762262        -7.73718350        -1.92035966
     30.00000000        -3.50000000        -2.50000000       154.50000000        22.36805354        -7.73733368        -1.92032025
     30.00000000        -3.50000000        -1.50000000       154.50000000        22.36848442        -7.73748385        -1.92028084
     30.00000000        -3.50000000        -0.50000000       154.50000000        22.36891527        -7.73763401        -1.92024144
     30.00000000        -3.50000000         0.50000000       154.50000000        22.36934608        -7.73778416        -1.92020204
     30.00000000        -3.50000000         1.50000000       154.50000000        22.36977686        -7.73793429        -1.92016264
     30.00000000        -3.50000000         2.50000000       154.50000000        22.37020760        -7.73808442        -1.92012325
     30.00000000        -3.50000000         3.50000000       154.50000000        22.37063831        -7.73823453        -1.92008386
     30.00000000        -3.50000000         4.50000000       154.50000000        22.37106899        -7.73838463        -1.92004447
