## This file was generated by SeaState called from Python on Sep-29-2025 at 22:24:05
## This file contains outputs from calls to SeaState routines (not the CalcOutput) at the 20 points specified in the file Points.Results.dat
# 
# 
# 
# 
          T             x             y             z            V_x           V_y           V_z           A_x           A_Y           A_Z       nodeInWater      elev          norm_x        norm_y        norm_z
         (s)           (m)           (m)           (m)          (m/s)         (m/s)         (m/s)         (m/s)         (m/s)         (m/s)          (-)          (m)           (m/s)         (m/s)         (m/s) 
       30.000       -50.000       -50.000        10.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.682         0.174         0.000         0.985
       30.000       -50.000       -50.000        -1.000         0.082         0.000         1.655         1.501         0.000         0.331             1         0.682         0.174         0.000         0.985
       30.000       -50.000       -50.000       -10.000         0.355         0.000         0.811         0.706         0.000        -0.083             1         0.682         0.174         0.000         0.985
       30.000       -50.000       -50.000       -50.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000       -50.000      -100.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000       -50.000      -150.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000       -50.000      -190.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174         0.000         0.985
       30.000       -50.000         0.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.682         0.174        -0.000         0.985
       30.000       -50.000         0.000        -1.000         0.082         0.000         1.655         1.501         0.000         0.331             1         0.682         0.174        -0.000         0.985
       30.000       -50.000         0.000       -10.000         0.355         0.000         0.811         0.706         0.000        -0.083             1         0.682         0.174        -0.000         0.985
       30.000       -50.000         0.000       -50.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174        -0.000         0.985
       30.000       -50.000         0.000      -100.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174        -0.000         0.985
       30.000       -50.000         0.000      -150.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174        -0.000         0.985
       30.000       -50.000         0.000      -190.000         0.316         0.000         0.249         0.242         0.000        -0.167             1         0.682         0.174        -0.000         0.985
       30.000       -50.000        50.000         1.000         0.000         0.000         0.000         0.000         0.000         0.000             0         0.682         0.174         0.000         0.985
