
These predictions were generated by SubDyn on 27-Nov-2023 at 16:43:41.




    Time	  M1N2TDzss	   M1N2FKze
       s	        (m)	        (N)
    1.3000	-2.9003E-01	-1.1450E+03
    1.3100	-2.9983E-01	-1.1837E+03
    1.3200	-3.0936E-01	-1.2213E+03
    1.3300	-3.1859E-01	-1.2577E+03
    1.3400	-3.2749E-01	-1.2929E+03
    1.3500	-3.3602E-01	-1.3266E+03
    1.3600	-3.4416E-01	-1.3587E+03
    1.3700	-3.5187E-01	-1.3891E+03
    1.3800	-3.5912E-01	-1.4177E+03
    1.3900	-3.6589E-01	-1.4445E+03
    1.4000	-3.7216E-01	-1.4692E+03
    1.4100	-3.7790E-01	-1.4919E+03
    1.4200	-3.8310E-01	-1.5124E+03
    1.4300	-3.8774E-01	-1.5307E+03
    1.4400	-3.9179E-01	-1.5467E+03
    1.4500	-3.9526E-01	-1.5604E+03
    1.4600	-3.9813E-01	-1.5717E+03
    1.4700	-4.0040E-01	-1.5807E+03
    1.4800	-4.0205E-01	-1.5872E+03
    1.4900	-4.0308E-01	-1.5913E+03
    1.5000	-4.0351E-01	-1.5930E+03
    1.5100	-4.0332E-01	-1.5922E+03
    1.5200	-4.0252E-01	-1.5891E+03
    1.5300	-4.0112E-01	-1.5835E+03
    1.5400	-3.9913E-01	-1.5757E+03
    1.5500	-3.9656E-01	-1.5655E+03
    1.5600	-3.9342E-01	-1.5531E+03
    1.5700	-3.8973E-01	-1.5386E+03
    1.5800	-3.8551E-01	-1.5219E+03
    1.5900	-3.8078E-01	-1.5032E+03
    1.6000	-3.7556E-01	-1.4826E+03
    1.6100	-3.6986E-01	-1.4602E+03
    1.6200	-3.6373E-01	-1.4359E+03
    1.6300	-3.5718E-01	-1.4101E+03
    1.6400	-3.5025E-01	-1.3827E+03
    1.6500	-3.4296E-01	-1.3539E+03
    1.6600	-3.3534E-01	-1.3239E+03
    1.6700	-3.2743E-01	-1.2926E+03
    1.6800	-3.1926E-01	-1.2604E+03
    1.6900	-3.1086E-01	-1.2272E+03
    1.7000	-3.0227E-01	-1.1933E+03
    1.7100	-2.9352E-01	-1.1587E+03
    1.7200	-2.8464E-01	-1.1237E+03
    1.7300	-2.7569E-01	-1.0884E+03
    1.7400	-2.6668E-01	-1.0528E+03
    1.7500	-2.5765E-01	-1.0172E+03
    1.7600	-2.4865E-01	-9.8161E+02
    1.7700	-2.3970E-01	-9.4628E+02
    1.7800	-2.3084E-01	-9.1131E+02
    1.7900	-2.2211E-01	-8.7684E+02
    1.8000	-2.1353E-01	-8.4298E+02
    1.8100	-2.0515E-01	-8.0989E+02
    1.8200	-1.9699E-01	-7.7767E+02
    1.8300	-1.8908E-01	-7.4646E+02
    1.8400	-1.8146E-01	-7.1637E+02
    1.8500	-1.7415E-01	-6.8750E+02
    1.8600	-1.6717E-01	-6.5997E+02
    1.8700	-1.6056E-01	-6.3388E+02
    1.8800	-1.5434E-01	-6.0931E+02
    1.8900	-1.4853E-01	-5.8636E+02
    1.9000	-1.4315E-01	-5.6511E+02
    1.9100	-1.3821E-01	-5.4563E+02
    1.9200	-1.3374E-01	-5.2798E+02
    1.9300	-1.2975E-01	-5.1222E+02
    1.9400	-1.2625E-01	-4.9841E+02
    1.9500	-1.2325E-01	-4.8658E+02
    1.9600	-1.2077E-01	-4.7677E+02
    1.9700	-1.1880E-01	-4.6901E+02
    1.9800	-1.1736E-01	-4.6331E+02
    1.9900	-1.1644E-01	-4.5968E+02
    2.0000	-1.1605E-01	-4.5812E+02
    2.0100	-1.1618E-01	-4.5864E+02
    2.0200	-1.1682E-01	-4.6120E+02
    2.0300	-1.1799E-01	-4.6579E+02
    2.0400	-1.1966E-01	-4.7238E+02
    2.0500	-1.2182E-01	-4.8094E+02
    2.0600	-1.2447E-01	-4.9140E+02
    2.0700	-1.2760E-01	-5.0372E+02
    2.0800	-1.3117E-01	-5.1785E+02
    2.0900	-1.3519E-01	-5.3371E+02
    2.1000	-1.3963E-01	-5.5123E+02
    2.1100	-1.4447E-01	-5.7033E+02
    2.1200	-1.4968E-01	-5.9093E+02
    2.1300	-1.5526E-01	-6.1293E+02
    2.1400	-1.6116E-01	-6.3624E+02
    2.1500	-1.6737E-01	-6.6076E+02
    2.1600	-1.7387E-01	-6.8639E+02
    2.1700	-1.8061E-01	-7.1302E+02
    2.1800	-1.8758E-01	-7.4053E+02
    2.1900	-1.9475E-01	-7.6882E+02
    2.2000	-2.0208E-01	-7.9777E+02
    2.2100	-2.0955E-01	-8.2725E+02
    2.2200	-2.1712E-01	-8.5716E+02
    2.2300	-2.2477E-01	-8.8737E+02
    2.2400	-2.3247E-01	-9.1775E+02
    2.2500	-2.4018E-01	-9.4819E+02
    2.2600	-2.4788E-01	-9.7858E+02
    2.2700	-2.5553E-01	-1.0088E+03
    2.2800	-2.6310E-01	-1.0387E+03
    2.2900	-2.7057E-01	-1.0682E+03
    2.3000	-2.7791E-01	-1.0971E+03
    2.3100	-2.8508E-01	-1.1255E+03
    2.3200	-2.9207E-01	-1.1530E+03
    2.3300	-2.9884E-01	-1.1798E+03
    2.3400	-3.0537E-01	-1.2055E+03
    2.3500	-3.1163E-01	-1.2303E+03
    2.3600	-3.1761E-01	-1.2539E+03
    2.3700	-3.2328E-01	-1.2762E+03
    2.3800	-3.2862E-01	-1.2973E+03
    2.3900	-3.3361E-01	-1.3170E+03
    2.4000	-3.3823E-01	-1.3353E+03
    2.4100	-3.4247E-01	-1.3520E+03
    2.4200	-3.4632E-01	-1.3672E+03
    2.4300	-3.4975E-01	-1.3808E+03
    2.4400	-3.5277E-01	-1.3927E+03
    2.4500	-3.5536E-01	-1.4029E+03
    2.4600	-3.5751E-01	-1.4114E+03
    2.4700	-3.5922E-01	-1.4181E+03
    2.4800	-3.6048E-01	-1.4231E+03
    2.4900	-3.6129E-01	-1.4263E+03
    2.5000	-3.6166E-01	-1.4277E+03
    2.5100	-3.6157E-01	-1.4274E+03
    2.5200	-3.6105E-01	-1.4253E+03
    2.5300	-3.6008E-01	-1.4215E+03
    2.5400	-3.5868E-01	-1.4160E+03
    2.5500	-3.5686E-01	-1.4088E+03
    2.5600	-3.5462E-01	-1.4000E+03
    2.5700	-3.5197E-01	-1.3895E+03
    2.5800	-3.4894E-01	-1.3776E+03
    2.5900	-3.4553E-01	-1.3641E+03
    2.6000	-3.4176E-01	-1.3492E+03
    2.6100	-3.3765E-01	-1.3330E+03
    2.6200	-3.3321E-01	-1.3154E+03
    2.6300	-3.2847E-01	-1.2967E+03
    2.6400	-3.2344E-01	-1.2769E+03
    2.6500	-3.1815E-01	-1.2560E+03
    2.6600	-3.1261E-01	-1.2341E+03
    2.6700	-3.0686E-01	-1.2114E+03
    2.6800	-3.0092E-01	-1.1880E+03
    2.6900	-2.9481E-01	-1.1638E+03
    2.7000	-2.8855E-01	-1.1391E+03
    2.7100	-2.8217E-01	-1.1140E+03
    2.7200	-2.7571E-01	-1.0884E+03
    2.7300	-2.6917E-01	-1.0626E+03
    2.7400	-2.6260E-01	-1.0367E+03
    2.7500	-2.5601E-01	-1.0107E+03
    2.7600	-2.4943E-01	-9.8470E+02
    2.7700	-2.4289E-01	-9.5888E+02
    2.7800	-2.3641E-01	-9.3331E+02
    2.7900	-2.3002E-01	-9.0809E+02
    2.8000	-2.2375E-01	-8.8331E+02
    2.8100	-2.1761E-01	-8.5907E+02
    2.8200	-2.1163E-01	-8.3547E+02
    2.8300	-2.0583E-01	-8.1258E+02
    2.8400	-2.0024E-01	-7.9050E+02
    2.8500	-1.9487E-01	-7.6931E+02
    2.8600	-1.8975E-01	-7.4908E+02
    2.8700	-1.8489E-01	-7.2990E+02
    2.8800	-1.8031E-01	-7.1182E+02
    2.8900	-1.7602E-01	-6.9491E+02
    2.9000	-1.7205E-01	-6.7923E+02
    2.9100	-1.6841E-01	-6.6484E+02
    2.9200	-1.6510E-01	-6.5179E+02
    2.9300	-1.6214E-01	-6.4011E+02
    2.9400	-1.5954E-01	-6.2984E+02
    2.9500	-1.5731E-01	-6.2102E+02
    2.9600	-1.5545E-01	-6.1367E+02
    2.9700	-1.5396E-01	-6.0782E+02
    2.9800	-1.5286E-01	-6.0346E+02
    2.9900	-1.5214E-01	-6.0063E+02
    3.0000	-1.5181E-01	-5.9930E+02
    3.0100	-1.5185E-01	-5.9948E+02
    3.0200	-1.5228E-01	-6.0117E+02
    3.0300	-1.5308E-01	-6.0434E+02
    3.0400	-1.5425E-01	-6.0897E+02
    3.0500	-1.5579E-01	-6.1503E+02
    3.0600	-1.5768E-01	-6.2250E+02
    3.0700	-1.5992E-01	-6.3133E+02
    3.0800	-1.6249E-01	-6.4148E+02
    3.0900	-1.6538E-01	-6.5290E+02
    3.1000	-1.6859E-01	-6.6554E+02
    3.1100	-1.7208E-01	-6.7935E+02
    3.1200	-1.7586E-01	-6.9425E+02
    3.1300	-1.7990E-01	-7.1019E+02
    3.1400	-1.8418E-01	-7.2710E+02
    3.1500	-1.8869E-01	-7.4489E+02
    3.1600	-1.9340E-01	-7.6351E+02
    3.1700	-1.9830E-01	-7.8286E+02
    3.1800	-2.0337E-01	-8.0287E+02
    3.1900	-2.0859E-01	-8.2346E+02
    3.2000	-2.1393E-01	-8.4454E+02
    3.2100	-2.1937E-01	-8.6602E+02
    3.2200	-2.2489E-01	-8.8782E+02
    3.2300	-2.3047E-01	-9.0985E+02
    3.2400	-2.3609E-01	-9.3203E+02
    3.2500	-2.4172E-01	-9.5425E+02
    3.2600	-2.4734E-01	-9.7645E+02
    3.2700	-2.5293E-01	-9.9852E+02
    3.2800	-2.5847E-01	-1.0204E+03
    3.2900	-2.6393E-01	-1.0420E+03
    3.3000	-2.6930E-01	-1.0632E+03
    3.3100	-2.7456E-01	-1.0839E+03
    3.3200	-2.7968E-01	-1.1041E+03
    3.3300	-2.8464E-01	-1.1237E+03
    3.3400	-2.8943E-01	-1.1426E+03
    3.3500	-2.9403E-01	-1.1608E+03
    3.3600	-2.9842E-01	-1.1781E+03
    3.3700	-3.0259E-01	-1.1946E+03
    3.3800	-3.0652E-01	-1.2101E+03
    3.3900	-3.1019E-01	-1.2246E+03
