
These predictions were generated by a reference MATLAB script.




    Time      Wave1Elev       Wave2Elev       Wave3Elev        FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi         FDynP1          FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi         FDynP2          FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi         FDynP3
    (sec)        (m)             (m)             (m)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)
      1.2   1.7596441e+00   3.0255021e+00   3.3661711e+00  -5.9112511e-01  -7.9290261e-01   3.2630805e-01   2.7761543e-01  -4.2754922e-01  -6.7615805e-01   1.5452642e+04  -1.0010155e+00  -1.6762773e+00   1.5856999e-01   3.0335992e-01  -2.3403529e-01  -1.4338096e+00   3.0411791e+04  -1.2397985e+00  -2.1164862e+00  -4.7162709e-01   5.1295119e-01   3.2055381e-01  -1.8044893e+00   3.8566943e+04
      1.3   1.7976202e+00   3.0341524e+00   3.3262962e+00  -5.6195857e-01  -8.3393845e-01   2.5754848e-01   3.0562445e-01  -3.9260164e-01  -6.9847854e-01   1.5745924e+04  -9.6862067e-01  -1.6950653e+00   1.5298215e-02   3.4429190e-01  -1.4156503e-01  -1.4302622e+00   3.0498743e+04  -1.1859428e+00  -2.0786021e+00  -6.4870831e-01   5.6349993e-01   4.3628491e-01  -1.7354016e+00   3.8003218e+04
      1.4   1.8274368e+00   3.0285072e+00   3.2715732e+00  -5.3002098e-01  -8.7131285e-01   1.8672927e-01   3.3301038e-01  -3.5435284e-01  -7.1729212e-01   1.5969030e+04  -9.3220866e-01  -1.7045699e+00  -1.2720919e-01   3.8367835e-01  -4.8482559e-02  -1.4185190e+00   3.0441998e+04  -1.1272347e+00  -2.0294127e+00  -8.1837266e-01   6.0996659e-01   5.4651539e-01  -1.6562739e+00   3.7265135e+04
      1.5   1.8487748e+00   3.0086839e+00   3.2026130e+00  -4.9538263e-01  -9.0470605e-01   1.1421836e-01   3.5961193e-01  -3.1301621e-01  -7.3225761e-01   1.6120071e+04  -8.9194141e-01  -1.7047643e+00  -2.6813270e-01   4.2137281e-01   4.4524472e-02  -1.3985910e+00   3.0242738e+04  -1.0640915e+00  -1.9695103e+00  -9.7965406e-01   6.5217378e-01   6.5040817e-01  -1.5678776e+00   3.6360643e+04
      1.6   1.8613622e+00   2.9748818e+00   3.1201023e+00  -4.5813039e-01  -9.3382152e-01   4.0416553e-02   3.8525934e-01  -2.6884351e-01  -7.4305990e-01   1.6197546e+04  -8.4799522e-01  -1.6956906e+00  -4.0665691e-01   4.5723381e-01   1.3676361e-01  -1.3705504e+00   2.9902966e+04  -9.9694660e-01  -1.8995680e+00  -1.1316673e+00   6.8998118e-01   7.4719312e-01  -1.4710563e+00   3.5298620e+04
      1.7   1.8649797e+00   2.9273814e+00   3.0247970e+00  -4.1836845e-01  -9.5838978e-01  -3.4245338e-02   4.0977572e-01  -2.2212288e-01  -7.4941484e-01   1.6200374e+04  -8.0056031e-01  -1.6774602e+00  -5.4197674e-01   4.9112508e-01   2.2754421e-01  -1.3345309e+00   2.9425499e+04  -9.2624540e-01  -1.8203319e+00  -1.2736147e+00   7.2328582e-01   8.3617493e-01  -1.3667176e+00   3.4088790e+04
      1.8   1.8594649e+00   2.8665426e+00   2.9175155e+00  -3.7621902e-01  -9.7817187e-01  -1.0930984e-01   4.3297859e-01  -1.7317657e-01  -7.5107378e-01   1.6127917e+04  -7.4984023e-01  -1.6502532e+00  -6.7330357e-01   5.2291596e-01   3.1618407e-01  -1.2907279e+00   2.8813959e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      1.9   1.8447164e+00   2.7928033e+00   2.7991313e+00  -3.3182273e-01  -9.9296266e-01  -1.8429655e-01   4.5468158e-01  -1.2235807e-01  -7.4782783e-01   1.5980011e+04  -6.9605130e-01  -1.6143170e+00  -7.9987134e-01   5.5248160e-01   4.0201613e-01  -1.2393976e+00   2.8072746e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.0   1.8206975e+00   2.7066768e+00   2.6705653e+00  -2.8533898e-01  -1.0025938e+00  -2.5870634e-01   4.7469630e-01  -7.0048868e-02  -7.3951170e-01   1.5756985e+04  -6.3942204e-01  -1.5699651e+00  -9.2094264e-01   5.7970341e-01   4.8439504e-01  -1.1808560e+00   2.7207018e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.1   1.7874393e+00   2.6087481e+00   2.5327777e+00  -2.3694603e-01  -1.0069362e+00  -3.3202588e-01   4.9283434e-01  -1.6654842e-02  -7.2600712e-01   1.5459675e+04  -5.8019249e-01  -1.5175737e+00  -1.0358145e+00   6.0446938e-01   5.6270359e-01  -1.1154765e+00   2.6222656e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.2   1.7450427e+00   2.4996707e+00   2.3867603e+00  -1.8684088e-01  -1.0059028e+00  -4.0373248e-01   5.0890940e-01   3.7397761e-02  -7.0724574e-01   1.5089441e+04  -5.1861354e-01  -1.4575795e+00  -1.1438243e+00   6.2667451e-01   6.3635888e-01  -1.0436881e+00   2.5126230e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.3   1.6936802e+00   2.3801622e+00   2.2335280e+00  -1.3523899e-01  -9.9944947e-01  -4.7329921e-01   5.2273950e-01   9.1666615e-02  -6.8321153e-01   1.4648169e+04  -4.5494621e-01  -1.3904752e+00  -1.2443545e+00   6.4622127e-01   7.0481823e-01  -9.6597168e-01   2.3924953e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.4   1.6335968e+00   2.2509994e+00   2.0741105e+00  -8.2373673e-02  -9.8757735e-01  -5.4020023e-01   5.3414923e-01   1.4569790e-01  -6.5394254e-01   1.4138275e+04  -3.8946089e-01  -1.3168057e+00  -1.3368386e+00   6.6302002e-01   7.6758468e-01  -8.8285698e-01   2.2626632e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.5   1.5651103e+00   2.1130130e+00   1.9095444e+00  -2.8495383e-02  -9.7033316e-01  -6.0391628e-01   5.4297211e-01   1.9903109e-01  -6.1953208e-01   1.3562701e+04  -3.2243652e-01  -1.2371630e+00  -1.4207651e+00   6.7698953e-01   8.2421207e-01  -7.9491816e-01   2.1239618e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.6   1.4886101e+00   1.9670819e+00   1.7408651e+00   2.6129330e-02  -9.4780982e-01  -6.6394018e-01   5.4905287e-01   2.5120391e-01  -5.8012925e-01   1.2924904e+04  -2.5415971e-01  -1.1521810e+00  -1.4956819e+00   6.8805751e-01   8.7430959e-01  -7.0276934e-01   1.9772745e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.7   1.4045566e+00   1.8141271e+00   1.5690986e+00   8.1219043e-02  -9.2014636e-01  -7.1978248e-01   5.5224973e-01   3.0175741e-01  -5.3593881e-01   1.2228845e+04  -1.8492384e-01  -1.0625298e+00  -1.5612002e+00   6.9616115e-01   9.1754585e-01  -6.0705953e-01   1.8235272e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.8   1.3134779e+00   1.6551052e+00   1.3952545e+00   1.3647893e-01  -8.8752735e-01  -7.7097694e-01   5.5243672e-01   3.5024105e-01  -4.8722033e-01   1.1478964e+04  -1.1502807e-01  -9.6890956e-01  -1.6169977e+00   7.0124762e-01   9.5365220e-01  -5.0846726e-01   1.6636814e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.9   1.2159676e+00   1.4910017e+00   1.2203188e+00   1.9160243e-01  -8.5018174e-01  -8.1708598e-01   5.4950575e-01   3.9621782e-01  -4.3428677e-01   1.0680155e+04  -4.4776310e-02  -8.7204390e-01  -1.6628209e+00   7.0327471e-01   9.8242557e-01  -4.0769473e-01   1.4987275e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.0   1.1126805e+00   1.3228236e+00   1.0452469e+00   2.4627319e-01  -8.0838132e-01  -8.5770588e-01   5.4336871e-01   4.3926926e-01  -3.7750223e-01   9.8377367e+03   2.5523846e-02  -7.7267347e-01  -1.6984879e+00   7.0221134e-01   1.0037305e+00  -3.0546186e-01   1.3296780e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.1   1.0043280e+00   1.1515928e+00   8.7095732e-01   3.0016707e-01  -7.6243860e-01  -8.9247176e-01   5.3395932e-01   4.7900032e-01  -3.1727919e-01   8.9574138e+03   9.5562283e-02  -6.7154905e-01  -1.7238890e+00   6.9803813e-01   1.0175004e+00  -2.0249992e-01   1.1575599e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.2   8.9167298e-01   9.7833821e-01   6.9832660e-01   3.5295452e-01  -7.1270420e-01  -9.2106230e-01   5.2123492e-01   5.1504407e-01  -2.5407504e-01   8.0452363e+03   1.6502756e-01  -5.6942454e-01  -1.7389881e+00   6.9074797e-01   1.0237383e+00  -9.9545157e-02   9.8340760e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.3   7.7552362e-01   8.0408893e-01   5.2818361e-01   4.0430294e-01  -6.5956388e-01  -9.4320397e-01   5.0517791e-01   5.4706613e-01  -1.8838799e-01   7.1075536e+03   2.3360815e-01  -4.6705011e-01  -1.7438228e+00   6.8034652e-01   1.0225167e+00   2.6677733e-03   8.0825542e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.4   6.5672678e-01   6.2986647e-01   3.6130537e-01   4.5387928e-01  -6.0343500e-01  -9.5867491e-01   4.8579711e-01   5.7476877e-01  -1.2075248e-01   6.1509643e+03   3.0099377e-01  -3.6516522e-01  -1.7385035e+00   6.6685272e-01   1.0139766e+00   1.0341236e-01   6.3313021e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
