
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:32:43.

 
 
 
      Time          ROD1PX          ROD1PY          ROD1PZ
       (s)             (m)             (m)             (m)
    0.1000  -2.1692235E-20  -2.8212745E-20  -5.0003980E+00
    0.2000   3.3886881E-20  -1.1070206E-20  -5.0015920E+00
    0.3000   2.7914008E-20   2.4099595E-20  -5.0035818E+00
    0.4000   2.7446503E-20   2.4683581E-20  -5.0063671E+00
    0.5000   2.7467077E-20   2.4704204E-20  -5.0099474E+00
    0.6000   2.7491615E-20   2.4726262E-20  -5.0143220E+00
    0.7000   2.7519644E-20   2.4751454E-20  -5.0194903E+00
    0.8000   2.7551803E-20   2.4780362E-20  -5.0254514E+00
    0.9000   2.7588830E-20   2.4813648E-20  -5.0322043E+00
    1.0000   2.7631585E-20   2.4852085E-20  -5.0397479E+00
    1.1000   2.7681099E-20   2.4896602E-20  -5.0480810E+00
    1.2000   2.7738618E-20   2.4948318E-20  -5.0572021E+00
    1.3000   2.7805663E-20   2.5008603E-20  -5.0671097E+00
    1.4000   2.7884104E-20   2.5079137E-20  -5.0778023E+00
    1.5000   2.7976250E-20   2.5161997E-20  -5.0892780E+00
    1.6000   2.8084956E-20   2.5259752E-20  -5.1015350E+00
    1.7000   2.8213763E-20   2.5375586E-20  -5.1145712E+00
    1.8000   2.8367068E-20   2.5513454E-20  -5.1283845E+00
    1.9000   2.8550333E-20   2.5678269E-20  -5.1429728E+00
    2.0000   2.8770355E-20   2.5876142E-20  -5.1583335E+00
    2.1000   2.6887060E-20   2.4182293E-20  -5.1744643E+00
    2.2000   2.7164422E-20   2.4372501E-20  -5.1913624E+00
    2.3000   2.7553420E-20   2.4750869E-20  -5.2090253E+00
    2.4000   2.7905276E-20   2.5100658E-20  -5.2274500E+00
    2.5000   2.8269018E-20   2.5427830E-20  -5.2466337E+00
    2.6000   2.8643034E-20   2.5764244E-20  -5.2665732E+00
    2.7000   2.9042575E-20   2.6123617E-20  -5.2872654E+00
    2.8000   2.7307550E-20   2.4562931E-20  -5.3087070E+00
    2.9000   2.7732175E-20   2.4944868E-20  -5.3308948E+00
    3.0000   2.8130290E-20   2.5302958E-20  -5.3538251E+00
    3.1000   2.8517958E-20   2.5651653E-20  -5.3774945E+00
    3.2000   2.8910718E-20   2.6004926E-20  -5.4018992E+00
    3.3000   2.9324326E-20   2.6376954E-20  -5.4270356E+00
    3.4000   2.9775532E-20   2.6782801E-20  -5.4528997E+00
    3.5000   2.8039164E-20   2.5220906E-20  -5.4794877E+00
    3.6000   2.8478285E-20   2.5615882E-20  -5.5067954E+00
    3.7000   2.8903292E-20   2.5998162E-20  -5.5348188E+00
    3.8000   2.9331189E-20   2.6383042E-20  -5.5635537E+00
    3.9000   2.9779118E-20   2.6785942E-20  -5.5929958E+00
    4.0000   2.8024430E-20   2.5207567E-20  -5.6231407E+00
    4.1000   2.8508897E-20   2.5643333E-20  -5.6539840E+00
    4.2000   2.8960556E-20   2.6049587E-20  -5.6855212E+00
    4.3000   2.9397440E-20   2.6442552E-20  -5.7177477E+00
    4.4000   2.9836864E-20   2.6837800E-20  -5.7506588E+00
    4.5000   3.0296279E-20   2.7251031E-20  -5.7842499E+00
    4.6000   3.0794158E-20   2.7698861E-20  -5.8185161E+00
    4.7000   2.9027084E-20   2.6109345E-20  -5.8534527E+00
    4.8000   2.9509887E-20   2.6543614E-20  -5.8890546E+00
    4.9000   2.9977153E-20   2.6963907E-20  -5.9253170E+00
    5.0000   3.0447508E-20   2.7386979E-20  -5.9622349E+00
    5.1000   3.0939772E-20   2.7829758E-20  -5.9998032E+00
    5.2000   2.9145699E-20   2.6215957E-20  -6.0380167E+00
    5.3000   2.9679302E-20   2.6695919E-20  -6.0768703E+00
    5.4000   3.0179264E-20   2.7145624E-20  -6.1163589E+00
    5.5000   3.0665709E-20   2.7583168E-20  -6.1564771E+00
    5.6000   3.1158111E-20   2.8026071E-20  -6.1972197E+00
    5.7000   3.1676311E-20   2.8492180E-20  -6.2385813E+00
    5.8000   2.9860507E-20   2.6858831E-20  -6.2805567E+00
    5.9000   3.0403981E-20   2.7347673E-20  -6.3231404E+00
    6.0000   3.0915624E-20   2.7807884E-20  -6.3663270E+00
    6.1000   3.1416097E-20   2.8258047E-20  -6.4101110E+00
    6.2000   3.1925541E-20   2.8716280E-20  -6.4544871E+00
    6.3000   3.2464649E-20   2.9201196E-20  -6.4994496E+00
    6.4000   3.0618960E-20   2.7540964E-20  -6.5449931E+00
    6.5000   3.1190323E-20   2.8054894E-20  -6.5911121E+00
    6.6000   3.1731838E-20   2.8541974E-20  -6.6378010E+00
    6.7000   3.2265767E-20   2.9022232E-20  -6.6850542E+00
    6.8000   3.2814058E-20   2.9515408E-20  -6.7328662E+00
    6.9000   3.3399543E-20   3.0042039E-20  -6.7812314E+00
    7.0000   3.1530342E-20   2.8360660E-20  -6.8301442E+00
    7.1000   3.2111018E-20   2.8882966E-20  -6.8795990E+00
    7.2000   3.2668232E-20   2.9384168E-20  -6.9295902E+00
    7.3000   3.3225203E-20   2.9885151E-20  -6.9801122E+00
    7.4000   3.3805257E-20   3.0406898E-20  -7.0311593E+00
    7.5000   3.1884640E-20   2.8679269E-20  -7.0827261E+00
    7.6000   3.2510376E-20   2.9242108E-20  -7.1348069E+00
    7.7000   3.3095149E-20   2.9768099E-20  -7.1873960E+00
    7.8000   3.3663768E-20   3.0279560E-20  -7.2404880E+00
    7.9000   3.4240261E-20   3.0798104E-20  -7.2940773E+00
    8.0000   3.4849246E-20   3.1345874E-20  -7.3481582E+00
    8.1000   3.2899480E-20   2.9592025E-20  -7.4027252E+00
    8.2000   3.3544811E-20   3.0172490E-20  -7.4577728E+00
    8.3000   3.4156690E-20   3.0722863E-20  -7.5132955E+00
    8.4000   3.4761739E-20   3.1267094E-20  -7.5692877E+00
    8.5000   3.5386352E-20   3.1828922E-20  -7.6257440E+00
    8.6000   3.6058236E-20   3.2433270E-20  -7.6826589E+00
    8.7000   3.4074960E-20   3.0649279E-20  -7.7400269E+00
    8.8000   3.4722298E-20   3.1231549E-20  -7.7978427E+00
    8.9000   3.5349847E-20   3.1796018E-20  -7.8561007E+00
    9.0000   3.5985523E-20   3.2367797E-20  -7.9147957E+00
    9.1000   3.6657917E-20   3.2972604E-20  -7.9739222E+00
    9.2000   3.4638168E-20   3.1155805E-20  -8.0334750E+00
    9.3000   3.5323709E-20   3.1772438E-20  -8.0934488E+00
    9.4000   3.5976236E-20   3.2359375E-20  -8.1538382E+00
    9.5000   3.6625431E-20   3.2943315E-20  -8.2146381E+00
    9.6000   3.7300977E-20   3.3550958E-20  -8.2758432E+00
    9.7000   3.5221296E-20   3.1680249E-20  -8.3374484E+00
    9.8000   3.5953385E-20   3.2338753E-20  -8.3994485E+00
    9.9000   3.6638609E-20   3.2955101E-20  -8.4618384E+00
   10.0000   3.7308995E-20   3.3558103E-20  -8.5246130E+00
   10.1000   3.7995871E-20   3.4175937E-20  -8.5877674E+00
   10.2000   3.8731839E-20   3.4837930E-20  -8.6512964E+00
   10.3000   3.6630773E-20   3.2947985E-20  -8.7151951E+00
   10.4000   3.7366076E-20   3.3609380E-20  -8.7794586E+00
   10.5000   3.8076979E-20   3.4248827E-20  -8.8440820E+00
   10.6000   3.8797802E-20   3.4897196E-20  -8.9090605E+00
   10.7000   3.9563768E-20   3.5586172E-20  -8.9743892E+00
   10.8000   3.7421124E-20   3.3658828E-20  -9.0400634E+00
   10.9000   3.8175707E-20   3.4337566E-20  -9.1060783E+00
   11.0000   3.8899664E-20   3.4988754E-20  -9.1724293E+00
   11.1000   3.9628655E-20   3.5644471E-20  -9.2391116E+00
   11.2000   4.0398957E-20   3.6337348E-20  -9.3061207E+00
   11.3000   3.8204609E-20   3.4363496E-20  -9.3734520E+00
   11.4000   3.8989218E-20   3.5069242E-20  -9.4411010E+00
   11.5000   3.9735403E-20   3.5740424E-20  -9.5090633E+00
   11.6000   4.0480850E-20   3.6410943E-20  -9.5773342E+00
   11.7000   4.1263499E-20   3.7114927E-20  -9.6459096E+00
   11.8000   3.9017511E-20   3.5094624E-20  -9.7147850E+00
   11.9000   3.9844517E-20   3.5838506E-20  -9.7839561E+00
   12.0000   4.0626350E-20   3.6541755E-20  -9.8534186E+00
   12.1000   4.1403756E-20   3.7241021E-20  -9.9231683E+00
   12.2000   4.2217506E-20   3.7972980E-20  -9.9932011E+00
   12.3000   3.9930839E-20   3.5916086E-20  -1.0063513E+01
   12.4000   4.0788487E-20   3.6687531E-20  -1.0134099E+01
   12.5000   4.1598764E-20   3.7416365E-20  -1.0204957E+01
   12.6000   4.2405129E-20   3.8141681E-20  -1.0276081E+01
   12.7000   4.3251127E-20   3.8902647E-20  -1.0347468E+01
   12.8000   4.0927835E-20   3.6812808E-20  -1.0419113E+01
   12.9000   4.1826242E-20   3.7620916E-20  -1.0491014E+01
   13.0000   4.2680443E-20   3.8389260E-20  -1.0563166E+01
   13.1000   4.3537881E-20   3.9160517E-20  -1.0635566E+01
   13.2000   4.4446637E-20   3.9977934E-20  -1.0708209E+01
   13.3000   4.2090069E-20   3.7858163E-20  -1.0781092E+01
   13.4000   4.2984158E-20   3.8662388E-20  -1.0854212E+01
   13.5000   4.3844999E-20   3.9436705E-20  -1.0927564E+01
   13.6000   4.4721464E-20   4.0225076E-20  -1.1001146E+01
   13.7000   4.5664001E-20   4.1072879E-20  -1.1074953E+01
   13.8000   4.3245177E-20   3.8897109E-20  -1.1148983E+01
   13.9000   4.4147960E-20   3.9709153E-20  -1.1223231E+01
   14.0000   4.5028239E-20   4.0500955E-20  -1.1297695E+01
   14.1000   4.5937333E-20   4.1318677E-20  -1.1372371E+01
   14.2000   4.3460123E-20   3.9090388E-20  -1.1447255E+01
   14.3000   4.4451459E-20   3.9982086E-20  -1.1522345E+01
   14.4000   4.5380058E-20   4.0817352E-20  -1.1597637E+01
