## This file was generated by InflowWind_Driver on 27-Mar-2023 at 21:29:08.
## This file contains the wind acceleration at the 1000 points specified in the file /projects/openfast.worktrees/ifw-mod/build/reg_tests/modules/inflowwind/ifw_turbsimff/Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W
             (s)                (m)                (m)                (m)            (m/s/s)            (m/s/s)            (m/s/s)
     30.00000000        -4.50000000        -4.50000000       145.50000000        -4.10300808        -2.96502684        -8.01888639
     30.00000000        -4.50000000        -3.50000000       145.50000000        -4.95893627        -3.27784706        -6.73409434
     30.00000000        -4.50000000        -2.50000000       145.50000000        -5.81486446        -3.59066727        -5.44930228
     30.00000000        -4.50000000        -1.50000000       145.50000000        -6.67079264        -3.90348749        -4.16451022
     30.00000000        -4.50000000        -0.50000000       145.50000000        -7.52672083        -4.21630771        -2.87971817
     30.00000000        -4.50000000         0.50000000       145.50000000        -7.73222106        -3.17751993        -1.25391943
     30.00000000        -4.50000000         1.50000000       145.50000000        -7.28729333        -0.78712415         0.71288599
     30.00000000        -4.50000000         2.50000000       145.50000000        -6.84236560         1.60327163         2.67969141
     30.00000000        -4.50000000         3.50000000       145.50000000        -6.39743787         3.99366740         4.64649683
     30.00000000        -4.50000000         4.50000000       145.50000000        -5.95251014         6.38406318         6.61330224
     30.00000000        -4.50000000        -4.50000000       146.50000000        -7.29113404        -4.84647746        -8.35587306
     30.00000000        -4.50000000        -3.50000000       146.50000000        -6.80584877        -4.22492156        -6.16810751
     30.00000000        -4.50000000        -2.50000000       146.50000000        -6.32056350        -3.60336567        -3.98034197
     30.00000000        -4.50000000        -1.50000000       146.50000000        -5.83527823        -2.98180977        -1.79257643
     30.00000000        -4.50000000        -0.50000000       146.50000000        -5.34999296        -2.36025388         0.39518911
     30.00000000        -4.50000000         0.50000000       146.50000000        -4.96335968        -0.32833638         1.91419908
     30.00000000        -4.50000000         1.50000000       146.50000000        -4.67537839         3.11394273         2.76445347
     30.00000000        -4.50000000         2.50000000       146.50000000        -4.38739710         6.55622184         3.61470786
     30.00000000        -4.50000000         3.50000000       146.50000000        -4.09941582         9.99850095         4.46496225
     30.00000000        -4.50000000         4.50000000       146.50000000        -3.81143453        13.44078006         5.31521664
     30.00000000        -4.50000000        -4.50000000       147.50000000       -10.47926001        -6.72792807        -8.69285972
     30.00000000        -4.50000000        -3.50000000       147.50000000        -8.65276128        -5.17199607        -5.60212069
     30.00000000        -4.50000000        -2.50000000       147.50000000        -6.82626255        -3.61606406        -2.51138166
     30.00000000        -4.50000000        -1.50000000       147.50000000        -4.99976382        -2.06013206         0.57935736
     30.00000000        -4.50000000        -0.50000000       147.50000000        -3.17326509        -0.50420005         3.67009639
     30.00000000        -4.50000000         0.50000000       147.50000000        -2.19449830         2.52084717         5.08231758
     30.00000000        -4.50000000         1.50000000       147.50000000        -2.06346345         7.01500961         4.81602095
     30.00000000        -4.50000000         2.50000000       147.50000000        -1.93242861        11.50917206         4.54972431
     30.00000000        -4.50000000         3.50000000       147.50000000        -1.80139376        16.00333450         4.28342768
     30.00000000        -4.50000000         4.50000000       147.50000000        -1.67035892        20.49749695         4.01713104
     30.00000000        -4.50000000        -4.50000000       148.50000000        -9.28998416        -7.40949102        -8.98114290
     30.00000000        -4.50000000        -3.50000000       148.50000000        -7.27911838        -5.38826842        -5.34543576
     30.00000000        -4.50000000        -2.50000000       148.50000000        -5.26825261        -3.36704582        -1.70972862
     30.00000000        -4.50000000        -1.50000000       148.50000000        -3.25738683        -1.34582322         1.92597853
     30.00000000        -4.50000000        -0.50000000       148.50000000        -1.24652106         0.67539938         5.56168567
     30.00000000        -4.50000000         0.50000000       148.50000000        -0.04972386         3.79960518         7.01868814
     30.00000000        -4.50000000         1.50000000       148.50000000         0.33300475         8.02679417         6.29698594
     30.00000000        -4.50000000         2.50000000       148.50000000         0.71573337        12.25398317         5.57528374
     30.00000000        -4.50000000         3.50000000       148.50000000         1.09846198        16.48117217         4.85358154
     30.00000000        -4.50000000         4.50000000       148.50000000         1.48119059        20.70836116         4.13187933
     30.00000000        -4.50000000        -4.50000000       149.50000000        -3.72323135        -6.89114570        -9.22072178
     30.00000000        -4.50000000        -3.50000000       149.50000000        -2.68486480        -4.87372607        -5.39805803
     30.00000000        -4.50000000        -2.50000000       149.50000000        -1.64649825        -2.85630645        -1.57539428
     30.00000000        -4.50000000        -1.50000000       149.50000000        -0.60813171        -0.83888682         2.24726947
     30.00000000        -4.50000000        -0.50000000       149.50000000         0.43023484         1.17853281         6.06993322
     30.00000000        -4.50000000         0.50000000       149.50000000         1.47095292         3.50791068         7.72328961
     30.00000000        -4.50000000         1.50000000       149.50000000         2.51402253         6.14924681         7.20733865
     30.00000000        -4.50000000         2.50000000       149.50000000         3.55709214         8.79058294         6.69138769
     30.00000000        -4.50000000         3.50000000       149.50000000         4.60016175        11.43191907         6.17543673
     30.00000000        -4.50000000         4.50000000       149.50000000         5.64323136        14.07325520         5.65948577
     30.00000000        -4.50000000        -4.50000000       150.50000000         1.84352146        -6.37280037        -9.46030065
     30.00000000        -4.50000000        -3.50000000       150.50000000         1.90938878        -4.35918372        -5.45068030
     30.00000000        -4.50000000        -2.50000000       150.50000000         1.97525610        -2.34556707        -1.44105995
     30.00000000        -4.50000000        -1.50000000       150.50000000         2.04112342        -0.33195042         2.56856041
     30.00000000        -4.50000000        -0.50000000       150.50000000         2.10699073         1.68166623         6.57818076
     30.00000000        -4.50000000         0.50000000       150.50000000         2.99162970         3.21621619         8.42789108
     30.00000000        -4.50000000         1.50000000       150.50000000         4.69504030         4.27169945         8.11769136
     30.00000000        -4.50000000         2.50000000       150.50000000         6.39845091         5.32718271         7.80749165
