## This file was generated by InflowWind_Driver on 19-May-2021 at 13:54:50.
## This file contains the wind velocity at the 1000 points specified in the file ./Points.inp.
# 
#        T                X                Y                Z                U                V                W
#       (s)              (m)              (m)              (m)             (m/s)            (m/s)            (m/s)
    30.0000000       -4.5000000        3.5000000      150.5000000       14.4483148       -0.5484961       -0.0566901
    30.0000000       -4.5000000        4.5000000      150.5000000       14.1908146       -0.5392564        0.1006172
    30.0000000       -4.5000000       -4.5000000      151.5000000       15.6095848       -0.1408416        1.0737751
    30.0000000       -4.5000000       -3.5000000      151.5000000       15.4798049       -0.2672024        0.6885953
    30.0000000       -4.5000000       -2.5000000      151.5000000       15.3500251       -0.3935633        0.3034155
    30.0000000       -4.5000000       -1.5000000      151.5000000       15.2202452       -0.5199241       -0.0817642
    30.0000000       -4.5000000       -0.5000000      151.5000000       15.0904653       -0.6462849       -0.4669440
    30.0000000       -4.5000000        0.5000000      151.5000000       14.8949673       -0.7219203       -0.5650038
    30.0000000       -4.5000000        1.5000000      151.5000000       14.6337512       -0.7468304       -0.3759435
    30.0000000       -4.5000000        2.5000000      151.5000000       14.3725350       -0.7717405       -0.1868832
    30.0000000       -4.5000000        3.5000000      151.5000000       14.1113188       -0.7966505        0.0021771
    30.0000000       -4.5000000        4.5000000      151.5000000       13.8501027       -0.8215606        0.1912374
    30.0000000       -4.5000000       -4.5000000      152.5000000       15.7099976       -0.3672921        0.9629185
    30.0000000       -4.5000000       -3.5000000      152.5000000       15.4859060       -0.4719150        0.5907583
    30.0000000       -4.5000000       -2.5000000      152.5000000       15.2618144       -0.5765380        0.2185981
    30.0000000       -4.5000000       -1.5000000      152.5000000       15.0377228       -0.6811610       -0.1535621
    30.0000000       -4.5000000       -0.5000000      152.5000000       14.8136312       -0.7857839       -0.5257223
    30.0000000       -4.5000000        0.5000000      152.5000000       14.5691193       -0.8676253       -0.6013957
    30.0000000       -4.5000000        1.5000000      152.5000000       14.3041872       -0.9266852       -0.3805824
    30.0000000       -4.5000000        2.5000000      152.5000000       14.0392551       -0.9857451       -0.1597691
    30.0000000       -4.5000000        3.5000000      152.5000000       13.7743229       -1.0448049        0.0610442
    30.0000000       -4.5000000        4.5000000      152.5000000       13.5093908       -1.1038648        0.2818575
    30.0000000       -4.5000000       -4.5000000      153.5000000       15.8951072       -0.4159563        0.6857720
    30.0000000       -4.5000000       -3.5000000      153.5000000       15.6476629       -0.4201540        0.3504614
    30.0000000       -4.5000000       -2.5000000      153.5000000       15.4002186       -0.4243517        0.0151507
    30.0000000       -4.5000000       -1.5000000      153.5000000       15.1527742       -0.4285494       -0.3201600
    30.0000000       -4.5000000       -0.5000000      153.5000000       14.9053299       -0.4327470       -0.6554706
