
These predictions were generated by SubDyn on 27-Nov-2023 at 17:39:03.




    Time	  M1N1TDxss	  M1N2TDxss	  M2N1TDxss
       s	        (m)	        (m)	        (m)
    0.0000	-1.0998E-02	-5.0512E-02	 3.8431E-02
    0.0050	-8.5875E-03	-4.5372E-02	 5.6369E-02
    0.0100	-1.5135E-03	-3.0286E-02	 1.0901E-01
    0.0150	 9.8563E-03	-6.0384E-03	 1.9362E-01
    0.0200	 2.4994E-02	 2.6244E-02	 3.0627E-01
    0.0250	 4.3235E-02	 6.5146E-02	 4.4202E-01
    0.0300	 6.3807E-02	 1.0902E-01	 5.9512E-01
    0.0350	 8.5862E-02	 1.5605E-01	 7.5924E-01
    0.0400	 1.0851E-01	 2.0435E-01	 9.2778E-01
    0.0450	 1.3086E-01	 2.5201E-01	 1.0941E+00
    0.0500	 1.5203E-01	 2.9717E-01	 1.2517E+00
    0.0550	 1.7124E-01	 3.3813E-01	 1.3946E+00
    0.0600	 1.8776E-01	 3.7337E-01	 1.5176E+00
    0.0650	 2.0102E-01	 4.0163E-01	 1.6162E+00
    0.0700	 2.1054E-01	 4.2194E-01	 1.6871E+00
    0.0750	 2.1604E-01	 4.3367E-01	 1.7280E+00
    0.0800	 2.1738E-01	 4.3653E-01	 1.7380E+00
    0.0850	 2.1459E-01	 4.3058E-01	 1.7172E+00
    0.0900	 2.0786E-01	 4.1623E-01	 1.6671E+00
    0.0950	 1.9753E-01	 3.9419E-01	 1.5902E+00
    0.1000	 1.8407E-01	 3.6550E-01	 1.4901E+00
    0.1050	 1.6808E-01	 3.3138E-01	 1.3711E+00
    0.1100	 1.5021E-01	 2.9329E-01	 1.2381E+00
    0.1150	 1.3122E-01	 2.5278E-01	 1.0968E+00
    0.1200	 1.1185E-01	 2.1148E-01	 9.5267E-01
    0.1250	 9.2884E-02	 1.7103E-01	 8.1149E-01
    0.1300	 7.5039E-02	 1.3297E-01	 6.7870E-01
    0.1350	 5.8995E-02	 9.8755E-02	 5.5930E-01
    0.1400	 4.5341E-02	 6.9637E-02	 4.5769E-01
    0.1450	 3.4564E-02	 4.6652E-02	 3.7749E-01
    0.1500	 2.7026E-02	 3.0578E-02	 3.2140E-01
    0.1550	 2.2959E-02	 2.1904E-02	 2.9113E-01
    0.1600	 2.2453E-02	 2.0825E-02	 2.8736E-01
    0.1650	 2.5457E-02	 2.7231E-02	 3.0972E-01
    0.1700	 3.1785E-02	 4.0727E-02	 3.5681E-01
    0.1750	 4.1126E-02	 6.0647E-02	 4.2632E-01
    0.1800	 5.3054E-02	 8.6086E-02	 5.1509E-01
    0.1850	 6.7055E-02	 1.1594E-01	 6.1928E-01
    0.1900	 8.2541E-02	 1.4897E-01	 7.3453E-01
    0.1950	 9.8879E-02	 1.8381E-01	 8.5611E-01
    0.2000	 1.1541E-01	 2.1907E-01	 9.7916E-01
    0.2050	 1.3150E-01	 2.5338E-01	 1.0989E+00
    0.2100	 1.4651E-01	 2.8539E-01	 1.2106E+00
    0.2150	 1.5989E-01	 3.1393E-01	 1.3102E+00
    0.2200	 1.7115E-01	 3.3793E-01	 1.3939E+00
    0.2250	 1.7988E-01	 3.5655E-01	 1.4589E+00
    0.2300	 1.8580E-01	 3.6918E-01	 1.5030E+00
    0.2350	 1.8873E-01	 3.7543E-01	 1.5248E+00
    0.2400	 1.8862E-01	 3.7519E-01	 1.5239E+00
    0.2450	 1.8553E-01	 3.6860E-01	 1.5009E+00
    0.2500	 1.7964E-01	 3.5603E-01	 1.4571E+00
    0.2550	 1.7123E-01	 3.3810E-01	 1.3945E+00
    0.2600	 1.6068E-01	 3.1561E-01	 1.3160E+00
    0.2650	 1.4845E-01	 2.8953E-01	 1.2250E+00
    0.2700	 1.3505E-01	 2.6094E-01	 1.1253E+00
    0.2750	 1.2101E-01	 2.3101E-01	 1.0208E+00
    0.2800	 1.0691E-01	 2.0094E-01	 9.1588E-01
    0.2850	 9.3292E-02	 1.7190E-01	 8.1453E-01
    0.2900	 8.0678E-02	 1.4500E-01	 7.2066E-01
    0.2950	 6.9541E-02	 1.2124E-01	 6.3778E-01
    0.3000	 6.0286E-02	 1.0151E-01	 5.6891E-01
    0.3050	 5.3239E-02	 8.6479E-02	 5.1647E-01
    0.3100	 4.8629E-02	 7.6649E-02	 4.8216E-01
    0.3150	 4.6590E-02	 7.2299E-02	 4.6698E-01
    0.3200	 4.7149E-02	 7.3492E-02	 4.7115E-01
    0.3250	 5.0235E-02	 8.0073E-02	 4.9411E-01
    0.3300	 5.5676E-02	 9.1677E-02	 5.3460E-01
    0.3350	 6.3215E-02	 1.0775E-01	 5.9071E-01
    0.3400	 7.2516E-02	 1.2759E-01	 6.5992E-01
    0.3450	 8.3182E-02	 1.5034E-01	 7.3929E-01
