
Predictions were generated on 23-Apr-2022 at 11:43:21 using AeroDisk




Time	ADSpeed             	ADTSR               	ADPitch             	ADVWindx            	ADVWindy            	ADVWindz            	ADSTVx              	ADSTVy              	ADSTVz              	ADVRel              	ADSkew              	ADCp                	ADCt                	ADCq                	ADFx                	ADFy                	ADFz                	ADMx                	ADMy                	ADMz                	ADPower             
(s)	(rpm)	(-)	(deg)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(deg)	(-)	(-)	(-)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(W)
       0.000000	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.019989	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.039978	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.059967	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.079956	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.099945	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.119934	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.139923	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.159912	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.179901	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.199890	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.219879	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.239868	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.259857	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.279846	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.299835	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
       0.319824	  9.899998664856E+00	  8.164213180542E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443731785E-01	  8.613351583481E-01	  5.605492368340E-02	  4.210069375000E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121625000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514375000E+06
