
These predictions were generated by SubDyn on 25-Apr-2025 at 11:51:38.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    1.3000	 8.5875E-09	 9.1097E-03
    1.3100	 8.8154E-09	 9.2994E-03
    1.3200	 9.0462E-09	 9.4912E-03
    1.3300	 9.2799E-09	 9.6851E-03
    1.3400	 9.5164E-09	 9.8811E-03
    1.3500	 9.7557E-09	 1.0079E-02
    1.3600	 9.9979E-09	 1.0279E-02
    1.3700	 1.0243E-08	 1.0482E-02
    1.3800	 1.0491E-08	 1.0686E-02
    1.3900	 1.0741E-08	 1.0892E-02
    1.4000	 1.0995E-08	 1.1101E-02
    1.4100	 1.1251E-08	 1.1311E-02
    1.4200	 1.1510E-08	 1.1524E-02
    1.4300	 1.1771E-08	 1.1738E-02
    1.4400	 1.2036E-08	 1.1955E-02
    1.4500	 1.2303E-08	 1.2174E-02
    1.4600	 1.2573E-08	 1.2394E-02
    1.4700	 1.2845E-08	 1.2617E-02
    1.4800	 1.3120E-08	 1.2841E-02
    1.4900	 1.3398E-08	 1.3068E-02
    1.5000	 1.3679E-08	 1.3296E-02
    1.5100	 1.3962E-08	 1.3527E-02
    1.5200	 1.4247E-08	 1.3759E-02
    1.5300	 1.4536E-08	 1.3994E-02
    1.5400	 1.4827E-08	 1.4230E-02
    1.5500	 1.5120E-08	 1.4468E-02
    1.5600	 1.5416E-08	 1.4708E-02
    1.5700	 1.5715E-08	 1.4950E-02
    1.5800	 1.6016E-08	 1.5193E-02
    1.5900	 1.6319E-08	 1.5439E-02
    1.6000	 1.6625E-08	 1.5686E-02
    1.6100	 1.6933E-08	 1.5935E-02
    1.6200	 1.7244E-08	 1.6186E-02
    1.6300	 1.7557E-08	 1.6438E-02
    1.6400	 1.7873E-08	 1.6693E-02
    1.6500	 1.8191E-08	 1.6949E-02
    1.6600	 1.8511E-08	 1.7207E-02
    1.6700	 1.8833E-08	 1.7466E-02
    1.6800	 1.9158E-08	 1.7728E-02
    1.6900	 1.9485E-08	 1.7990E-02
    1.7000	 1.9814E-08	 1.8255E-02
    1.7100	 2.0146E-08	 1.8521E-02
    1.7200	 2.0479E-08	 1.8789E-02
    1.7300	 2.0815E-08	 1.9058E-02
    1.7400	 2.1153E-08	 1.9329E-02
    1.7500	 2.1493E-08	 1.9601E-02
    1.7600	 2.1835E-08	 1.9875E-02
    1.7700	 2.2179E-08	 2.0151E-02
    1.7800	 2.2525E-08	 2.0428E-02
    1.7900	 2.2873E-08	 2.0706E-02
    1.8000	 2.3223E-08	 2.0986E-02
    1.8100	 2.3575E-08	 2.1267E-02
    1.8200	 2.3929E-08	 2.1550E-02
    1.8300	 2.4284E-08	 2.1834E-02
    1.8400	 2.4642E-08	 2.2119E-02
    1.8500	 2.5001E-08	 2.2406E-02
    1.8600	 2.5362E-08	 2.2694E-02
    1.8700	 2.5725E-08	 2.2983E-02
    1.8800	 2.6089E-08	 2.3274E-02
    1.8900	 2.6455E-08	 2.3565E-02
    1.9000	 2.6823E-08	 2.3858E-02
    1.9100	 2.7192E-08	 2.4152E-02
    1.9200	 2.7563E-08	 2.4448E-02
    1.9300	 2.7936E-08	 2.4744E-02
    1.9400	 2.8310E-08	 2.5042E-02
    1.9500	 2.8685E-08	 2.5340E-02
    1.9600	 2.9062E-08	 2.5640E-02
    1.9700	 2.9440E-08	 2.5941E-02
    1.9800	 2.9820E-08	 2.6243E-02
    1.9900	 3.0201E-08	 2.6545E-02
    2.0000	 3.0583E-08	 2.6849E-02
    2.0100	 3.0967E-08	 2.7154E-02
    2.0200	 3.1352E-08	 2.7459E-02
    2.0300	 3.1738E-08	 2.7766E-02
    2.0400	 3.2125E-08	 2.8073E-02
    2.0500	 3.2513E-08	 2.8381E-02
    2.0600	 3.2902E-08	 2.8690E-02
    2.0700	 3.3293E-08	 2.9000E-02
    2.0800	 3.3684E-08	 2.9310E-02
    2.0900	 3.4077E-08	 2.9621E-02
    2.1000	 3.4470E-08	 2.9933E-02
    2.1100	 3.4864E-08	 3.0246E-02
    2.1200	 3.5259E-08	 3.0559E-02
    2.1300	 3.5655E-08	 3.0873E-02
    2.1400	 3.6052E-08	 3.1187E-02
    2.1500	 3.6449E-08	 3.1502E-02
    2.1600	 3.6847E-08	 3.1817E-02
    2.1700	 3.7246E-08	 3.2133E-02
    2.1800	 3.7646E-08	 3.2450E-02
    2.1900	 3.8046E-08	 3.2767E-02
    2.2000	 3.8446E-08	 3.3084E-02
    2.2100	 3.8848E-08	 3.3401E-02
    2.2200	 3.9249E-08	 3.3719E-02
    2.2300	 3.9651E-08	 3.4038E-02
    2.2400	 4.0054E-08	 3.4356E-02
    2.2500	 4.0457E-08	 3.4675E-02
    2.2600	 4.0860E-08	 3.4994E-02
    2.2700	 4.1263E-08	 3.5314E-02
    2.2800	 4.1667E-08	 3.5633E-02
    2.2900	 4.2071E-08	 3.5953E-02
    2.3000	 4.2475E-08	 3.6273E-02
    2.3100	 4.2879E-08	 3.6593E-02
    2.3200	 4.3283E-08	 3.6913E-02
    2.3300	 4.3688E-08	 3.7233E-02
    2.3400	 4.4092E-08	 3.7553E-02
    2.3500	 4.4496E-08	 3.7872E-02
    2.3600	 4.4901E-08	 3.8192E-02
    2.3700	 4.5305E-08	 3.8512E-02
    2.3800	 4.5709E-08	 3.8832E-02
    2.3900	 4.6113E-08	 3.9152E-02
    2.4000	 4.6516E-08	 3.9471E-02
    2.4100	 4.6920E-08	 3.9790E-02
    2.4200	 4.7323E-08	 4.0109E-02
    2.4300	 4.7725E-08	 4.0428E-02
    2.4400	 4.8128E-08	 4.0747E-02
    2.4500	 4.8529E-08	 4.1065E-02
    2.4600	 4.8931E-08	 4.1383E-02
    2.4700	 4.9332E-08	 4.1700E-02
    2.4800	 4.9732E-08	 4.2017E-02
    2.4900	 5.0132E-08	 4.2334E-02
    2.5000	 5.0531E-08	 4.2650E-02
    2.5100	 5.0930E-08	 4.2966E-02
    2.5200	 5.1328E-08	 4.3281E-02
    2.5300	 5.1725E-08	 4.3596E-02
    2.5400	 5.2121E-08	 4.3910E-02
    2.5500	 5.2517E-08	 4.4223E-02
    2.5600	 5.2912E-08	 4.4536E-02
    2.5700	 5.3305E-08	 4.4849E-02
    2.5800	 5.3698E-08	 4.5160E-02
    2.5900	 5.4090E-08	 4.5471E-02
    2.6000	 5.4481E-08	 4.5781E-02
    2.6100	 5.4871E-08	 4.6091E-02
    2.6200	 5.5260E-08	 4.6399E-02
    2.6300	 5.5648E-08	 4.6707E-02
    2.6400	 5.6035E-08	 4.7014E-02
    2.6500	 5.6420E-08	 4.7320E-02
    2.6600	 5.6805E-08	 4.7625E-02
    2.6700	 5.7188E-08	 4.7930E-02
    2.6800	 5.7570E-08	 4.8233E-02
    2.6900	 5.7950E-08	 4.8535E-02
    2.7000	 5.8329E-08	 4.8837E-02
    2.7100	 5.8707E-08	 4.9137E-02
    2.7200	 5.9083E-08	 4.9436E-02
    2.7300	 5.9458E-08	 4.9734E-02
    2.7400	 5.9831E-08	 5.0032E-02
    2.7500	 6.0203E-08	 5.0328E-02
    2.7600	 6.0574E-08	 5.0622E-02
    2.7700	 6.0942E-08	 5.0916E-02
    2.7800	 6.1310E-08	 5.1209E-02
    2.7900	 6.1675E-08	 5.1500E-02
    2.8000	 6.2039E-08	 5.1790E-02
    2.8100	 6.2401E-08	 5.2079E-02
    2.8200	 6.2761E-08	 5.2366E-02
    2.8300	 6.3120E-08	 5.2652E-02
    2.8400	 6.3476E-08	 5.2937E-02
    2.8500	 6.3831E-08	 5.3221E-02
    2.8600	 6.4184E-08	 5.3503E-02
    2.8700	 6.4535E-08	 5.3783E-02
    2.8800	 6.4885E-08	 5.4063E-02
    2.8900	 6.5232E-08	 5.4340E-02
    2.9000	 6.5577E-08	 5.4617E-02
    2.9100	 6.5920E-08	 5.4892E-02
    2.9200	 6.6261E-08	 5.5165E-02
    2.9300	 6.6601E-08	 5.5437E-02
    2.9400	 6.6938E-08	 5.5707E-02
    2.9500	 6.7272E-08	 5.5976E-02
    2.9600	 6.7605E-08	 5.6243E-02
    2.9700	 6.7936E-08	 5.6508E-02
    2.9800	 6.8264E-08	 5.6772E-02
    2.9900	 6.8590E-08	 5.7034E-02
    3.0000	 6.8914E-08	 5.7295E-02
    3.0100	 6.9236E-08	 5.7554E-02
    3.0200	 6.9555E-08	 5.7811E-02
    3.0300	 6.9872E-08	 5.8066E-02
    3.0400	 7.0186E-08	 5.8320E-02
    3.0500	 7.0499E-08	 5.8572E-02
    3.0600	 7.0808E-08	 5.8822E-02
    3.0700	 7.1116E-08	 5.9070E-02
    3.0800	 7.1421E-08	 5.9317E-02
    3.0900	 7.1723E-08	 5.9562E-02
    3.1000	 7.2023E-08	 5.9805E-02
    3.1100	 7.2321E-08	 6.0046E-02
    3.1200	 7.2616E-08	 6.0285E-02
    3.1300	 7.2908E-08	 6.0522E-02
    3.1400	 7.3198E-08	 6.0758E-02
    3.1500	 7.3485E-08	 6.0991E-02
    3.1600	 7.3770E-08	 6.1223E-02
    3.1700	 7.4052E-08	 6.1452E-02
    3.1800	 7.4331E-08	 6.1680E-02
