      Time     FAIRTEN1     FAIRTEN2     FAIRTEN3       CON4FX       CON4FY       CON4FZ       CON5FX       CON5FY       CON5FZ       CON6FX       CON6FY       CON6FZ      L1N19PX      L1N19PY      L1N19PZ      L2N19PX      L2N19PY      L2N19PZ      L3N19PX      L3N19PY      L3N19PZ
       (s)          (N)          (N)          (N)          (N)          (N)          (N)          (N)          (N)          (N)          (N)          (N)          (N)          (m)          (m)          (m)          (m)          (m)          (m)          (m)          (m)          (m)
    0.0000  0.99171E+06  0.13825E+07  0.99171E+06  0.39448E+06  0.69112E+06 -0.59180E+06 -0.11829E+07  0.00000E+00 -0.71567E+06  0.39448E+06 -0.69112E+06 -0.59180E+06  0.41818E+02  0.64929E+02 -0.39010E+02 -0.72408E+02  0.00000E+00 -0.33799E+02  0.41818E+02 -0.64929E+02 -0.39010E+02
    0.0125  0.99182E+06  0.13820E+07  0.99182E+06  0.39453E+06  0.69119E+06 -0.59186E+06 -0.11825E+07  0.33912E-04 -0.71538E+06  0.39453E+06 -0.69119E+06 -0.59186E+06  0.41818E+02  0.64929E+02 -0.39010E+02 -0.72408E+02  0.00000E+00 -0.33798E+02  0.41818E+02 -0.64929E+02 -0.39010E+02
    0.0250  0.99176E+06  0.13817E+07  0.99176E+06  0.39450E+06  0.69115E+06 -0.59183E+06 -0.11822E+07  0.19519E-03 -0.71520E+06  0.39450E+06 -0.69115E+06 -0.59183E+06  0.41818E+02  0.64929E+02 -0.39010E+02 -0.72409E+02 -0.85886E-12 -0.33797E+02  0.41818E+02 -0.64929E+02 -0.39010E+02
    0.0375  0.99179E+06  0.13813E+07  0.99178E+06  0.39452E+06  0.69117E+06 -0.59184E+06 -0.11819E+07  0.51459E-03 -0.71496E+06  0.39451E+06 -0.69117E+06 -0.59184E+06  0.41818E+02  0.64929E+02 -0.39010E+02 -0.72409E+02 -0.74683E-11 -0.33797E+02  0.41818E+02 -0.64929E+02 -0.39010E+02
    0.0500  0.99182E+06  0.13809E+07  0.99181E+06  0.39453E+06  0.69119E+06 -0.59186E+06 -0.11815E+07  0.10896E-02 -0.71473E+06  0.39453E+06 -0.69119E+06 -0.59186E+06  0.41818E+02  0.64929E+02 -0.39010E+02 -0.72410E+02 -0.30800E-10 -0.33796E+02  0.41818E+02 -0.64929E+02 -0.39010E+02
    0.0625  0.99185E+06  0.13805E+07  0.99184E+06  0.39454E+06  0.69122E+06 -0.59188E+06 -0.11812E+07  0.19597E-02 -0.71450E+06  0.39454E+06 -0.69122E+06 -0.59188E+06  0.41818E+02  0.64929E+02 -0.39010E+02 -0.72410E+02 -0.88959E-10 -0.33795E+02  0.41818E+02 -0.64929E+02 -0.39010E+02
    0.0750  0.99188E+06  0.13801E+07  0.99188E+06  0.39455E+06  0.69124E+06 -0.59190E+06 -0.11809E+07  0.31160E-02 -0.71428E+06  0.39455E+06 -0.69124E+06 -0.59189E+06  0.41818E+02  0.64929E+02 -0.39010E+02 -0.72411E+02 -0.21055E-09 -0.33794E+02  0.41818E+02 -0.64929E+02 -0.39010E+02
    0.0875  0.99191E+06  0.13797E+07  0.99191E+06  0.39456E+06  0.69127E+06 -0.59192E+06 -0.11806E+07  0.43460E-02 -0.71406E+06  0.39456E+06 -0.69126E+06 -0.59191E+06  0.41818E+02  0.64929E+02 -0.39009E+02 -0.72411E+02 -0.43323E-09 -0.33794E+02  0.41818E+02 -0.64929E+02 -0.39009E+02
    0.1000  0.99195E+06  0.13794E+07  0.99195E+06  0.39457E+06  0.69129E+06 -0.59194E+06 -0.11803E+07  0.53903E-02 -0.71384E+06  0.39457E+06 -0.69129E+06 -0.59193E+06  0.41818E+02  0.64929E+02 -0.39009E+02 -0.72411E+02 -0.79810E-09 -0.33793E+02  0.41818E+02 -0.64929E+02 -0.39009E+02
