## This file was generated by AeroDyn_Inflow_Driver on Sep-23-2026 at 12:43:23
## This file contains output channels requested from the OutList section of the AD15 and IfW input filespy_ad_driver.out
#
#
#
#
     Time               TwN1Fbx                  TwN3Fby                  TwN4Fbz                  TwN6Mbx                  TwN5Mby                  TwN2Mbz                  B2N4Fbn                  B1N7Fbt                  B2N8Fbs                  B1N2Mbn                  B2N3Mbt                  B1N6Mbs                  B1FldFz                  B2FldMx                   HbFbx                    HbFby                    HbFbz                    HbMbx                    HbMby                    HbMbz                    NcFbx                    NcFby                    NcFbz                    NcMbx                    NcMby                    NcMbz                   RtFldFxh                 RtFldFyh                 RtFldFzg                 RtFldMxh                 RtFldMyg                 RtFldMzh                B1N3SigCr                B2N5SigCr                B1N2SgCav                B2N6SgCav        
      (s)                (N/m)                    (N/m)                    (N/m)                   (N-m/m)                  (N-m/m)                  (N-m/m)                   (N/m)                    (N/m)                    (N/m)                   (N-m/m)                  (N-m/m)                  (N-m/m)                    (N)                     (N-m)                     (N)                      (N)                      (N)                     (N-m)                    (N-m)                    (N-m)                     (N)                      (N)                      (N)                     (N-m)                    (N-m)                    (N-m)                     (N)                      (N)                      (N)                     (N-m)                    (N-m)                    (N-m)                     (-)                      (-)                      (-)                      (-)           
    1.0000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000             1127.5174561             1285.4282227            -8401.2382812            -3426.3039551             1182.7912598               10.2486553           -92440.6640625            81285.7656250            -2714.8015137            69040.9296875            18500.2558594               -6.7201161            -4766.2280273            15344.1513672            52680.2656250            -2823.2192383         -1389710.2500000               -0.0000000          -166719.9687500              338.6943359            70810.5000000            88310.4609375            69527.8281250             5357.9667969           -59711.0585938            12969.4501953               34.4486008               11.2127628                1.6385347                0.9953053
    1.1000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000             1050.4219971             1329.0626221            -8005.1333008            -3454.6018066             1161.2568359               14.5145731           -95728.0781250            81012.5078125            -3163.4255371            71151.1484375            10976.0927734               -2.4608190            -2837.7844238            15814.0156250            61316.3125000            -3115.2221680         -1389355.3750000                0.0000000          -166677.3906250              373.7251587            62908.5703125            74477.5546875            60592.9843750             1551.2791748           -31182.1972656             9431.7197266               35.9947701               11.2442570                1.6557441                0.9828900
    1.2000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              922.0632935             1340.3973389            -7603.9252930            -3485.9997559             1138.0175781               16.9355850           -99178.8203125            79655.5312500            -3613.3869629            72153.8046875             3387.7509766                0.2518037             -868.6007690            16037.1123047            70091.7890625            -3393.2182617         -1388939.7500000                0.0000000          -166627.5156250              407.0756531            58679.4492188            58477.8085938            51678.2500000             -744.1476440            -9526.9628906             5363.6772461               37.4823990               11.2247810                1.6890566                0.9680334
    1.3000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              823.1267700             1337.9914551            -7206.1621094            -3508.0783691             1116.7116699               18.9837952          -102732.2343750            77832.1328125            -4074.4990234            72085.3750000            -4141.7387695               -0.7274005             1075.5336914            16019.8886719            78811.8359375            -3671.0817871         -1388471.5000000               -0.0000000          -166571.3437500              440.4102173            57793.2109375            41526.3437500            43103.2656250            -1186.8240967             -187.4858704             1420.7583008               38.6632195               11.3595724                1.7322183                0.9580307
    1.4000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              752.3944092             1326.4029541            -6816.4326172            -3530.6669922             1094.6105957               18.7906361          -106271.5781250            74833.0703125            -4512.9487305            70965.0859375           -11501.7285156               -4.5334435             2981.5854492            15772.8701172            87127.6796875            -3908.0478516         -1387973.8750000                0.0000000          -166511.6406250              468.8384399            58639.2304688            24508.5605469            34954.8476562             -783.4144287            -5336.1918945            -2454.4760742               39.7292976               11.4196892                1.7818489                0.9477568
    1.5000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              641.8403320             1300.2249756            -6440.8251953            -3548.8203125             1074.8607178               18.1997585          -109776.3906250            71757.8671875            -4931.6596680            68882.9609375           -18597.4218750                0.9270169             4814.9536133            15308.9140625            95165.9843750            -4157.9775391         -1387445.1250000                0.0000000          -166448.2187500              498.8218384            62752.6289062             8316.3935547            27197.9843750             1779.2375488           -24825.7929688            -5847.0913086               40.7224808               11.5485229                1.8444393                0.9425659
    1.6000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              559.4431152             1250.4738770            -6082.2700195            -3562.2258301             1053.3813477               13.1993370          -113188.0312500            68340.2656250            -5337.5649414            65885.8593750           -25344.8027344               -5.7251396             6552.5639648            14642.6923828           102967.7812500            -4325.5761719         -1386887.5000000                0.0000000          -166381.3125000              518.9282227            69395.0390625            -6302.8188477            19900.1171875             6183.8120117           -54089.9218750            -8773.8056641               41.6517067               11.5668621                1.9100816                0.9409848
    1.7000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              480.9100952             1173.2897949            -5745.2778320            -3576.2143555             1036.0018311                9.7188244          -116499.5312500            64643.2109375            -5731.7968750            62045.3164062           -31674.8242188                0.4009784             8185.6450195            13789.5810547           110547.1562500            -4519.9023438         -1386303.2500000               -0.0000000          -166311.2343750              542.2410278            78163.8906250           -18803.3671875            13100.8710938            12390.5185547           -94986.0156250           -11000.4599609               42.2445297               11.6637993                1.9803517                0.9424731
    1.8000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              416.9846802             1097.9013672            -5432.9970703            -3584.4074707             1019.5200806                3.2925797          -119649.9921875            60757.8242188            -6092.5375977            57437.4296875           -37527.6523438               -1.9023070             9704.8496094            12765.4658203           117737.6015625            -4617.0893555         -1385710.7500000                0.0000000          -166240.1562500              553.9002686            88501.9843750           -28600.7050781             6995.0249023            19968.9472656          -137896.1718750           -12518.0869141               42.6183624               11.6650934                2.0398860                0.9491812
    1.9000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              344.7336426             1010.6757812            -5148.1831055            -3588.0310059             1003.0126953               -4.7354455          -122622.8984375            56749.1093750            -6452.6000977            52138.0078125           -42852.0156250               -4.5374722            11082.8144531            11585.8964844           124524.6796875            -4686.5703125         -1385117.1250000                0.0000000          -166168.9375000              562.2357788           100261.9687500           -35567.0507812             1497.4997559            28942.9921875          -183802.7031250           -13252.7392578               42.7388420               11.6983948                2.0982823                0.9590794
    2.0000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              256.8825073              910.6320190            -4893.1113281            -3593.9335938              988.8978882              -11.8570328          -125375.1718750            52747.1406250            -6779.6162109            46196.0859375           -47601.8554688                0.5937592            12307.6220703            10266.3720703           130935.2109375            -4700.6938477         -1384525.8750000               -0.0000000          -166098.0000000              563.9301147           113229.1796875           -39463.0000000            -3307.7348633            39168.3632812          -222986.5625000           -13187.2275391               42.7453728               11.6222591                2.1808925                0.9734774
