
These predictions were generated by a reference MATLAB script.




    Time      Wave1Elev       Wave2Elev       Wave3Elev        FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi         FDynP1          FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi         FDynP2          FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi         FDynP3
    (sec)        (m)             (m)             (m)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)
      1.2   1.7596441e+00   3.0255021e+00   3.3661711e+00  -5.4377330e-01  -7.3696733e-01   2.8956954e-01   2.6793268e-01  -3.7243507e-01  -6.2343696e-01   1.4308982e+04  -8.8137771e-01  -1.4251036e+00   1.5975557e-01   2.6307061e-01  -2.0178775e-01  -1.2109263e+00   2.6384152e+04  -1.0810406e+00  -1.7862670e+00  -3.0472288e-01   4.0855462e-01   2.0212074e-01  -1.5070180e+00   3.3274109e+04
      1.3   1.7976202e+00   3.0341524e+00   3.3262962e+00  -5.1475903e-01  -7.7138092e-01   2.2579832e-01   2.9313518e-01  -3.3939163e-01  -6.3895780e-01   1.4544020e+04  -8.5292984e-01  -1.4409222e+00   3.8895301e-02   2.9941926e-01  -1.2724995e-01  -1.2059348e+00   2.6473193e+04  -1.0396549e+00  -1.7650254e+00  -4.5514414e-01   4.5394297e-01   2.9590101e-01  -1.4591214e+00   3.2950984e+04
      1.4   1.8274368e+00   3.0285072e+00   3.2715732e+00  -4.8349242e-01  -8.0255365e-01   1.6085677e-01   3.1754129e-01  -3.0401857e-01  -6.5140243e-01   1.4719053e+04  -8.2141446e-01  -1.4503253e+00  -8.1281936e-02   3.3456377e-01  -5.2426337e-02  -1.1952832e+00   2.6458203e+04  -9.9434436e-01  -1.7357127e+00  -6.0162179e-01   4.9681854e-01   3.8689032e-01  -1.4039426e+00   3.2497961e+04
      1.5   1.8487748e+00   3.0086839e+00   3.2026130e+00  -4.5005564e-01  -8.3031869e-01   9.5016750e-02   3.4104207e-01  -2.6649131e-01  -6.6060232e-01   1.4833537e+04  -7.8691031e-01  -1.4532915e+00  -2.0039427e-01   3.6842259e-01   2.2383556e-02  -1.1789769e+00   2.6339588e+04  -9.4524232e-01  -1.6984294e+00  -7.4361274e-01   5.3703600e-01   4.7465237e-01  -1.3416726e+00   3.1916416e+04
      1.6   1.8613622e+00   2.9748818e+00   3.1201023e+00  -4.1453655e-01  -8.5452325e-01   2.8556736e-02   3.6352794e-01  -2.2699634e-01  -6.6640484e-01   1.4887110e+04  -7.4949758e-01  -1.4498055e+00  -3.1805468e-01   4.0091330e-01   9.6875171e-02  -1.1570270e+00   2.6117821e+04  -8.9249426e-01  -1.6532983e+00  -8.8055338e-01   5.7444807e-01   5.5873250e-01  -1.2725297e+00   3.1207999e+04
      1.7   1.8649797e+00   2.9273814e+00   3.0247970e+00  -3.7702856e-01  -8.7502792e-01  -3.8238722e-02   3.8488879e-01  -1.8573035e-01  -6.6867278e-01   1.4879577e+04  -7.0925876e-01  -1.4398585e+00  -4.3386817e-01   4.3195208e-01   1.7073646e-01  -1.1294508e+00   2.5793457e+04  -8.3626032e-01  -1.6004719e+00  -1.0118602e+00   6.0890691e-01   6.3865781e-01  -1.1967668e+00   3.0374723e+04
      1.8   1.8594649e+00   2.8665426e+00   2.9175155e+00  -3.3763059e-01  -8.9170613e-01  -1.0507925e-01   4.0501391e-01  -1.4289966e-01  -6.6728388e-01   1.4810907e+04  -6.6627968e-01  -1.4234507e+00  -5.4742916e-01   4.6145340e-01   2.4364554e-01  -1.0962743e+00   2.5367158e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      1.9   1.8447164e+00   2.7928033e+00   2.7991313e+00  -2.9644714e-01  -9.0444359e-01  -1.7166857e-01   4.2379190e-01  -9.8719945e-02  -6.6213041e-01   1.4681225e+04  -6.2065062e-01  -1.4005933e+00  -6.5831920e-01   4.8932973e-01   3.1526860e-01  -1.0575337e+00   2.4839733e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.0   1.8206975e+00   2.7066768e+00   2.6705653e+00  -2.5358855e-01  -9.1313801e-01  -2.3770410e-01   4.4111049e-01  -5.3416353e-02  -6.5311900e-01   1.4490811e+04  -5.7246759e-01  -1.3713114e+00  -7.6610520e-01   5.1549130e-01   3.8525814e-01  -1.0132790e+00   2.4212178e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.1   1.7874393e+00   2.6087481e+00   2.5327777e+00  -2.0917140e-01  -9.1769891e-01  -3.0287645e-01   4.5685629e-01  -7.2238106e-03  -6.4017071e-01   1.4240104e+04  -5.2183357e-01  -1.3356483e+00  -8.7033807e-01   5.3984604e-01   4.5325171e-01  -9.6357692e-01   2.3485721e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.2   1.7450427e+00   2.4996707e+00   2.3867603e+00  -1.6331915e-01  -9.1804784e-01  -3.6686858e-01   4.7091461e-01   3.9612391e-02  -6.2322138e-01   1.3929702e+04  -4.6885996e-01  -1.2936690e+00  -9.7055214e-01   5.6229959e-01   5.1887118e-01  -9.0851508e-01   2.2661882e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.3   1.6936802e+00   2.3801622e+00   2.2335280e+00  -1.1616287e-01  -9.1411889e-01  -4.2935509e-01   4.8316926e-01   8.6835861e-02  -6.0222254e-01   1.3560382e+04  -4.1366793e-01  -1.2454654e+00  -1.0662653e+00   5.8275540e-01   5.8172275e-01  -8.4820620e-01   2.1742525e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.4   1.6335968e+00   2.2509994e+00   2.0741105e+00  -6.7842147e-02  -9.0585961e-01  -4.9000135e-01   4.9350241e-01   1.3417828e-01  -5.7714262e-01   1.3133106e+04  -3.5638987e-01  -1.1911608e+00  -1.1569799e+00   6.0111500e-01   6.4139775e-01  -7.8279283e-01   2.0729930e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.5   1.5651103e+00   2.1130130e+00   1.9095444e+00  -1.8506246e-02  -8.9323240e-01  -5.4846291e-01   5.0179463e-01   1.8135854e-01  -5.4796881e-01   1.2649048e+04  -2.9717077e-01  -1.1309156e+00  -1.2421851e+00   6.1727836e-01   6.9747439e-01  -7.1245222e-01   1.9626847e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.6   1.4886101e+00   1.9670819e+00   1.7408651e+00   3.1684746e-02  -8.7621624e-01  -6.0438508e-01   5.0792505e-01   2.2808205e-01  -5.1470938e-01   1.2109618e+04  -2.3616955e-01  -1.0649325e+00  -1.3213592e+00   6.3114440e-01   7.4952049e-01  -6.3740141e-01   1.8436570e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.7   1.4045566e+00   1.8141271e+00   1.5690986e+00   8.2558580e-02  -8.5480900e-01  -6.5740287e-01   5.1177179e-01   2.7404012e-01  -4.7739653e-01   1.1516490e+04  -1.7356037e-01  -9.9346160e-01  -1.3939748e+00   6.4261162e-01   7.9709750e-01  -5.5790219e-01   1.7162996e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.8   1.3134779e+00   1.6551052e+00   1.3952545e+00   1.3392949e-01  -8.2903013e-01  -7.0714147e-01   5.1321256e-01   3.1890981e-01  -4.3608978e-01   1.0871637e+04  -1.0953376e-01  -9.1680554e-01  -1.4595035e+00   6.5157892e-01   8.3976567e-01  -4.7426585e-01   1.5810685e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      2.9   1.2159676e+00   1.4910017e+00   1.2203188e+00   1.8559683e-01  -7.9892369e-01  -7.5321735e-01   5.1212570e-01   3.6235411e-01  -3.9087977e-01   1.0177370e+04  -4.4297581e-02  -8.3532381e-01  -1.5174228e+00   6.5794651e-01   8.7709019e-01  -3.8685738e-01   1.4384914e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.0   1.1126805e+00   1.3228236e+00   1.0452469e+00   2.3734374e-01  -7.6456184e-01  -7.9524011e-01   5.0839149e-01   4.0402276e-01  -3.4189252e-01   9.4363722e+03   2.1922104e-02  -7.4943631e-01  -1.5672236e+00   6.6161706e-01   9.0864863e-01  -2.9609902e-01   1.2891720e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.1   1.0043280e+00   1.1515928e+00   8.7095732e-01   2.8893602e-01  -7.2604844e-01  -8.3281516e-01   5.0189390e-01   4.4355372e-01  -2.8929379e-01   8.6517430e+03   8.8880515e-02  -6.5962599e-01  -1.6084192e+00   6.6249694e-01   9.3403948e-01  -2.0247299e-01   1.1337933e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.2   8.9167298e-01   9.7833821e-01   6.9832660e-01   3.4012110e-01  -6.8352289e-01  -8.6554749e-01   4.9252274e-01   4.8057555e-01  -2.3329372e-01   7.8270336e+03   1.5631382e-01  -5.6644013e-01  -1.6405551e+00   6.6049766e-01   9.5289171e-01  -1.0652306e-01   9.7311915e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.3   7.7552362e-01   8.0408893e-01   5.2818361e-01   3.9062738e-01  -6.3716388e-01  -8.9304643e-01   4.8017631e-01   5.1471061e-01  -1.7415128e-01   6.9662839e+03   2.2393914e-01  -4.7049015e-01  -1.6632195e+00   6.5553740e-01   9.6487519e-01  -8.8546153e-03   8.0799486e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.4   6.5672678e-01   6.2986647e-01   3.6130537e-01   4.4016402e-01  -5.8719292e-01  -9.1493153e-01   4.6476443e-01   5.4557935e-01  -1.1217834e-01   6.0740513e+03   2.9145486e-01  -3.7244953e-01  -1.6760548e+00   6.4754282e-01   9.6971161e-01   8.9866747e-02   6.3934490e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      3.5   5.3616081e-01   4.5667774e-01   1.9841324e-01   4.8842115e-01  -5.3387741e-01  -9.3083947e-01   4.4621191e-01   5.7280552e-01  -4.7743145e-02   5.1554327e+03   3.5854137e-01  -2.7304983e-01  -1.6787689e+00   6.3645087e-01   9.6718581e-01   1.8891863e-01   4.6816910e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
