node x-location [m]		x-deflection [m]	z-deflection [m]	Axial Force Fx [N]	Shear Force Fz [N]	Bending moment My [Nm]
0.00						0						0				-79600000			-770000				746000
0.50						-0.00027365				-9.2406E-06		-79600000			-747000				367000
1.00						-0.0005473				-0.000020559	-79600000			-723000				-972.24
1.00						-0.0005473				-0.000020559	-79600000			-723000				-972.24
1.50						-0.00082095				0.0013997		-79600000			-700000				-357000
2.00						-0.0010946				0.0028224		-79600000			-677000				-701000
2.50						-0.0013682				0.0042497		-79600000			-653000				-1030000
3.00						-0.0016419				0.0056837		-79600000			-630000				-1350000
3.50						-0.0019155				0.0071263		-79600000			-607000				-1660000
4.00						-0.0021892				0.0085795		-79600000			-583000				-1960000
4.50						-0.0024628				0.010045		-79600000			-560000				-2250000
5.00						-0.0027365				0.011525		-79600000			-537000				-2520000
5.50						-0.0030101				0.013021		-79600000			-513000				-2780000
6.00						-0.0032838				0.014535		-79600000			-490000				-3030000
6.50						-0.0035574				0.016067		-79600000			-467000				-3270000
7.00						-0.0038311				0.017621		-79600000			-443000				-3500000
7.50						-0.0041047				0.019196		-79600000			-420000				-3720000
8.00						-0.0043784				0.020795		-79600000			-397000				-3920000
8.50						-0.004652				0.022419		-79600000			-373000				-4110000
9.00						-0.0049257				0.024068		-79600000			-350000				-4290000
9.50						-0.0051993				0.025745		-79600000			-327000				-4460000
10.00						-0.005473				0.027449		-79600000			-303000				-4620000
10.50						-0.0057466				0.029183		-79600000			-280000				-4770000
11.00						-0.0060203				0.030947		-79600000			-257000				-4900000
11.50						-0.0062939				0.032741		-79600000			-233000				-5020000
12.00						-0.0065676				0.034568		-79600000			-210000				-5130000
12.50						-0.0068412				0.036426		-79600000			-187000				-5230000
13.00						-0.0071149				0.038317		-79600000			-163000				-5320000
13.50						-0.0073885				0.040242		-79600000			-140000				-5400000
14.00						-0.0076622				0.042201		-79600000			-117000				-5460000
14.50						-0.0079358				0.044194		-79600000			-93335				-5510000
15.00						-0.0082095				0.046222		-79600000			-70001				-5550000
15.50						-0.0084831				0.048285		-79600000			-46667				-5580000
16.00						-0.0087568				0.050382		-79600000			-23334				-5600000
16.50						-0.0090304				0.052515		-79600000			-0.00000544			-5610000
17.00						-0.0093041				0.054684		-79600000			23334				-5600000
17.50						-0.0095777				0.056887		-79600000			46667				-5580000
18.00						-0.0098514				0.059126		-79600000			70001				-5550000
18.50						-0.010125				0.061399		-79600000			93335				-5510000
19.00						-0.010399				0.063707		-79600000			117000				-5460000
19.50						-0.010672				0.06605			-79600000			140000				-5400000
20.00						-0.010946				0.068426		-79600000			163000				-5320000
20.50						-0.01122				0.070836		-79600000			187000				-5230000
21.00						-0.011493				0.073279		-79600000			210000				-5130000
21.50						-0.011767				0.075754		-79600000			233000				-5020000
22.00						-0.012041				0.07826			-79600000			257000				-4900000
22.50						-0.012314				0.080798		-79600000			280000				-4770000
23.00						-0.012588				0.083365		-79600000			303000				-4620000
23.50						-0.012861				0.085962		-79600000			327000				-4460000
24.00						-0.013135				0.088586		-79600000			350000				-4290000
24.50						-0.013409				0.091238		-79600000			373000				-4110000
25.00						-0.013682				0.093916		-79600000			397000				-3920000
25.50						-0.013956				0.096618		-79600000			420000				-3720000
26.00						-0.01423				0.099344		-79600000			443000				-3500000
26.50						-0.014503				0.10209			-79600000			467000				-3270000
27.00						-0.014777				0.10486			-79600000			490000				-3030000
27.50						-0.015051				0.10765			-79600000			513000				-2780000
28.00						-0.015324				0.11045			-79600000			537000				-2520000
28.50						-0.015598				0.11327			-79600000			560000				-2250000
29.00						-0.015872				0.11611			-79600000			583000				-1960000
29.50						-0.016145				0.11896			-79600000			607000				-1660000
30.00						-0.016419				0.12182			-79600000			630000				-1350000
30.50						-0.016693				0.12468			-79600000			653000				-1030000
31.00						-0.016966				0.12756			-79600000			677000				-701000
31.50						-0.01724				0.13044			-79600000			700000				-357000
32.00						-0.017514				0.13332			-79600000			723000				-972.24
