
Predictions were generated on 31-May-2023 at 22:53:42 using HydroDyn Driver, compiled on May 31 2023 at 21:49:36 as a 64-bit application using double precision at commit v3.5.0-439-g0b6ef93e-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore fixed-bottom HydroDyn input properties for the OC3 Tripod

Time	HydroFxi	HydroFzi	HydroMyi	M1N1Vxi	M1N1Vzi	M1N1Axi	M1N1Azi	M1N1FDxi	M1N1FDzi	M1N1FIxi	M1N1FIzi
(s)	(N)	(N)	(N-m)	(m/s)	(m/s)	(m/s^2)	(m/s^2)	(N/m)	(N/m)	(N/m)	(N/m)
    2.4750	  -2.913588E+06	   8.809624E+06	   5.640348E+07	  -6.120951E-01	  -8.680834E-01	  -6.930211E-01	   3.026869E-01	  -3.174750E+00	   2.003296E+00	  -6.235842E+03	   3.934873E+03
    2.5000	  -2.921826E+06	   8.807683E+06	   5.655410E+07	  -6.299920E-01	  -8.613875E-01	  -6.876755E-01	   3.115371E-01	  -5.733827E+00	   3.618097E+00	  -6.237528E+03	   3.935937E+03
    2.5250	  -2.922850E+06	   8.805937E+06	   5.656454E+07	  -6.463376E-01	  -8.525705E-01	  -6.806366E-01	   3.196202E-01	  -9.008421E+00	   5.684396E+00	  -6.223854E+03	   3.927309E+03
    2.5500	  -2.923962E+06	   8.804146E+06	   5.657504E+07	  -6.626833E-01	  -8.437536E-01	  -6.735977E-01	   3.277032E-01	  -1.301959E+01	   8.215481E+00	  -6.210181E+03	   3.918681E+03
    2.5750	  -2.925167E+06	   8.802309E+06	   5.658570E+07	  -6.790290E-01	  -8.349367E-01	  -6.665589E-01	   3.357863E-01	  -1.776733E+01	   1.121134E+01	  -6.196508E+03	   3.910053E+03
    2.6000	  -2.926471E+06	   8.800426E+06	   5.659663E+07	  -6.953747E-01	  -8.261197E-01	  -6.595200E-01	   3.438694E-01	  -2.325166E+01	   1.467201E+01	  -6.182835E+03	   3.901425E+03
    2.6250	  -2.927880E+06	   8.798496E+06	   5.660793E+07	  -7.117203E-01	  -8.173028E-01	  -6.524811E-01	   3.519525E-01	  -2.947251E+01	   1.859742E+01	  -6.169162E+03	   3.892797E+03
    2.6500	  -2.929401E+06	   8.796520E+06	   5.661972E+07	  -7.280660E-01	  -8.084858E-01	  -6.454422E-01	   3.600356E-01	  -3.642995E+01	   2.298763E+01	  -6.155489E+03	   3.884169E+03
    2.6750	  -2.931039E+06	   8.794497E+06	   5.663210E+07	  -7.444116E-01	  -7.996688E-01	  -6.384033E-01	   3.681187E-01	  -4.412399E+01	   2.784264E+01	  -6.141815E+03	   3.875541E+03
    2.7000	  -2.932801E+06	   8.792428E+06	   5.664517E+07	  -7.607573E-01	  -7.908520E-01	  -6.313645E-01	   3.762018E-01	  -5.255452E+01	   3.316238E+01	  -6.128142E+03	   3.866913E+03
    2.7250	  -2.934691E+06	   8.790313E+06	   5.665906E+07	  -7.771029E-01	  -7.820349E-01	  -6.243256E-01	   3.842849E-01	  -6.172168E+01	   3.894694E+01	  -6.114469E+03	   3.858285E+03
    2.7500	  -2.936717E+06	   8.788151E+06	   5.667386E+07	  -7.934486E-01	  -7.732180E-01	  -6.172867E-01	   3.923679E-01	  -7.162536E+01	   4.519625E+01	  -6.100795E+03	   3.849657E+03
    2.7750	  -2.931542E+06	   8.786239E+06	   5.654809E+07	  -8.078405E-01	  -7.624970E-01	  -6.087279E-01	   3.994848E-01	  -8.188811E+01	   5.167214E+01	  -6.072100E+03	   3.831550E+03
    2.8000	  -2.926489E+06	   8.784283E+06	   5.642307E+07	  -8.222324E-01	  -7.517762E-01	  -6.001690E-01	   4.066018E-01	  -9.283758E+01	   5.858136E+01	  -6.043404E+03	   3.813443E+03
    2.8250	  -2.921565E+06	   8.782284E+06	   5.629891E+07	  -8.366243E-01	  -7.410553E-01	  -5.916102E-01	   4.137187E-01	  -1.044740E+02	   6.592405E+01	  -6.014709E+03	   3.795336E+03
    2.8500	  -2.916775E+06	   8.780243E+06	   5.617572E+07	  -8.510162E-01	  -7.303345E-01	  -5.830513E-01	   4.208357E-01	  -1.167972E+02	   7.370010E+01	  -5.986014E+03	   3.777229E+03
    2.8750	  -2.912124E+06	   8.778160E+06	   5.605361E+07	  -8.654081E-01	  -7.196136E-01	  -5.744925E-01	   4.279526E-01	  -1.298072E+02	   8.190954E+01	  -5.957318E+03	   3.759122E+03
    2.9000	  -2.907618E+06	   8.776037E+06	   5.593270E+07	  -8.798001E-01	  -7.088928E-01	  -5.659336E-01	   4.350696E-01	  -1.435042E+02	   9.055246E+01	  -5.928623E+03	   3.741015E+03
    2.9250	  -2.903262E+06	   8.773873E+06	   5.581308E+07	  -8.941919E-01	  -6.981718E-01	  -5.573748E-01	   4.421865E-01	  -1.578880E+02	   9.962875E+01	  -5.899927E+03	   3.722908E+03
    2.9500	  -2.899062E+06	   8.771672E+06	   5.569488E+07	  -9.085838E-01	  -6.874509E-01	  -5.488160E-01	   4.493034E-01	  -1.729586E+02	   1.091384E+02	  -5.871232E+03	   3.704801E+03
    2.9750	  -2.895023E+06	   8.769432E+06	   5.557819E+07	  -9.229757E-01	  -6.767300E-01	  -5.402571E-01	   4.564204E-01	  -1.887160E+02	   1.190815E+02	  -5.842536E+03	   3.686693E+03
    3.0000	  -2.891151E+06	   8.767156E+06	   5.546314E+07	  -9.373676E-01	  -6.660092E-01	  -5.316983E-01	   4.635373E-01	  -2.051604E+02	   1.294580E+02	  -5.813841E+03	   3.668586E+03
    3.0250	  -2.880089E+06	   8.765202E+06	   5.520918E+07	  -9.494514E-01	  -6.536484E-01	  -5.218301E-01	   4.695129E-01	  -2.212410E+02	   1.396051E+02	  -5.770829E+03	   3.641446E+03
    3.0500	  -2.869176E+06	   8.763217E+06	   5.495666E+07	  -9.615353E-01	  -6.412876E-01	  -5.119622E-01	   4.754885E-01	  -2.379285E+02	   1.501351E+02	  -5.727819E+03	   3.614306E+03
    3.0750	  -2.858419E+06	   8.761204E+06	   5.470567E+07	  -9.736190E-01	  -6.289268E-01	  -5.020941E-01	   4.814640E-01	  -2.552225E+02	   1.610477E+02	  -5.684808E+03	   3.587166E+03
    3.1000	  -2.847832E+06	   8.759166E+06	   5.445634E+07	  -9.857029E-01	  -6.165661E-01	  -4.922261E-01	   4.874396E-01	  -2.731232E+02	   1.723432E+02	  -5.641797E+03	   3.560025E+03
    3.1250	  -2.837425E+06	   8.757108E+06	   5.420876E+07	  -9.977868E-01	  -6.042052E-01	  -4.823580E-01	   4.934151E-01	  -2.916307E+02	   1.840216E+02	  -5.598786E+03	   3.532885E+03
    3.1500	  -2.827204E+06	   8.755032E+06	   5.396307E+07	  -1.009871E+00	  -5.918444E-01	  -4.724900E-01	   4.993907E-01	  -3.107447E+02	   1.960827E+02	  -5.555775E+03	   3.505745E+03
    3.1750	  -2.817176E+06	   8.752941E+06	   5.371934E+07	  -1.021954E+00	  -5.794836E-01	  -4.626219E-01	   5.053662E-01	  -3.304654E+02	   2.085267E+02	  -5.512764E+03	   3.478604E+03
    3.2000	  -2.807347E+06	   8.750835E+06	   5.347770E+07	  -1.034038E+00	  -5.671228E-01	  -4.527539E-01	   5.113418E-01	  -3.507927E+02	   2.213534E+02	  -5.469753E+03	   3.451464E+03
    3.2250	  -2.797722E+06	   8.748718E+06	   5.323823E+07	  -1.046122E+00	  -5.547620E-01	  -4.428858E-01	   5.173174E-01	  -3.717268E+02	   2.345630E+02	  -5.426742E+03	   3.424323E+03
    3.2500	  -2.788309E+06	   8.746590E+06	   5.300106E+07	  -1.058206E+00	  -5.424012E-01	  -4.330177E-01	   5.232930E-01	  -3.932676E+02	   2.481554E+02	  -5.383731E+03	   3.397183E+03
    3.2750	  -2.771842E+06	   8.744876E+06	   5.262948E+07	  -1.067684E+00	  -5.287049E-01	  -4.220834E-01	   5.279799E-01	  -4.134268E+02	   2.608760E+02	  -5.327462E+03	   3.361677E+03
    3.3000	  -2.755563E+06	   8.743158E+06	   5.225996E+07	  -1.077162E+00	  -5.150084E-01	  -4.111492E-01	   5.326670E-01	  -4.340898E+02	   2.739146E+02	  -5.271196E+03	   3.326173E+03
    3.3250	  -2.739476E+06	   8.741437E+06	   5.189264E+07	  -1.086640E+00	  -5.013121E-01	  -4.002148E-01	   5.373541E-01	  -4.552569E+02	   2.872712E+02	  -5.214928E+03	   3.290667E+03
    3.3500	  -2.723592E+06	   8.739713E+06	   5.152788E+07	  -1.096118E+00	  -4.876158E-01	  -3.892806E-01	   5.420411E-01	  -4.769277E+02	   3.009457E+02	  -5.158661E+03	   3.255162E+03
    3.3750	  -2.707929E+06	   8.737986E+06	   5.116643E+07	  -1.105597E+00	  -4.739193E-01	  -3.783463E-01	   5.467281E-01	  -4.991024E+02	   3.149381E+02	  -5.102393E+03	   3.219656E+03
    3.4000	  -2.692492E+06	   8.736257E+06	   5.080844E+07	  -1.115075E+00	  -4.602230E-01	  -3.674120E-01	   5.514151E-01	  -5.217809E+02	   3.292485E+02	  -5.046125E+03	   3.184151E+03
    3.4250	  -2.677281E+06	   8.734529E+06	   5.045396E+07	  -1.124553E+00	  -4.465266E-01	  -3.564777E-01	   5.561022E-01	  -5.449631E+02	   3.438767E+02	  -4.989857E+03	   3.148646E+03
    3.4500	  -2.662300E+06	   8.732801E+06	   5.010307E+07	  -1.134031E+00	  -4.328302E-01	  -3.455434E-01	   5.607892E-01	  -5.686496E+02	   3.588231E+02	  -4.933590E+03	   3.113140E+03
    3.4750	  -2.647551E+06	   8.731074E+06	   4.975580E+07	  -1.143509E+00	  -4.191338E-01	  -3.346091E-01	   5.654762E-01	  -5.928394E+02	   3.740871E+02	  -4.877323E+03	   3.077635E+03
    3.5000	  -2.633033E+06	   8.729351E+06	   4.941218E+07	  -1.152987E+00	  -4.054375E-01	  -3.236748E-01	   5.701632E-01	  -6.175334E+02	   3.896693E+02	  -4.821055E+03	   3.042129E+03
    3.5250	  -2.611667E+06	   8.728103E+06	   4.894174E+07	  -1.159626E+00	  -3.907428E-01	  -3.119435E-01	   5.734464E-01	  -6.396324E+02	   4.036139E+02	  -4.752917E+03	   2.999133E+03
    3.5500	  -2.590493E+06	   8.726860E+06	   4.847444E+07	  -1.166265E+00	  -3.760481E-01	  -3.002122E-01	   5.767295E-01	  -6.621199E+02	   4.178037E+02	  -4.684778E+03	   2.956137E+03
    3.5750	  -2.569514E+06	   8.725624E+06	   4.801030E+07	  -1.172905E+00	  -3.613534E-01	  -2.884809E-01	   5.800126E-01	  -6.849959E+02	   4.322386E+02	  -4.616639E+03	   2.913141E+03
    3.6000	  -2.548728E+06	   8.724394E+06	   4.754934E+07	  -1.179544E+00	  -3.466587E-01	  -2.767497E-01	   5.832957E-01	  -7.082604E+02	   4.469188E+02	  -4.548500E+03	   2.870145E+03
    3.6250	  -2.528137E+06	   8.723170E+06	   4.709154E+07	  -1.186183E+00	  -3.319640E-01	  -2.650184E-01	   5.865788E-01	  -7.319134E+02	   4.618440E+02	  -4.480362E+03	   2.827149E+03
    3.6500	  -2.507741E+06	   8.721954E+06	   4.663694E+07	  -1.192822E+00	  -3.172693E-01	  -2.532871E-01	   5.898619E-01	  -7.559547E+02	   4.770143E+02	  -4.412223E+03	   2.784153E+03
    3.6750	  -2.487540E+06	   8.720746E+06	   4.618553E+07	  -1.199461E+00	  -3.025746E-01	  -2.415558E-01	   5.931450E-01	  -7.803846E+02	   4.924298E+02	  -4.344084E+03	   2.741157E+03
    3.7000	  -2.467535E+06	   8.719545E+06	   4.573732E+07	  -1.206100E+00	  -2.878799E-01	  -2.298245E-01	   5.964282E-01	  -8.052033E+02	   5.080906E+02	  -4.275946E+03	   2.698161E+03
    3.7250	  -2.447726E+06	   8.718353E+06	   4.529230E+07	  -1.212739E+00	  -2.731853E-01	  -2.180932E-01	   5.997112E-01	  -8.304101E+02	   5.239963E+02	  -4.207808E+03	   2.655165E+03
    3.7500	  -2.428113E+06	   8.717169E+06	   4.485050E+07	  -1.219378E+00	  -2.584906E-01	  -2.063619E-01	   6.029943E-01	  -8.560057E+02	   5.401474E+02	  -4.139668E+03	   2.612168E+03
    3.7750	  -2.401906E+06	   8.716500E+06	   4.428972E+07	  -1.223015E+00	  -2.431594E-01	  -1.941225E-01	   6.047927E-01	  -8.777156E+02	   5.538466E+02	  -4.061337E+03	   2.562740E+03
    3.8000	  -2.375851E+06	   8.715839E+06	   4.373157E+07	  -1.226652E+00	  -2.278282E-01	  -1.818831E-01	   6.065910E-01	  -8.996976E+02	   5.677173E+02	  -3.983005E+03	   2.513312E+03
    3.8250	  -2.349950E+06	   8.715187E+06	   4.317604E+07	  -1.230288E+00	  -2.124970E-01	  -1.696437E-01	   6.083894E-01	  -9.219512E+02	   5.817596E+02	  -3.904673E+03	   2.463884E+03
    3.8500	  -2.324203E+06	   8.714545E+06	   4.262312E+07	  -1.233925E+00	  -1.971658E-01	  -1.574043E-01	   6.101877E-01	  -9.444771E+02	   5.959736E+02	  -3.826342E+03	   2.414456E+03
    3.8750	  -2.298609E+06	   8.713913E+06	   4.207284E+07	  -1.237561E+00	  -1.818346E-01	  -1.451648E-01	   6.119860E-01	  -9.672749E+02	   6.103593E+02	  -3.748010E+03	   2.365028E+03
    3.9000	  -2.273170E+06	   8.713291E+06	   4.152518E+07	  -1.241198E+00	  -1.665034E-01	  -1.329254E-01	   6.137844E-01	  -9.903441E+02	   6.249161E+02	  -3.669677E+03	   2.315600E+03
    3.9250	  -2.247884E+06	   8.712679E+06	   4.098015E+07	  -1.244835E+00	  -1.511722E-01	  -1.206860E-01	   6.155827E-01	  -1.013685E+03	   6.396448E+02	  -3.591345E+03	   2.266172E+03
    3.9500	  -2.222754E+06	   8.712078E+06	   4.043776E+07	  -1.248471E+00	  -1.358410E-01	  -1.084466E-01	   6.173810E-01	  -1.037299E+03	   6.545450E+02	  -3.513014E+03	   2.216744E+03
    3.9750	  -2.197778E+06	   8.711488E+06	   3.989800E+07	  -1.252108E+00	  -1.205098E-01	  -9.620714E-02	   6.191794E-01	  -1.061184E+03	   6.696167E+02	  -3.434682E+03	   2.167315E+03
    4.0000	  -2.172956E+06	   8.710908E+06	   3.936087E+07	  -1.255744E+00	  -1.051786E-01	  -8.396772E-02	   6.209777E-01	  -1.085341E+03	   6.848599E+02	  -3.356350E+03	   2.117887E+03
    4.0250	  -2.141910E+06	   8.710854E+06	   3.871470E+07	  -1.256289E+00	  -8.958842E-02	  -7.152154E-02	   6.212469E-01	  -1.104371E+03	   6.968682E+02	  -3.269753E+03	   2.063244E+03
    4.0500	  -2.110976E+06	   8.710809E+06	   3.807057E+07	  -1.256834E+00	  -7.399825E-02	  -5.907537E-02	   6.215163E-01	  -1.123568E+03	   7.089813E+02	  -3.183157E+03	   2.008601E+03
    4.0750	  -2.080156E+06	   8.710773E+06	   3.742848E+07	  -1.257378E+00	  -5.840808E-02	  -4.662919E-02	   6.217855E-01	  -1.142929E+03	   7.211985E+02	  -3.096561E+03	   1.953958E+03
    4.1000	  -2.049448E+06	   8.710747E+06	   3.678844E+07	  -1.257923E+00	  -4.281791E-02	  -3.418301E-02	   6.220548E-01	  -1.162456E+03	   7.335200E+02	  -3.009965E+03	   1.899315E+03
    4.1250	  -2.018853E+06	   8.710731E+06	   3.615043E+07	  -1.258467E+00	  -2.722773E-02	  -2.173684E-02	   6.223241E-01	  -1.182148E+03	   7.459461E+02	  -2.923368E+03	   1.844672E+03
    4.1500	  -1.988371E+06	   8.710725E+06	   3.551447E+07	  -1.259012E+00	  -1.163757E-02	  -9.290665E-03	   6.225934E-01	  -1.202005E+03	   7.584763E+02	  -2.836772E+03	   1.790029E+03
    4.1750	  -1.958003E+06	   8.710730E+06	   3.488055E+07	  -1.259556E+00	   3.952608E-03	   3.155513E-03	   6.228626E-01	  -1.222029E+03	   7.711111E+02	  -2.750176E+03	   1.735386E+03
    4.2000	  -1.927747E+06	   8.710744E+06	   3.424868E+07	  -1.260101E+00	   1.954278E-02	   1.560169E-02	   6.231319E-01	  -1.242217E+03	   7.838502E+02	  -2.663579E+03	   1.680743E+03
    4.2250	  -1.897605E+06	   8.710769E+06	   3.361886E+07	  -1.260645E+00	   3.513295E-02	   2.804787E-02	   6.234012E-01	  -1.262571E+03	   7.966937E+02	  -2.576983E+03	   1.626100E+03
    4.2500	  -1.867577E+06	   8.710804E+06	   3.299108E+07	  -1.261190E+00	   5.072312E-02	   4.049404E-02	   6.236705E-01	  -1.283090E+03	   8.096415E+02	  -2.490387E+03	   1.571457E+03
    4.2750	  -1.831836E+06	   8.711349E+06	   3.226647E+07	  -1.258629E+00	   6.618840E-02	   5.284050E-02	   6.224041E-01	  -1.297412E+03	   8.186791E+02	  -2.397658E+03	   1.512944E+03
    4.3000	  -1.796173E+06	   8.711901E+06	   3.154337E+07	  -1.256068E+00	   8.165366E-02	   6.518697E-02	   6.211377E-01	  -1.311815E+03	   8.277672E+02	  -2.304930E+03	   1.454432E+03
    4.3250	  -1.760586E+06	   8.712460E+06	   3.082178E+07	  -1.253507E+00	   9.711893E-02	   7.753344E-02	   6.198713E-01	  -1.326297E+03	   8.369055E+02	  -2.212201E+03	   1.395919E+03
    4.3500	  -1.725076E+06	   8.713027E+06	   3.010169E+07	  -1.250946E+00	   1.125842E-01	   8.987991E-02	   6.186049E-01	  -1.340858E+03	   8.460938E+02	  -2.119473E+03	   1.337407E+03
    4.3750	  -1.689642E+06	   8.713601E+06	   2.938310E+07	  -1.248385E+00	   1.280495E-01	   1.022264E-01	   6.173385E-01	  -1.355499E+03	   8.553322E+02	  -2.026745E+03	   1.278894E+03
    4.4000	  -1.654286E+06	   8.714183E+06	   2.866602E+07	  -1.245824E+00	   1.435148E-01	   1.145728E-01	   6.160721E-01	  -1.370219E+03	   8.646208E+02	  -1.934016E+03	   1.220382E+03
    4.4250	  -1.619006E+06	   8.714773E+06	   2.795044E+07	  -1.243263E+00	   1.589800E-01	   1.269193E-01	   6.148057E-01	  -1.385019E+03	   8.739597E+02	  -1.841288E+03	   1.161869E+03
    4.4500	  -1.583804E+06	   8.715371E+06	   2.723637E+07	  -1.240702E+00	   1.744453E-01	   1.392658E-01	   6.135393E-01	  -1.399898E+03	   8.833486E+02	  -1.748559E+03	   1.103357E+03
    4.4750	  -1.548678E+06	   8.715976E+06	   2.652381E+07	  -1.238141E+00	   1.899106E-01	   1.516122E-01	   6.122729E-01	  -1.414857E+03	   8.927877E+02	  -1.655831E+03	   1.044844E+03
    4.5000	  -1.513630E+06	   8.716590E+06	   2.581275E+07	  -1.235581E+00	   2.053758E-01	   1.639587E-01	   6.110065E-01	  -1.429896E+03	   9.022772E+02	  -1.563102E+03	   9.863317E+02
    4.5250	  -1.473545E+06	   8.717675E+06	   2.501957E+07	  -1.229977E+00	   2.203354E-01	   1.759014E-01	   6.082355E-01	  -1.437943E+03	   9.073551E+02	  -1.466525E+03	   9.253904E+02
    4.5500	  -1.433510E+06	   8.718763E+06	   2.422748E+07	  -1.224374E+00	   2.352950E-01	   1.878442E-01	   6.054647E-01	  -1.446013E+03	   9.124475E+02	  -1.369948E+03	   8.644495E+02
    4.5750	  -1.393524E+06	   8.719855E+06	   2.343645E+07	  -1.218771E+00	   2.502545E-01	   1.997869E-01	   6.026937E-01	  -1.454106E+03	   9.175542E+02	  -1.273370E+03	   8.035081E+02
    4.6000	  -1.353587E+06	   8.720950E+06	   2.264649E+07	  -1.213167E+00	   2.652141E-01	   2.117297E-01	   5.999229E-01	  -1.462222E+03	   9.226750E+02	  -1.176793E+03	   7.425671E+02
    4.6250	  -1.313699E+06	   8.722049E+06	   2.185761E+07	  -1.207564E+00	   2.801737E-01	   2.236724E-01	   5.971520E-01	  -1.470360E+03	   9.278104E+02	  -1.080216E+03	   6.816260E+02
    4.6500	  -1.273861E+06	   8.723152E+06	   2.106980E+07	  -1.201961E+00	   2.951333E-01	   2.356152E-01	   5.943811E-01	  -1.478520E+03	   9.329597E+02	  -9.836384E+02	   6.206848E+02
    4.6750	  -1.234072E+06	   8.724259E+06	   2.028306E+07	  -1.196357E+00	   3.100928E-01	   2.475579E-01	   5.916102E-01	  -1.486703E+03	   9.381233E+02	  -8.870612E+02	   5.597437E+02
    4.7000	  -1.194333E+06	   8.725369E+06	   1.949739E+07	  -1.190754E+00	   3.250524E-01	   2.595006E-01	   5.888393E-01	  -1.494909E+03	   9.433012E+02	  -7.904839E+02	   4.988025E+02
    4.7250	  -1.154643E+06	   8.726484E+06	   1.871280E+07	  -1.185151E+00	   3.400120E-01	   2.714434E-01	   5.860684E-01	  -1.503137E+03	   9.484933E+02	  -6.939066E+02	   4.378614E+02
    4.7500	  -1.115002E+06	   8.727604E+06	   1.792927E+07	  -1.179547E+00	   3.549716E-01	   2.833861E-01	   5.832975E-01	  -1.511388E+03	   9.536998E+02	  -5.973293E+02	   3.769202E+02
    4.7750	  -1.071173E+06	   8.729135E+06	   1.708088E+07	  -1.171039E+00	   3.690570E-01	   2.946311E-01	   5.790902E-01	  -1.512207E+03	   9.542165E+02	  -4.992808E+02	   3.150507E+02
    4.8000	  -1.027377E+06	   8.730664E+06	   1.623327E+07	  -1.162532E+00	   3.831426E-01	   3.058760E-01	   5.748832E-01	  -1.513027E+03	   9.547339E+02	  -4.012331E+02	   2.531817E+02
    4.8250	  -9.836144E+05	   8.732193E+06	   1.538645E+07	  -1.154024E+00	   3.972281E-01	   3.171209E-01	   5.706759E-01	  -1.513847E+03	   9.552509E+02	  -3.031848E+02	   1.913123E+02
    4.8500	  -9.398849E+05	   8.733720E+06	   1.454042E+07	  -1.145516E+00	   4.113136E-01	   3.283659E-01	   5.664688E-01	  -1.514666E+03	   9.557682E+02	  -2.051366E+02	   1.294431E+02
    4.8750	  -8.961886E+05	   8.735246E+06	   1.369518E+07	  -1.137008E+00	   4.253991E-01	   3.396108E-01	   5.622616E-01	  -1.515486E+03	   9.562857E+02	  -1.070886E+02	   6.757386E+01
    4.9000	  -8.525255E+05	   8.736771E+06	   1.285073E+07	  -1.128501E+00	   4.394847E-01	   3.508558E-01	   5.580544E-01	  -1.516307E+03	   9.568034E+02	  -9.040387E+00	   5.704566E+00
    4.9250	  -8.088956E+05	   8.738295E+06	   1.200706E+07	  -1.119993E+00	   4.535701E-01	   3.621008E-01	   5.538472E-01	  -1.517127E+03	   9.573208E+02	   8.900811E+01	  -5.616493E+01
    4.9500	  -7.652991E+05	   8.739818E+06	   1.116419E+07	  -1.111485E+00	   4.676557E-01	   3.733457E-01	   5.496401E-01	  -1.517948E+03	   9.578388E+02	   1.870561E+02	  -1.180341E+02
    4.9750	  -7.217358E+05	   8.741340E+06	   1.032210E+07	  -1.102977E+00	   4.817411E-01	   3.845907E-01	   5.454329E-01	  -1.518768E+03	   9.583567E+02	   2.851043E+02	  -1.799034E+02
    5.0000	  -6.782058E+05	   8.742862E+06	   9.480807E+06	  -1.094469E+00	   4.958267E-01	   3.958356E-01	   5.412257E-01	  -1.519590E+03	   9.588749E+02	   3.831523E+02	  -2.417726E+02
    5.0250	  -6.315042E+05	   8.744725E+06	   8.594265E+06	  -1.083267E+00	   5.086913E-01	   4.061059E-01	   5.356858E-01	  -1.512935E+03	   9.546755E+02	   4.802571E+02	  -3.030466E+02
    5.0500	  -5.848329E+05	   8.746587E+06	   7.708408E+06	  -1.072064E+00	   5.215560E-01	   4.163762E-01	   5.301459E-01	  -1.506295E+03	   9.504855E+02	   5.773622E+02	  -3.643208E+02
    5.0750	  -5.381918E+05	   8.748447E+06	   6.823236E+06	  -1.060861E+00	   5.344205E-01	   4.266464E-01	   5.246061E-01	  -1.499669E+03	   9.463047E+02	   6.744666E+02	  -4.255945E+02
    5.1000	  -4.915809E+05	   8.750305E+06	   5.938747E+06	  -1.049659E+00	   5.472852E-01	   4.369167E-01	   5.190663E-01	  -1.493058E+03	   9.421333E+02	   7.715711E+02	  -4.868684E+02
    5.1250	  -4.450002E+05	   8.752163E+06	   5.054941E+06	  -1.038456E+00	   5.601498E-01	   4.471870E-01	   5.135264E-01	  -1.486462E+03	   9.379709E+02	   8.686761E+02	  -5.481426E+02
    5.1500	  -3.984498E+05	   8.754019E+06	   4.171820E+06	  -1.027253E+00	   5.730144E-01	   4.574573E-01	   5.079865E-01	  -1.479880E+03	   9.338176E+02	   9.657808E+02	  -6.094164E+02
    5.1750	  -3.519296E+05	   8.755874E+06	   3.289381E+06	  -1.016050E+00	   5.858790E-01	   4.677276E-01	   5.024467E-01	  -1.473312E+03	   9.296736E+02	   1.062885E+03	  -6.706904E+02
    5.2000	  -3.054397E+05	   8.757728E+06	   2.407625E+06	  -1.004848E+00	   5.987437E-01	   4.779978E-01	   4.969069E-01	  -1.466760E+03	   9.255389E+02	   1.159990E+03	  -7.319643E+02
    5.2250	  -2.589799E+05	   8.759581E+06	   1.526552E+06	  -9.936450E-01	   6.116083E-01	   4.882681E-01	   4.913670E-01	  -1.460222E+03	   9.214131E+02	   1.257095E+03	  -7.932382E+02
    5.2500	  -2.125505E+05	   8.761433E+06	   6.461628E+05	  -9.824424E-01	   6.244730E-01	   4.985384E-01	   4.858272E-01	  -1.453699E+03	   9.172971E+02	   1.354199E+03	  -8.545121E+02
    5.2750	  -1.641183E+05	   8.763546E+06	  -2.577753E+05	  -9.688205E-01	   6.357998E-01	   5.075811E-01	   4.790910E-01	  -1.440055E+03	   9.086881E+02	   1.447970E+03	  -9.136822E+02
    5.3000	  -1.157268E+05	   8.765653E+06	  -1.160944E+06	  -9.551987E-01	   6.471268E-01	   5.166238E-01	   4.723549E-01	  -1.426477E+03	   9.001199E+02	   1.541740E+03	  -9.728519E+02
    5.3250	  -6.737570E+04	   8.767754E+06	  -2.063347E+06	  -9.415768E-01	   6.584538E-01	   5.256665E-01	   4.656188E-01	  -1.412963E+03	   8.915922E+02	   1.635510E+03	  -1.032022E+03
    5.3500	  -1.906513E+04	   8.769847E+06	  -2.964982E+06	  -9.279551E-01	   6.697807E-01	   5.347092E-01	   4.588827E-01	  -1.399513E+03	   8.831052E+02	   1.729280E+03	  -1.091192E+03
    5.3750	   2.920495E+04	   8.771935E+06	  -3.865852E+06	  -9.143332E-01	   6.811077E-01	   5.437519E-01	   4.521466E-01	  -1.386127E+03	   8.746587E+02	   1.823050E+03	  -1.150361E+03
    5.4000	   7.743455E+04	   8.774017E+06	  -4.765955E+06	  -9.007114E-01	   6.924347E-01	   5.527946E-01	   4.454105E-01	  -1.372806E+03	   8.662528E+02	   1.916821E+03	  -1.209531E+03
    5.4250	   1.256237E+05	   8.776092E+06	  -5.665292E+06	  -8.870895E-01	   7.037616E-01	   5.618373E-01	   4.386743E-01	  -1.359548E+03	   8.578873E+02	   2.010591E+03	  -1.268701E+03
    5.4500	   1.737724E+05	   8.778162E+06	  -6.563864E+06	  -8.734678E-01	   7.150885E-01	   5.708801E-01	   4.319382E-01	  -1.346356E+03	   8.495627E+02	   2.104361E+03	  -1.327871E+03
    5.4750	   2.218807E+05	   8.780226E+06	  -7.461672E+06	  -8.598459E-01	   7.264155E-01	   5.799227E-01	   4.252021E-01	  -1.333227E+03	   8.412785E+02	   2.198131E+03	  -1.387041E+03
    5.5000	   2.699485E+05	   8.782285E+06	  -8.358714E+06	  -8.462241E-01	   7.377424E-01	   5.889655E-01	   4.184660E-01	  -1.320163E+03	   8.330350E+02	   2.291902E+03	  -1.446211E+03
    5.5250	   3.187302E+05	   8.784518E+06	  -9.256068E+06	  -8.305185E-01	   7.472528E-01	   5.965579E-01	   4.106995E-01	  -1.300702E+03	   8.207549E+02	   2.380028E+03	  -1.501819E+03
    5.5500	   3.674485E+05	   8.786740E+06	  -1.015239E+07	  -8.148131E-01	   7.567632E-01	   6.041505E-01	   4.029329E-01	  -1.281386E+03	   8.085661E+02	   2.468156E+03	  -1.557429E+03
