
These predictions were generated by SeaState on 29-Sep-2025 at 15:43:51.




      Time       Wave1Elev       Wave1Elv1       Wave1Elv2       Wave2Elev       Wave2Elv1       Wave2Elv2         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2
   (sec)             (m)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    0.0000  -0.2010358E+00  -0.2010358E+00   0.0000000E+00  -0.3520891E+00  -0.3520891E+00   0.0000000E+00  -0.4804198E-01   0.0000000E+00  -0.5362895E-01   0.1151063E-01   0.0000000E+00   0.3787577E-01  -0.6881055E+03  -0.8967355E-01   0.0000000E+00  -0.8940820E-01  -0.5720309E-01   0.0000000E+00   0.5471075E-01  -0.1733250E+04
    0.0125  -0.1989386E+00  -0.1989386E+00   0.0000000E+00  -0.3570929E+00  -0.3570929E+00   0.0000000E+00  -0.4789945E-01   0.0000000E+00  -0.5316114E-01   0.1191855E-01   0.0000000E+00   0.3734760E-01  -0.6948851E+03  -0.9038201E-01   0.0000000E+00  -0.8872290E-01  -0.5669380E-01   0.0000000E+00   0.5530583E-01  -0.1744453E+04
    0.0250  -0.1967978E+00  -0.1967978E+00   0.0000000E+00  -0.3620849E+00  -0.3620849E+00   0.0000000E+00  -0.4775026E-01   0.0000000E+00  -0.5269925E-01   0.1231806E-01   0.0000000E+00   0.3681265E-01  -0.7015939E+03  -0.9108527E-01   0.0000000E+00  -0.8802912E-01  -0.5617586E-01   0.0000000E+00   0.5589673E-01  -0.1755581E+04
    0.0375  -0.1946158E+00  -0.1946158E+00   0.0000000E+00  -0.3670622E+00  -0.3670622E+00   0.0000000E+00  -0.4759465E-01   0.0000000E+00  -0.5224347E-01   0.1270900E-01   0.0000000E+00   0.3627118E-01  -0.7082349E+03  -0.9178310E-01   0.0000000E+00  -0.8732697E-01  -0.5564952E-01   0.0000000E+00   0.5648311E-01  -0.1766631E+04
    0.0500  -0.1923952E+00  -0.1923952E+00   0.0000000E+00  -0.3720221E+00  -0.3720221E+00   0.0000000E+00  -0.4743305E-01   0.0000000E+00  -0.5179394E-01   0.1309124E-01   0.0000000E+00   0.3572371E-01  -0.7148105E+03  -0.9247525E-01   0.0000000E+00  -0.8661684E-01  -0.5511501E-01   0.0000000E+00   0.5706470E-01  -0.1777602E+04
    0.0625  -0.1901385E+00  -0.1901385E+00   0.0000000E+00  -0.3769615E+00  -0.3769615E+00   0.0000000E+00  -0.4726583E-01   0.0000000E+00  -0.5135084E-01   0.1346459E-01   0.0000000E+00   0.3517067E-01  -0.7213229E+03  -0.9316134E-01   0.0000000E+00  -0.8589894E-01  -0.5457257E-01   0.0000000E+00   0.5764120E-01  -0.1788491E+04
    0.0750  -0.1878481E+00  -0.1878481E+00   0.0000000E+00  -0.3818779E+00  -0.3818779E+00   0.0000000E+00  -0.4709326E-01   0.0000000E+00  -0.5091423E-01   0.1382890E-01   0.0000000E+00   0.3461245E-01  -0.7277755E+03  -0.9384123E-01   0.0000000E+00  -0.8517345E-01  -0.5402243E-01   0.0000000E+00   0.5821229E-01  -0.1799295E+04
    0.0875  -0.1855266E+00  -0.1855266E+00   0.0000000E+00  -0.3867683E+00  -0.3867683E+00   0.0000000E+00  -0.4691583E-01   0.0000000E+00  -0.5048436E-01   0.1418403E-01   0.0000000E+00   0.3404946E-01  -0.7341698E+03  -0.9451460E-01   0.0000000E+00  -0.8444058E-01  -0.5346479E-01   0.0000000E+00   0.5877775E-01  -0.1810010E+04
    0.1000  -0.1831764E+00  -0.1831764E+00   0.0000000E+00  -0.3916300E+00  -0.3916300E+00   0.0000000E+00  -0.4673377E-01   0.0000000E+00  -0.5006132E-01   0.1452980E-01   0.0000000E+00   0.3348219E-01  -0.7405098E+03  -0.9518127E-01   0.0000000E+00  -0.8370072E-01  -0.5289991E-01   0.0000000E+00   0.5933716E-01  -0.1820636E+04
