
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:33:51.

 
 
 
      Time         BODY1RY         BODY1PZ         ROD1SUB
       (s)           (deg)             (m)          (frac)
    9.0000  -9.1479034E+00  -1.2140114E+00   4.4593021E-01
    9.1000  -1.2520360E+01  -1.2324227E+00   4.5248899E-01
    9.2000  -1.5552266E+01  -1.2559283E+00   4.6073204E-01
    9.3000  -1.8168598E+01  -1.2827359E+00   4.7000900E-01
    9.4000  -2.0304979E+01  -1.3110259E+00   4.7957852E-01
    9.5000  -2.1909018E+01  -1.3391248E+00   4.8867369E-01
    9.6000  -2.2941425E+01  -1.3656552E+00   4.9659017E-01
    9.7000  -2.3376554E+01  -1.3896437E+00   5.0278199E-01
    9.8000  -2.3202621E+01  -1.4105892E+00   5.0694436E-01
    9.9000  -2.2422470E+01  -1.4284981E+00   5.0906610E-01
   10.0000  -2.1055525E+01  -1.4438952E+00   5.0943947E-01
   10.1000  -1.9138142E+01  -1.4577723E+00   5.0861114E-01
   10.2000  -1.6722612E+01  -1.4714746E+00   5.0729054E-01
   10.3000  -1.3875598E+01  -1.4865444E+00   5.0624549E-01
   10.4000  -1.0676171E+01  -1.5045340E+00   5.0620729E-01
   10.5000  -7.2135572E+00  -1.5268110E+00   5.0779843E-01
   10.6000  -3.5845518E+00  -1.5543772E+00   5.1148480E-01
   10.7000   1.0932902E-01  -1.5877267E+00   5.1754594E-01
   10.8000   3.7648733E+00  -1.6267676E+00   5.2605718E-01
   10.9000   7.2803450E+00  -1.6708164E+00   5.3687924E-01
   11.0000   1.0558936E+01  -1.7186722E+00   5.4965520E-01
   11.1000   1.3511855E+01  -1.7687548E+00   5.6382096E-01
   11.2000   1.6061029E+01  -1.8192853E+00   5.7863617E-01
   11.3000   1.8141123E+01  -1.8684763E+00   5.9324235E-01
   11.4000   1.9700903E+01  -1.9147084E+00   6.0675073E-01
   11.5000   2.0703564E+01  -1.9566687E+00   6.1834997E-01
   11.6000   2.1126495E+01  -1.9934444E+00   6.2741691E-01
   11.7000   2.0961058E+01  -2.0245757E+00   6.3360983E-01
   11.8000   2.0212452E+01  -2.0500736E+00   6.3692123E-01
   11.9000   1.8902359E+01  -2.0704308E+00   6.3768989E-01
   12.0000   1.7070038E+01  -2.0865731E+00   6.3654590E-01
   12.1000   1.4771075E+01  -2.0997436E+00   6.3430142E-01
   12.2000   1.2075395E+01  -2.1113455E+00   6.3182402E-01
   12.3000   9.0647287E+00  -2.1227615E+00   6.2992156E-01
   12.4000   5.8297281E+00  -2.1351752E+00   6.2925512E-01
   12.5000   2.4667735E+00  -2.1494174E+00   6.3028216E-01
   12.6000  -9.2539185E-01  -2.1658578E+00   6.3322806E-01
   12.7000  -4.2490501E+00  -2.1843646E+00   6.3807702E-01
   12.8000  -7.4107528E+00  -2.2043288E+00   6.4457935E-01
   12.9000  -1.0324191E+01  -2.2247548E+00   6.5227354E-01
   13.0000  -1.2912533E+01  -2.2443910E+00   6.6052377E-01
   13.1000  -1.5110163E+01  -2.2618833E+00   6.6857708E-01
   13.2000  -1.6863581E+01  -2.2759242E+00   6.7563814E-01
   13.3000  -1.8131655E+01  -2.2853794E+00   6.8095839E-01
   13.4000  -1.8885489E+01  -2.2893875E+00   6.8392867E-01
   13.5000  -1.9108135E+01  -2.2874250E+00   6.8416107E-01
   13.6000  -1.8794905E+01  -2.2793562E+00   6.8154842E-01
   13.7000  -1.7956221E+01  -2.2654731E+00   6.7629379E-01
   13.8000  -1.6618856E+01  -2.2464800E+00   6.6888189E-01
   13.9000  -1.4824811E+01  -2.2234163E+00   6.5999532E-01
   14.0000  -1.2629560E+01  -2.1975434E+00   6.5040666E-01
   14.1000  -1.0099984E+01  -2.1702056E+00   6.4087319E-01
   14.2000  -7.3122106E+00  -2.1426849E+00   6.3205069E-01
   14.3000  -4.3487663E+00  -2.1160619E+00   6.2443435E-01
   14.4000  -1.2957882E+00  -2.0911028E+00   6.1832756E-01
   14.5000   1.7596393E+00  -2.0681927E+00   6.1383373E-01
   14.6000   4.7320561E+00  -2.0473149E+00   6.1086345E-01
   14.7000   7.5401492E+00  -2.0280814E+00   6.0915416E-01
   14.8000   1.0108944E+01  -2.0098102E+00   6.0830057E-01
   14.9000   1.2371542E+01  -1.9916276E+00   6.0779500E-01
   15.0000   1.4270461E+01  -1.9725896E+00   6.0707921E-01
