# Time    CON4PX    CON4PY    CON4PZ   CON5PX    CON5PY    CON5PZ   CON6PX    CON6PY    CON6PZ
3.5000000e-01   2.4964000e+01   3.5393000e+01   -1.4661000e+01   -3.6305000e+01   9.3439000e-05   -1.2652000e+01   2.4964000e+01   -3.5393000e+01   -1.4660000e+01
3.6250000e-01   2.4964000e+01   3.5393000e+01   -1.4660000e+01   -3.6305000e+01   1.0365000e-04   -1.2653000e+01   2.4964000e+01   -3.5393000e+01   -1.4660000e+01
3.7500000e-01   2.4965000e+01   3.5393000e+01   -1.4660000e+01   -3.6305000e+01   1.1462000e-04   -1.2654000e+01   2.4965000e+01   -3.5393000e+01   -1.4659000e+01
3.8750000e-01   2.4965000e+01   3.5393000e+01   -1.4659000e+01   -3.6304000e+01   1.2639000e-04   -1.2655000e+01   2.4965000e+01   -3.5393000e+01   -1.4658000e+01
4.0000000e-01   2.4965000e+01   3.5393000e+01   -1.4658000e+01   -3.6304000e+01   1.3893000e-04   -1.2657000e+01   2.4965000e+01   -3.5393000e+01   -1.4658000e+01
4.1250000e-01   2.4966000e+01   3.5393000e+01   -1.4658000e+01   -3.6304000e+01   1.5221000e-04   -1.2658000e+01   2.4966000e+01   -3.5393000e+01   -1.4657000e+01
4.2500000e-01   2.4966000e+01   3.5393000e+01   -1.4657000e+01   -3.6303000e+01   1.6613000e-04   -1.2659000e+01   2.4966000e+01   -3.5393000e+01   -1.4656000e+01
4.3750000e-01   2.4967000e+01   3.5393000e+01   -1.4656000e+01   -3.6303000e+01   1.8058000e-04   -1.2660000e+01   2.4967000e+01   -3.5393000e+01   -1.4656000e+01
4.5000000e-01   2.4967000e+01   3.5393000e+01   -1.4656000e+01   -3.6302000e+01   1.9542000e-04   -1.2661000e+01   2.4967000e+01   -3.5393000e+01   -1.4655000e+01
4.6250000e-01   2.4968000e+01   3.5393000e+01   -1.4655000e+01   -3.6302000e+01   2.1051000e-04   -1.2663000e+01   2.4968000e+01   -3.5393000e+01   -1.4654000e+01
4.7500000e-01   2.4968000e+01   3.5393000e+01   -1.4654000e+01   -3.6301000e+01   2.2572000e-04   -1.2664000e+01   2.4968000e+01   -3.5393000e+01   -1.4653000e+01
4.8750000e-01   2.4969000e+01   3.5393000e+01   -1.4654000e+01   -3.6301000e+01   2.4093000e-04   -1.2665000e+01   2.4969000e+01   -3.5393000e+01   -1.4652000e+01
5.0000000e-01   2.4969000e+01   3.5393000e+01   -1.4653000e+01   -3.6300000e+01   2.5605000e-04   -1.2666000e+01   2.4969000e+01   -3.5393000e+01   -1.4652000e+01
5.1250000e-01   2.4970000e+01   3.5393000e+01   -1.4652000e+01   -3.6300000e+01   2.7100000e-04   -1.2668000e+01   2.4970000e+01   -3.5393000e+01   -1.4651000e+01
5.2500000e-01   2.4971000e+01   3.5393000e+01   -1.4651000e+01   -3.6299000e+01   2.8575000e-04   -1.2669000e+01   2.4971000e+01   -3.5393000e+01   -1.4650000e+01
5.3750000e-01   2.4971000e+01   3.5393000e+01   -1.4650000e+01   -3.6299000e+01   3.0029000e-04   -1.2671000e+01   2.4971000e+01   -3.5393000e+01   -1.4649000e+01
5.5000000e-01   2.4972000e+01   3.5393000e+01   -1.4650000e+01   -3.6298000e+01   3.1463000e-04   -1.2672000e+01   2.4972000e+01   -3.5393000e+01   -1.4648000e+01
5.6250000e-01   2.4973000e+01   3.5393000e+01   -1.4649000e+01   -3.6298000e+01   3.2881000e-04   -1.2673000e+01   2.4972000e+01   -3.5393000e+01   -1.4647000e+01
5.7500000e-01   2.4973000e+01   3.5393000e+01   -1.4648000e+01   -3.6297000e+01   3.4286000e-04   -1.2675000e+01   2.4973000e+01   -3.5393000e+01   -1.4646000e+01
5.8750000e-01   2.4974000e+01   3.5393000e+01   -1.4647000e+01   -3.6297000e+01   3.5681000e-04   -1.2676000e+01   2.4974000e+01   -3.5393000e+01   -1.4645000e+01
6.0000000e-01   2.4975000e+01   3.5393000e+01   -1.4646000e+01   -3.6296000e+01   3.7069000e-04   -1.2678000e+01   2.4974000e+01   -3.5393000e+01   -1.4645000e+01
6.1250000e-01   2.4975000e+01   3.5393000e+01   -1.4645000e+01   -3.6295000e+01   3.8452000e-04   -1.2679000e+01   2.4975000e+01   -3.5393000e+01   -1.4644000e+01
6.2500000e-01   2.4976000e+01   3.5393000e+01   -1.4644000e+01   -3.6295000e+01   3.9830000e-04   -1.2681000e+01   2.4976000e+01   -3.5393000e+01   -1.4643000e+01
6.3750000e-01   2.4977000e+01   3.5393000e+01   -1.4643000e+01   -3.6294000e+01   4.1205000e-04   -1.2682000e+01   2.4977000e+01   -3.5393000e+01   -1.4642000e+01
6.5000000e-01   2.4978000e+01   3.5393000e+01   -1.4642000e+01   -3.6293000e+01   4.2574000e-04   -1.2684000e+01   2.4977000e+01   -3.5393000e+01   -1.4641000e+01
6.6250000e-01   2.4978000e+01   3.5393000e+01   -1.4642000e+01   -3.6293000e+01   4.3940000e-04   -1.2686000e+01   2.4978000e+01   -3.5393000e+01   -1.4640000e+01
6.7500000e-01   2.4979000e+01   3.5393000e+01   -1.4641000e+01   -3.6292000e+01   4.5300000e-04   -1.2687000e+01   2.4979000e+01   -3.5393000e+01   -1.4639000e+01
6.8750000e-01   2.4980000e+01   3.5393000e+01   -1.4640000e+01   -3.6291000e+01   4.6657000e-04   -1.2689000e+01   2.4980000e+01   -3.5393000e+01   -1.4638000e+01
7.0000000e-01   2.4981000e+01   3.5393000e+01   -1.4639000e+01   -3.6290000e+01   4.8010000e-04   -1.2690000e+01   2.4981000e+01   -3.5393000e+01   -1.4637000e+01
7.1250000e-01   2.4982000e+01   3.5393000e+01   -1.4638000e+01   -3.6289000e+01   4.9363000e-04   -1.2692000e+01   2.4982000e+01   -3.5393000e+01   -1.4636000e+01
7.2500000e-01   2.4983000e+01   3.5393000e+01   -1.4637000e+01   -3.6289000e+01   5.0717000e-04   -1.2694000e+01   2.4982000e+01   -3.5393000e+01   -1.4635000e+01
7.3750000e-01   2.4984000e+01   3.5393000e+01   -1.4636000e+01   -3.6288000e+01   5.2075000e-04   -1.2695000e+01   2.4983000e+01   -3.5393000e+01   -1.4634000e+01
7.5000000e-01   2.4984000e+01   3.5393000e+01   -1.4635000e+01   -3.6287000e+01   5.3439000e-04   -1.2697000e+01   2.4984000e+01   -3.5393000e+01   -1.4633000e+01
7.6250000e-01   2.4985000e+01   3.5393000e+01   -1.4634000e+01   -3.6286000e+01   5.4812000e-04   -1.2699000e+01   2.4985000e+01   -3.5393000e+01   -1.4632000e+01
7.7500000e-01   2.4986000e+01   3.5393000e+01   -1.4633000e+01   -3.6285000e+01   5.6194000e-04   -1.2700000e+01   2.4986000e+01   -3.5393000e+01   -1.4631000e+01
7.8750000e-01   2.4987000e+01   3.5393000e+01   -1.4632000e+01   -3.6284000e+01   5.7584000e-04   -1.2702000e+01   2.4987000e+01   -3.5393000e+01   -1.4630000e+01
