
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 17-Oct-2023 at 17:19:55.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3          L1N10T          L2N10T          L3N10T            P4FX            P4FY            P4FZ            P5FX            P5FY            P5FZ            P6FX            P6FY            P6FZ         L1N19PX         L1N19PY         L1N19PZ         L2N19PX         L2N19PY         L2N19PZ         L3N19PX         L3N19PY         L3N19PZ            P4PX            P4PY            P4PZ            P5PX            P5PY            P5PZ            P6PX            P6PY            P6PZ
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)
    0.1125   1.0042179E+06   1.3669920E+06   1.0043891E+06   8.0766192E+05   1.1684106E+06   8.0766198E+05   8.2262328E+05   1.1980312E+06   8.2268795E+05   3.9845561E+05   6.9860340E+05  -6.0136507E+05  -1.1708419E+06  -6.2503563E-01  -7.0554682E+05   3.9852397E+05  -6.9872353E+05  -6.0146613E+05   4.1774887E+01   6.4873984E+01  -3.9105982E+01  -7.2447037E+01   4.3658923E-07  -3.3732028E+01   4.1774863E+01  -6.4873942E+01  -3.9105934E+01   2.4960090E+01   3.5393011E+01  -1.4667294E+01  -3.6308434E+01   1.9259450E-05  -1.2641560E+01   2.4960084E+01  -3.5392989E+01  -1.4667204E+01
    0.1250   1.0041903E+06   1.3671096E+06   1.0043803E+06   8.0750732E+05   1.1686847E+06   8.0750756E+05   8.2269250E+05   1.1980359E+06   8.2277715E+05   3.9845118E+05   6.9858110E+05  -6.0134781E+05  -1.1709476E+06  -6.9364257E-01  -7.0559930E+05   3.9852707E+05  -6.9871446E+05  -6.0145996E+05   4.1775306E+01   6.4873866E+01  -3.9105703E+01  -7.2447047E+01   5.5988850E-07  -3.3732203E+01   4.1775280E+01  -6.4873819E+01  -3.9105649E+01   2.4960225E+01   3.5393012E+01  -1.4667066E+01  -3.6308319E+01   2.1441773E-05  -1.2641938E+01   2.4960218E+01  -3.5392988E+01  -1.4666966E+01
    0.1375   1.0041646E+06   1.3672280E+06   1.0043758E+06   8.0735609E+05   1.1689585E+06   8.0735679E+05   8.2273591E+05   1.1980734E+06   8.2283816E+05   3.9844725E+05   6.9856016E+05  -6.0133186E+05  -1.1710538E+06  -7.7005065E-01  -7.0565249E+05   3.9853160E+05  -6.9870842E+05  -6.0145651E+05   4.1775725E+01   6.4873748E+01  -3.9105415E+01  -7.2447041E+01   7.0425665E-07  -3.3732415E+01   4.1775696E+01  -6.4873697E+01  -3.9105355E+01   2.4960371E+01   3.5393014E+01  -1.4666822E+01  -3.6308195E+01   2.3879383E-05  -1.2642345E+01   2.4960363E+01  -3.5392986E+01  -1.4666710E+01
    0.1500   1.0041393E+06   1.3673490E+06   1.0043742E+06   8.0721178E+05   1.1692279E+06   8.0721356E+05   8.2273938E+05   1.1981606E+06   8.2285558E+05   3.9844320E+05   6.9853953E+05  -6.0131637E+05  -1.1711621E+06  -8.5504308E-01  -7.0570720E+05   3.9853697E+05  -6.9870432E+05  -6.0145491E+05   4.1776143E+01   6.4873630E+01  -3.9105119E+01  -7.2447021E+01   8.7192137E-07  -3.3732665E+01   4.1776111E+01  -6.4873575E+01  -3.9105051E+01   2.4960528E+01   3.5393016E+01  -1.4666561E+01  -3.6308062E+01   2.6598274E-05  -1.2642781E+01   2.4960520E+01  -3.5392984E+01  -1.4666436E+01
    0.1625   1.0041137E+06   1.3674735E+06   1.0043743E+06   8.0707966E+05   1.1694867E+06   8.0708358E+05   8.2269962E+05   1.1983015E+06   8.2282588E+05   3.9843869E+05   6.9851858E+05  -6.0130084E+05  -1.1712733E+06  -9.4936646E-01  -7.0576392E+05   3.9854275E+05  -6.9870148E+05  -6.0145458E+05   4.1776560E+01   6.4873512E+01  -3.9104814E+01  -7.2446986E+01   1.0653531E-06  -3.3732953E+01   4.1776526E+01  -6.4873451E+01  -3.9104739E+01   2.4960697E+01   3.5393017E+01  -1.4666282E+01  -3.6307918E+01   2.9623579E-05  -1.2643247E+01   2.4960688E+01  -3.5392983E+01  -1.4666142E+01
    0.1750   1.0040871E+06   1.3676022E+06   1.0043755E+06   8.0696640E+05   1.1697273E+06   8.0697415E+05   8.2262206E+05   1.1984901E+06   8.2275509E+05   3.9843349E+05   6.9849693E+05  -6.0128497E+05  -1.1713880E+06  -1.0536959E+00  -7.0582297E+05   3.9854865E+05  -6.9869935E+05  -6.0145510E+05   4.1776977E+01   6.4873394E+01  -3.9104501E+01  -7.2446937E+01   1.2872856E-06  -3.3733277E+01   4.1776939E+01  -6.4873327E+01  -3.9104417E+01   2.4960878E+01   3.5393020E+01  -1.4665986E+01  -3.6307764E+01   3.2978529E-05  -1.2643743E+01   2.4960867E+01  -3.5392980E+01  -1.4665830E+01
    0.1875   1.0040591E+06   1.3677356E+06   1.0043770E+06   8.0687922E+05   1.1699410E+06   8.0689314E+05   8.2251723E+05   1.1987140E+06   8.2265481E+05   3.9842746E+05   6.9847434E+05  -6.0126856E+05  -1.1715066E+06  -1.1686045E+00  -7.0588460E+05   3.9855439E+05  -6.9869746E+05  -6.0145608E+05   4.1777393E+01   6.4873275E+01  -3.9104180E+01  -7.2446874E+01   1.5407347E-06  -3.3733639E+01   4.1777352E+01  -6.4873202E+01  -3.9104085E+01   2.4961070E+01   3.5393022E+01  -1.4665672E+01  -3.6307600E+01   3.6683529E-05  -1.2644269E+01   2.4961059E+01  -3.5392978E+01  -1.4665499E+01
    0.2000   1.0040297E+06   1.3678742E+06   1.0043783E+06   8.0682449E+05   1.1701204E+06   8.0684749E+05   8.2239721E+05   1.1989593E+06   8.2253840E+05   3.9842053E+05   6.9845065E+05  -6.0125148E+05  -1.1716296E+06  -1.2945412E+00  -7.0594903E+05   3.9855971E+05  -6.9869535E+05  -6.0145714E+05   4.1777810E+01   6.4873156E+01  -3.9103850E+01  -7.2446797E+01   1.8290128E-06  -3.3734038E+01   4.1777764E+01  -6.4873076E+01  -3.9103744E+01   2.4961275E+01   3.5393025E+01  -1.4665341E+01  -3.6307426E+01   4.0755483E-05  -1.2644826E+01   2.4961262E+01  -3.5392975E+01  -1.4665148E+01
    0.2125   1.0039985E+06   1.3680185E+06   1.0043786E+06   8.0680625E+05   1.1702606E+06   8.0684162E+05   8.2227300E+05   1.1992132E+06   8.2241804E+05   3.9841261E+05   6.9842576E+05  -6.0123366E+05  -1.1717573E+06  -1.4318189E+00  -7.0601645E+05   3.9856435E+05  -6.9869255E+05  -6.0145790E+05   4.1778226E+01   6.4873036E+01  -3.9103512E+01  -7.2446705E+01   2.1557397E-06  -3.3734474E+01   4.1778176E+01  -6.4872947E+01  -3.9103394E+01   2.4961492E+01   3.5393027E+01  -1.4664992E+01  -3.6307240E+01   4.5207459E-05  -1.2645413E+01   2.4961478E+01  -3.5392973E+01  -1.4664778E+01
    0.2250   1.0039656E+06   1.3681687E+06   1.0043774E+06   8.0682504E+05   1.1703610E+06   8.0687610E+05   8.2215315E+05   1.1994656E+06   8.2230326E+05   3.9840367E+05   6.9839955E+05  -6.0121501E+05  -1.1718902E+06  -1.5806157E+00  -7.0608710E+05   3.9856804E+05  -6.9868859E+05  -6.0145799E+05   4.1778643E+01   6.4872915E+01  -3.9103166E+01  -7.2446600E+01   2.5248488E-06  -3.3734947E+01   4.1778588E+01  -6.4872818E+01  -3.9103035E+01   2.4961722E+01   3.5393031E+01  -1.4664626E+01  -3.6307044E+01   5.0048707E-05  -1.2646032E+01   2.4961707E+01  -3.5392969E+01  -1.4664389E+01
