
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 17-Oct-2023 at 17:19:55.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3          L1N10T          L2N10T          L3N10T            P4FX            P4FY            P4FZ            P5FX            P5FY            P5FZ            P6FX            P6FY            P6FZ         L1N19PX         L1N19PY         L1N19PZ         L2N19PX         L2N19PY         L2N19PZ         L3N19PX         L3N19PY         L3N19PZ            P4PX            P4PY            P4PZ            P5PX            P5PY            P5PZ            P6PX            P6PY            P6PZ
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)
   18.5750   9.5353977E+05   1.5419023E+06   9.5525004E+05   7.5726479E+05   1.3406298E+06   7.5944819E+05   7.6911359E+05   1.3765052E+06   7.7105317E+05   3.7327744E+05   6.5860114E+05  -5.7978149E+05  -1.3421682E+06  -1.2169743E+02  -7.5897770E+05   3.7404567E+05  -6.5981108E+05  -5.8072525E+05   4.3798325E+01   6.4686224E+01  -3.9461797E+01  -7.0805560E+01   6.6263192E-02  -3.2816289E+01   4.3715556E+01  -6.4689578E+01  -3.9603611E+01   2.7193580E+01   3.5391548E+01  -1.4662921E+01  -3.4117220E+01   6.9573671E-02  -1.2677112E+01   2.7106759E+01  -3.5394250E+01  -1.4808061E+01
   18.5875   9.5358142E+05   1.5417212E+06   9.5530839E+05   7.5732439E+05   1.3404337E+06   7.5951936E+05   7.6916283E+05   1.3763308E+06   7.7111595E+05   3.7329320E+05   6.5863962E+05  -5.7979614E+05  -1.3420055E+06  -1.2183724E+02  -7.5889760E+05   3.7406873E+05  -6.5986208E+05  -5.8074843E+05   4.3799963E+01   6.4686618E+01  -3.9460868E+01  -7.0803842E+01   6.6303120E-02  -3.2817080E+01   4.3717174E+01  -6.4690031E+01  -3.9602301E+01   2.7195247E+01   3.5391536E+01  -1.4662448E+01  -3.4115619E+01   6.9617794E-02  -1.2677712E+01   2.7108375E+01  -3.5394262E+01  -1.4807267E+01
   18.6000   9.5362331E+05   1.5415475E+06   9.5536449E+05   7.5738415E+05   1.3402452E+06   7.5958836E+05   7.6921221E+05   1.3761638E+06   7.7117657E+05   3.7330899E+05   6.5867804E+05  -5.7981122E+05  -1.3418492E+06  -1.2197404E+02  -7.5882113E+05   3.7409083E+05  -6.5991126E+05  -5.8077059E+05   4.3801606E+01   6.4687002E+01  -3.9459952E+01  -7.0802116E+01   6.6343032E-02  -3.2817874E+01   4.3718795E+01  -6.4690473E+01  -3.9601006E+01   2.7196921E+01   3.5391525E+01  -1.4661975E+01  -3.4114012E+01   6.9661807E-02  -1.2678312E+01   2.7109999E+01  -3.5394274E+01  -1.4806474E+01
   18.6125   9.5366539E+05   1.5413813E+06   9.5541825E+05   7.5744397E+05   1.3400645E+06   7.5965511E+05   7.6926166E+05   1.3760043E+06   7.7123495E+05   3.7332480E+05   6.5871637E+05  -5.7982671E+05  -1.3416994E+06  -1.2210772E+02  -7.5874832E+05   3.7411192E+05  -6.5995857E+05  -5.8079170E+05   4.3803254E+01   6.4687376E+01  -3.9459049E+01  -7.0800383E+01   6.6382929E-02  -3.2818671E+01   4.3720420E+01  -6.4690905E+01  -3.9599727E+01   2.7198603E+01   3.5391513E+01  -1.4661501E+01  -3.4112397E+01   6.9705706E-02  -1.2678913E+01   2.7111630E+01  -3.5394286E+01  -1.4805682E+01
   18.6250   9.5370761E+05   1.5412225E+06   9.5546961E+05   7.5750374E+05   1.3398917E+06   7.5971952E+05   7.6931111E+05   1.3758524E+06   7.7129103E+05   3.7334060E+05   6.5875456E+05  -5.7984259E+05  -1.3415561E+06  -1.2223818E+02  -7.5867920E+05   3.7413197E+05  -6.6000393E+05  -5.8081172E+05   4.3804906E+01   6.4687740E+01  -3.9458160E+01  -7.0798641E+01   6.6422810E-02  -3.2819471E+01   4.3722048E+01  -6.4691326E+01  -3.9598464E+01   2.7200291E+01   3.5391502E+01  -1.4661028E+01  -3.4110775E+01   6.9749488E-02  -1.2679515E+01   2.7113268E+01  -3.5394298E+01  -1.4804890E+01
   18.6375   9.5374992E+05   1.5410713E+06   9.5551849E+05   7.5756335E+05   1.3397267E+06   7.5978152E+05   7.6936046E+05   1.3757081E+06   7.7134473E+05   3.7335637E+05   6.5879258E+05  -5.7985884E+05  -1.3414194E+06  -1.2236533E+02  -7.5861380E+05   3.7415096E+05  -6.6004731E+05  -5.8083060E+05   4.3806562E+01   6.4688094E+01  -3.9457285E+01  -7.0796892E+01   6.6462676E-02  -3.2820274E+01   4.3723680E+01  -6.4691736E+01  -3.9597216E+01   2.7201987E+01   3.5391490E+01  -1.4660554E+01  -3.4109146E+01   6.9793151E-02  -1.2680117E+01   2.7114912E+01  -3.5394310E+01  -1.4804099E+01
   18.6500   9.5379228E+05   1.5409278E+06   9.5556482E+05   7.5762270E+05   1.3395697E+06   7.5984105E+05   7.6940964E+05   1.3755715E+06   7.7139597E+05   3.7337209E+05   6.5883039E+05  -5.7987543E+05  -1.3412893E+06  -1.2248908E+02  -7.5855214E+05   3.7416885E+05  -6.6008863E+05  -5.8084833E+05   4.3808222E+01   6.4688437E+01  -3.9456425E+01  -7.0795135E+01   6.6502526E-02  -3.2821079E+01   4.3725314E+01  -6.4692134E+01  -3.9595986E+01   2.7203689E+01   3.5391479E+01  -1.4660080E+01  -3.4107511E+01   6.9836692E-02  -1.2680719E+01   2.7116564E+01  -3.5394323E+01  -1.4803309E+01
   18.6625   9.5383464E+05   1.5407919E+06   9.5560853E+05   7.5768168E+05   1.3394208E+06   7.5989801E+05   7.6945858E+05   1.3754427E+06   7.7144469E+05   3.7338773E+05   6.5886796E+05  -5.7989235E+05  -1.3411660E+06  -1.2260935E+02  -7.5849425E+05   3.7418561E+05  -6.6012787E+05  -5.8086487E+05   4.3809885E+01   6.4688769E+01  -3.9455579E+01  -7.0793371E+01   6.6542361E-02  -3.2821886E+01   4.3726952E+01  -6.4692521E+01  -3.9594772E+01   2.7205398E+01   3.5391467E+01  -1.4659606E+01  -3.4105868E+01   6.9880109E-02  -1.2681321E+01   2.7118223E+01  -3.5394335E+01  -1.4802519E+01
   18.6750   9.5387695E+05   1.5406638E+06   9.5564958E+05   7.5774019E+05   1.3392801E+06   7.5995233E+05   7.6950719E+05   1.3753217E+06   7.7149082E+05   3.7340329E+05   6.5890524E+05  -5.7990957E+05  -1.3410494E+06  -1.2272608E+02  -7.5844015E+05   3.7420122E+05  -6.6016496E+05  -5.8088018E+05   4.3811552E+01   6.4689090E+01  -3.9454749E+01  -7.0791599E+01   6.6582180E-02  -3.2822695E+01   4.3728593E+01  -6.4692896E+01  -3.9593576E+01   2.7207114E+01   3.5391455E+01  -1.4659132E+01  -3.4104219E+01   6.9923399E-02  -1.2681923E+01   2.7119888E+01  -3.5394347E+01  -1.4801731E+01
   18.6875   9.5391916E+05   1.5405435E+06   9.5568789E+05   7.5779813E+05   1.3391475E+06   7.6000393E+05   7.6955541E+05   1.3752086E+06   7.7153429E+05   3.7341872E+05   6.5894219E+05  -5.7992707E+05  -1.3409396E+06  -1.2283921E+02  -7.5838985E+05   3.7421565E+05  -6.6019987E+05  -5.8089425E+05   4.3813223E+01   6.4689399E+01  -3.9453934E+01  -7.0789820E+01   6.6621984E-02  -3.2823506E+01   4.3730236E+01  -6.4693259E+01  -3.9592398E+01   2.7208837E+01   3.5391443E+01  -1.4658659E+01  -3.4102562E+01   6.9966561E-02  -1.2682525E+01   2.7121560E+01  -3.5394360E+01  -1.4800944E+01
   18.7000   9.5396121E+05   1.5404310E+06   9.5572343E+05   7.5785541E+05   1.3390231E+06   7.6005275E+05   7.6960315E+05   1.3751034E+06   7.7157504E+05   3.7343401E+05   6.5897878E+05  -5.7994482E+05  -1.3408367E+06  -1.2294870E+02  -7.5834336E+05   3.7422887E+05  -6.6023257E+05  -5.8090704E+05   4.3814897E+01   6.4689698E+01  -3.9453135E+01  -7.0788034E+01   6.6661773E-02  -3.2824318E+01   4.3731882E+01  -6.4693610E+01  -3.9591238E+01   2.7210566E+01   3.5391431E+01  -1.4658186E+01  -3.4100899E+01   7.0009592E-02  -1.2683127E+01   2.7123240E+01  -3.5394372E+01  -1.4800158E+01
   18.7125   9.5400304E+05   1.5403264E+06   9.5575615E+05   7.5791193E+05   1.3389070E+06   7.6009870E+05   7.6965033E+05   1.3750062E+06   7.7161300E+05   3.7344913E+05   6.5901495E+05  -5.7996280E+05  -1.3407406E+06  -1.2305451E+02  -7.5830069E+05   3.7424088E+05  -6.6026300E+05  -5.8091855E+05   4.3816574E+01   6.4689985E+01  -3.9452353E+01  -7.0786241E+01   6.6701545E-02  -3.2825130E+01   4.3733530E+01  -6.4693949E+01  -3.9590096E+01   2.7212303E+01   3.5391419E+01  -1.4657713E+01  -3.4099229E+01   7.0052492E-02  -1.2683729E+01   2.7124926E+01  -3.5394385E+01  -1.4799373E+01
   18.7250   9.5404461E+05   1.5402296E+06   9.5578600E+05   7.5796760E+05   1.3387992E+06   7.6014171E+05   7.6969689E+05   1.3749170E+06   7.7164811E+05   3.7346407E+05   6.5905067E+05  -5.7998096E+05  -1.3406514E+06  -1.2315663E+02  -7.5826186E+05   3.7425164E+05  -6.6029115E+05  -5.8092874E+05   4.3818255E+01   6.4690261E+01  -3.9451587E+01  -7.0784441E+01   6.6741302E-02  -3.2825944E+01   4.3735180E+01  -6.4694275E+01  -3.9588974E+01   2.7214046E+01   3.5391407E+01  -1.4657241E+01  -3.4097552E+01   7.0095260E-02  -1.2684330E+01   2.7126618E+01  -3.5394397E+01  -1.4798590E+01
   18.7375   9.5408585E+05   1.5401407E+06   9.5581295E+05   7.5802232E+05   1.3386998E+06   7.6018171E+05   7.6974274E+05   1.3748358E+06   7.7168031E+05   3.7347878E+05   6.5908590E+05  -5.7999930E+05  -1.3405691E+06  -1.2325504E+02  -7.5822685E+05   3.7426114E+05  -6.6031697E+05  -5.8093760E+05   4.3819938E+01   6.4690524E+01  -3.9450838E+01  -7.0782633E+01   6.6781043E-02  -3.2826758E+01   4.3736832E+01  -6.4694590E+01  -3.9587870E+01   2.7215796E+01   3.5391395E+01  -1.4656770E+01  -3.4095868E+01   7.0137895E-02  -1.2684931E+01   2.7128318E+01  -3.5394410E+01  -1.4797809E+01
   18.7500   9.5412669E+05   1.5400598E+06   9.5583696E+05   7.5807602E+05   1.3386087E+06   7.6021862E+05   7.6978783E+05   1.3747628E+06   7.7170955E+05   3.7349325E+05   6.5912058E+05  -5.8001776E+05  -1.3404937E+06  -1.2334976E+02  -7.5819567E+05   3.7426936E+05  -6.6034045E+05  -5.8094512E+05   4.3821624E+01   6.4690776E+01  -3.9450107E+01  -7.0780820E+01   6.6820767E-02  -3.2827573E+01   4.3738487E+01  -6.4694891E+01  -3.9586786E+01   2.7217552E+01   3.5391383E+01  -1.4656299E+01  -3.4094177E+01   7.0180396E-02  -1.2685531E+01   2.7130024E+01  -3.5394423E+01  -1.4797029E+01
   18.7625   9.5416708E+05   1.5399867E+06   9.5585801E+05   7.5812862E+05   1.3385261E+06   7.6025237E+05   7.6983206E+05   1.3746978E+06   7.7173578E+05   3.7350744E+05   6.5915466E+05  -5.8003633E+05  -1.3404252E+06  -1.2344080E+02  -7.5816832E+05   3.7427630E+05  -6.6036156E+05  -5.8095128E+05   4.3823312E+01   6.4691016E+01  -3.9449393E+01  -7.0778999E+01   6.6860474E-02  -3.2828387E+01   4.3740143E+01  -6.4695180E+01  -3.9585722E+01   2.7219315E+01   3.5391371E+01  -1.4655830E+01  -3.4092480E+01   7.0222764E-02  -1.2686131E+01   2.7131737E+01  -3.5394435E+01  -1.4796250E+01
   18.7750   9.5420694E+05   1.5399216E+06   9.5587605E+05   7.5818003E+05   1.3384519E+06   7.6028290E+05   7.6987538E+05   1.3746409E+06   7.7175893E+05   3.7352133E+05   6.5918810E+05  -5.8005496E+05  -1.3403637E+06  -1.2352820E+02  -7.5814480E+05   3.7428193E+05  -6.6038027E+05  -5.8095607E+05   4.3825004E+01   6.4691244E+01  -3.9448697E+01  -7.0777172E+01   6.6900165E-02  -3.2829202E+01   4.3741800E+01  -6.4695456E+01  -3.9584678E+01   2.7221085E+01   3.5391359E+01  -1.4655361E+01  -3.4090776E+01   7.0265000E-02  -1.2686730E+01   2.7133457E+01  -3.5394448E+01  -1.4795474E+01
   18.7875   9.5424620E+05   1.5398644E+06   9.5589108E+05   7.5823018E+05   1.3383862E+06   7.6031014E+05   7.6991770E+05   1.3745921E+06   7.7177895E+05   3.7353489E+05   6.5922084E+05  -5.8007361E+05  -1.3403091E+06  -1.2361201E+02  -7.5812509E+05   3.7428625E+05  -6.6039658E+05  -5.8095948E+05   4.3826697E+01   6.4691459E+01  -3.9448019E+01  -7.0775338E+01   6.6939838E-02  -3.2830015E+01   4.3743460E+01  -6.4695719E+01  -3.9583654E+01   2.7222862E+01   3.5391347E+01  -1.4654893E+01  -3.4089065E+01   7.0307103E-02  -1.2687327E+01   2.7135183E+01  -3.5394461E+01  -1.4794699E+01
   18.8000   9.5428479E+05   1.5398151E+06   9.5590306E+05   7.5827899E+05   1.3383289E+06   7.6033402E+05   7.6995897E+05   1.3745514E+06   7.7179581E+05   3.7354809E+05   6.5925282E+05  -5.8009224E+05  -1.3402615E+06  -1.2369229E+02  -7.5810918E+05   3.7428924E+05  -6.6041045E+05  -5.8096150E+05   4.3828393E+01   6.4691662E+01  -3.9447359E+01  -7.0773499E+01   6.6979492E-02  -3.2830828E+01   4.3745120E+01  -6.4695969E+01  -3.9582651E+01   2.7224645E+01   3.5391334E+01  -1.4654426E+01  -3.4087347E+01   7.0349075E-02  -1.2687924E+01   2.7136916E+01  -3.5394474E+01  -1.4793927E+01
   18.8125   9.5432263E+05   1.5397736E+06   9.5591198E+05   7.5832641E+05   1.3382800E+06   7.6035448E+05   7.6999912E+05   1.3745189E+06   7.7180946E+05   3.7356088E+05   6.5928400E+05  -5.8011081E+05  -1.3402208E+06  -1.2376911E+02  -7.5809707E+05   3.7429089E+05  -6.6042187E+05  -5.8096212E+05   4.3830092E+01   6.4691853E+01  -3.9446718E+01  -7.0771653E+01   6.7019129E-02  -3.2831640E+01   4.3746783E+01  -6.4696206E+01  -3.9581668E+01   2.7226434E+01   3.5391322E+01  -1.4653960E+01  -3.4085623E+01   7.0390917E-02  -1.2688520E+01   2.7138656E+01  -3.5394487E+01  -1.4793156E+01
   18.8250   9.5435963E+05   1.5397401E+06   9.5591782E+05   7.5837236E+05   1.3382396E+06   7.6037145E+05   7.7003807E+05   1.3744944E+06   7.7181985E+05   3.7357324E+05   6.5931430E+05  -5.8012928E+05  -1.3401870E+06  -1.2384258E+02  -7.5808873E+05   3.7429121E+05  -6.6043083E+05  -5.8096134E+05   4.3831792E+01   6.4692031E+01  -3.9446096E+01  -7.0769801E+01   6.7058746E-02  -3.2832450E+01   4.3748446E+01  -6.4696429E+01  -3.9580707E+01   2.7228230E+01   3.5391309E+01  -1.4653495E+01  -3.4083892E+01   7.0432632E-02  -1.2689115E+01   2.7140402E+01  -3.5394500E+01  -1.4792387E+01
   18.8375   9.5439571E+05   1.5397145E+06   9.5592056E+05   7.5841679E+05   1.3382077E+06   7.6038490E+05   7.7007577E+05   1.3744781E+06   7.7182695E+05   3.7358514E+05   6.5934366E+05  -5.8014760E+05  -1.3401601E+06  -1.2391280E+02  -7.5808416E+05   3.7429017E+05  -6.6043732E+05  -5.8095914E+05   4.3833495E+01   6.4692196E+01  -3.9445492E+01  -7.0767943E+01   6.7098344E-02  -3.2833259E+01   4.3750111E+01  -6.4696640E+01  -3.9579766E+01   2.7230033E+01   3.5391297E+01  -1.4653032E+01  -3.4082155E+01   7.0474221E-02  -1.2689709E+01   2.7142154E+01  -3.5394513E+01  -1.4791621E+01
   18.8500   9.5443077E+05   1.5396967E+06   9.5592019E+05   7.5845964E+05   1.3381842E+06   7.6039475E+05   7.7011215E+05   1.3744698E+06   7.7183072E+05   3.7359653E+05   6.5937203E+05  -5.8016572E+05  -1.3401401E+06  -1.2397987E+02  -7.5808334E+05   3.7428777E+05  -6.6044133E+05  -5.8095553E+05   4.3835199E+01   6.4692349E+01  -3.9444908E+01  -7.0766080E+01   6.7137921E-02  -3.2834066E+01   4.3751777E+01  -6.4696837E+01  -3.9578847E+01   2.7231842E+01   3.5391284E+01  -1.4652570E+01  -3.4080410E+01   7.0515687E-02  -1.2690301E+01   2.7143913E+01  -3.5394526E+01  -1.4790857E+01
   18.8625   9.5446475E+05   1.5396867E+06   9.5591671E+05   7.5850085E+05   1.3381691E+06   7.6040096E+05   7.7014714E+05   1.3744696E+06   7.7183113E+05   3.7360738E+05   6.5939934E+05  -5.8018358E+05  -1.3401270E+06  -1.2404395E+02  -7.5808623E+05   3.7428402E+05  -6.6044284E+05  -5.8095050E+05   4.3836906E+01   6.4692488E+01  -3.9444344E+01  -7.0764211E+01   6.7177477E-02  -3.2834871E+01   4.3753444E+01  -6.4697021E+01  -3.9577950E+01   2.7233657E+01   3.5391272E+01  -1.4652109E+01  -3.4078660E+01   7.0557032E-02  -1.2690892E+01   2.7145679E+01  -3.5394539E+01  -1.4790095E+01
   18.8750   9.5449753E+05   1.5396845E+06   9.5591010E+05   7.5854038E+05   1.3381625E+06   7.6040348E+05   7.7018069E+05   1.3744774E+06   7.7182815E+05   3.7361765E+05   6.5942552E+05  -5.8020114E+05  -1.3401207E+06  -1.2410515E+02  -7.5809283E+05   3.7427889E+05  -6.6044186E+05  -5.8094404E+05   4.3838614E+01   6.4692615E+01  -3.9443799E+01  -7.0762336E+01   6.7217012E-02  -3.2835673E+01   4.3755112E+01  -6.4697191E+01  -3.9577074E+01   2.7235479E+01   3.5391259E+01  -1.4651650E+01  -3.4076902E+01   7.0598260E-02  -1.2691482E+01   2.7147451E+01  -3.5394552E+01  -1.4789336E+01
   18.8875   9.5452903E+05   1.5396900E+06   9.5590035E+05   7.5857817E+05   1.3381641E+06   7.6040227E+05   7.7021274E+05   1.3744932E+06   7.7182176E+05   3.7362731E+05   6.5945051E+05  -5.8021835E+05  -1.3401212E+06  -1.2416365E+02  -7.5810310E+05   3.7427240E+05  -6.6043837E+05  -5.8093615E+05   4.3840324E+01   6.4692729E+01  -3.9443273E+01  -7.0760456E+01   6.7256524E-02  -3.2836472E+01   4.3756781E+01  -6.4697348E+01  -3.9576220E+01   2.7237308E+01   3.5391246E+01  -1.4651192E+01  -3.4075139E+01   7.0639374E-02  -1.2692070E+01   2.7149229E+01  -3.5394566E+01  -1.4788579E+01
   18.9000   9.5455917E+05   1.5397032E+06   9.5588748E+05   7.5861418E+05   1.3381742E+06   7.6039729E+05   7.7024323E+05   1.3745169E+06   7.7181193E+05   3.7363631E+05   6.5947424E+05  -5.8023515E+05  -1.3401286E+06  -1.2421960E+02  -7.5811700E+05   3.7426455E+05  -6.6043237E+05  -5.8092685E+05   4.3842036E+01   6.4692830E+01  -3.9442768E+01  -7.0758571E+01   6.7296012E-02  -3.2837268E+01   4.3758450E+01  -6.4697491E+01  -3.9575389E+01   2.7239142E+01   3.5391233E+01  -1.4650736E+01  -3.4073368E+01   7.0680378E-02  -1.2692657E+01   2.7151014E+01  -3.5394579E+01  -1.4787825E+01
   18.9125   9.5458784E+05   1.5397241E+06   9.5587147E+05   7.5864836E+05   1.3381925E+06   7.6038850E+05   7.7027209E+05   1.3745485E+06   7.7179864E+05   3.7364462E+05   6.5949665E+05  -5.8025149E+05  -1.3401426E+06  -1.2427317E+02  -7.5813452E+05   3.7425532E+05  -6.6042387E+05  -5.8091611E+05   4.3843749E+01   6.4692918E+01  -3.9442283E+01  -7.0756681E+01   6.7335477E-02  -3.2838061E+01   4.3760121E+01  -6.4697621E+01  -3.9574579E+01   2.7240984E+01   3.5391220E+01  -1.4650281E+01  -3.4071591E+01   7.0721275E-02  -1.2693242E+01   2.7152805E+01  -3.5394593E+01  -1.4787073E+01
   18.9250   9.5461495E+05   1.5397525E+06   9.5585233E+05   7.5868068E+05   1.3382190E+06   7.6037588E+05   7.7029928E+05   1.3745880E+06   7.7178188E+05   3.7365221E+05   6.5951768E+05  -5.8026732E+05  -1.3401634E+06  -1.2432454E+02  -7.5815561E+05   3.7424472E+05  -6.6041287E+05  -5.8090395E+05   4.3845464E+01   6.4692992E+01  -3.9441818E+01  -7.0754786E+01   6.7374917E-02  -3.2838850E+01   4.3761793E+01  -6.4697737E+01  -3.9573791E+01   2.7242831E+01   3.5391207E+01  -1.4649828E+01  -3.4069808E+01   7.0762070E-02  -1.2693826E+01   2.7154603E+01  -3.5394606E+01  -1.4786324E+01
   18.9375   9.5464041E+05   1.5397885E+06   9.5583005E+05   7.5871110E+05   1.3382538E+06   7.6035939E+05   7.7032472E+05   1.3746353E+06   7.7176164E+05   3.7365903E+05   6.5953724E+05  -5.8028258E+05  -1.3401908E+06  -1.2437390E+02  -7.5818023E+05   3.7423275E+05  -6.6039936E+05  -5.8089037E+05   4.3847181E+01   6.4693054E+01  -3.9441373E+01  -7.0752886E+01   6.7414331E-02  -3.2839635E+01   4.3763465E+01  -6.4697840E+01  -3.9573026E+01   2.7244685E+01   3.5391194E+01  -1.4649377E+01  -3.4068018E+01   7.0802767E-02  -1.2694408E+01   2.7156407E+01  -3.5394620E+01  -1.4785578E+01
   18.9500   9.5466414E+05   1.5398320E+06   9.5580465E+05   7.5873958E+05   1.3382967E+06   7.6033902E+05   7.7034837E+05   1.3746904E+06   7.7173790E+05   3.7366505E+05   6.5955529E+05  -5.8029722E+05  -1.3402248E+06  -1.2442144E+02  -7.5820835E+05   3.7421941E+05  -6.6038334E+05  -5.8087537E+05   4.3848899E+01   6.4693102E+01  -3.9440948E+01  -7.0750982E+01   6.7453718E-02  -3.2840416E+01   4.3765138E+01  -6.4697929E+01  -3.9572283E+01   2.7246545E+01   3.5391181E+01  -1.4648928E+01  -3.4066221E+01   7.0843370E-02  -1.2694988E+01   2.7158217E+01  -3.5394634E+01  -1.4784835E+01
   18.9625   9.5468602E+05   1.5398828E+06   9.5577612E+05   7.5876608E+05   1.3383477E+06   7.6031475E+05   7.7037016E+05   1.3747531E+06   7.7171065E+05   3.7367023E+05   6.5957175E+05  -5.8031118E+05  -1.3402654E+06  -1.2446736E+02  -7.5823992E+05   3.7420471E+05  -6.6036483E+05  -5.8085895E+05   4.3850619E+01   6.4693138E+01  -3.9440544E+01  -7.0749073E+01   6.7493078E-02  -3.2841193E+01   4.3766812E+01  -6.4698005E+01  -3.9571562E+01   2.7248412E+01   3.5391167E+01  -1.4648481E+01  -3.4064419E+01   7.0883885E-02  -1.2695567E+01   2.7160033E+01  -3.5394647E+01  -1.4784094E+01
   18.9750   9.5470599E+05   1.5399410E+06   9.5574448E+05   7.5879057E+05   1.3384067E+06   7.6028657E+05   7.7039005E+05   1.3748234E+06   7.7167990E+05   3.7367454E+05   6.5958657E+05  -5.8032441E+05  -1.3403125E+06  -1.2451186E+02  -7.5827490E+05   3.7418865E+05  -6.6034382E+05  -5.8084112E+05   4.3852340E+01   6.4693160E+01  -3.9440160E+01  -7.0747160E+01   6.7532410E-02  -3.2841964E+01   4.3768487E+01  -6.4698068E+01  -3.9570863E+01   2.7250285E+01   3.5391154E+01  -1.4648035E+01  -3.4062609E+01   7.0924315E-02  -1.2696143E+01   2.7161856E+01  -3.5394661E+01  -1.4783356E+01
   18.9875   9.5472393E+05   1.5400065E+06   9.5570972E+05   7.5881302E+05   1.3384736E+06   7.6025447E+05   7.7040796E+05   1.3749013E+06   7.7164564E+05   3.7367793E+05   6.5959967E+05  -5.8033686E+05  -1.3403660E+06  -1.2455515E+02  -7.5831325E+05   3.7417122E+05  -6.6032032E+05  -5.8082187E+05   4.3854063E+01   6.4693168E+01  -3.9439797E+01  -7.0745243E+01   6.7571712E-02  -3.2842730E+01   4.3770162E+01  -6.4698116E+01  -3.9570187E+01   2.7252164E+01   3.5391141E+01  -1.4647592E+01  -3.4060794E+01   7.0964665E-02  -1.2696718E+01   2.7163685E+01  -3.5394675E+01  -1.4782622E+01
   19.0000   9.5473977E+05   1.5400791E+06   9.5567184E+05   7.5883339E+05   1.3385484E+06   7.6021846E+05   7.7042386E+05   1.3749867E+06   7.7160788E+05   3.7368038E+05   6.5961099E+05  -5.8034847E+05  -1.3404258E+06  -1.2459743E+02  -7.5835491E+05   3.7415243E+05  -6.6029433E+05  -5.8080120E+05   4.3855787E+01   6.4693164E+01  -3.9439455E+01  -7.0743322E+01   6.7610985E-02  -3.2843491E+01   4.3771838E+01  -6.4698152E+01  -3.9569533E+01   2.7254049E+01   3.5391127E+01  -1.4647150E+01  -3.4058972E+01   7.1004941E-02  -1.2697291E+01   2.7165520E+01  -3.5394689E+01  -1.4781890E+01
   19.0125   9.5475341E+05   1.5401588E+06   9.5563086E+05   7.5885165E+05   1.3386310E+06   7.6017853E+05   7.7043768E+05   1.3750794E+06   7.7156661E+05   3.7368184E+05   6.5962048E+05  -5.8035919E+05  -1.3404920E+06  -1.2463890E+02  -7.5839985E+05   3.7413229E+05  -6.6026585E+05  -5.8077912E+05   4.3857512E+01   6.4693147E+01  -3.9439133E+01  -7.0741397E+01   6.7650226E-02  -3.2844246E+01   4.3773515E+01  -6.4698174E+01  -3.9568901E+01   2.7255941E+01   3.5391113E+01  -1.4646711E+01  -3.4057143E+01   7.1045147E-02  -1.2697862E+01   2.7167361E+01  -3.5394703E+01  -1.4781161E+01
   19.0250   9.5476477E+05   1.5402455E+06   9.5558678E+05   7.5886778E+05   1.3387213E+06   7.6013470E+05   7.7044937E+05   1.3751795E+06   7.7152186E+05   3.7368228E+05   6.5962806E+05  -5.8036896E+05  -1.3405644E+06  -1.2467978E+02  -7.5844801E+05   3.7411079E+05  -6.6023490E+05  -5.8075562E+05   4.3859239E+01   6.4693116E+01  -3.9438831E+01  -7.0739469E+01   6.7689436E-02  -3.2844995E+01   4.3775193E+01  -6.4698183E+01  -3.9568292E+01   2.7257838E+01   3.5391100E+01  -1.4646274E+01  -3.4055309E+01   7.1085289E-02  -1.2698431E+01   2.7169208E+01  -3.5394718E+01  -1.4780436E+01
   19.0375   9.5477375E+05   1.5403392E+06   9.5553960E+05   7.5888172E+05   1.3388192E+06   7.6008699E+05   7.7045887E+05   1.3752867E+06   7.7147362E+05   3.7368168E+05   6.5963369E+05  -5.8037774E+05  -1.3406430E+06  -1.2472028E+02  -7.5849935E+05   3.7408794E+05  -6.6020146E+05  -5.8073071E+05   4.3860967E+01   6.4693072E+01  -3.9438550E+01  -7.0737537E+01   6.7728614E-02  -3.2845738E+01   4.3776871E+01  -6.4698178E+01  -3.9567705E+01   2.7259742E+01   3.5391086E+01  -1.4645839E+01  -3.4053467E+01   7.1125372E-02  -1.2698999E+01   2.7171061E+01  -3.5394732E+01  -1.4779714E+01
   19.0500   9.5478028E+05   1.5404397E+06   9.5548932E+05   7.5889347E+05   1.3389246E+06   7.6003541E+05   7.7046614E+05   1.3754011E+06   7.7142193E+05   3.7367999E+05   6.5963730E+05  -5.8038546E+05  -1.3407277E+06  -1.2476058E+02  -7.5855380E+05   3.7406375E+05  -6.6016556E+05  -5.8070439E+05   4.3862697E+01   6.4693016E+01  -3.9438290E+01  -7.0735602E+01   6.7767759E-02  -3.2846474E+01   4.3778551E+01  -6.4698161E+01  -3.9567139E+01   2.7261652E+01   3.5391072E+01  -1.4645406E+01  -3.4051620E+01   7.1165399E-02  -1.2699564E+01   2.7172921E+01  -3.5394746E+01  -1.4778994E+01
