
These predictions were generated by SeaState on 05-Feb-2026 at 20:07:21.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)            (Pa)            (Pa)            (Pa)            (Pa)
    0.0000  -0.6754661E+00  -0.2251357E+00  -0.5234786E-01  -0.2658222E+00   0.1105398E+01  -0.2262139E+01  -0.1235566E+01  -0.9208727E+00  -0.1661155E+01   0.1536012E+00   0.5523460E+00  -0.8715825E+00  -0.6036093E+00   0.1689339E+01   0.1760489E+01  -0.6180418E+04  -0.2166306E+04  -0.7436006E+03  -0.2324486E+04   0.1108450E+05
    0.2000  -0.4747060E+00  -0.3486961E+00  -0.1453592E+00  -0.1433070E+00   0.1288644E+01  -0.2060627E+01  -0.1413047E+01  -0.1036941E+01  -0.1379789E+01   0.4086427E+00   0.1514617E+01  -0.7462933E+00  -0.9128791E+00   0.2081652E+01   0.1688646E+01  -0.4146484E+04  -0.3426830E+04  -0.1618616E+04  -0.1271960E+04   0.1278451E+05
    0.4000  -0.2073245E+00  -0.4553605E+00  -0.2461539E+00   0.8589274E-03   0.1424206E+01  -0.1716579E+01  -0.1568528E+01  -0.1186961E+01  -0.1058646E+01   0.6219563E+00   0.2444520E+01  -0.6791155E+00  -0.1097913E+01   0.2178321E+01   0.1368726E+01  -0.1530831E+04  -0.4512883E+04  -0.2537338E+04  -0.2019639E+02   0.1399439E+05
    0.6000   0.1128379E+00  -0.5394726E+00  -0.3459581E+00   0.1462174E+00   0.1499107E+01  -0.1247126E+01  -0.1700222E+01  -0.1351077E+01  -0.7424481E+00   0.7623516E+00   0.3207142E+01  -0.6427587E+00  -0.1118847E+01   0.1975106E+01   0.8055233E+00   0.1530969E+04  -0.5351500E+04  -0.3428922E+04   0.1253978E+04   0.1461327E+05
    0.8000   0.4635514E+00  -0.5955589E+00  -0.4345162E+00   0.2729668E+00   0.1503214E+01  -0.6885172E+00  -0.1803372E+01  -0.1505384E+01  -0.4737999E+00   0.8025259E+00   0.3682723E+01  -0.5857022E+00  -0.9658696E+00   0.1510684E+01   0.5288999E-01   0.4831525E+04  -0.5879417E+04  -0.4210311E+04   0.2377965E+04   0.1456669E+05
    1.0000   0.8161179E+00  -0.6182367E+00  -0.5018294E+00   0.3646971E+00   0.1431336E+01  -0.9251840E-01  -0.1868970E+01  -0.1626257E+01  -0.2871591E+00   0.7246785E+00   0.3784225E+01  -0.4492927E+00  -0.6600122E+00   0.8596859E+00  -0.7953773E+00   0.8108722E+04  -0.6044917E+04  -0.4800025E+04   0.3207073E+04   0.1382207E+05
    1.2000   0.1138338E+01  -0.6026622E+00  -0.5398666E+00   0.4105549E+00   0.1284708E+01   0.4795800E+00  -0.1884431E+01  -0.1694538E+01  -0.2041600E+00   0.5246067E+00   0.3470337E+01  -0.1875832E+00  -0.2484687E+00   0.1207568E+00  -0.1622701E+01   0.1107190E+05  -0.5812355E+04  -0.5132033E+04   0.3643523E+04   0.1239977E+05
    1.4000   0.1398144E+01  -0.5454875E+00  -0.5439418E+00   0.4065410E+00   0.1071557E+01   0.9645013E+00  -0.1836197E+01  -0.1698844E+01  -0.2309417E+00   0.2134661E+00   0.2752232E+01   0.2151486E+00   0.2044600E+00  -0.5984043E+00  -0.2311318E+01   0.1343389E+05  -0.5168972E+04  -0.5167175E+04   0.3648150E+04   0.1037724E+05
    1.6000   0.1567425E+01  -0.4461236E+00  -0.5135217E+00   0.3557755E+00   0.8066151E+00   0.1305054E+01  -0.1713698E+01  -0.1637441E+01  -0.3578107E+00  -0.1831550E+00   0.1693299E+01   0.7338096E+00   0.6289745E+00  -0.1196758E+01  -0.2763862E+01   0.1494476E+05  -0.4132567E+04  -0.4900174E+04   0.3243299E+04   0.7885256E+04
