
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 13-Apr-2026 at 09:08:13.

 
 
 
      Time        FAIRTEN1       LINE1NAPX
       (s)             (N)             (m)
    1.2900   4.8816428E+05   1.0141261E+00
    1.3000   4.8874736E+05   1.0141297E+00
    1.3100   4.8932820E+05   1.0141332E+00
    1.3200   4.8990675E+05   1.0141368E+00
    1.3300   4.9048294E+05   1.0141404E+00
    1.3400   4.9105666E+05   1.0141439E+00
    1.3500   4.9162780E+05   1.0141474E+00
    1.3600   4.9219638E+05   1.0141509E+00
    1.3700   4.9276222E+05   1.0141544E+00
    1.3800   4.9332528E+05   1.0141578E+00
    1.3900   4.9388552E+05   1.0141613E+00
    1.4000   4.9444282E+05   1.0141647E+00
    1.4100   4.9499708E+05   1.0141681E+00
    1.4200   4.9554830E+05   1.0141715E+00
    1.4300   4.9609631E+05   1.0141749E+00
    1.4400   4.9664105E+05   1.0141783E+00
    1.4500   4.9718244E+05   1.0141816E+00
    1.4600   4.9772036E+05   1.0141849E+00
    1.4700   4.9825483E+05   1.0141882E+00
    1.4800   4.9878567E+05   1.0141915E+00
    1.4900   4.9931281E+05   1.0141947E+00
    1.5000   4.9983615E+05   1.0141979E+00
    1.5100   5.0035575E+05   1.0142011E+00
    1.5200   5.0087142E+05   1.0142043E+00
    1.5300   5.0138312E+05   1.0142075E+00
    1.5400   5.0189077E+05   1.0142106E+00
    1.5500   5.0239441E+05   1.0142137E+00
    1.5600   5.0289388E+05   1.0142168E+00
    1.5700   5.0338913E+05   1.0142198E+00
    1.5800   5.0388008E+05   1.0142229E+00
    1.5900   5.0436677E+05   1.0142259E+00
    1.6000   5.0484903E+05   1.0142288E+00
    1.6100   5.0532680E+05   1.0142318E+00
    1.6200   5.0579999E+05   1.0142347E+00
    1.6300   5.0626863E+05   1.0142376E+00
    1.6400   5.0673270E+05   1.0142404E+00
    1.6500   5.0719213E+05   1.0142433E+00
    1.6600   5.0764681E+05   1.0142461E+00
    1.6700   5.0809673E+05   1.0142489E+00
    1.6800   5.0854186E+05   1.0142516E+00
    1.6900   5.0898210E+05   1.0142543E+00
    1.7000   5.0941730E+05   1.0142570E+00
    1.7100   5.0984743E+05   1.0142597E+00
    1.7200   5.1027241E+05   1.0142623E+00
    1.7300   5.1069227E+05   1.0142649E+00
    1.7400   5.1110702E+05   1.0142674E+00
    1.7500   5.1151657E+05   1.0142700E+00
    1.7600   5.1192079E+05   1.0142725E+00
    1.7700   5.1231968E+05   1.0142749E+00
    1.7800   5.1271318E+05   1.0142774E+00
    1.7900   5.1310133E+05   1.0142798E+00
    1.8000   5.1348395E+05   1.0142821E+00
    1.8100   5.1386116E+05   1.0142845E+00
    1.8200   5.1423283E+05   1.0142867E+00
    1.8300   5.1459897E+05   1.0142890E+00
    1.8400   5.1495949E+05   1.0142912E+00
    1.8500   5.1531427E+05   1.0142934E+00
    1.8600   5.1566330E+05   1.0142956E+00
    1.8700   5.1600669E+05   1.0142977E+00
    1.8800   5.1634430E+05   1.0142998E+00
    1.8900   5.1667610E+05   1.0143019E+00
    1.9000   5.1700202E+05   1.0143039E+00
    1.9100   5.1732207E+05   1.0143059E+00
    1.9200   5.1763624E+05   1.0143078E+00
    1.9300   5.1794442E+05   1.0143097E+00
    1.9400   5.1824662E+05   1.0143116E+00
    1.9500   5.1854279E+05   1.0143134E+00
    1.9600   5.1883300E+05   1.0143152E+00
    1.9700   5.1911724E+05   1.0143170E+00
    1.9800   5.1939544E+05   1.0143187E+00
    1.9900   5.1966748E+05   1.0143204E+00
    2.0000   5.1993331E+05   1.0143220E+00
    2.0100   5.2019304E+05   1.0143236E+00
    2.0200   5.2044669E+05   1.0143252E+00
    2.0300   5.2069420E+05   1.0143268E+00
    2.0400   5.2093547E+05   1.0143283E+00
    2.0500   5.2117048E+05   1.0143297E+00
    2.0600   5.2139918E+05   1.0143311E+00
    2.0700   5.2162159E+05   1.0143325E+00
    2.0800   5.2183770E+05   1.0143339E+00
    2.0900   5.2204757E+05   1.0143352E+00
    2.1000   5.2225103E+05   1.0143364E+00
    2.1100   5.2244822E+05   1.0143377E+00
    2.1200   5.2263900E+05   1.0143389E+00
    2.1300   5.2282335E+05   1.0143400E+00
    2.1400   5.2300136E+05   1.0143411E+00
    2.1500   5.2317306E+05   1.0143422E+00
    2.1600   5.2333838E+05   1.0143432E+00
    2.1700   5.2349722E+05   1.0143442E+00
    2.1800   5.2364956E+05   1.0143452E+00
    2.1900   5.2379549E+05   1.0143461E+00
    2.2000   5.2393504E+05   1.0143470E+00
    2.2100   5.2406818E+05   1.0143478E+00
    2.2200   5.2419477E+05   1.0143486E+00
    2.2300   5.2431482E+05   1.0143493E+00
    2.2400   5.2442843E+05   1.0143501E+00
    2.2500   5.2453563E+05   1.0143507E+00
    2.2600   5.2463637E+05   1.0143514E+00
    2.2700   5.2473054E+05   1.0143520E+00
    2.2800   5.2481813E+05   1.0143525E+00
    2.2900   5.2489926E+05   1.0143530E+00
    2.3000   5.2497394E+05   1.0143535E+00
    2.3100   5.2504215E+05   1.0143540E+00
    2.3200   5.2510376E+05   1.0143544E+00
    2.3300   5.2515878E+05   1.0143547E+00
    2.3400   5.2520731E+05   1.0143550E+00
    2.3500   5.2524937E+05   1.0143553E+00
    2.3600   5.2528494E+05   1.0143555E+00
    2.3700   5.2531388E+05   1.0143557E+00
    2.3800   5.2533621E+05   1.0143559E+00
    2.3900   5.2535203E+05   1.0143560E+00
    2.4000   5.2536136E+05   1.0143561E+00
    2.4100   5.2536416E+05   1.0143561E+00
    2.4200   5.2536032E+05   1.0143561E+00
    2.4300   5.2535001E+05   1.0143561E+00
    2.4400   5.2533316E+05   1.0143560E+00
    2.4500   5.2530979E+05   1.0143559E+00
    2.4600   5.2527987E+05   1.0143557E+00
    2.4700   5.2524345E+05   1.0143555E+00
    2.4800   5.2520053E+05   1.0143553E+00
    2.4900   5.2515103E+05   1.0143550E+00
    2.5000   5.2509499E+05   1.0143547E+00
    2.5100   5.2503235E+05   1.0143543E+00
    2.5200   5.2496318E+05   1.0143539E+00
    2.5300   5.2488748E+05   1.0143534E+00
    2.5400   5.2480517E+05   1.0143530E+00
    2.5500   5.2471626E+05   1.0143524E+00
    2.5600   5.2462090E+05   1.0143519E+00
    2.5700   5.2451897E+05   1.0143513E+00
    2.5800   5.2441045E+05   1.0143506E+00
    2.5900   5.2429545E+05   1.0143499E+00
    2.6000   5.2417399E+05   1.0143492E+00
    2.6100   5.2404603E+05   1.0143484E+00
    2.6200   5.2391163E+05   1.0143476E+00
