





     Time        HydroFxi        HydroFyi        HydroFzi        HydroMxi        HydroMyi        HydroMzi        M1N1FDxi        M1N1FDyi        M1N2FDxi        M1N2FDyi        M1N3FDxi        M1N3FDyi        M1N4FDxi        M1N4FDyi        M1N5FDxi        M1N5FDyi        M1N6FDxi        M1N6FDyi        M1N7FDxi        M1N7FDyi        M1N8FDxi        M1N8FDyi        M1N9FDxi        M1N9FDyi        M1N1FIxi        M1N1FIyi        M1N2FIxi        M1N2FIyi        M1N3FIxi        M1N3FIyi        M1N4FIxi        M1N4FIyi        M1N5FIxi        M1N5FIyi        M1N6FIxi        M1N6FIyi        M1N7FIxi        M1N7FIyi        M1N8FIxi        M1N8FIyi        M1N9FIxi        M1N9FIyi        J1FDzi          J1FIzi
     (sec)         (N)             (N)             (N)            (N-m)           (N-m)           (N-m)            (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
     0.90   2.3440682e+05  -2.3231144e+06   2.3538082e+07  -1.7461236e+07  -2.0302168e+06   0.0000000e+00  -2.6855971e+03  -2.6268730e+03  -2.9053049e+03  -2.8336115e+03  -3.1386624e+03  -3.0524209e+03  -3.3855626e+03  -3.2830534e+03  -3.6456323e+03  -3.5249827e+03  -3.9265032e+03  -3.7853737e+03  -5.7532182e+03  -5.5464315e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6135214e+04  -1.2868335e+05   1.6458922e+04  -1.3704511e+05   1.6691708e+04  -1.4625271e+05   1.6814852e+04  -1.5640480e+05   1.6807103e+04  -1.6761164e+05   1.6679840e+04  -1.8037953e+05   2.4439751e+04  -2.6429695e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.0984243e+04   7.5042546e+05
     1.00   3.5799261e+05  -2.2163630e+06   2.3570930e+07  -1.6470442e+07  -3.0682674e+06   0.0000000e+00  -2.7384665e+03  -2.9099013e+03  -2.9660441e+03  -3.1478726e+03  -3.2087500e+03  -3.4020051e+03  -3.4667437e+03  -3.6726182e+03  -3.7399584e+03  -3.9598237e+03  -4.0280388e+03  -4.2634614e+03  -6.2363733e+03  -6.6008640e+03  -5.0112933e+01  -5.3041830e+01   0.0000000e+00   0.0000000e+00   2.2962820e+04  -1.2207493e+05   2.3454616e+04  -1.3027364e+05   2.3840177e+04  -1.3933216e+05   2.4096646e+04  -1.4935335e+05   2.4197957e+04  -1.6045247e+05   2.4114467e+04  -1.7275871e+05   3.7334998e+04  -2.6747205e+05   3.0000869e+02  -2.1492955e+03   0.0000000e+00   0.0000000e+00   4.2290622e+04   7.9196679e+05
     1.10   4.8127075e+05  -2.0955227e+06   2.3600740e+07  -1.5399013e+07  -4.0941430e+06   0.0000000e+00  -2.7720472e+03  -3.1865033e+03  -3.0063623e+03  -3.4564136e+03  -3.2573250e+03  -3.7469566e+03  -3.5253957e+03  -4.0591265e+03  -3.8108594e+03  -4.3938071e+03  -4.1137685e+03  -4.7517180e+03  -6.4883704e+03  -7.4945652e+03  -2.6906934e+02  -3.1079572e+02   0.0000000e+00   0.0000000e+00   2.9737567e+04  -1.1470223e+05   3.0406828e+04  -1.2265831e+05   3.0956634e+04  -1.3147867e+05   3.1360290e+04  -1.4126921e+05   3.1587242e+04  -1.5214892e+05   3.1602622e+04  -1.6425147e+05   4.9844690e+04  -2.5906279e+05   2.0670333e+03  -1.0743199e+04   0.0000000e+00   0.0000000e+00   3.4216123e+04   8.2985098e+05
     1.20   6.0382368e+05  -1.9608398e+06   2.3627524e+07  -1.4250752e+07  -5.1042435e+06   0.0000000e+00  -2.7849373e+03  -3.4520761e+03  -3.0245948e+03  -3.7540638e+03  -3.2824082e+03  -4.0814608e+03  -3.5591651e+03  -4.4360348e+03  -3.8555360e+03  -4.8195665e+03  -4.1720261e+03  -5.2338132e+03  -6.5621558e+03  -8.2322346e+03  -5.9641384e+02  -7.4820208e+02   0.0000000e+00   0.0000000e+00   3.6441507e+04  -1.0658918e+05   3.7298735e+04  -1.1422276e+05   3.8025729e+04  -1.2271529e+05   3.8592309e+04  -1.3217453e+05   3.8963838e+04  -1.4272183e+05   3.9100665e+04  -1.5449380e+05   6.1501211e+04  -2.4300241e+05   5.5896529e+03  -2.2085730e+04   0.0000000e+00   0.0000000e+00   2.6853411e+04   8.6399807e+05
     1.30   7.2520745e+05  -1.8127236e+06   2.3651299e+07  -1.3030142e+07  -6.0949153e+06   0.0000000e+00  -2.7760661e+03  -3.7019623e+03  -3.0194258e+03  -4.0355374e+03  -3.2823863e+03  -4.3995085e+03  -3.5660786e+03  -4.7965014e+03  -3.8715822e+03  -5.2293027e+03  -4.1998870e+03  -5.7008477e+03  -6.5080671e+03  -8.8339279e+03  -9.6706689e+02  -1.3126784e+03   0.0000000e+00   0.0000000e+00   4.3055774e+04  -9.7767087e+04   4.4112372e+04  -1.0499889e+05   4.5030710e+04  -1.1307437e+05   4.5777539e+04  -1.2210190e+05   4.6314597e+04  -1.3220375e+05   4.6597974e+04  -1.4351794e+05   7.2207357e+04  -2.2239274e+05   1.0729660e+04  -3.3046472e+04   0.0000000e+00   0.0000000e+00   2.0282678e+04   8.9434379e+05
     1.40   8.4495017e+05  -1.6517527e+06   2.3672083e+07  -1.1742336e+07  -7.0624572e+06   0.0000000e+00  -2.7447283e+03  -3.9315668e+03  -2.9899301e+03  -4.2955690e+03  -3.2560627e+03  -4.6950525e+03  -3.5446064e+03  -5.1335668e+03  -3.8570611e+03  -5.6149921e+03  -4.1949202e+03  -6.1435573e+03  -6.3676932e+03  -9.3256335e+03  -1.3265432e+03  -1.9427532e+03   0.0000000e+00   0.0000000e+00   4.9560507e+04  -8.8274589e+04   5.0828529e+04  -9.5026844e+04   5.1953295e+04  -1.0259754e+05   5.2898949e+04  -1.1109433e+05   5.3624128e+04  -1.2063900e+05   5.4081245e+04  -1.3136931e+05   8.2092808e+04  -1.9941249e+05   1.7101901e+04  -4.1542404e+04   0.0000000e+00   0.0000000e+00   1.4570356e+04   9.2083983e+05
     1.50   9.6255120e+05  -1.4786771e+06   2.3689895e+07  -1.0393132e+07  -8.0031285e+06   0.0000000e+00  -2.6906123e+03  -4.1364777e+03  -2.9356101e+03  -4.5290544e+03  -3.2027034e+03  -4.9621720e+03  -3.4937177e+03  -5.4403471e+03  -3.8105729e+03  -5.9686140e+03  -4.1552709e+03  -6.5525791e+03  -6.1729002e+03  -9.7342431e+03  -1.6326320e+03  -2.5745495e+03   0.0000000e+00   0.0000000e+00   5.5934801e+04  -7.8157475e+04   5.7426674e+04  -8.4354859e+04   5.8773562e+04  -9.1335525e+04   5.9937504e+04  -9.9205132e+04   6.0874611e+04  -1.0808349e+05   6.1534267e+04  -1.1810646e+05   9.1412787e+04  -1.7545412e+05   2.4177200e+04  -4.6404770e+04   0.0000000e+00   0.0000000e+00   9.7680478e+03   9.4345395e+05
     1.60   1.0774812e+06  -1.2944188e+06   2.3704755e+07  -8.9889383e+06  -8.9131596e+06   0.0000000e+00  -2.6138222e+03  -4.3125885e+03  -2.8564238e+03  -4.7311947e+03  -3.1220740e+03  -5.1952437e+03  -3.4129288e+03  -5.7102359e+03  -3.7313155e+03  -6.2823894e+03  -4.0797348e+03  -6.9187349e+03  -5.9460747e+03  -1.0083821e+04  -1.8557873e+03  -3.1471900e+03   0.0000000e+00   0.0000000e+00   6.2156677e+04  -6.7468475e+04   6.3884908e+04  -7.3039010e+04   6.5469874e+04  -7.9347957e+04   6.6872059e+04  -8.6497676e+04   6.8045661e+04  -9.4604532e+04   6.8937740e+04  -1.0380079e+05   1.0047441e+05  -1.5128612e+05   3.1358358e+04  -4.7216841e+04   0.0000000e+00   0.0000000e+00   5.9117042e+03   9.6217020e+05
     1.70   1.1891834e+06  -1.1000684e+06   2.3716683e+07  -7.5367408e+06  -9.7887647e+06   0.0000000e+00  -2.5148918e+03  -4.4562170e+03  -2.7528062e+03  -4.8976391e+03  -3.0144685e+03  -5.3891117e+03  -3.3023408e+03  -5.9371079e+03  -3.6191330e+03  -6.5490252e+03  -3.9678211e+03  -7.2333240e+03  -5.7012430e+03  -1.0393346e+04  -1.9785325e+03  -3.6068578e+03   0.0000000e+00   0.0000000e+00   6.8203088e+04  -5.6266931e+04   7.0179947e+04  -6.1142880e+04   7.2018850e+04  -6.6702974e+04   7.3679300e+04  -7.3044987e+04   7.5114242e+04  -8.0280373e+04   7.6269154e+04  -8.8536156e+04   1.0958886e+05  -1.2721494e+05   3.8031201e+04  -4.4148075e+04   0.0000000e+00   0.0000000e+00   3.0210784e+03   9.7698885e+05
     1.80   1.2970756e+06  -8.9687819e+05   2.3725699e+07  -6.0440544e+06  -1.0626156e+07   0.0000000e+00  -2.3947903e+03  -4.5642196e+03  -2.6256795e+03  -5.0246217e+03  -2.8807268e+03  -5.5392532e+03  -3.1626662e+03  -6.1155191e+03  -3.4745535e+03  -6.7619556e+03  -3.8198020e+03  -7.4884148e+03  -5.4456109e+03  -1.0675683e+04  -1.9942985e+03  -3.9096618e+03   0.0000000e+00   0.0000000e+00   7.4049945e+04  -4.4618399e+04   7.6287139e+04  -4.8737129e+04   7.8395359e+04  -5.3476774e+04   8.0333729e+04  -5.8929265e+04   8.2054625e+04  -6.5199718e+04   8.3502722e+04  -7.2408289e+04   1.1904369e+05  -1.0322718e+05   4.3596330e+04  -3.7803985e+04   0.0000000e+00   0.0000000e+00   1.0994603e+03   9.8792642e+05
