





     Time        HydroFxi        HydroFyi        HydroFzi        HydroMxi        HydroMyi        HydroMzi        M1N1FDxi        M1N1FDyi        M1N2FDxi        M1N2FDyi        M1N3FDxi        M1N3FDyi        M1N4FDxi        M1N4FDyi        M1N5FDxi        M1N5FDyi        M1N6FDxi        M1N6FDyi        M1N7FDxi        M1N7FDyi        M1N8FDxi        M1N8FDyi        M1N9FDxi        M1N9FDyi        M1N1FIxi        M1N1FIyi        M1N2FIxi        M1N2FIyi        M1N3FIxi        M1N3FIyi        M1N4FIxi        M1N4FIyi        M1N5FIxi        M1N5FIyi        M1N6FIxi        M1N6FIyi        M1N7FIxi        M1N7FIyi        M1N8FIxi        M1N8FIyi        M1N9FIxi        M1N9FIyi        J1FDzi          J1FIzi
     (sec)         (N)             (N)             (N)            (N-m)           (N-m)           (N-m)            (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
    31.60  -5.6678735e+05  -1.3519388e+06   2.2431434e+07  -9.9266246e+06   4.9855194e+06   0.0000000e+00   5.4560714e+01   6.4817207e+00   6.0111209e+01   9.9905583e-01   6.7109956e+01  -5.8368356e+00   9.4415263e+01  -2.0022267e+01   8.5333925e+01  -2.7527387e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.5434737e+04  -9.5111045e+04  -3.6093534e+04  -1.0316966e+05  -3.6452339e+04  -1.1175954e+05  -4.4051635e+04  -1.4859776e+05  -3.3758450e+04  -1.2578348e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.9585978e+03  -3.1119702e+05
    31.70  -5.8973057e+05  -1.3180729e+06   2.2442058e+07  -9.6882976e+06   5.1514996e+06   0.0000000e+00   4.2649506e+01  -9.8950625e+00   4.9390345e+01  -1.7675008e+01   5.8088153e+01  -2.8052441e+01   8.0565119e+01  -5.0200558e+01   9.6034115e+01  -7.2802593e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.6854946e+04  -9.2018129e+04  -3.7644273e+04  -9.9701704e+04  -3.8150743e+04  -1.0788360e+05  -4.3505011e+04  -1.3382783e+05  -4.1516936e+04  -1.4091501e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.3567629e+03  -3.0097132e+05
    31.80  -6.1080580e+05  -1.2728637e+06   2.2453109e+07  -9.3645001e+06   5.2924733e+06   0.0000000e+00   3.6650146e+01  -2.5193167e+01   4.4655287e+01  -3.7510560e+01   5.4812971e+01  -5.4111513e+01   7.3785680e+01  -8.3963078e+01   1.1012153e+02  -1.4244342e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.8185972e+04  -8.8196054e+04  -3.9130111e+04  -9.5456506e+04  -3.9815537e+04  -1.0318083e+05  -4.3139607e+04  -1.2027966e+05  -4.9491630e+04  -1.5182122e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.6449372e+03  -2.9020828e+05
    31.90  -6.2985180e+05  -1.2167726e+06   2.2464470e+07  -8.9595724e+06   5.4073346e+06   0.0000000e+00   3.3722417e+01  -4.4489710e+01   4.2246387e+01  -6.3439471e+01   5.2968857e+01  -8.8425228e+01   6.8803340e+01  -1.2548259e+02   1.2188756e+02  -2.4191418e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.9413716e+04  -8.3684653e+04  -4.0534762e+04  -9.0477191e+04  -4.1427884e+04  -9.7697811e+04  -4.3215612e+04  -1.0855828e+05  -5.7363930e+04  -1.5774595e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.8168612e+03  -2.7901945e+05
    32.00  -6.4668479e+05  -1.1503308e+06   2.2476028e+07  -8.4784071e+06   5.4950118e+06   0.0000000e+00   3.0604914e+01  -7.0001704e+01   3.8789501e+01  -9.6929944e+01   4.9186479e+01  -1.3165484e+02   6.2726398e+01  -1.7672336e+02   1.2592222e+02  -3.7024860e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.0522202e+04  -7.8528076e+04  -4.1839473e+04  -8.4811349e+04  -4.2965766e+04  -9.1485715e+04  -4.3993901e+04  -9.8932209e+04  -6.4790779e+04  -1.5832053e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.8705866e+03  -2.6751513e+05
    32.10  -6.6109324e+05  -1.0741342e+06   2.2487677e+07  -7.9264999e+06   5.5544679e+06   0.0000000e+00   2.5187698e+01  -1.0148994e+02   3.2312398e+01  -1.3716494e+02   4.1622104e+01  -1.8239996e+02   5.3848512e+01  -2.3921402e+02   1.1822780e+02  -5.2026358e+02   3.3624126e-01  -1.4648793e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.1493835e+04  -7.2774460e+04  -4.3023318e+04  -7.8510689e+04  -4.4404334e+04  -8.4599924e+04  -4.5582131e+04  -9.1051412e+04  -7.1383649e+04  -1.5345935e+05  -1.7340812e+02  -3.8722856e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.8082617e+03  -2.5580353e+05
    32.20  -6.7283424e+05  -9.8883110e+05   2.2499319e+07  -7.3096461e+06   5.5847082e+06   0.0000000e+00   1.6506374e+01  -1.3759454e+02   2.1948941e+01  -1.8237098e+02   2.9483165e+01  -2.3843714e+02   3.9905004e+01  -3.0807853e+02   9.6261681e+01  -6.7709974e+02   2.4669913e+00  -1.6637636e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.2309691e+04  -6.6475588e+04  -4.4063552e+04  -7.1630677e+04  -4.5716321e+04  -7.7099684e+04  -4.7221996e+04  -8.2891326e+04  -7.6632704e+04  -1.4316005e+05  -1.6516814e+03  -3.1818232e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.6358025e+03  -2.4398997e+05
    32.30  -6.8163899e+05  -8.9517057e+05   2.2510859e+07  -6.6338710e+06   5.5847463e+06   0.0000000e+00   4.2890650e+00  -1.7656774e+02   7.4816977e+00  -2.3044748e+02   1.2591274e+01  -2.9726589e+02   2.0460555e+01  -3.7955115e+02   6.0829085e+01  -8.2904262e+02   4.2577448e+00  -5.1926052e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.2949869e+04  -5.9686528e+04  -4.4936016e+04  -6.4230177e+04  -4.6872524e+04  -6.9047722e+04  -4.8723021e+04  -7.4147514e+04  -8.0522480e+04  -1.2885313e+05  -4.4779390e+03  -7.3417580e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.3624661e+03  -2.3217607e+05
    32.40  -6.8722115e+05  -7.9397585e+05   2.2522214e+07  -5.9056909e+06   5.5536475e+06   0.0000000e+00  -1.1346141e+01  -2.1656769e+02  -1.0928127e+01  -2.7922803e+02  -8.8579655e+00  -3.5634947e+02  -4.2669738e+00  -4.5067384e+02   1.4097485e+01  -9.6706601e+02   2.7323289e+00  -1.0904150e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.3393866e+04  -5.2465271e+04  -4.5615596e+04  -5.6371071e+04  -4.7842341e+04  -6.0509872e+04  -5.0048098e+04  -6.4889769e+04  -8.3155368e+04  -1.1196375e+05  -8.4028808e+03  -1.1522114e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.0003412e+03  -2.2045900e+05
    32.50  -6.8928419e+05  -6.8613497e+05   2.2533306e+07  -5.1319292e+06   5.4905561e+06   0.0000000e+00  -3.0045782e+01  -2.5579123e+02  -3.2878287e+01  -3.2661132e+02  -3.4417864e+01  -4.1324785e+02  -3.3793945e+01  -5.1862323e+02  -4.1214922e+01  -1.0848128e+03  -4.8467571e+00  -1.8630988e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.3620996e+04  -4.4872351e+04  -4.6076706e+04  -4.8117873e+04  -4.8594357e+04  -5.1554679e+04  -5.1158879e+04  -5.5190669e+04  -8.4665848e+04  -9.3650031e+04  -1.3129070e+04  -1.4700954e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.5637771e+03  -2.0893083e+05
    32.60  -6.8752849e+05  -5.7259565e+05   2.2544064e+07  -4.3196756e+06   5.3947073e+06   0.0000000e+00  -5.1301468e+01  -2.9255306e+02  -5.7799536e+01  -3.7064614e+02  -6.3458877e+01  -4.6570962e+02  -6.7433465e+01  -5.8081076e+02  -1.0230096e+02  -1.1786646e+03  -2.0519902e+01  -2.7906155e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.3610826e+04  -3.6970458e+04  -4.6293821e+04  -3.9537340e+04  -4.9096963e+04  -4.2253007e+04  -5.2016516e+04  -4.5125178e+04  -8.5206511e+04  -7.4794585e+04  -1.8329203e+04  -1.6185327e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.0687711e+03  -1.9767785e+05
    32.70  -6.8165961e+05  -4.5435922e+05   2.2554425e+07  -3.4762446e+06   5.2654497e+06   0.0000000e+00  -7.4497859e+01  -3.2534358e+02  -8.5001959e+01  -4.0959553e+02  -9.5213314e+01  -5.1174334e+02  -1.0433825e+02  -6.3496171e+02  -1.6658434e+02  -1.2473819e+03  -4.5328966e+01  -3.8045120e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.3343632e+04  -2.8824044e+04  -4.6242012e+04  -3.0698064e+04  -4.9319008e+04  -3.2677637e+04  -5.2582429e+04  -3.4770253e+04  -8.4933347e+04  -5.6020379e+04  -2.3665986e+04  -1.5591757e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   4.5323338e+03  -1.8678001e+05
    32.80  -6.7139869e+05  -3.3247361e+05   2.2564334e+07  -2.6091342e+06   5.1023059e+06   0.0000000e+00  -9.8947000e+01  -3.5287418e+02  -1.1370988e+02  -4.4198749e+02  -1.2881076e+02  -5.4967401e+02  -1.4353644e+02  -6.7917778e+02  -2.3189716e+02  -1.2915147e+03  -7.9188172e+01  -4.8248654e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.2800865e+04  -2.0498921e+04  -4.5897512e+04  -2.1670068e+04  -4.9230463e+04  -2.2902850e+04  -5.2819105e+04  -2.4204429e+04  -8.3992223e+04  -3.7723672e+04  -2.8811515e+04  -1.2808545e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   3.9718555e+03  -1.7631039e+05
    32.90  -6.5649198e+05  -2.0802525e+05   2.2573742e+07  -1.7259808e+06   4.9050094e+06   0.0000000e+00  -1.2391720e+02  -3.7411227e+02  -1.4309252e+02  -4.6665401e+02  -1.6331067e+02  -5.7818610e+02  -1.8396621e+02  -7.1198426e+02  -2.9653599e+02  -1.3127601e+03  -1.2091355e+02  -5.7706900e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.1965614e+04  -1.2061851e+04  -4.5238267e+04  -1.2524389e+04  -4.8803091e+04  -1.3004014e+04  -5.2690891e+04  -1.3507413e+04  -8.2508132e+04  -2.0116563e+04  -3.3464392e+04  -7.9474182e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   3.4044908e+03  -1.6633471e+05
    33.00  -6.3671984e+05  -8.2130018e+04   2.2582608e+07  -8.3450653e+05   4.6735325e+06   0.0000000e+00  -1.4865995e+02  -3.8830619e+02  -1.7229361e+02  -4.8275833e+02  -1.9773489e+02  -5.9635321e+02  -2.2451162e+02  -7.3236187e+02  -3.5922997e+02  -1.3133912e+03  -1.6837869e+02  -6.5689867e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.0823064e+04  -3.5801311e+03  -4.4244492e+04  -3.3326533e+03  -4.8011108e+04  -3.0571547e+03  -5.2164794e+04  -2.7596519e+03  -8.0578101e+04  -3.2723943e+03  -3.7363419e+04  -1.2914305e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.8465826e+03  -1.5691100e+05
    33.10  -6.1190568e+05   4.4076512e+04   2.2590897e+07   5.7535130e+04   4.4081124e+06   0.0000000e+00  -1.7243631e+02  -3.9500001e+02  -2.0046109e+02  -4.8981050e+02  -2.3110121e+02  -6.0365412e+02  -2.6404050e+02  -7.3976286e+02  -4.1905916e+02  -1.2958295e+03  -2.1875596e+02  -7.1615489e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.9360941e+04   4.8788264e+03  -4.2899207e+04   5.8333501e+03  -4.6831831e+04   6.8614751e+03  -5.1211246e+04   7.9580956e+03  -7.8267962e+04   1.2831475e+04  -4.0297429e+04   6.7553086e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.3131412e+03  -1.4808922e+05
    33.20  -5.8192447e+05   1.6944950e+05   2.2598579e+07   9.4241447e+05   4.1092737e+06   0.0000000e+00  -1.9454305e+02  -3.9403784e+02  -2.2677713e+02  -4.8767091e+02  -2.6245791e+02  -5.9997505e+02  -3.0144445e+02  -7.3411147e+02  -4.7535731e+02  -1.2623793e+03  -2.6880258e+02  -7.5092034e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.7569925e+04   1.3247917e+04  -4.1188740e+04   1.4902104e+04  -4.5246285e+04   1.6675838e+04  -4.9804850e+04   1.8565202e+04  -7.5612457e+04   2.8277214e+04  -4.2111510e+04   1.5712212e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.8173931e+03  -1.3991104e+05
    33.30  -5.4671049e+05   2.9284568e+05   2.2605633e+07   1.8124813e+06   3.7778490e+06   0.0000000e+00  -2.1433854e+02  -3.8555768e+02  -2.5048832e+02  -4.7654190e+02  -2.9091906e+02  -5.8559842e+02  -3.3568017e+02  -7.1578896e+02  -5.2762400e+02  -1.2151039e+03  -3.1515759e+02  -7.5936073e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.5444040e+04   2.1460769e+04  -3.9103196e+04   2.3802803e+04  -4.3239779e+04   2.6310560e+04  -4.7925065e+04   2.8981624e+04  -7.2617634e+04   4.3178140e+04  -4.2710366e+04   2.5059190e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3704127e+03  -1.3240963e+05
    33.40  -5.0626425e+05   4.1313452e+05   2.2612044e+07   2.6602209e+06   3.4149948e+06   0.0000000e+00  -2.3126788e+02  -3.6997499e+02  -2.7093537e+02  -4.5694759e+02  -3.1569972e+02  -5.6117809e+02  -3.6581130e+02  -6.8560340e+02  -5.7545875e+02  -1.1558026e+03  -3.5462519e+02  -7.4169910e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.2980993e+04   2.9452177e+04  -3.6636888e+04   3.2465791e+04  -4.0802420e+04   3.5691381e+04  -4.5556836e+04   3.9128363e+04  -6.9264287e+04   5.7658330e+04  -4.2059831e+04   3.4265921e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   9.8084434e+02  -1.2560957e+05
    33.50  -4.6065820e+05   5.2920970e+05   2.2617801e+07   3.4783095e+06   3.0222050e+06   0.0000000e+00  -2.4488669e+02  -3.4795624e+02  -2.8758165e+02  -4.2970231e+02  -3.3615017e+02  -5.2770190e+02  -3.9104959e+02  -6.4474512e+02  -6.1851933e+02  -1.0860429e+03  -3.8442993e+02  -7.0003338e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.0182475e+04   3.7158519e+04  -3.3788700e+04   4.0823011e+04  -3.7929573e+04   4.4745616e+04  -4.2691157e+04   4.8927937e+04  -6.5511275e+04   7.1838605e+04  -4.0187431e+04   4.2814856e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.5472222e+02  -1.1952681e+05
    33.60  -4.1004111e+05   6.4000058e+05   2.2622899e+07   4.2596699e+06   2.6013186e+06   0.0000000e+00  -2.5488309e+02  -3.2038266e+02  -3.0003978e+02  -3.9586809e+02  -3.5178823e+02  -4.8644169e+02  -4.1079416e+02  -5.9472820e+02  -6.5649899e+02  -1.0072121e+03  -4.0243507e+02  -6.3804175e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.7054403e+04   4.4518194e+04  -3.0562397e+04   4.8808446e+04  -3.4622242e+04   5.3402617e+04  -3.9325541e+04   5.8304854e+04  -6.1298005e+04   8.5826269e+04  -3.7182515e+04   5.0220348e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   3.9538998e+02  -1.1416869e+05
    33.70  -3.5464087e+05   7.4448357e+05   2.2627342e+07   4.9975257e+06   2.1545243e+06   0.0000000e+00  -2.6109688e+02  -2.8830465e+02  -3.0809537e+02  -3.5670148e+02  -3.6232850e+02  -4.3889156e+02  -4.2466740e+02  -5.3731869e+02  -6.8911606e+02  -9.2056708e+02  -4.0731755e+02  -5.6060908e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.3607108e+04   5.1472033e+04  -2.6966862e+04   5.6358563e+04  -3.0887374e+04   6.1594237e+04  -3.5464402e+04   6.7186104e+04  -5.6546069e+04   9.9705651e+04  -3.3195797e+04   5.6046662e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.0351985e+02  -1.0953404e+05
    33.80  -2.9476557e+05   8.4169328e+05   2.2631137e+07   5.6854553e+06   1.6843588e+06   0.0000000e+00  -2.6353534e+02  -2.5288699e+02  -3.1172691e+02  -3.1359008e+02  -3.6770728e+02  -3.8669440e+02  -4.3254614e+02  -4.7444993e+02  -7.1611277e+02  -8.2727768e+02  -3.9869025e+02  -4.7339611e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9855450e+04   5.7963723e+04  -2.3016265e+04   6.3412754e+04  -2.6738076e+04   6.9255293e+04  -3.1119338e+04   7.5501642e+04  -5.1160750e+04   1.1352683e+05  -2.8437470e+04   5.9927282e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   7.7227444e+01  -1.0561337e+05
    33.90  -2.3080288e+05   9.3073322e+05   2.2634296e+07   6.3174444e+06   1.1937012e+06   0.0000000e+00  -2.6238439e+02  -2.1534461e+02  -3.1112043e+02  -2.6797849e+02  -3.6810162e+02  -3.3155672e+02  -4.3458594e+02  -4.0812477e+02  -7.3726587e+02  -7.2846564e+02  -3.7715745e+02  -3.8236790e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.5818873e+04   6.3940209e+04  -1.8730141e+04   6.9913770e+04  -2.2193742e+04   7.6324032e+04  -2.6309306e+04   8.3184880e+04  -4.5033899e+04   1.2729083e+05  -2.3172352e+04   6.1586960e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.2275589e+01  -1.0238908e+05
    34.00  -1.6321748e+05   1.0107859e+06   2.2636835e+07   6.8879360e+06   6.8576069e+05   0.0000000e+00  -2.5801346e+02  -1.7686880e+02  -3.0667706e+02  -2.2128345e+02  -3.6394012e+02  -2.7515133e+02  -4.3123588e+02  -3.4030425e+02  -7.5241608e+02  -6.2523947e+02  -3.4428640e+02  -2.9330140e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.1521388e+04   6.9352093e+04  -1.4133396e+04   7.5808145e+04  -1.7280076e+04   8.2742585e+04  -2.1060672e+04   9.0173181e+04  -3.8050058e+04   1.4093116e+05  -1.7710190e+04   6.0866553e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.3575799e+00  -9.9835806e+04
    34.10  -9.2546631e+04   1.0811221e+06   2.2638713e+07   7.3918799e+06   1.6405915e+05   0.0000000e+00  -2.5097125e+02  -1.3854317e+02  -2.9901022e+02  -1.7479741e+02  -3.5590189e+02  -2.1900709e+02  -4.2323960e+02  -2.7278207e+02  -7.6152157e+02  -5.1871516e+02  -3.0247978e+02  -2.1130461e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.9914754e+03   7.4154018e+04  -9.2562192e+03   8.1046614e+04  -1.2029021e+04   8.8457419e+04  -1.5407166e+04   9.6408342e+04  -3.0097780e+04   1.5429293e+05  -1.2389244e+04   5.7749006e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.9447980e+01  -9.7920733e+04
    34.20  -1.9393960e+04   1.1411093e+06   2.2639954e+07   7.8247783e+06  -3.6759242e+05   0.0000000e+00  -2.4196758e+02  -1.0124989e+02  -2.8892697e+02  -1.2958094e+02  -3.4489742e+02  -1.6438602e+02  -4.1161554e+02  -2.0704507e+02  -7.6472863e+02  -4.0999971e+02  -2.5474588e+02  -1.4039613e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2619267e+03   7.8305033e+04  -4.1339182e+03   8.5584513e+04  -6.4785863e+03   9.3419769e+04  -9.3896953e+03   1.0183707e+05  -2.1087579e+04   1.6711288e+05  -7.5518882e+03   5.2383235e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.1420702e+02  -9.6604047e+04
    34.30   5.5578675e+04   1.1902189e+06   2.2640617e+07   8.1827283e+06  -9.0512425e+05   0.0000000e+00  -2.3183408e+02  -6.5569281e+01  -2.7738542e+02  -8.6347128e+01  -3.3202209e+02  -1.1215129e+02  -3.9760599e+02  -1.4412351e+02  -7.6242998e+02  -3.0011043e+02  -2.0438556e+02  -8.3204875e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.6303977e+03   8.1768937e+04   1.1933407e+03   8.9382156e+04  -6.7257237e+02   9.7586067e+04  -3.0560576e+03   1.0641146e+05  -1.0976921e+04   1.7900449e+05  -3.5119900e+03   4.5101375e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1642312e+02  -9.5839401e+04
    34.40   1.3166097e+05   1.2280321e+06   2.2640763e+07   8.4624599e+06  -1.4442445e+06   0.0000000e+00  -2.2145405e+02  -3.1683139e+01  -2.6541691e+02  -4.5349032e+01  -3.1846984e+02  -6.2637755e+01  -3.8258088e+02  -8.4444165e+01  -7.5525283e+02  -1.8982326e+02  -1.5464667e+02  -4.0844066e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   7.6448755e+03   8.4514608e+04   6.6808702e+03   9.2405201e+04   5.3398024e+03   1.0091834e+05   3.5394734e+03   1.1008943e+05   1.9880940e+02   1.8945342e+05  -5.1544087e+02   3.6424202e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.3547700e+02  -9.5574438e+04
    34.50   2.0810556e+05   1.2542436e+06   2.2640461e+07   8.6613673e+06  -1.9804824e+06   0.0000000e+00  -2.1165416e+02   6.9627226e-01  -2.5400402e+02  -6.2940336e+00  -3.0539599e+02  -1.5551170e+01  -3.6788407e+02  -2.7714336e+01  -7.4390288e+02  -7.9498572e+01  -1.0842778e+02  -1.2978406e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.2737501e+04   8.6516295e+04   1.2279883e+04   9.4624981e+04   1.1504370e+04   1.0338458e+05   1.0336670e+04   1.1283516e+05   1.2292159e+04   1.9782802e+05   1.3030803e+03   2.7049715e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.6081046e+02  -9.5751361e+04
    34.60   2.8414047e+05   1.2686636e+06   2.2639783e+07   8.7775306e+06  -2.5092366e+06   0.0000000e+00  -2.0306221e+02   3.2336190e+01  -2.4391717e+02   3.1675277e+01  -2.9373118e+02   3.0060282e+01  -3.5462306e+02   2.7115669e+01  -7.2881516e+02   3.0983380e+01  -6.8124572e+01   1.9665975e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.7861324e+04   8.7753889e+04   1.7937986e+04   9.6018814e+04   1.7762573e+04   1.0495912e+05   1.7269980e+04   1.1461947e+05   2.5010765e+04   2.0340905e+05   1.9622546e+03   1.7820974e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -5.8238277e+02  -9.6307542e+04
