
Predictions were generated on 29-Sep-2025 at 15:43:58 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.1125	   1.034090E+00	  -5.387527E+06	  -3.362356E+06	   1.391610E+08	  -3.273228E+07	   6.823118E+07	  -5.437403E+07	   5.001192E+00	   4.668119E-05	   1.588866E-04	   3.529384E-08	   3.311679E-02	   1.905273E-02	   1.975530E-02	   1.335590E-03	   2.555639E-03	   1.251890E-05	  -7.198508E-04	   1.691080E-01	   1.841325E-01	   1.963654E-02	   2.126994E-02	   1.428255E-04	  -6.145497E-03	  -4.868423E-03	  -3.666178E+06	  -3.222707E+06	  -4.168148E+05	  -3.112260E+07	   6.554124E+07	  -3.229857E+07	   0.000000E+00	   0.000000E+00	   1.398905E+08	   1.092383E+06	  -5.732709E+07	   0.000000E+00	  -1.721349E+06	  -1.396487E+05	  -3.126817E+05	  -2.702063E+06	   6.001703E+07	  -2.207546E+07
    0.1250	   1.045656E+00	  -5.376522E+06	  -3.366517E+06	   1.391474E+08	  -3.206268E+07	   6.777127E+07	  -5.702690E+07	   5.001526E+00	   7.176191E-05	   2.005723E-04	  -7.385962E-08	   3.310494E-02	   2.116488E-02	   2.209683E-02	   1.714575E-03	   2.806208E-03	   1.209465E-05	  -7.955682E-04	   1.690272E-01	   1.845982E-01	   2.261572E-02	   2.085984E-02	   1.279459E-04	  -6.137219E-03	  -5.404182E-03	  -3.651855E+06	  -3.208751E+06	  -4.363473E+05	  -3.042752E+07	   6.509587E+07	  -3.192410E+07	   0.000000E+00	   0.000000E+00	   1.398904E+08	   1.213518E+06	  -5.732916E+07	   0.000000E+00	  -1.724667E+06	  -1.577657E+05	  -3.066614E+05	  -2.848686E+06	   6.000456E+07	  -2.510280E+07
    0.1375	   1.057117E+00	  -5.365312E+06	  -3.370376E+06	   1.391337E+08	  -3.138967E+07	   6.730825E+07	  -5.964696E+07	   5.001861E+00	   9.684262E-05	   2.422580E-04	  -1.830131E-07	   3.309310E-02	   2.327704E-02	   2.443836E-02	   2.093561E-03	   3.056777E-03	   1.199032E-05	  -8.712903E-04	   1.689463E-01	   1.850639E-01	   2.559489E-02	   2.044973E-02	   1.130198E-04	  -6.129032E-03	  -5.939942E-03	  -3.637198E+06	  -3.194480E+06	  -4.558370E+05	  -2.972927E+07	   6.464556E+07	  -3.154681E+07	   0.000000E+00	   0.000000E+00	   1.398902E+08	   1.334667E+06	  -5.733098E+07	   0.000000E+00	  -1.728115E+06	  -1.758956E+05	  -3.006419E+05	  -2.995074E+06	   5.999366E+07	  -2.810015E+07
    0.1500	   1.068469E+00	  -5.353900E+06	  -3.373938E+06	   1.391201E+08	  -3.071346E+07	   6.684220E+07	  -6.223134E+07	   5.002196E+00	   1.219233E-04	   2.839438E-04	  -2.921666E-07	   3.308126E-02	   2.538920E-02	   2.677990E-02	   2.472545E-03	   3.307346E-03	   1.220592E-05	  -9.470160E-04	   1.688654E-01	   1.855297E-01	   2.857406E-02	   2.003963E-02	   9.804750E-05	  -6.120935E-03	  -6.475704E-03	  -3.622210E+06	  -3.179900E+06	  -4.752784E+05	  -2.902806E+07	   6.419042E+07	  -3.116673E+07	   0.000000E+00	   0.000000E+00	   1.398900E+08	   1.455829E+06	  -5.733254E+07	   0.000000E+00	  -1.731691E+06	  -1.940383E+05	  -2.946232E+05	  -3.141228E+06	   5.998432E+07	  -3.106462E+07
    0.1625	   1.079711E+00	  -5.342291E+06	  -3.377210E+06	   1.391066E+08	  -3.003427E+07	   6.637330E+07	  -6.477724E+07	   5.002531E+00	   1.470041E-04	   3.256295E-04	  -4.013200E-07	   3.306941E-02	   2.750136E-02	   2.912143E-02	   2.851531E-03	   3.557916E-03	   1.274147E-05	  -1.022744E-03	   1.687846E-01	   1.859954E-01	   3.155324E-02	   1.962952E-02	   8.302928E-05	  -6.112928E-03	  -7.011468E-03	  -3.606896E+06	  -3.165016E+06	  -4.946658E+05	  -2.832412E+07	   6.373062E+07	  -3.078392E+07	   0.000000E+00	   0.000000E+00	   1.398899E+08	   1.577004E+06	  -5.733385E+07	   0.000000E+00	  -1.735395E+06	  -2.121940E+05	  -2.886052E+05	  -3.287153E+06	   5.997654E+07	  -3.399333E+07
    0.1750	   1.090838E+00	  -5.330486E+06	  -3.380194E+06	   1.390932E+08	  -2.935233E+07	   6.590170E+07	  -6.728186E+07	   5.002865E+00	   1.720848E-04	   3.673152E-04	  -5.104735E-07	   3.305757E-02	   2.961352E-02	   3.146296E-02	   3.230516E-03	   3.808485E-03	   1.359697E-05	  -1.098474E-03	   1.687037E-01	   1.864612E-01	   3.453241E-02	   1.921941E-02	   6.796549E-05	  -6.105012E-03	  -7.547233E-03	  -3.591258E+06	  -3.149831E+06	  -5.139938E+05	  -2.761767E+07	   6.326628E+07	  -3.039841E+07	   0.000000E+00	   0.000000E+00	   1.398897E+08	   1.698190E+06	  -5.733490E+07	   0.000000E+00	  -1.739228E+06	  -2.303628E+05	  -2.825881E+05	  -3.432853E+06	   5.997031E+07	  -3.688346E+07
    0.1875	   1.101849E+00	  -5.318490E+06	  -3.382896E+06	   1.390797E+08	  -2.866785E+07	   6.542750E+07	  -6.974251E+07	   5.003200E+00	   1.971655E-04	   4.090009E-04	  -6.196269E-07	   3.304572E-02	   3.172567E-02	   3.380449E-02	   3.609501E-03	   4.059054E-03	   1.477245E-05	  -1.174205E-03	   1.686228E-01	   1.869269E-01	   3.751159E-02	   1.880931E-02	   5.285643E-05	  -6.097187E-03	  -8.082999E-03	  -3.575303E+06	  -3.134352E+06	  -5.332564E+05	  -2.690891E+07	   6.279755E+07	  -3.001028E+07	   0.000000E+00	   0.000000E+00	   1.398896E+08	   1.819388E+06	  -5.733569E+07	   0.000000E+00	  -1.743186E+06	  -2.485448E+05	  -2.765717E+05	  -3.578331E+06	   5.996564E+07	  -3.973223E+07
    0.2000	   1.112739E+00	  -5.306305E+06	  -3.385322E+06	   1.390664E+08	  -2.798105E+07	   6.495087E+07	  -7.215649E+07	   5.003535E+00	   2.222462E-04	   4.506866E-04	  -7.287804E-07	   3.303388E-02	   3.383783E-02	   3.614602E-02	   3.988486E-03	   4.309623E-03	   1.626789E-05	  -1.249935E-03	   1.685420E-01	   1.873927E-01	   4.049076E-02	   1.839920E-02	   3.770242E-05	  -6.089452E-03	  -8.618767E-03	  -3.559034E+06	  -3.118582E+06	  -5.524483E+05	  -2.619805E+07	   6.232458E+07	  -2.961957E+07	   0.000000E+00	   0.000000E+00	   1.398894E+08	   1.940597E+06	  -5.733623E+07	   0.000000E+00	  -1.747271E+06	  -2.667399E+05	  -2.705561E+05	  -3.723591E+06	   5.996253E+07	  -4.253692E+07
    0.2125	   1.123515E+00	  -5.294276E+06	  -3.381068E+06	   1.390541E+08	  -2.765111E+07	   6.418782E+07	  -7.450399E+07	   5.004105E+00	   2.953998E-04	   5.152877E-04	  -1.214112E-06	   3.301448E-02	   3.593919E-02	   3.851406E-02	   4.532305E-03	   4.516251E-03	   1.906403E-05	  -1.324569E-03	   1.684072E-01	   1.885276E-01	   4.153159E-02	   1.791935E-02	   9.514299E-05	  -6.034974E-03	  -9.158002E-03	  -3.542440E+06	  -3.102512E+06	  -5.715782E+05	  -2.548475E+07	   6.184706E+07	  -2.922602E+07	   0.000000E+00	   0.000000E+00	   1.398892E+08	   2.061157E+06	  -5.733941E+07	   0.000000E+00	  -1.751836E+06	  -2.785556E+05	  -2.635161E+05	  -4.227523E+06	   5.968017E+07	  -4.527797E+07
    0.2250	   1.134179E+00	  -5.282014E+06	  -3.376508E+06	   1.390418E+08	  -2.731669E+07	   6.341958E+07	  -7.679811E+07	   5.004675E+00	   3.685534E-04	   5.798889E-04	  -1.699443E-06	   3.299509E-02	   3.804055E-02	   4.088210E-02	   5.076123E-03	   4.722879E-03	   2.217389E-05	  -1.399195E-03	   1.682725E-01	   1.896625E-01	   4.257242E-02	   1.743950E-02	   1.523345E-04	  -5.980283E-03	  -9.697236E-03	  -3.525513E+06	  -3.086136E+06	  -5.906541E+05	  -2.476864E+07	   6.136475E+07	  -2.882939E+07	   0.000000E+00	   0.000000E+00	   1.398889E+08	   2.181740E+06	  -5.734234E+07	   0.000000E+00	  -1.756500E+06	  -2.903709E+05	  -2.564767E+05	  -4.729790E+06	   5.939716E+07	  -4.796872E+07
