
These predictions were generated by SubDyn on 28-Feb-2025 at 10:40:35.




    Time	  M1N1TDzss	  M1N2TDzss	  M2N1TDzss	  M2N2TDzss	  M3N1TDzss	  M4N1TDzss
    0.8400	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.8500	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.8600	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.8700	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.8800	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.8900	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9000	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9100	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9200	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9300	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9400	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9500	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9600	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9700	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9800	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    0.9900	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
    1.0000	 0.0000E+00	-3.0760E-02	-1.0596E-01	-2.1271E-01	-3.3923E-01	-4.6901E-01
