
These predictions were generated by SeaState on 29-Sep-2025 at 15:43:52.




      Time       Wave1Elev       Wave1Elv1       Wave1Elv2       Wave2Elev       Wave2Elv1       Wave2Elv2         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2
   (sec)             (m)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    1.7500  -0.3237691E+00  -0.3237691E+00   0.0000000E+00  -0.4855699E+00  -0.4855699E+00   0.0000000E+00  -0.3134897E-01   0.0000000E+00  -0.5246734E-01  -0.1814316E-01   0.0000000E+00  -0.2148981E-01  -0.1460103E+04  -0.1035018E+00   0.0000000E+00   0.3437082E-01   0.4175573E-01   0.0000000E+00   0.5756205E-01  -0.2229965E+04
    1.8750  -0.3591956E+00  -0.3591956E+00   0.0000000E+00  -0.4408168E+00  -0.4408168E+00   0.0000000E+00  -0.3399431E-01   0.0000000E+00  -0.5509072E-01  -0.2416695E-01   0.0000000E+00  -0.2031426E-01  -0.1528006E+04  -0.9797507E-01   0.0000000E+00   0.4119787E-01   0.4653567E-01   0.0000000E+00   0.5158342E-01  -0.2182632E+04
    2.0000  -0.3926194E+00  -0.3926194E+00   0.0000000E+00  -0.3908274E+00  -0.3908274E+00   0.0000000E+00  -0.3738367E-01   0.0000000E+00  -0.5750382E-01  -0.3002238E-01   0.0000000E+00  -0.1812926E-01  -0.1599074E+04  -0.9190323E-01   0.0000000E+00   0.4724732E-01   0.5046756E-01   0.0000000E+00   0.4514054E-01  -0.2127184E+04
    2.1250  -0.4235838E+00  -0.4235838E+00   0.0000000E+00  -0.3366820E+00  -0.3366820E+00   0.0000000E+00  -0.4148664E-01   0.0000000E+00  -0.5958229E-01  -0.3555990E-01   0.0000000E+00  -0.1496717E-01  -0.1672964E+04  -0.8539563E-01   0.0000000E+00   0.5246879E-01   0.5350077E-01   0.0000000E+00   0.3835693E-01  -0.2064631E+04
    2.2500  -0.4516508E+00  -0.4516508E+00   0.0000000E+00  -0.2795765E+00  -0.2795765E+00   0.0000000E+00  -0.4625444E-01   0.0000000E+00  -0.6120713E-01  -0.4063636E-01   0.0000000E+00  -0.1088167E-01  -0.1749179E+04  -0.7856685E-01   0.0000000E+00   0.5682773E-01   0.5560334E-01   0.0000000E+00   0.3136200E-01  -0.1996034E+04
    2.3750  -0.4764030E+00  -0.4764030E+00   0.0000000E+00  -0.2207940E+00  -0.2207940E+00   0.0000000E+00  -0.5162092E-01   0.0000000E+00  -0.6226729E-01  -0.4511776E-01   0.0000000E+00  -0.5946499E-02  -0.1827078E+04  -0.7153413E-01   0.0000000E+00   0.6030604E-01   0.5676236E-01   0.0000000E+00   0.2428823E-01  -0.1922491E+04
    2.5000  -0.4974487E+00  -0.4974487E+00   0.0000000E+00  -0.1616715E+00  -0.1616715E+00   0.0000000E+00  -0.5750399E-01   0.0000000E+00  -0.6266217E-01  -0.4888222E-01   0.0000000E+00  -0.2539329E-03  -0.1905887E+04  -0.6441531E-01   0.0000000E+00   0.6290206E-01   0.5698447E-01   0.0000000E+00   0.1726818E-01  -0.1845113E+04
    2.6250  -0.5144241E+00  -0.5144241E+00   0.0000000E+00  -0.1035657E+00  -0.1035657E+00   0.0000000E+00  -0.6380710E-01   0.0000000E+00  -0.6230370E-01  -0.5182228E-01   0.0000000E+00   0.6087360E-02  -0.1984711E+04  -0.5732602E-01   0.0000000E+00   0.6463071E-01   0.5629553E-01   0.0000000E+00   0.1043157E-01  -0.1764996E+04
    2.7500  -0.5269992E+00  -0.5269992E+00   0.0000000E+00  -0.4781683E-01  -0.4781683E-01   0.0000000E+00  -0.7042142E-01   0.0000000E+00  -0.6111841E-01  -0.5384721E-01   0.0000000E+00   0.1295447E-01  -0.2062557E+04  -0.5037754E-01   0.0000000E+00   0.6552276E-01   0.5474007E-01   0.0000000E+00   0.3902421E-02  -0.1683217E+04
    2.8750  -0.5348822E+00  -0.5348822E+00   0.0000000E+00   0.4288576E-02   0.4288576E-02   0.0000000E+00  -0.7722771E-01   0.0000000E+00  -0.5904879E-01  -0.5488461E-01   0.0000000E+00   0.2021283E-01  -0.2138349E+04  -0.4367455E-01   0.0000000E+00   0.6562394E-01   0.5238016E-01   0.0000000E+00  -0.2203690E-02  -0.1600797E+04
