
These predictions were generated by SubDyn on 10-Jul-2022 at 18:26:26.




    Time	   M1N1FKze	   M1N2FKze	   M4N1FKze	   M4N2FKze	  M1N1TDxss	  M1N2TDxss	  M2N1TDxss	  M2N2TDxss	  M3N1TDxss	  M3N2TDxss	  M4N1TDxss	  M4N2TDxss	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	   IntfFXss	   IntfFYss	   IntfFZss	   IntfMXss	   IntfMZss	   M3N2FKxe	   M2N1FKye	   M2N2FKye	   M2N1FMxe	   M2N1FMye	   M2N1FMze
       s	        (N)	        (N)	        (N)	        (N)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)
    0.1900	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2000	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2100	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2200	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2300	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2400	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2500	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2600	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2700	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2800	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.2900	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3000	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3100	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3200	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3300	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3400	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3500	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3600	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3700	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3800	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.3900	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.4000	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
