





     Time        HydroFxi        HydroFyi        HydroFzi        HydroMxi        HydroMyi        HydroMzi        M1N1FDxi        M1N1FDyi        M1N2FDxi        M1N2FDyi        M1N3FDxi        M1N3FDyi        M1N4FDxi        M1N4FDyi        M1N5FDxi        M1N5FDyi        M1N6FDxi        M1N6FDyi        M1N7FDxi        M1N7FDyi        M1N8FDxi        M1N8FDyi        M1N9FDxi        M1N9FDyi        M1N1FIxi        M1N1FIyi        M1N2FIxi        M1N2FIyi        M1N3FIxi        M1N3FIyi        M1N4FIxi        M1N4FIyi        M1N5FIxi        M1N5FIyi        M1N6FIxi        M1N6FIyi        M1N7FIxi        M1N7FIyi        M1N8FIxi        M1N8FIyi        M1N9FIxi        M1N9FIyi        J1FDzi          J1FIzi
     (sec)         (N)             (N)             (N)            (N-m)           (N-m)           (N-m)            (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
     0.00  -8.1328395e+05  -2.5876993e+06   2.3083526e+07  -2.1755480e+07   7.1052610e+06   0.0000000e+00  -1.5708010e+03  -3.8829373e+02  -1.7027810e+03  -3.9949202e+02  -1.8428597e+03  -4.0608503e+02  -1.9910459e+03  -4.0671607e+02  -2.2262373e+03  -4.1288483e+02  -3.1693296e+03  -5.0435310e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.4126222e+04  -1.4789968e+05  -4.5190043e+04  -1.5426157e+05  -4.6195293e+04  -1.6098423e+05  -4.7123667e+04  -1.6809045e+05  -4.9616289e+04  -1.8187508e+05  -6.5553794e+04  -2.4967158e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3091568e+05   2.1593750e+05
     0.10  -7.0267065e+05  -2.5778442e+06   2.3138157e+07  -2.1424035e+07   6.1134122e+06   0.0000000e+00  -1.6759086e+03  -5.6263007e+02  -1.8141217e+03  -5.8768791e+02  -1.9603149e+03  -6.0906532e+02  -2.1143393e+03  -6.2544576e+02  -2.2759162e+03  -6.3527301e+02  -3.7959562e+03  -9.6047728e+02  -2.5805918e+00  -6.1011570e-01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.7552853e+04  -1.4691950e+05  -3.8457079e+04  -1.5357469e+05  -3.9317507e+04  -1.6064984e+05  -4.0119618e+04  -1.6817647e+05  -4.0846325e+04  -1.7618821e+05  -6.3135857e+04  -2.8468873e+05  -4.1020186e+01  -1.9036939e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.2155723e+05   2.7992708e+05
     0.20  -5.9022246e+05  -2.5569284e+06   2.3189889e+07  -2.1011398e+07   5.1133989e+06   0.0000000e+00  -1.7801406e+03  -7.4948081e+02  -1.9251111e+03  -7.8969023e+02  -2.0781415e+03  -8.2727785e+02  -2.2389702e+03  -8.6096561e+02  -2.4071657e+03  -8.8923070e+02  -4.1797894e+03  -1.4434453e+03  -2.0966186e+02  -6.9308754e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.0936597e+04  -1.4525258e+05  -3.1681687e+04  -1.5214746e+05  -3.2398072e+04  -1.5951624e+05  -3.3075086e+04  -1.6739867e+05  -3.3700072e+04  -1.7583776e+05  -5.4341750e+04  -2.9739395e+05  -2.6132725e+03  -1.4731511e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.1192232e+05   3.4129410e+05
     0.30  -4.7622415e+05  -2.5247092e+06   2.3238721e+07  -2.0518242e+07   4.1081657e+06   0.0000000e+00  -1.8812072e+03  -9.4790049e+02  -2.0333213e+03  -1.0046662e+03  -2.1937751e+03  -1.0600618e+03  -2.3622446e+03  -1.1128633e+03  -2.5382052e+03  -1.1615922e+03  -4.3107103e+03  -1.8818127e+03  -7.0499079e+02  -2.9819353e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.4292239e+04  -1.4289640e+05  -2.4877358e+04  -1.4997455e+05  -2.5448840e+04  -1.5757479e+05  -2.5999887e+04  -1.6574448e+05  -2.6522306e+04  -1.7453534e+05  -4.2001119e+04  -2.9013144e+05  -6.5916222e+03  -4.6977148e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0213168e+05   3.9991624e+05
     0.40  -3.6097011e+05  -2.4810098e+06   2.3284662e+07  -1.9946150e+07   3.1006570e+06   0.0000000e+00  -1.9768552e+03  -1.1563584e+03  -2.1363239e+03  -1.2311165e+03  -2.3046013e+03  -1.3059966e+03  -2.4813515e+03  -1.3798603e+03  -2.6660193e+03  -1.4513061e+03  -4.2501122e+03  -2.2385158e+03  -1.4189954e+03  -7.2950398e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.7634624e+04  -1.3985400e+05  -1.8057751e+04  -1.4705685e+05  -1.8481966e+04  -1.5482378e+05  -1.8904302e+04  -1.6320913e+05  -1.9321001e+04  -1.7227256e+05  -2.8894294e+04  -2.6988762e+05  -9.2609910e+03  -8.9366479e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   9.2303860e+04   4.5568566e+05
     0.50  -2.4476162e+05  -2.4257343e+06   2.3327735e+07  -1.9297135e+07   2.0937836e+06   0.0000000e+00  -2.0649358e+03  -1.3728352e+03  -2.2317713e+03  -1.4669717e+03  -2.4080522e+03  -1.5629946e+03  -2.5934800e+03  -1.6598968e+03  -2.7875298e+03  -1.7564042e+03  -4.0658780e+03  -2.5044893e+03  -2.2731188e+03  -1.3738375e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.0978691e+04  -1.3613366e+05  -1.1236752e+04  -1.4340115e+05  -1.1509986e+04  -1.5126820e+05  -1.1799175e+04  -1.5979535e+05  -1.2104903e+04  -1.6904944e+05  -1.6724914e+04  -2.4307341e+05  -9.0026624e+03  -1.3493963e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   8.2553605e+04   5.0850866e+05
     0.60  -1.2790827e+05  -2.3588697e+06   2.3367968e+07  -1.8573616e+07   1.0904223e+06   0.0000000e+00  -2.1434557e+03  -1.5949211e+03  -2.3174588e+03  -1.7096948e+03  -2.5016838e+03  -1.8284070e+03  -2.6959149e+03  -1.9502382e+03  -2.8997131e+03  -2.0741068e+03  -3.8282399e+03  -2.6973868e+03  -3.1842375e+03  -2.2106830e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.3394850e+03  -1.3174857e+05  -4.4284980e+03  -1.3901978e+05  -4.5458572e+03  -1.4691924e+05  -4.6959643e+03  -1.5551293e+05  -4.8836106e+03  -1.6487396e+05  -6.2722414e+03  -2.1508403e+05  -5.1429138e+03  -1.7779167e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   7.2990450e+04   5.5830518e+05
     0.70  -1.0728932e+04  -2.2804866e+06   2.3405398e+07  -1.7778391e+07   9.3414235e+04   0.0000000e+00  -2.2106157e+03  -1.8199111e+03  -2.3913732e+03  -1.9563842e+03  -2.5832361e+03  -2.0991353e+03  -2.7861114e+03  -2.2475952e+03  -2.9996956e+03  -2.4009492e+03  -3.6039232e+03  -2.8572511e+03  -4.0709129e+03  -3.1922155e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.2678341e+03  -1.2671643e+05   2.3526128e+03  -1.3393016e+05   2.3970276e+03  -1.4179388e+05   2.3932227e+03  -1.5037814e+05   2.3323900e+03  -1.5976144e+05   2.4248026e+03  -1.8998718e+05   2.2301981e+03  -2.1339804e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.3717420e+04   6.0500824e+05
     0.80   1.0644752e+05  -2.1907388e+06   2.3440066e+07  -1.6914602e+07  -8.9443706e+05   0.0000000e+00  -2.2648394e+03  -2.0448961e+03  -2.4517290e+03  -2.2038753e+03  -2.6506795e+03  -2.3717435e+03  -2.8617539e+03  -2.5482470e+03  -3.0848269e+03  -2.7329181e+03  -3.4495836e+03  -3.0389618e+03  -4.8604436e+03  -4.2505511e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   8.8280088e+03  -1.2105897e+05   9.0919303e+03  -1.2815434e+05   9.3048415e+03  -1.3591430e+05   9.4556361e+03  -1.4441321e+05   9.5317187e+03  -1.5373397e+05   9.8617937e+03  -1.7036028e+05   1.2472052e+04  -2.3879001e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.4829941e+04   6.4856324e+05
