
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 02-Oct-2023 at 10:38:20.

 
 
 
      Time            P1FX            P1FY            P1FZ            P2FX            P2FY            P2FZ         L1N20PX         L1N20PY         L1N20PZ          L1N9PX         L1N10PY         L1N10PZ          L1N10T          L1N1PX          L1N1PY          L1N1PZ           L1N1T
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (N)             (m)             (m)             (m)             (N)
    0.2000   1.0059694E+06   0.0000000E+00  -1.4947665E+06  -1.1463229E+05   0.0000000E+00  -5.4952364E+04   7.3849420E+02   0.0000000E+00  -4.8242656E+02   1.2132163E+03   0.0000000E+00  -6.0000377E+02   1.9786225E+05   1.5589609E+03   0.0000000E+00  -6.0000377E+02   1.1494984E+05
    0.4000   1.0115154E+06   0.0000000E+00  -1.5050688E+06  -1.1735202E+05   0.0000000E+00  -5.4952604E+04   7.3809073E+02   0.0000000E+00  -4.8295959E+02   1.2129208E+03   0.0000000E+00  -6.0000377E+02   1.9702403E+05   1.5589218E+03   0.0000000E+00  -6.0000377E+02   1.1758529E+05
    0.6000   1.0060292E+06   0.0000000E+00  -1.4991470E+06  -1.1890317E+05   0.0000000E+00  -5.4952735E+04   7.3768498E+02   0.0000000E+00  -4.8349170E+02   1.2126219E+03   0.0000000E+00  -6.0000377E+02   1.9951257E+05   1.5588820E+03   0.0000000E+00  -6.0000377E+02   1.1910060E+05
    0.8000   9.9873717E+05   0.0000000E+00  -1.4904250E+06  -1.2018750E+05   0.0000000E+00  -5.4952842E+04   7.3727767E+02   0.0000000E+00  -4.8402317E+02   1.2123195E+03   0.0000000E+00  -6.0000377E+02   2.0455307E+05   1.5588417E+03   0.0000000E+00  -6.0000377E+02   1.2039355E+05
    1.0000   9.9600319E+05   0.0000000E+00  -1.4882770E+06  -1.2172050E+05   0.0000000E+00  -5.4952971E+04   7.3687057E+02   0.0000000E+00  -4.8455465E+02   1.2120128E+03   0.0000000E+00  -6.0000377E+02   2.0713250E+05   1.5588010E+03   0.0000000E+00  -6.0000377E+02   1.2194246E+05
    1.2000   9.9646889E+05   0.0000000E+00  -1.4908896E+06  -1.2316012E+05   0.0000000E+00  -5.4953092E+04   7.3646494E+02   0.0000000E+00  -4.8508663E+02   1.2117028E+03   0.0000000E+00  -6.0000377E+02   2.0538881E+05   1.5587597E+03   0.0000000E+00  -6.0000377E+02   1.2335894E+05
    1.4000   9.9708755E+05   0.0000000E+00  -1.4939021E+06  -1.2390776E+05   0.0000000E+00  -5.4953149E+04   7.3606046E+02   0.0000000E+00  -4.8561900E+02   1.2113916E+03   0.0000000E+00  -6.0000377E+02   2.0413336E+05   1.5587180E+03   0.0000000E+00  -6.0000377E+02   1.2406636E+05
    1.6000   9.9668206E+05   0.0000000E+00  -1.4955745E+06  -1.2415941E+05   0.0000000E+00  -5.4953160E+04   7.3565661E+02   0.0000000E+00  -4.8615155E+02   1.2110798E+03   0.0000000E+00  -6.0000377E+02   2.0598133E+05   1.5586763E+03   0.0000000E+00  -6.0000377E+02   1.2430897E+05
    1.8000   9.9657758E+05   0.0000000E+00  -1.4977569E+06  -1.2995230E+05   0.0000000E+00  -5.4953676E+04   7.3525335E+02   0.0000000E+00  -4.8668426E+02   1.2107717E+03   0.0000000E+00  -6.0000377E+02   2.5652780E+05   1.5586341E+03   0.0000000E+00  -6.0000377E+02   1.3124209E+05
    2.0000   9.9820763E+05   0.0000000E+00  -1.5024605E+06  -1.4269600E+05   0.0000000E+00  -5.4954822E+04   7.3485326E+02   0.0000000E+00  -4.8721810E+02   1.2104692E+03   0.0000000E+00  -6.0000377E+02   2.4020522E+05   1.5585877E+03   0.0000000E+00  -6.0000377E+02   1.4318348E+05
    2.2000   1.0021372E+06   0.0000000E+00  -1.5104463E+06  -1.4523487E+05   0.0000000E+00  -5.4955038E+04   7.3445942E+02   0.0000000E+00  -4.8775416E+02   1.2101619E+03   0.0000000E+00  -6.0000377E+02   2.3696495E+05   1.5585391E+03   0.0000000E+00  -6.0000377E+02   1.4547499E+05
    2.4000   1.0202806E+06   0.0000000E+00  -1.5389721E+06  -1.4596726E+05   0.0000000E+00  -5.4955089E+04   7.3406275E+02   0.0000000E+00  -4.8828907E+02   1.2098527E+03   0.0000000E+00  -6.0000377E+02   2.3925083E+05   1.5584900E+03   0.0000000E+00  -6.0000377E+02   1.4619752E+05
    2.6000   1.0254682E+06   0.0000000E+00  -1.5483799E+06  -1.4676269E+05   0.0000000E+00  -5.4955145E+04   7.3366504E+02   0.0000000E+00  -4.8882351E+02   1.2095418E+03   0.0000000E+00  -6.0000377E+02   2.4144242E+05   1.5584407E+03   0.0000000E+00  -6.0000377E+02   1.4700120E+05
    2.8000   1.0185044E+06   0.0000000E+00  -1.5397763E+06  -1.4762925E+05   0.0000000E+00  -5.4955208E+04   7.3326588E+02   0.0000000E+00  -4.8935732E+02   1.2092289E+03   0.0000000E+00  -6.0000377E+02   2.4445071E+05   1.5583911E+03   0.0000000E+00  -6.0000377E+02   1.4787331E+05
    3.0000   1.0170723E+06   0.0000000E+00  -1.5390935E+06  -1.4870109E+05   0.0000000E+00  -5.4955289E+04   7.3286413E+02   0.0000000E+00  -4.8989007E+02   1.2089132E+03   0.0000000E+00  -6.0000377E+02   2.5131171E+05   1.5583412E+03   0.0000000E+00  -6.0000377E+02   1.4897468E+05
    3.2000   1.0175745E+06   0.0000000E+00  -1.5412354E+06  -1.5044892E+05   0.0000000E+00  -5.4955430E+04   7.3246239E+02   0.0000000E+00  -4.9042272E+02   1.2085937E+03   0.0000000E+00  -6.0000377E+02   2.5331468E+05   1.5582908E+03   0.0000000E+00  -6.0000377E+02   1.5075731E+05
    3.4000   1.0178690E+06   0.0000000E+00  -1.5431574E+06  -1.5186503E+05   0.0000000E+00  -5.4955541E+04   7.3206139E+02   0.0000000E+00  -4.9095559E+02   1.2082718E+03   0.0000000E+00  -6.0000377E+02   2.4902104E+05   1.5582399E+03   0.0000000E+00  -6.0000377E+02   1.5211004E+05
    3.6000   1.0170937E+06   0.0000000E+00  -1.5436374E+06  -1.5207467E+05   0.0000000E+00  -5.4955544E+04   7.3166019E+02   0.0000000E+00  -4.9148831E+02   1.2079495E+03   0.0000000E+00  -6.0000377E+02   2.4934075E+05   1.5581886E+03   0.0000000E+00  -6.0000377E+02   1.5227865E+05
    3.8000   1.0153842E+06   0.0000000E+00  -1.5428811E+06  -1.5220767E+05   0.0000000E+00  -5.4955539E+04   7.3125907E+02   0.0000000E+00  -4.9202099E+02   1.2076266E+03   0.0000000E+00  -6.0000377E+02   2.5196387E+05   1.5581374E+03   0.0000000E+00  -6.0000377E+02   1.5243307E+05
    4.0000   1.0147560E+06   0.0000000E+00  -1.5438313E+06  -1.5271508E+05   0.0000000E+00  -5.4955568E+04   7.3085854E+02   0.0000000E+00  -4.9255382E+02   1.2073026E+03   0.0000000E+00  -6.0000377E+02   2.5373052E+05   1.5580860E+03   0.0000000E+00  -6.0000377E+02   1.5295616E+05
    4.2000   1.0164580E+06   0.0000000E+00  -1.5482919E+06  -1.5332957E+05   0.0000000E+00  -5.4955606E+04   7.3045852E+02   0.0000000E+00  -4.9308676E+02   1.2069772E+03   0.0000000E+00  -6.0000377E+02   2.5479283E+05   1.5580345E+03   0.0000000E+00  -6.0000377E+02   1.5357193E+05
    4.4000   1.0186572E+06   0.0000000E+00  -1.5535199E+06  -1.5388519E+05   0.0000000E+00  -5.4955639E+04   7.3005881E+02   0.0000000E+00  -4.9361973E+02   1.2066507E+03   0.0000000E+00  -6.0000377E+02   2.5563997E+05   1.5579827E+03   0.0000000E+00  -6.0000377E+02   1.5412413E+05
    4.6000   1.0199101E+06   0.0000000E+00  -1.5573418E+06  -1.5436891E+05   0.0000000E+00  -5.4955665E+04   7.2965902E+02   0.0000000E+00  -4.9415259E+02   1.2063230E+03   0.0000000E+00  -6.0000377E+02   2.5400115E+05   1.5579308E+03   0.0000000E+00  -6.0000377E+02   1.5460747E+05
    4.8000   1.0206288E+06   0.0000000E+00  -1.5603436E+06  -1.5052091E+05   0.0000000E+00  -5.4955304E+04   7.2924575E+02   0.0000000E+00  -4.9468032E+02   1.2060151E+03   0.0000000E+00  -6.0000377E+02   1.5536768E+05   1.5578790E+03   0.0000000E+00  -6.0000377E+02   1.4981434E+05
    5.0000   1.0139727E+06   0.0000000E+00  -1.5524346E+06  -1.3548194E+05   0.0000000E+00  -5.4953945E+04   7.2881301E+02   0.0000000E+00  -4.9520086E+02   1.2057294E+03   0.0000000E+00  -6.0000377E+02   2.0183338E+05   1.5578311E+03   0.0000000E+00  -6.0000377E+02   1.3524766E+05
    5.2000   9.5108864E+05   0.0000000E+00  -1.4615218E+06  -1.3335468E+05   0.0000000E+00  -5.4953742E+04   7.2838755E+02   0.0000000E+00  -4.9572419E+02   1.2054477E+03   0.0000000E+00  -6.0000377E+02   2.1400842E+05   1.5577861E+03   0.0000000E+00  -6.0000377E+02   1.3354271E+05
    5.4000   9.3502501E+05   0.0000000E+00  -1.4404326E+06  -1.3454186E+05   0.0000000E+00  -5.4953835E+04   7.2797017E+02   0.0000000E+00  -4.9625044E+02   1.2051633E+03   0.0000000E+00  -6.0000377E+02   2.1944885E+05   1.5577410E+03   0.0000000E+00  -6.0000377E+02   1.3478986E+05
    5.6000   9.6681923E+05   0.0000000E+00  -1.4911607E+06  -1.5471411E+05   0.0000000E+00  -5.4955618E+04   7.2755942E+02   0.0000000E+00  -4.9677908E+02   1.2048839E+03   0.0000000E+00  -6.0000377E+02   2.6698407E+05   1.5576929E+03   0.0000000E+00  -6.0000377E+02   1.5590147E+05
    5.8000   9.8695285E+05   0.0000000E+00  -1.5251110E+06  -1.6170470E+05   0.0000000E+00  -5.4956222E+04   7.2716246E+02   0.0000000E+00  -4.9731288E+02   1.2046065E+03   0.0000000E+00  -6.0000377E+02   2.3176226E+05   1.5576392E+03   0.0000000E+00  -6.0000377E+02   1.6196482E+05
    6.0000   9.9421367E+05   0.0000000E+00  -1.5398887E+06  -1.5893379E+05   0.0000000E+00  -5.4955958E+04   7.2676894E+02   0.0000000E+00  -4.9784787E+02   1.2043320E+03   0.0000000E+00  -6.0000377E+02   2.2570563E+05   1.5575850E+03   0.0000000E+00  -6.0000377E+02   1.5891551E+05
    6.2000   1.0126756E+06   0.0000000E+00  -1.5711004E+06  -1.5687623E+05   0.0000000E+00  -5.4955758E+04   7.2636753E+02   0.0000000E+00  -4.9837973E+02   1.2040582E+03   0.0000000E+00  -6.0000377E+02   2.5317224E+05   1.5575320E+03   0.0000000E+00  -6.0000377E+02   1.5717168E+05
    6.4000   1.0145361E+06   0.0000000E+00  -1.5768754E+06  -1.6122412E+05   0.0000000E+00  -5.4956125E+04   7.2596464E+02   0.0000000E+00  -4.9891084E+02   1.2037773E+03   0.0000000E+00  -6.0000377E+02   2.7048153E+05   1.5574785E+03   0.0000000E+00  -6.0000377E+02   1.6179849E+05
    6.6000   1.0141776E+06   0.0000000E+00  -1.5786737E+06  -1.6682262E+05   0.0000000E+00  -5.4956602E+04   7.2556103E+02   0.0000000E+00  -4.9944148E+02   1.2034880E+03   0.0000000E+00  -6.0000377E+02   2.7153549E+05   1.5574232E+03   0.0000000E+00  -6.0000377E+02   1.6731993E+05
    6.8000   1.0198230E+06   0.0000000E+00  -1.5889850E+06  -1.7026614E+05   0.0000000E+00  -5.4956887E+04   7.2515410E+02   0.0000000E+00  -4.9997069E+02   1.2031922E+03   0.0000000E+00  -6.0000377E+02   2.7551197E+05   1.5573664E+03   0.0000000E+00  -6.0000377E+02   1.7068580E+05
    7.0000   1.0202145E+06   0.0000000E+00  -1.5910168E+06  -1.7309877E+05   0.0000000E+00  -5.4957116E+04   7.2474580E+02   0.0000000E+00  -5.0049927E+02   1.2028914E+03   0.0000000E+00  -6.0000377E+02   2.7664342E+05   1.5573086E+03   0.0000000E+00  -6.0000377E+02   1.7351024E+05
    7.2000   1.0147256E+06   0.0000000E+00  -1.5840006E+06  -1.7488588E+05   0.0000000E+00  -5.4957253E+04   7.2433685E+02   0.0000000E+00  -5.0102751E+02   1.2025878E+03   0.0000000E+00  -6.0000377E+02   2.7442593E+05   1.5572499E+03   0.0000000E+00  -6.0000377E+02   1.7521113E+05
    7.4000   1.0100404E+06   0.0000000E+00  -1.5782295E+06  -1.7555595E+05   0.0000000E+00  -5.4957291E+04   7.2392716E+02   0.0000000E+00  -5.0155537E+02   1.2022826E+03   0.0000000E+00  -6.0000377E+02   2.7710294E+05   1.5571908E+03   0.0000000E+00  -6.0000377E+02   1.7586966E+05
    7.6000   1.0079588E+06   0.0000000E+00  -1.5765831E+06  -1.7651528E+05   0.0000000E+00  -5.4957354E+04   7.2351820E+02   0.0000000E+00  -5.0208342E+02   1.2019756E+03   0.0000000E+00  -6.0000377E+02   2.7892358E+05   1.5571316E+03   0.0000000E+00  -6.0000377E+02   1.7685268E+05
    7.8000   1.0074416E+06   0.0000000E+00  -1.5775511E+06  -1.7736246E+05   0.0000000E+00  -5.4957406E+04   7.2311094E+02   0.0000000E+00  -5.0261203E+02   1.2016674E+03   0.0000000E+00  -6.0000377E+02   2.7745665E+05   1.5570719E+03   0.0000000E+00  -6.0000377E+02   1.7766993E+05
