
These predictions were generated by SeaState on 20-Dec-2023 at 14:15:58.




      Time       Wave1Elev       Wave2Elev       Wave3Elev
   (sec)             (m)             (m)             (m)
    9.0000   0.3215504E+00  -0.1963979E+00   0.1034880E+00
    9.1000   0.2571195E+00  -0.2457632E+00   0.1265940E+00
    9.2000   0.1848648E+00  -0.2836682E+00   0.1511497E+00
    9.3000   0.1126347E+00  -0.3082018E+00   0.1794227E+00
    9.4000   0.4568801E-01  -0.3208520E+00   0.2117449E+00
    9.5000  -0.1401618E-01  -0.3254846E+00   0.2457218E+00
    9.6000  -0.6707300E-01  -0.3263116E+00   0.2766566E+00
    9.7000  -0.1150503E+00  -0.3257821E+00   0.2989611E+00
    9.8000  -0.1590048E+00  -0.3233797E+00   0.3078337E+00
    9.9000  -0.1988305E+00  -0.3159078E+00   0.3004060E+00
   10.0000  -0.2336155E+00  -0.2991542E+00   0.2759332E+00
   10.1000  -0.2625892E+00  -0.2701849E+00   0.2351676E+00
   10.2000  -0.2859464E+00  -0.2292009E+00   0.1794927E+00
   10.3000  -0.3049795E+00  -0.1800735E+00   0.1104430E+00
   10.4000  -0.3214198E+00  -0.1292606E+00   0.2989226E-01
   10.5000  -0.3363914E+00  -0.8354872E-01  -0.5930411E-01
   10.6000  -0.3496217E+00  -0.4759459E-01  -0.1527671E+00
   10.7000  -0.3593988E+00  -0.2233486E-01  -0.2446776E+00
   10.8000  -0.3633167E+00  -0.4927148E-02  -0.3286276E+00
   10.9000  -0.3593858E+00   0.9813818E-02  -0.3988961E+00
   11.0000  -0.3468814E+00   0.2718917E-01  -0.4515232E+00
   11.1000  -0.3264644E+00   0.5061239E-01  -0.4846590E+00
   11.2000  -0.2995526E+00   0.8067123E-01  -0.4980942E+00
   11.3000  -0.2673586E+00   0.1155231E+00  -0.4923793E+00
   11.4000  -0.2301970E+00   0.1522292E+00  -0.4681785E+00
   11.5000  -0.1874912E+00   0.1882082E+00  -0.4263395E+00
   11.6000  -0.1384716E+00   0.2220151E+00  -0.3686617E+00
   11.7000  -0.8313531E-01   0.2530974E+00  -0.2988230E+00
   11.8000  -0.2287126E-01   0.2807958E+00  -0.2227149E+00
   11.9000   0.3965509E-01   0.3033093E+00  -0.1476842E+00
   12.0000   0.1013185E+00   0.3173766E+00  -0.8078833E-01
   12.1000   0.1595900E+00   0.3190328E+00  -0.2678198E-01
   12.2000   0.2132112E+00   0.3051768E+00   0.1318547E-01
   12.3000   0.2620743E+00   0.2751900E+00   0.4146849E-01
   12.4000   0.3063589E+00   0.2317502E+00   0.6241139E-01
   12.5000   0.3454306E+00   0.1803484E+00   0.8015244E-01
   12.6000   0.3771794E+00   0.1276650E+00   0.9684043E-01
   12.7000   0.3982772E+00   0.7954118E-01   0.1121439E+00
   12.8000   0.4053392E+00   0.3948542E-01   0.1242409E+00
   12.9000   0.3964741E+00   0.8368341E-02   0.1316859E+00
   13.0000   0.3724575E+00  -0.1466565E-01   0.1350903E+00
   13.1000   0.3369093E+00  -0.3066904E-01   0.1376723E+00
   13.2000   0.2953285E+00  -0.3964278E-01   0.1443625E+00
   13.3000   0.2533824E+00  -0.4027059E-01   0.1599250E+00
   13.4000   0.2152016E+00  -0.3076554E-01   0.1870524E+00
   13.5000   0.1824059E+00  -0.1032233E-01   0.2253428E+00
   13.6000   0.1542250E+00   0.1968219E-01   0.2715307E+00
   13.7000   0.1285537E+00   0.5546860E-01   0.3206495E+00
   13.8000   0.1033776E+00   0.9180967E-01   0.3673638E+00
   13.9000   0.7788276E-01   0.1237101E+00   0.4067610E+00
   14.0000   0.5278079E-01   0.1479605E+00   0.4343915E+00
   14.1000   0.2978784E-01   0.1637777E+00   0.4459365E+00
   14.2000   0.1059829E-01   0.1722387E+00   0.4371970E+00
   14.3000  -0.4097803E-02   0.1748639E+00   0.4048994E+00
   14.4000  -0.1506422E-01   0.1721659E+00   0.3482161E+00
   14.5000  -0.2422135E-01   0.1629853E+00   0.2702634E+00
   14.6000  -0.3373392E-01   0.1450037E+00   0.1785889E+00
   14.7000  -0.4488950E-01   0.1161753E+00   0.8400328E-01
