
Predictions were generated on 10-May-2018 at 13:33:47 using BeamDyn




Time        	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	N1Fxl     	N1Fyl     	N1Fzl     	N1Mxl     	N1Myl     	N1Mzl     	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
 (s)            	(N)       	(N)       	(N)       	(N-m)     	(N-m)     	(N-m)     	(N)       	(N)       	(N)       	(N-m)     	(N-m)     	(N-m)     	(m)       	(m)       	(m)       	(-)       	(-)       	(-)       
       0.038000	-7.651E+02	-1.132E+05	 5.806E+05	 8.841E+05	-1.177E+04	 1.539E+03	 2.532E+04	-1.104E+05	 5.806E+05	 8.631E+05	 1.921E+05	 1.539E+03	-2.241E-06	-7.531E-03	 1.589E-02	 8.286E-06	-3.757E-05	 2.729E-05
       0.040000	-6.977E+02	-1.149E+05	 5.623E+05	 9.199E+05	-1.239E+04	 1.585E+03	 2.577E+04	-1.120E+05	 5.623E+05	 8.980E+05	 1.997E+05	 1.585E+03	 1.385E-05	-8.692E-03	 1.523E-02	 6.275E-05	-3.473E-05	 2.165E-05
       0.042000	-6.393E+02	-1.147E+05	 5.391E+05	 9.488E+05	-1.311E+04	 1.640E+03	 2.579E+04	-1.118E+05	 5.391E+05	 9.263E+05	 2.056E+05	 1.640E+03	 3.505E-05	-9.893E-03	 1.431E-02	 1.174E-04	-3.034E-05	 1.568E-05
       0.044000	-5.999E+02	-1.133E+05	 5.115E+05	 9.724E+05	-1.397E+04	 1.698E+03	 2.549E+04	-1.104E+05	 5.115E+05	 9.495E+05	 2.102E+05	 1.698E+03	 6.196E-05	-1.113E-02	 1.320E-02	 1.710E-04	-2.422E-05	 1.009E-05
       0.046000	-5.849E+02	-1.111E+05	 4.801E+05	 9.930E+05	-1.497E+04	 1.755E+03	 2.501E+04	-1.083E+05	 4.801E+05	 9.697E+05	 2.140E+05	 1.755E+03	 9.518E-05	-1.238E-02	 1.194E-02	 2.228E-04	-1.617E-05	 5.594E-06
       0.048000	-5.952E+02	-1.090E+05	 4.455E+05	 1.013E+06	-1.611E+04	 1.806E+03	 2.451E+04	-1.062E+05	 4.455E+05	 9.890E+05	 2.174E+05	 1.806E+03	 1.353E-04	-1.364E-02	 1.060E-02	 2.720E-04	-5.957E-06	 2.887E-06
       0.050000	-6.274E+02	-1.074E+05	 4.084E+05	 1.033E+06	-1.739E+04	 1.847E+03	 2.411E+04	-1.046E+05	 4.084E+05	 1.009E+06	 2.208E+05	 1.847E+03	 1.828E-04	-1.490E-02	 9.229E-03	 3.177E-04	 6.620E-06	 2.562E-06
       0.052000	-6.753E+02	-1.066E+05	 3.700E+05	 1.055E+06	-1.877E+04	 1.876E+03	 2.389E+04	-1.039E+05	 3.700E+05	 1.031E+06	 2.247E+05	 1.876E+03	 2.383E-04	-1.614E-02	 7.889E-03	 3.585E-04	 2.175E-05	 5.068E-06
       0.054000	-7.318E+02	-1.068E+05	 3.312E+05	 1.081E+06	-2.024E+04	 1.890E+03	 2.388E+04	-1.041E+05	 3.312E+05	 1.056E+06	 2.290E+05	 1.890E+03	 3.020E-04	-1.736E-02	 6.623E-03	 3.928E-04	 3.957E-05	 1.068E-05
       0.056000	-7.907E+02	-1.079E+05	 2.932E+05	 1.108E+06	-2.178E+04	 1.891E+03	 2.407E+04	-1.052E+05	 2.932E+05	 1.084E+06	 2.339E+05	 1.891E+03	 3.740E-04	-1.853E-02	 5.470E-03	 4.186E-04	 6.017E-05	 1.947E-05
       0.058000	-8.482E+02	-1.095E+05	 2.576E+05	 1.138E+06	-2.339E+04	 1.878E+03	 2.439E+04	-1.068E+05	 2.576E+05	 1.113E+06	 2.392E+05	 1.878E+03	 4.546E-04	-1.965E-02	 4.458E-03	 4.338E-04	 8.357E-05	 3.131E-05
       0.060000	-9.038E+02	-1.114E+05	 2.256E+05	 1.169E+06	-2.508E+04	 1.855E+03	 2.477E+04	-1.087E+05	 2.256E+05	 1.143E+06	 2.447E+05	 1.855E+03	 5.433E-04	-2.070E-02	 3.613E-03	 4.362E-04	 1.097E-04	 4.589E-05
       0.062000	-9.603E+02	-1.133E+05	 1.988E+05	 1.200E+06	-2.684E+04	 1.824E+03	 2.514E+04	-1.105E+05	 1.988E+05	 1.174E+06	 2.502E+05	 1.824E+03	 6.399E-04	-2.167E-02	 2.952E-03	 4.242E-04	 1.385E-04	 6.276E-05
       0.064000	-1.023E+03	-1.148E+05	 1.784E+05	 1.232E+06	-2.870E+04	 1.790E+03	 2.544E+04	-1.120E+05	 1.784E+05	 1.205E+06	 2.555E+05	 1.790E+03	 7.437E-04	-2.255E-02	 2.486E-03	 3.964E-04	 1.698E-04	 8.133E-05
       0.066000	-1.098E+03	-1.160E+05	 1.657E+05	 1.262E+06	-3.067E+04	 1.755E+03	 2.563E+04	-1.131E+05	 1.657E+05	 1.236E+06	 2.607E+05	 1.755E+03	 8.539E-04	-2.335E-02	 2.220E-03	 3.522E-04	 2.033E-04	 1.010E-04
