
These predictions were generated by SubDyn on 26-Jun-2026 at 16:31:56.




    Time	  M1N1TDxss	  M1N2TDxss	  M2N1TDxss	  M2N2TDxss	  M1N2TDzss	  M2N2TDzss	   M1N1RDxe	   M1N1RDye	   M1N1RDze	   M1N2RDxe	   M1N2RDye	   M1N2RDze	   M2N1RDxe	   M2N1RDye	   M2N1RDze	   M2N2RDxe	   M2N2RDye	   M2N2RDze	   M1N1TAxe	   M1N1TAye	   M1N1TAze	   M1N2TAxe	   M1N2TAye	   M1N2TAze	   M2N1TAxe	   M2N1TAye	   M2N1TAze	   M2N2TAxe	   M2N2TAye	   M2N2TAze	   M1N1RAxe	   M1N1RAye	   M1N1RAze	   M1N2RAxe	   M1N2RAye	   M1N2RAze	   M2N1RAxe	   M2N1RAye	   M2N1RAze	   M2N2RAxe	   M2N2RAye	   M2N2RAze	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	   IntfFXss	   IntfFYss	   IntfFZss	   IntfMXss	   IntfMYss	   IntfMZss	  ReactFXss	  ReactFYss	  ReactFZss	  ReactMXss	  ReactMYss	  ReactMZss	   M1J1FKxe	   M1J1FKye	   M1J1FKze	   M1J1MKxe	   M1J1MKye	   M1J1MKze	   M1J2FKxe	   M1J2FKye	   M1J2FKze	   M1J2MKxe	   M1J2MKye	   M1J2MKze	   M2J1FKxe	   M2J1FKye	   M2J1FKze	   M2J1MKxe	   M2J1MKye	   M2J1MKze	   M2J2FKxe	   M2J2FKye	   M2J2FKze	   M2J2MKxe	   M2J2MKye	   M2J2MKze
       s	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	      (rad)	      (rad)	      (rad)	      (rad)	      (rad)	      (rad)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	    (m/s^2)	    (m/s^2)	    (m/s^2)	    (m/s^2)	    (m/s^2)	    (m/s^2)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)
    0.0000	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00
    0.0100	  9.42421986E-07	  9.42430870E-07	  9.42430870E-07	  9.42517677E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.23963547E-11	  0.00000000E+00	  0.00000000E+00	  4.08683288E-11	  0.00000000E+00	  0.00000000E+00	  5.63177041E-12	  0.00000000E+00	 -3.34847958E-06	  0.00000000E+00	  0.00000000E+00	 -2.99309352E-06	  0.00000000E+00	  0.00000000E+00	 -2.99309352E-06	  0.00000000E+00	  0.00000000E+00	  4.79172562E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  4.95854188E-07	  0.00000000E+00	  0.00000000E+00	  1.63473315E-06	  0.00000000E+00	  0.00000000E+00	  2.25270816E-07	  0.00000000E+00	  9.42421986E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -5.36112494E-04	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  4.41094933E-04	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.63064355E-04	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.49108805E-04	  0.00000000E+00	  2.15774367E-04	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -3.76825765E-07	  0.00000000E+00	  2.15383992E-04	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -1.25304324E-05	  0.00000000E+00	  1.97511189E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.13522278E-06	  0.00000000E+00
    0.0200	  3.76901827E-06	  3.76906593E-06	  3.76906593E-06	  3.76982791E-06	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  6.65811945E-11	  0.00000000E+00	  0.00000000E+00	  2.94408656E-10	  0.00000000E+00	  0.00000000E+00	  7.28032444E-11	  0.00000000E+00	 -1.33915389E-05	  0.00000000E+00	  0.00000000E+00	 -1.29063868E-05	  0.00000000E+00	  0.00000000E+00	 -1.29063868E-05	  0.00000000E+00	  0.00000000E+00	  3.68358388E-06	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  6.79831026E-07	  0.00000000E+00	  0.00000000E+00	  5.23741363E-06	  0.00000000E+00	  0.00000000E+00	  2.01104651E-06	  0.00000000E+00	  3.76901827E-06	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -2.48863826E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.19971745E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.40186945E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.33404472E-03	  0.00000000E+00	  1.17196772E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -1.82358929E-06	  0.00000000E+00	  1.18943658E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -6.29443333E-05	  0.00000000E+00	  5.39734557E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.39309916E-05	  0.00000000E+00
    0.0300	  8.47778017E-06	  8.47790662E-06	  8.47790662E-06	  8.48131202E-06	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.76759285E-10	  0.00000000E+00	  0.00000000E+00	  1.08909959E-09	  0.00000000E+00	  0.00000000E+00	  4.37131634E-10	  0.00000000E+00	 -3.01220411E-05	  0.00000000E+00	  0.00000000E+00	 -2.98479870E-05	  0.00000000E+00	  0.00000000E+00	 -2.98479870E-05	  0.00000000E+00	  0.00000000E+00	  1.22302256E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  3.84213783E-07	  0.00000000E+00	  0.00000000E+00	  9.53646402E-06	  0.00000000E+00	  0.00000000E+00	  7.63891279E-06	  0.00000000E+00	  8.47778017E-06	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -6.14448879E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.75825163E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  3.69987821E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  3.53386890E-03	  0.00000000E+00	  3.13695949E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -4.43090420E-06	  0.00000000E+00	  3.22183945E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -1.58512029E-04	  0.00000000E+00	  4.07362241E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.23996484E-05	  0.00000000E+00
    0.0400	  1.50653611E-05	  1.50655975E-05	  1.50655975E-05	  1.50760920E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  3.30583652E-10	  0.00000000E+00	  0.00000000E+00	  2.88110377E-09	  0.00000000E+00	  0.00000000E+00	  1.62250784E-09	  0.00000000E+00	 -5.35280955E-05	  0.00000000E+00	  0.00000000E+00	 -5.33135238E-05	  0.00000000E+00	  0.00000000E+00	 -5.33135238E-05	  0.00000000E+00	  0.00000000E+00	  2.37658706E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.97592494E-07	  0.00000000E+00	  0.00000000E+00	  1.55821878E-05	  0.00000000E+00	  0.00000000E+00	  1.55530406E-05	  0.00000000E+00	  1.50653611E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -1.13144596E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.11229762E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  6.90609156E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  6.60436033E-03	  0.00000000E+00	  5.88259532E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -7.96792358E-06	  0.00000000E+00	  6.06510910E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -2.91080060E-04	  0.00000000E+00	  1.28747402E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.07514391E-04	  0.00000000E+00
    0.0500	  2.35270783E-05	  2.35274480E-05	  2.35274480E-05	  2.35528963E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.16928666E-10	  0.00000000E+00	  0.00000000E+00	  6.30296573E-09	  0.00000000E+00	  0.00000000E+00	  4.35503993E-09	  0.00000000E+00	 -8.35930641E-05	  0.00000000E+00	  0.00000000E+00	 -8.33634540E-05	  0.00000000E+00	  0.00000000E+00	 -8.33634540E-05	  0.00000000E+00	  0.00000000E+00	  3.49894109E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  3.21427052E-07	  0.00000000E+00	  0.00000000E+00	  2.44934720E-05	  0.00000000E+00	  0.00000000E+00	  2.31412411E-05	  0.00000000E+00	  2.35270783E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -1.78463870E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.83266709E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.08053887E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.03293709E-02	  0.00000000E+00	  9.19013160E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -1.23982560E-05	  0.00000000E+00	  9.46341661E-03	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -4.57648226E-04	  0.00000000E+00	  5.23557467E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.63265818E-04	  0.00000000E+00
    0.0600	  3.38569155E-05	  3.38574467E-05	  3.38574467E-05	  3.39098905E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  7.42726731E-10	  0.00000000E+00	  0.00000000E+00	  1.22223933E-08	  0.00000000E+00	  0.00000000E+00	  9.44334124E-09	  0.00000000E+00	 -1.20295570E-04	  0.00000000E+00	  0.00000000E+00	 -1.19840431E-04	  0.00000000E+00	  0.00000000E+00	 -1.19840431E-04	  0.00000000E+00	  0.00000000E+00	  4.80411587E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  6.37675494E-07	  0.00000000E+00	  0.00000000E+00	  3.53334938E-05	  0.00000000E+00	  0.00000000E+00	  3.23952461E-05	  0.00000000E+00	  3.38569155E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -2.59361575E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.77468368E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.55312395E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.48433433E-02	  0.00000000E+00	  1.31959939E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -1.76128009E-05	  0.00000000E+00	  1.35768181E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -6.59829009E-04	  0.00000000E+00	  1.06695285E-04	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.29835508E-04	  0.00000000E+00
    0.0700	  4.60475257E-05	  4.60482559E-05	  4.60482559E-05	  4.61447535E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.02098595E-09	  0.00000000E+00	  0.00000000E+00	  2.16917939E-08	  0.00000000E+00	  0.00000000E+00	  1.78527266E-08	  0.00000000E+00	 -1.63609510E-04	  0.00000000E+00	  0.00000000E+00	 -1.63250870E-04	  0.00000000E+00	  0.00000000E+00	 -1.63250870E-04	  0.00000000E+00	  0.00000000E+00	  6.49675154E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.01668178E-07	  0.00000000E+00	  0.00000000E+00	  4.68384594E-05	  0.00000000E+00	  0.00000000E+00	  4.49116281E-05	  0.00000000E+00	  4.60475257E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -3.58969522E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  3.98668688E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.13423466E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.04014953E-02	  0.00000000E+00	  1.81466652E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -2.36066262E-05	  0.00000000E+00	  1.86817288E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -9.03914744E-04	  0.00000000E+00	  1.15793924E-04	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  3.20560840E-04	  0.00000000E+00
    0.0800	  6.00902356E-05	  6.00911977E-05	  6.00911977E-05	  6.02547877E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.34519499E-09	  0.00000000E+00	  0.00000000E+00	  3.58796976E-08	  0.00000000E+00	  0.00000000E+00	  3.08013235E-08	  0.00000000E+00	 -2.13504068E-04	  0.00000000E+00	  0.00000000E+00	 -2.13362735E-04	  0.00000000E+00	  0.00000000E+00	 -2.13362735E-04	  0.00000000E+00	  0.00000000E+00	  8.38601657E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  1.96980951E-07	  0.00000000E+00	  0.00000000E+00	  5.97297099E-05	  0.00000000E+00	  0.00000000E+00	  5.93499613E-05	  0.00000000E+00	  6.00902356E-05	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -4.76149777E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.47443886E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.81108575E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  2.68766091E-02	  0.00000000E+00	  2.39160831E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -3.02472984E-05	  0.00000000E+00	  2.46335297E-02	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	 -1.18736087E-03	  0.00000000E+00	  1.19228166E-04	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  4.27330533E-04	  0.00000000E+00
