
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 08-Apr-2025 at 12:16:59.

 
 
 
      Time        FAIRTEN1       LINE1NBPX
       (s)             (N)             (m)
    0.0000   1.4348576E+08   2.0023682E+00
    0.0100   1.4348522E+08   2.0023682E+00
    0.0200   1.4354803E+08   2.0026314E+00
    0.0300   1.4361653E+08   2.0029182E+00
    0.0400   1.4368997E+08   2.0032263E+00
    0.0500   1.4376779E+08   2.0035536E+00
    0.0600   1.4384941E+08   2.0038981E+00
    0.0700   1.4393442E+08   2.0042584E+00
    0.0800   1.4402229E+08   2.0046325E+00
    0.0900   1.4411272E+08   2.0050192E+00
    0.1000   1.4420533E+08   2.0054171E+00
    0.1100   1.4429989E+08   2.0058253E+00
    0.1200   1.4439614E+08   2.0062428E+00
    0.1300   1.4449381E+08   2.0066683E+00
    0.1400   1.4459274E+08   2.0071013E+00
    0.1500   1.4469280E+08   2.0075412E+00
    0.1600   1.4479379E+08   2.0079870E+00
    0.1700   1.4489560E+08   2.0084383E+00
    0.1800   1.4499808E+08   2.0088944E+00
    0.1900   1.4510114E+08   2.0093548E+00
    0.2000   1.4520470E+08   2.0098193E+00
    0.2100   1.4530874E+08   2.0102873E+00
    0.2200   1.4541309E+08   2.0107584E+00
    0.2300   1.4551781E+08   2.0112326E+00
    0.2400   1.4562274E+08   2.0117092E+00
    0.2500   1.4572790E+08   2.0121882E+00
    0.2600   1.4583323E+08   2.0126693E+00
    0.2700   1.4593874E+08   2.0131524E+00
    0.2800   1.4604432E+08   2.0136371E+00
    0.2900   1.4615000E+08   2.0141232E+00
    0.3000   1.4625574E+08   2.0146108E+00
    0.3100   1.4636158E+08   2.0150998E+00
    0.3200   1.4646744E+08   2.0155897E+00
    0.3300   1.4657334E+08   2.0160809E+00
    0.3400   1.4667922E+08   2.0165727E+00
    0.3500   1.4678509E+08   2.0170653E+00
    0.3600   1.4689094E+08   2.0175586E+00
    0.3700   1.4699680E+08   2.0180526E+00
    0.3800   1.4710266E+08   2.0185473E+00
    0.3900   1.4720848E+08   2.0190425E+00
    0.4000   1.4731429E+08   2.0195382E+00
    0.4100   1.4742006E+08   2.0200343E+00
    0.4200   1.4752584E+08   2.0205309E+00
    0.4300   1.4763154E+08   2.0210278E+00
    0.4400   1.4773725E+08   2.0215251E+00
    0.4500   1.4784290E+08   2.0220227E+00
    0.4600   1.4794851E+08   2.0225205E+00
    0.4700   1.4805403E+08   2.0230184E+00
    0.4800   1.4815952E+08   2.0235164E+00
    0.4900   1.4826498E+08   2.0240147E+00
    0.5000   1.4837042E+08   2.0245132E+00
    0.5100   1.4847578E+08   2.0250118E+00
    0.5200   1.4858112E+08   2.0255105E+00
    0.5300   1.4868640E+08   2.0260093E+00
    0.5400   1.4879166E+08   2.0265083E+00
    0.5500   1.4889686E+08   2.0270073E+00
    0.5600   1.4900206E+08   2.0275066E+00
    0.5700   1.4910720E+08   2.0280058E+00
    0.5800   1.4921227E+08   2.0285051E+00
    0.5900   1.4931736E+08   2.0290046E+00
    0.6000   1.4942238E+08   2.0295041E+00
    0.6100   1.4952738E+08   2.0300035E+00
    0.6200   1.4963230E+08   2.0305030E+00
    0.6300   1.4973725E+08   2.0310028E+00
    0.6400   1.4984213E+08   2.0315025E+00
    0.6500   1.4994698E+08   2.0320022E+00
    0.6600   1.5005178E+08   2.0325019E+00
    0.6700   1.5015654E+08   2.0330017E+00
    0.6800   1.5026126E+08   2.0335014E+00
    0.6900   1.5036594E+08   2.0340011E+00
    0.7000   1.5047059E+08   2.0345008E+00
    0.7100   1.5057525E+08   2.0350008E+00
    0.7200   1.5067986E+08   2.0355008E+00
    0.7300   1.5078443E+08   2.0360007E+00
    0.7400   1.5088898E+08   2.0365007E+00
    0.7500   1.5099347E+08   2.0370007E+00
    0.7600   1.5109794E+08   2.0375006E+00
    0.7700   1.5120237E+08   2.0380006E+00
    0.7800   1.5130677E+08   2.0385005E+00
    0.7900   1.5141112E+08   2.0390005E+00
    0.8000   1.5151544E+08   2.0395005E+00
    0.8100   1.5161973E+08   2.0400004E+00
    0.8200   1.5172398E+08   2.0405004E+00
    0.8300   1.5182821E+08   2.0410004E+00
    0.8400   1.5193240E+08   2.0415003E+00
    0.8500   1.5203656E+08   2.0420003E+00
    0.8600   1.5214069E+08   2.0425003E+00
    0.8700   1.5224478E+08   2.0430002E+00
    0.8800   1.5234885E+08   2.0435002E+00
    0.8900   1.5245288E+08   2.0440001E+00
    0.9000   1.5255686E+08   2.0445001E+00
    0.9100   1.5266083E+08   2.0450001E+00
    0.9200   1.5276477E+08   2.0455000E+00
    0.9300   1.5286867E+08   2.0460000E+00
    0.9400   1.5297254E+08   2.0465000E+00
    0.9500   1.5307640E+08   2.0469999E+00
    0.9600   1.5318021E+08   2.0474999E+00
    0.9700   1.5328398E+08   2.0479999E+00
    0.9800   1.5338774E+08   2.0484998E+00
    0.9900   1.5349146E+08   2.0489998E+00
    1.0000   1.5359515E+08   2.0494998E+00
    1.0100   1.5369882E+08   2.0499997E+00
    1.0200   1.5380245E+08   2.0504997E+00
    1.0300   1.5390605E+08   2.0509996E+00
    1.0400   1.5400962E+08   2.0514996E+00
    1.0500   1.5411315E+08   2.0519996E+00
    1.0600   1.5421667E+08   2.0524995E+00
    1.0700   1.5432016E+08   2.0529995E+00
    1.0800   1.5442360E+08   2.0534995E+00
    1.0900   1.5452702E+08   2.0539994E+00
    1.1000   1.5463043E+08   2.0544994E+00
    1.1100   1.5473379E+08   2.0549994E+00
    1.1200   1.5483714E+08   2.0554993E+00
    1.1300   1.5494045E+08   2.0559993E+00
    1.1400   1.5504373E+08   2.0564992E+00
    1.1500   1.5514702E+08   2.0569994E+00
    1.1600   1.5525024E+08   2.0574994E+00
    1.1700   1.5535344E+08   2.0579994E+00
    1.1800   1.5545661E+08   2.0584993E+00
    1.1900   1.5555974E+08   2.0589993E+00
    1.2000   1.5566285E+08   2.0594993E+00
    1.2100   1.5576592E+08   2.0599992E+00
    1.2200   1.5586902E+08   2.0604994E+00
    1.2300   1.5597205E+08   2.0609994E+00
    1.2400   1.5607504E+08   2.0614994E+00
    1.2500   1.5617800E+08   2.0619993E+00
    1.2600   1.5628094E+08   2.0624993E+00
    1.2700   1.5638386E+08   2.0629992E+00
    1.2800   1.5648674E+08   2.0634992E+00
    1.2900   1.5658963E+08   2.0639994E+00
    1.3000   1.5669246E+08   2.0644994E+00
    1.3100   1.5679525E+08   2.0649993E+00
    1.3200   1.5689802E+08   2.0654993E+00
    1.3300   1.5700077E+08   2.0659993E+00
    1.3400   1.5710349E+08   2.0664992E+00
    1.3500   1.5720618E+08   2.0669992E+00
    1.3600   1.5730888E+08   2.0674994E+00
    1.3700   1.5741150E+08   2.0679994E+00
    1.3800   1.5751411E+08   2.0684993E+00
    1.3900   1.5761669E+08   2.0689993E+00
    1.4000   1.5771925E+08   2.0694993E+00
    1.4100   1.5782176E+08   2.0699992E+00
    1.4200   1.5792426E+08   2.0704992E+00
    1.4300   1.5802678E+08   2.0709994E+00
    1.4400   1.5812922E+08   2.0714993E+00
    1.4500   1.5823163E+08   2.0719993E+00
    1.4600   1.5833402E+08   2.0724993E+00
    1.4700   1.5843638E+08   2.0729992E+00
    1.4800   1.5853872E+08   2.0734992E+00
    1.4900   1.5864102E+08   2.0739992E+00
    1.5000   1.5874336E+08   2.0744994E+00
    1.5100   1.5884562E+08   2.0749993E+00
    1.5200   1.5894784E+08   2.0754993E+00
    1.5300   1.5905005E+08   2.0759993E+00
    1.5400   1.5915222E+08   2.0764992E+00
    1.5500   1.5925437E+08   2.0769992E+00
    1.5600   1.5935650E+08   2.0774992E+00
    1.5700   1.5945864E+08   2.0779994E+00
    1.5800   1.5956070E+08   2.0784993E+00
    1.5900   1.5966275E+08   2.0789993E+00
    1.6000   1.5976477E+08   2.0794992E+00
    1.6100   1.5986677E+08   2.0799992E+00
    1.6200   1.5996874E+08   2.0804992E+00
    1.6300   1.6007067E+08   2.0809991E+00
    1.6400   1.6017264E+08   2.0814993E+00
    1.6500   1.6027453E+08   2.0819993E+00
    1.6600   1.6037645E+08   2.0824995E+00
    1.6700   1.6047829E+08   2.0829995E+00
    1.6800   1.6058010E+08   2.0834994E+00
    1.6900   1.6068187E+08   2.0839994E+00
    1.7000   1.6078363E+08   2.0844994E+00
    1.7100   1.6088538E+08   2.0849993E+00
    1.7200   1.6098709E+08   2.0854993E+00
    1.7300   1.6108882E+08   2.0859995E+00
    1.7400   1.6119048E+08   2.0864995E+00
    1.7500   1.6129211E+08   2.0869994E+00
    1.7600   1.6139373E+08   2.0874994E+00
    1.7700   1.6149531E+08   2.0879993E+00
    1.7800   1.6159686E+08   2.0884993E+00
    1.7900   1.6169840E+08   2.0889993E+00
    1.8000   1.6179997E+08   2.0894995E+00
    1.8100   1.6190144E+08   2.0899994E+00
    1.8200   1.6200290E+08   2.0904994E+00
    1.8300   1.6210434E+08   2.0909994E+00
    1.8400   1.6220574E+08   2.0914993E+00
    1.8500   1.6230714E+08   2.0919993E+00
    1.8600   1.6240850E+08   2.0924993E+00
    1.8700   1.6250989E+08   2.0929995E+00
    1.8800   1.6261120E+08   2.0934994E+00
    1.8900   1.6271248E+08   2.0939994E+00
    1.9000   1.6281374E+08   2.0944993E+00
    1.9100   1.6291499E+08   2.0949993E+00
    1.9200   1.6301621E+08   2.0954993E+00
    1.9300   1.6311739E+08   2.0959992E+00
    1.9400   1.6321861E+08   2.0964994E+00
    1.9500   1.6331976E+08   2.0969994E+00
    1.9600   1.6342088E+08   2.0974994E+00
    1.9700   1.6352197E+08   2.0979993E+00
    1.9800   1.6362304E+08   2.0984993E+00
    1.9900   1.6372408E+08   2.0989993E+00
    2.0000   1.6382512E+08   2.0994992E+00
    2.0100   1.6392616E+08   2.0999994E+00
    2.0200   1.6402714E+08   2.1004994E+00
    2.0300   1.6412810E+08   2.1009994E+00
    2.0400   1.6422902E+08   2.1014993E+00
    2.0500   1.6432992E+08   2.1019993E+00
    2.0600   1.6443080E+08   2.1024992E+00
    2.0700   1.6453166E+08   2.1029992E+00
    2.0800   1.6463254E+08   2.1034994E+00
    2.0900   1.6473336E+08   2.1039994E+00
    2.1000   1.6483414E+08   2.1044993E+00
    2.1100   1.6493491E+08   2.1049993E+00
    2.1200   1.6503566E+08   2.1054993E+00
    2.1300   1.6513637E+08   2.1059992E+00
    2.1400   1.6523707E+08   2.1064992E+00
    2.1500   1.6533779E+08   2.1069994E+00
    2.1600   1.6543845E+08   2.1074994E+00
    2.1700   1.6553907E+08   2.1079993E+00
    2.1800   1.6563968E+08   2.1084993E+00
    2.1900   1.6574026E+08   2.1089993E+00
    2.2000   1.6584082E+08   2.1094992E+00
    2.2100   1.6594134E+08   2.1099992E+00
    2.2200   1.6604192E+08   2.1104994E+00
    2.2300   1.6614240E+08   2.1109993E+00
    2.2400   1.6624288E+08   2.1114993E+00
    2.2500   1.6634331E+08   2.1119993E+00
    2.2600   1.6644374E+08   2.1124992E+00
    2.2700   1.6654414E+08   2.1129992E+00
    2.2800   1.6664453E+08   2.1134992E+00
    2.2900   1.6674493E+08   2.1139994E+00
    2.3000   1.6684526E+08   2.1144993E+00
    2.3100   1.6694557E+08   2.1149993E+00
    2.3200   1.6704586E+08   2.1154993E+00
    2.3300   1.6714613E+08   2.1159992E+00
    2.3400   1.6724637E+08   2.1164992E+00
    2.3500   1.6734659E+08   2.1169991E+00
    2.3600   1.6744685E+08   2.1174994E+00
    2.3700   1.6754702E+08   2.1179993E+00
    2.3800   1.6764718E+08   2.1184993E+00
    2.3900   1.6774733E+08   2.1189992E+00
    2.4000   1.6784744E+08   2.1194992E+00
    2.4100   1.6794754E+08   2.1199992E+00
    2.4200   1.6804760E+08   2.1204991E+00
    2.4300   1.6814770E+08   2.1209993E+00
    2.4400   1.6824773E+08   2.1214993E+00
    2.4500   1.6834779E+08   2.1219995E+00
    2.4600   1.6844776E+08   2.1224995E+00
    2.4700   1.6854773E+08   2.1229994E+00
    2.4800   1.6864766E+08   2.1234994E+00
    2.4900   1.6874758E+08   2.1239994E+00
    2.5000   1.6884749E+08   2.1244993E+00
    2.5100   1.6894736E+08   2.1249993E+00
    2.5200   1.6904726E+08   2.1254995E+00
    2.5300   1.6914710E+08   2.1259995E+00
    2.5400   1.6924691E+08   2.1264994E+00
    2.5500   1.6934670E+08   2.1269994E+00
    2.5600   1.6944648E+08   2.1274993E+00
    2.5700   1.6954622E+08   2.1279993E+00
    2.5800   1.6964597E+08   2.1284993E+00
    2.5900   1.6974573E+08   2.1289995E+00
    2.6000   1.6984541E+08   2.1294994E+00
    2.6100   1.6994507E+08   2.1299994E+00
    2.6200   1.7004472E+08   2.1304994E+00
    2.6300   1.7014435E+08   2.1309993E+00
    2.6400   1.7024395E+08   2.1314993E+00
    2.6500   1.7034354E+08   2.1319993E+00
    2.6600   1.7044315E+08   2.1324995E+00
    2.6700   1.7054269E+08   2.1329994E+00
    2.6800   1.7064222E+08   2.1334994E+00
    2.6900   1.7074171E+08   2.1339993E+00
    2.7000   1.7084120E+08   2.1344993E+00
    2.7100   1.7094067E+08   2.1349993E+00
    2.7200   1.7104011E+08   2.1354992E+00
    2.7300   1.7113958E+08   2.1359994E+00
    2.7400   1.7123898E+08   2.1364994E+00
    2.7500   1.7133837E+08   2.1369994E+00
    2.7600   1.7143773E+08   2.1374993E+00
    2.7700   1.7153706E+08   2.1379993E+00
    2.7800   1.7163638E+08   2.1384993E+00
    2.7900   1.7173568E+08   2.1389992E+00
    2.8000   1.7183502E+08   2.1394994E+00
    2.8100   1.7193427E+08   2.1399994E+00
    2.8200   1.7203352E+08   2.1404994E+00
    2.8300   1.7213274E+08   2.1409993E+00
    2.8400   1.7223194E+08   2.1414993E+00
    2.8500   1.7233112E+08   2.1419992E+00
    2.8600   1.7243029E+08   2.1424992E+00
    2.8700   1.7252949E+08   2.1429994E+00
    2.8800   1.7262861E+08   2.1434994E+00
    2.8900   1.7272771E+08   2.1439993E+00
    2.9000   1.7282678E+08   2.1444993E+00
    2.9100   1.7292586E+08   2.1449993E+00
    2.9200   1.7302490E+08   2.1454992E+00
    2.9300   1.7312394E+08   2.1459992E+00
    2.9400   1.7322299E+08   2.1464994E+00
    2.9500   1.7332197E+08   2.1469994E+00
    2.9600   1.7342094E+08   2.1474993E+00
    2.9700   1.7351989E+08   2.1479993E+00
    2.9800   1.7361882E+08   2.1484993E+00
    2.9900   1.7371773E+08   2.1489992E+00
    3.0000   1.7381662E+08   2.1494992E+00
    3.0100   1.7391555E+08   2.1499994E+00
    3.0200   1.7401440E+08   2.1504993E+00
    3.0300   1.7411323E+08   2.1509993E+00
    3.0400   1.7421205E+08   2.1514993E+00
    3.0500   1.7431085E+08   2.1519992E+00
    3.0600   1.7440963E+08   2.1524992E+00
    3.0700   1.7450838E+08   2.1529992E+00
    3.0800   1.7460718E+08   2.1534994E+00
    3.0900   1.7470590E+08   2.1539993E+00
    3.1000   1.7480461E+08   2.1544993E+00
    3.1100   1.7490330E+08   2.1549993E+00
    3.1200   1.7500195E+08   2.1554992E+00
    3.1300   1.7510061E+08   2.1559992E+00
    3.1400   1.7519923E+08   2.1564991E+00
    3.1500   1.7529790E+08   2.1569993E+00
    3.1600   1.7539650E+08   2.1574993E+00
    3.1700   1.7549507E+08   2.1579993E+00
    3.1800   1.7559362E+08   2.1584992E+00
    3.1900   1.7569216E+08   2.1589992E+00
    3.2000   1.7579069E+08   2.1594992E+00
    3.2100   1.7588918E+08   2.1599991E+00
    3.2200   1.7598771E+08   2.1604993E+00
    3.2300   1.7608619E+08   2.1609993E+00
    3.2400   1.7618469E+08   2.1614995E+00
    3.2500   1.7628310E+08   2.1619995E+00
    3.2600   1.7638152E+08   2.1624994E+00
    3.2700   1.7647990E+08   2.1629994E+00
