node x-location [m]		x-deflection [m]	z-deflection [m]	Axial Force Fx [N]	Shear Force Fz [N]	Bending moment My [Nm]
0.00						0					0					-4125600			-848730					3260000
0.50						-0.0000142			-0.0000178			-4125600			-825390					2850000
1.00						-0.0000284			-0.0000532			-4125600			-802060					2440000
1.00						-0.0000284			-0.0000532			-4125600			-802060					2440000
1.50						-0.0000426			-0.000104			-4125600			-778730					2040000
2.00						-0.0000568			-0.000167			-4125600			-755390					1660000
2.50						-0.000071			-0.00024			-4125600			-732060					1290000
3.00						-0.0000851			-0.000321			-4125600			-708730					928000
3.50						-0.0000993			-0.000407			-4125600			-685390					580000
4.00						-0.000114			-0.000497			-4125600			-662060					243000
4.50						-0.000128			-0.000589			-4125600			-638720					-82152
5.00						-0.000142			-0.000679			-4125600			-615390					-396000
5.50						-0.000156			-0.000767			-4125600			-592060					-698000
6.00						-0.00017			-0.00085			-4125600			-568720					-988000
6.50						-0.000184			-0.000927			-4125600			-545390					-1270000
7.00						-0.000199			-0.000996			-4125600			-522060					-1530000
7.50						-0.000213			-0.00106			-4125600			-498720					-1790000
8.00						-0.000227			-0.0011				-4125600			-475390					-2030000
8.50						-0.000241			-0.00114			-4125600			-452060					-2260000
9.00						-0.000255			-0.00116			-4125600			-428720					-2480000
9.50						-0.00027			-0.00116			-4125600			-405390					-2690000
10.00						-0.000284			-0.00115			-4125600			-382050					-2890000
10.50						-0.000298			-0.00112			-4125600			-358720					-3070000
11.00						-0.000312			-0.00107			-4125600			-335390					-3250000
11.50						-0.000326			-0.000999			-4125600			-312050					-3410000
12.00						-0.000341			-0.000906			-4125600			-288720					-3560000
12.50						-0.000355			-0.000792			-4125600			-265390					-3700000
13.00						-0.000369			-0.000654			-4125600			-242050					-3830000
13.50						-0.000383			-0.000492			-4125600			-218720					-3940000
14.00						-0.000397			-0.000305			-4125600			-195380					-4040000
14.50						-0.000412			-0.0000928			-4125600			-172050					-4140000
15.00						-0.000426			0.000146			-4125600			-148720					-4220000
15.50						-0.00044			0.000411			-4125600			-125380					-4280000
16.00						-0.000454			0.000702			-4125600			-102050					-4340000
16.50						-0.000468			0.00102				-4125600			-78716					-4390000
17.00						-0.000483			0.00137				-4125600			-55382					-4420000
17.50						-0.000497			0.00174				-4125600			-32049					-4440000
18.00						-0.000511			0.00215				-4125600			-8714.8					-4450000
18.50						-0.000525			0.00258				-4125600			14619					-4450000
19.00						-0.000539			0.00304				-4125600			37953					-4440000
19.50						-0.000553			0.00352				-4125600			61286					-4410000
20.00						-0.000568			0.00404				-4125600			84620					-4380000
20.50						-0.000582			0.00458				-4125600			107950					-4330000
21.00						-0.000596			0.00515				-4125600			131290					-4270000
21.50						-0.00061			0.00574				-4125600			154620					-4200000
22.00						-0.000624			0.00637				-4125600			177950					-4110000
22.50						-0.000639			0.00702				-4125600			201290					-4020000
23.00						-0.000653			0.00769				-4125600			224620					-3910000
23.50						-0.000667			0.00839				-4125600			247960					-3790000
24.00						-0.000681			0.00911				-4125600			271290					-3660000
24.50						-0.000695			0.00986				-4125600			294620					-3520000
25.00						-0.00071			0.0106				-4125600			317960					-3370000
25.50						-0.000724			0.0114				-4125600			341290					-3210000
26.00						-0.000738			0.0122				-4125600			364620					-3030000
26.50						-0.000752			0.0131				-4125600			387960					-2840000
27.00						-0.000766			0.0139				-4125600			411290					-2640000
27.50						-0.000781			0.0148				-4125600			434630					-2430000
28.00						-0.000795			0.0156				-4125600			457960					-2210000
28.50						-0.000809			0.0165				-4125600			481290					-1970000
29.00						-0.000823			0.0174				-4125600			504630					-1720000
29.50						-0.000837			0.0184				-4125600			527960					-1470000
30.00						-0.000851			0.0193				-4125600			551290					-1200000
30.50						-0.000866			0.0202				-4125600			574630					-915000
31.00						-0.00088			0.0211				-4125600			597960					-622000
31.50						-0.000894			0.0221				-4125600			621300					-317000
32.00						-0.000908			0.023				-4125600			644630					-972.24
