
Predictions were generated on 13-Feb-2024 at 17:56:06 using HydroDyn Driver, compiled on Feb 13 2024 at 17:43:26 as a 64-bit application using double precision at commit v2.5.0-3856-g75eff1d1-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	   9.331236E-01	   1.778163E+04	   4.791926E+03	   9.419226E+06	   3.556915E+07	   3.004389E+07	  -8.857015E+04
    0.1000	   7.783685E-01	   1.494785E+04	   4.031699E+03	   9.419029E+06	   3.557349E+07	   3.002964E+07	  -7.442149E+04
    0.2000	   6.228455E-01	   1.204017E+04	   3.251861E+03	   9.418982E+06	   3.557761E+07	   3.001802E+07	  -5.993148E+04
    0.3000	   4.667075E-01	   9.069876E+03	   2.455454E+03	   9.419084E+06	   3.558148E+07	   3.000913E+07	  -4.515734E+04
    0.4000	   3.101093E-01	   6.048030E+03	   1.645419E+03	   9.419337E+06	   3.558506E+07	   3.000304E+07	  -3.015480E+04
    0.5000	   1.532048E-01	   2.986669E+03	   8.249203E+02	   9.419740E+06	   3.558834E+07	   2.999982E+07	  -1.498423E+04
    0.6000	  -3.850810E-03	  -1.018486E+02	  -2.719625E+00	   9.420291E+06	   3.559129E+07	   2.999951E+07	   2.926501E+02
    0.7000	  -1.609028E-01	  -3.205221E+03	  -8.342043E+02	   9.420989E+06	   3.559388E+07	   3.000214E+07	   1.561468E+04
    0.8000	  -3.177957E-01	  -6.311000E+03	  -1.666195E+03	   9.421830E+06	   3.559611E+07	   3.000773E+07	   3.092028E+04
    0.9000	  -4.743753E-01	  -9.406637E+03	  -2.495334E+03	   9.422813E+06	   3.559796E+07	   3.001625E+07	   4.614763E+04
    1.0000	  -6.304863E-01	  -1.247954E+04	  -3.318236E+03	   9.423933E+06	   3.559942E+07	   3.002770E+07	   6.123503E+04
    1.1000	  -7.859755E-01	  -1.550924E+04	  -4.129046E+03	   9.425185E+06	   3.560047E+07	   3.004201E+07	   7.608184E+04
    1.2000	  -9.406888E-01	  -1.849256E+04	  -4.927617E+03	   9.426565E+06	   3.560112E+07	   3.005913E+07	   9.067415E+04
    1.3000	  -1.094474E+00	  -2.141509E+04	  -5.709994E+03	   9.428068E+06	   3.560137E+07	   3.007897E+07	   1.049420E+05
    1.4000	  -1.247179E+00	  -2.426460E+04	  -6.472879E+03	   9.429687E+06	   3.560121E+07	   3.010145E+07	   1.188266E+05
    1.5000	  -1.398653E+00	  -2.702915E+04	  -7.213133E+03	   9.431418E+06	   3.560066E+07	   3.012644E+07	   1.322708E+05
    1.6000	  -1.548747E+00	  -2.969700E+04	  -7.927583E+03	   9.433252E+06	   3.559973E+07	   3.015381E+07	   1.452186E+05
    1.7000	  -1.697312E+00	  -3.225662E+04	  -8.613104E+03	   9.435182E+06	   3.559842E+07	   3.018342E+07	   1.576153E+05
    1.8000	  -1.844202E+00	  -3.469666E+04	  -9.266560E+03	   9.437201E+06	   3.559675E+07	   3.021510E+07	   1.694073E+05
    1.9000	  -1.989273E+00	  -3.700568E+04	  -9.884778E+03	   9.439301E+06	   3.559474E+07	   3.024868E+07	   1.805405E+05
    2.0000	  -2.132380E+00	  -3.917207E+04	  -1.046428E+04	   9.441471E+06	   3.559242E+07	   3.028396E+07	   1.909597E+05
    2.1000	  -2.273383E+00	  -4.118052E+04	  -1.100014E+04	   9.443704E+06	   3.558979E+07	   3.032075E+07	   2.005914E+05
    2.2000	  -2.412142E+00	  -4.302544E+04	  -1.149091E+04	   9.445990E+06	   3.558690E+07	   3.035883E+07	   2.094107E+05
    2.3000	  -2.548521E+00	  -4.471773E+04	  -1.194293E+04	   9.448323E+06	   3.558376E+07	   3.039803E+07	   2.174791E+05
    2.4000	  -2.682384E+00	  -4.623578E+04	  -1.234799E+04	   9.450692E+06	   3.558041E+07	   3.043810E+07	   2.246897E+05
    2.5000	  -2.813601E+00	  -4.757254E+04	  -1.270463E+04	   9.453087E+06	   3.557688E+07	   3.047881E+07	   2.310114E+05
    2.6000	  -2.942041E+00	  -4.872191E+04	  -1.301090E+04	   9.455498E+06	   3.557319E+07	   3.051994E+07	   2.364168E+05
    2.7000	  -3.067578E+00	  -4.967848E+04	  -1.326561E+04	   9.457915E+06	   3.556938E+07	   3.056124E+07	   2.408825E+05
    2.8000	  -3.190086E+00	  -5.043794E+04	  -1.346740E+04	   9.460328E+06	   3.556549E+07	   3.060249E+07	   2.443898E+05
    2.9000	  -3.309447E+00	  -5.099612E+04	  -1.361514E+04	   9.462728E+06	   3.556154E+07	   3.064345E+07	   2.469209E+05
    3.0000	  -3.425541E+00	  -5.135052E+04	  -1.370833E+04	   9.465105E+06	   3.555757E+07	   3.068390E+07	   2.484665E+05
    3.1000	  -3.538256E+00	  -5.137400E+04	  -1.370027E+04	   9.467419E+06	   3.555369E+07	   3.072298E+07	   2.483907E+05
    3.2000	  -3.647479E+00	  -5.125818E+04	  -1.366621E+04	   9.469707E+06	   3.554980E+07	   3.076143E+07	   2.476674E+05
    3.3000	  -3.753101E+00	  -5.095066E+04	  -1.358442E+04	   9.471947E+06	   3.554597E+07	   3.079876E+07	   2.460307E+05
    3.4000	  -3.855020E+00	  -5.044482E+04	  -1.345163E+04	   9.474128E+06	   3.554223E+07	   3.083476E+07	   2.434477E+05
    3.5000	  -3.953134E+00	  -4.973943E+04	  -1.326714E+04	   9.476240E+06	   3.553862E+07	   3.086920E+07	   2.399135E+05
    3.6000	  -4.047348E+00	  -4.883471E+04	  -1.303045E+04	   9.478275E+06	   3.553516E+07	   3.090190E+07	   2.354296E+05
    3.7000	  -4.137566E+00	  -4.773346E+04	  -1.274197E+04	   9.480223E+06	   3.553189E+07	   3.093268E+07	   2.300104E+05
    3.8000	  -4.223701E+00	  -4.643875E+04	  -1.240213E+04	   9.482077E+06	   3.552882E+07	   3.096139E+07	   2.236711E+05
    3.9000	  -4.305669E+00	  -4.495483E+04	  -1.201190E+04	   9.483829E+06	   3.552597E+07	   3.098787E+07	   2.164330E+05
    4.0000	  -4.383387E+00	  -4.328711E+04	  -1.157238E+04	   9.485472E+06	   3.552338E+07	   3.101199E+07	   2.083222E+05
    4.1000	  -4.456779E+00	  -4.144145E+04	  -1.108515E+04	   9.486999E+06	   3.552104E+07	   3.103363E+07	   1.993676E+05
