
Predictions were generated on 12-Feb-2024 at 14:24:51 using HydroDyn Driver, compiled on Dec 20 2023 at 14:52:34 as a 64-bit application using double precision at commit v2.5.0-3665-g13e4c61c-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00 - Regression test for the MacCamy-Fuchs diffraction correction for strip-theory memebers

Time	Wave1Elev	HydroFxi	HydroMyi
(s)	(m)	(N)	(N-m)
    0.0000	  -4.067737E+00	   2.233115E+07	  -2.974619E+08
    0.1000	  -3.777394E+00	   2.366228E+07	  -3.118776E+08
    0.2000	  -3.468719E+00	   2.487421E+07	  -3.241365E+08
    0.3000	  -3.143669E+00	   2.595652E+07	  -3.341877E+08
    0.4000	  -2.804338E+00	   2.690571E+07	  -3.421098E+08
    0.5000	  -2.452938E+00	   2.771879E+07	  -3.479304E+08
    0.6000	  -2.091788E+00	   2.838792E+07	  -3.516788E+08
    0.7000	  -1.723287E+00	   2.891036E+07	  -3.535220E+08
    0.8000	  -1.349901E+00	   2.928729E+07	  -3.535548E+08
    0.9000	  -9.741340E-01	   2.951358E+07	  -3.518645E+08
    1.0000	  -5.985143E-01	   2.959104E+07	  -3.486831E+08
    1.1000	  -2.255646E-01	   2.952109E+07	  -3.441248E+08
    1.2000	   1.422174E-01	   2.930256E+07	  -3.383242E+08
    1.3000	   5.023844E-01	   2.894315E+07	  -3.315017E+08
    1.4000	   8.525615E-01	   2.844406E+07	  -3.237911E+08
    1.5000	   1.190470E+00	   2.780937E+07	  -3.153195E+08
    1.6000	   1.513949E+00	   2.704948E+07	  -3.062473E+08
    1.7000	   1.820976E+00	   2.616980E+07	  -2.967140E+08
    1.8000	   2.109691E+00	   2.517857E+07	  -2.867954E+08
    1.9000	   2.378410E+00	   2.408557E+07	  -2.765881E+08
    2.0000	   2.625646E+00	   2.290223E+07	  -2.661646E+08
    2.1000	   2.850122E+00	   2.163903E+07	  -2.555834E+08
    2.2000	   3.050783E+00	   2.030667E+07	  -2.448712E+08
    2.3000	   3.226813E+00	   1.891750E+07	  -2.340463E+08
    2.4000	   3.377634E+00	   1.748424E+07	  -2.231139E+08
    2.5000	   3.502920E+00	   1.601932E+07	  -2.120714E+08
    2.6000	   3.602594E+00	   1.453523E+07	  -2.009099E+08
    2.7000	   3.676831E+00	   1.304421E+07	  -1.896135E+08
    2.8000	   3.726053E+00	   1.155787E+07	  -1.781667E+08
    2.9000	   3.750926E+00	   1.008768E+07	  -1.665584E+08
    3.0000	   3.752349E+00	   8.644743E+06	  -1.547844E+08
    3.1000	   3.731442E+00	   7.239272E+06	  -1.428478E+08
    3.2000	   3.689536E+00	   5.880452E+06	  -1.307595E+08
    3.3000	   3.628151E+00	   4.576444E+06	  -1.185421E+08
    3.4000	   3.548980E+00	   3.334531E+06	  -1.062288E+08
    3.5000	   3.453867E+00	   2.162996E+06	  -9.386418E+07
    3.6000	   3.344783E+00	   1.066390E+06	  -8.150686E+07
    3.7000	   3.223801E+00	   4.719215E+04	  -6.921743E+07
    3.8000	   3.093074E+00	  -8.893394E+05	  -5.706033E+07
    3.9000	   2.954800E+00	  -1.743228E+06	  -4.510525E+07
    4.0000	   2.811202E+00	  -2.509911E+06	  -3.341316E+07
    4.1000	   2.664493E+00	  -3.193195E+06	  -2.205928E+07
    4.2000	   2.516853E+00	  -3.794979E+06	  -1.109670E+07
    4.3000	   2.370399E+00	  -4.313778E+06	  -5.751172E+05
    4.4000	   2.227158E+00	  -4.755604E+06	   9.443262E+06
    4.5000	   2.089042E+00	  -5.122659E+06	   1.893376E+07
    4.6000	   1.957823E+00	  -5.420664E+06	   2.787318E+07
    4.7000	   1.835110E+00	  -5.653120E+06	   3.626056E+07
    4.8000	   1.722333E+00	  -5.827448E+06	   4.409326E+07
    4.9000	   1.620719E+00	  -5.950253E+06	   5.139294E+07
    5.0000	   1.531281E+00	  -6.028255E+06	   5.819061E+07
    5.1000	   1.454808E+00	  -6.067940E+06	   6.452740E+07
    5.2000	   1.391849E+00	  -6.077303E+06	   7.045014E+07
    5.3000	   1.342714E+00	  -6.064094E+06	   7.601464E+07
    5.4000	   1.307470E+00	  -6.035916E+06	   8.128025E+07
    5.5000	   1.285939E+00	  -6.000469E+06	   8.630907E+07
    5.6000	   1.277706E+00	  -5.965416E+06	   9.116317E+07
    5.7000	   1.282127E+00	  -5.938257E+06	   9.590223E+07
    5.8000	   1.298337E+00	  -5.926200E+06	   1.005816E+08
    5.9000	   1.325263E+00	  -5.936058E+06	   1.052507E+08
    6.0000	   1.361647E+00	  -5.974156E+06	   1.099515E+08
    6.1000	   1.406061E+00	  -6.046190E+06	   1.147164E+08
    6.2000	   1.456925E+00	  -6.157252E+06	   1.195693E+08
    6.3000	   1.512540E+00	  -6.312122E+06	   1.245263E+08
    6.4000	   1.571103E+00	  -6.514898E+06	   1.295917E+08
    6.5000	   1.630742E+00	  -6.767832E+06	   1.347627E+08
    6.6000	   1.689540E+00	  -7.072664E+06	   1.400323E+08
    6.7000	   1.745560E+00	  -7.430302E+06	   1.453848E+08
    6.8000	   1.796878E+00	  -7.840867E+06	   1.508024E+08
    6.9000	   1.841609E+00	  -8.303476E+06	   1.562632E+08
    7.0000	   1.877931E+00	  -8.816301E+06	   1.617440E+08
    7.1000	   1.904115E+00	  -9.376435E+06	   1.672212E+08
    7.2000	   1.918546E+00	  -9.979974E+06	   1.726729E+08
    7.3000	   1.919749E+00	  -1.062214E+07	   1.780794E+08
    7.4000	   1.906406E+00	  -1.129732E+07	   1.834240E+08
    7.5000	   1.877376E+00	  -1.199913E+07	   1.886932E+08
    7.6000	   1.831709E+00	  -1.272053E+07	   1.938761E+08
    7.7000	   1.768658E+00	  -1.345388E+07	   1.989637E+08
    7.8000	   1.687695E+00	  -1.419099E+07	   2.039467E+08
    7.9000	   1.588506E+00	  -1.492346E+07	   2.088148E+08
    8.0000	   1.471007E+00	  -1.564277E+07	   2.135551E+08
    8.1000	   1.335332E+00	  -1.634029E+07	   2.181547E+08
