time_[s],x_[m],y_[m],z_[m],theta_x_[rad],theta_y_[rad],theta_z_[rad],xdot_[m/s],ydot_[m/s],zdot_[m/s],omega_x_g_[rad/s],omega_y_g_[rad/s],omega_z_g_[rad/s],xddot_[m^2/s],yddot_[m^2/s],zddot_[m^2/s],alpha_x_g_[rad/s],alpha_y_g_[rad/s],alpha_z_g_[rad/s]
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.872665,  2.451968,  0.000000,  0.000000,  0.000000, -0.009582,  0.397457, -0.546899,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.303030,  0.000000,  0.000000,  0.000000,  0.194602,  0.993106,  2.194142,  0.000000,  0.000000,  0.000000, -0.070570,  0.479802, -0.378998,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.606061,  0.000000,  0.000000,  0.000000,  0.361325,  1.047000,  1.001809,  0.000000,  0.000000,  0.000000, -2.856977,  0.862088, -1.778075,  0.000000,  0.000000,  0.000000, -9.115962,  1.121522, -5.017658
  0.909091,  0.000000,  0.000000,  0.000000,  0.476282,  1.004568,  0.251589,  0.000000,  0.000000,  0.000000, -1.709980,  0.484468, -1.244498,  0.000000,  0.000000,  0.000000,  3.499478, -2.116405,  1.814423
  1.212121,  0.000000,  0.000000,  0.000000,  0.523006,  0.889255, -0.162729,  0.000000,  0.000000,  0.000000, -0.907623,  0.100572, -0.936282,  0.000000,  0.000000,  0.000000,  2.097717, -1.838633,  1.599998
  1.515152,  0.000000,  0.000000,  0.000000,  0.494801,  0.764776, -0.882611,  0.000000,  0.000000,  0.000000, -1.737886,  0.452433, -1.703571,  0.000000,  0.000000,  0.000000, -3.119897,  1.052265, -2.160410
  1.818182,  0.000000,  0.000000,  0.000000,  0.395710,  0.699908, -1.875866,  0.000000,  0.000000,  0.000000, -2.438352,  0.768893, -2.395918,  0.000000,  0.000000,  0.000000, -2.689615,  1.476764, -1.850938
  2.121212,  0.000000,  0.000000,  0.000000,  0.239927,  0.730494, -2.318149,  0.000000,  0.000000,  0.000000, -1.487941,  0.356379, -1.032002,  0.000000,  0.000000,  0.000000,  3.386114, -0.052293,  4.588124
  2.424242,  0.000000,  0.000000,  0.000000,  0.049771,  0.839634, -2.453079,  0.000000,  0.000000,  0.000000, -0.958971,  0.374507, -0.279035,  0.000000,  0.000000,  0.000000,  2.117245,  0.743199,  2.274758
  2.727273,  0.000000,  0.000000,  0.000000, -0.147515,  0.967024, -2.316439,  0.000000,  0.000000,  0.000000, -0.279853,  0.453450,  0.191437,  0.000000,  0.000000,  0.000000,  2.356877,  0.443379,  1.631619
  3.030303,  0.000000,  0.000000,  0.000000, -0.323667,  1.042278, -1.356001,  0.000000,  0.000000,  0.000000,  2.155686,  0.743744,  1.436238,  0.000000,  0.000000,  0.000000,  7.977231,  0.900470,  4.469429
  3.333333,  0.000000,  0.000000,  0.000000, -0.453450,  1.023815, -0.370708,  0.000000,  0.000000,  0.000000,  2.348790,  0.686060,  1.546914,  0.000000,  0.000000,  0.000000,  0.736154, -0.855764,  0.573638
  3.636364,  0.000000,  0.000000,  0.000000, -0.518269,  0.921836,  0.051360,  0.000000,  0.000000,  0.000000,  0.895776,  0.124656,  0.897931,  0.000000,  0.000000,  0.000000, -4.179209, -2.626333, -2.769519
  3.939394,  0.000000,  0.000000,  0.000000, -0.508839,  0.792689,  0.645183,  0.000000,  0.000000,  0.000000,  1.426843,  0.297911,  1.408878,  0.000000,  0.000000,  0.000000,  2.140769,  0.381215,  1.290712
  4.242424,  0.000000,  0.000000,  0.000000, -0.426511,  0.707731,  1.674267,  0.000000,  0.000000,  0.000000,  2.479447,  0.812256,  2.465215,  0.000000,  0.000000,  0.000000,  3.875383,  1.928091,  3.079896
  4.545455,  0.000000,  0.000000,  0.000000, -0.283079,  0.713904,  2.246715,  0.000000,  0.000000,  0.000000,  1.710274,  0.418360,  1.365270,  0.000000,  0.000000,  0.000000, -2.590697, -0.096872, -3.886084
  4.848485,  0.000000,  0.000000,  0.000000, -0.099092,  0.807797,  2.439494,  0.000000,  0.000000,  0.000000,  1.066961,  0.351823,  0.406843,  0.000000,  0.000000,  0.000000, -2.546699,  0.667909, -2.937870
