
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:36.

 
 
 
      Time        FAIRTEN1       LINE3NAPZ
       (s)             (N)             (m)
    1.2500   3.8833209E+04  -2.6343742E+02
    1.2600   3.9049332E+04  -2.6341882E+02
    1.2700   3.8727315E+04  -2.6340190E+02
    1.2800   3.8391347E+04  -2.6338642E+02
    1.2900   3.8264513E+04  -2.6337217E+02
    1.3000   3.8271075E+04  -2.6335900E+02
    1.3100   3.8306972E+04  -2.6334679E+02
    1.3200   3.8326601E+04  -2.6333543E+02
    1.3300   3.8325775E+04  -2.6332484E+02
    1.3400   3.8313768E+04  -2.6331495E+02
    1.3500   3.8298172E+04  -2.6330570E+02
    1.3600   3.8281231E+04  -2.6329704E+02
    1.3700   3.8261808E+04  -2.6328893E+02
    1.3800   3.8238177E+04  -2.6328132E+02
    1.3900   3.8209702E+04  -2.6327420E+02
    1.4000   3.8177549E+04  -2.6326752E+02
    1.4100   3.8144760E+04  -2.6326128E+02
    1.4200   3.8115831E+04  -2.6325544E+02
    1.4300   3.8095987E+04  -2.6324999E+02
    1.4400   3.8090477E+04  -2.6324492E+02
    1.4500   3.8103998E+04  -2.6324021E+02
    1.4600   3.8140109E+04  -2.6323586E+02
    1.4700   3.8200415E+04  -2.6323185E+02
    1.4800   3.8283572E+04  -2.6322818E+02
    1.4900   3.8384617E+04  -2.6322483E+02
    1.5000   3.8495264E+04  -2.6322182E+02
    1.5100   3.8605501E+04  -2.6321912E+02
    1.5200   3.8706078E+04  -2.6321673E+02
    1.5300   3.8790855E+04  -2.6321464E+02
    1.5400   3.8858032E+04  -2.6321284E+02
    1.5500   3.8909870E+04  -2.6321132E+02
    1.5600   3.8951313E+04  -2.6321007E+02
    1.5700   3.8988247E+04  -2.6320908E+02
    1.5800   3.9026085E+04  -2.6320833E+02
    1.5900   3.9068907E+04  -2.6320782E+02
    1.6000   3.9119126E+04  -2.6320753E+02
    1.6100   3.9177489E+04  -2.6320745E+02
    1.6200   3.9243300E+04  -2.6320757E+02
    1.6300   3.9314818E+04  -2.6320787E+02
    1.6400   3.9389812E+04  -2.6320835E+02
    1.6500   3.9481139E+04  -2.6320899E+02
    1.6600   3.9748537E+04  -2.6320978E+02
    1.6700   4.0243639E+04  -2.6321072E+02
    1.6800   4.0464247E+04  -2.6321178E+02
    1.6900   4.0265038E+04  -2.6321297E+02
    1.7000   4.0004292E+04  -2.6321427E+02
    1.7100   3.9896760E+04  -2.6321567E+02
    1.7200   3.9918623E+04  -2.6321716E+02
    1.7300   3.9990414E+04  -2.6321874E+02
    1.7400   4.0064789E+04  -2.6322039E+02
    1.7500   4.0127760E+04  -2.6322211E+02
    1.7600   4.0180433E+04  -2.6322388E+02
    1.7700   4.0226390E+04  -2.6322570E+02
    1.7800   4.0267197E+04  -2.6322756E+02
    1.7900   4.0302755E+04  -2.6322944E+02
    1.8000   4.0332882E+04  -2.6323134E+02
    1.8100   4.0358074E+04  -2.6323325E+02
    1.8200   4.0379319E+04  -2.6323516E+02
    1.8300   4.0397690E+04  -2.6323705E+02
    1.8400   4.0414189E+04  -2.6323891E+02
    1.8500   4.0429833E+04  -2.6324073E+02
    1.8600   4.0445807E+04  -2.6324250E+02
    1.8700   4.0463534E+04  -2.6324421E+02
    1.8800   4.0484570E+04  -2.6324584E+02
    1.8900   4.0510193E+04  -2.6324739E+02
    1.9000   4.0540704E+04  -2.6324883E+02
    1.9100   4.0574742E+04  -2.6325017E+02
    1.9200   4.0609088E+04  -2.6325139E+02
    1.9300   4.0639327E+04  -2.6325249E+02
    1.9400   4.0661226E+04  -2.6325346E+02
    1.9500   4.0672224E+04  -2.6325428E+02
    1.9600   4.0672300E+04  -2.6325498E+02
    1.9700   4.0663874E+04  -2.6325554E+02
    1.9800   4.0650930E+04  -2.6325597E+02
    1.9900   4.0637825E+04  -2.6325624E+02
    2.0000   4.0628333E+04  -2.6325637E+02
    2.0100   4.0625116E+04  -2.6325637E+02
    2.0200   4.0629547E+04  -2.6325626E+02
    2.0300   4.0641746E+04  -2.6325605E+02
    2.0400   4.0660744E+04  -2.6325574E+02
    2.0500   4.0684810E+04  -2.6325533E+02
    2.0600   4.0711892E+04  -2.6325480E+02
    2.0700   4.0740036E+04  -2.6325416E+02
    2.0800   4.0767725E+04  -2.6325344E+02
    2.0900   4.0794059E+04  -2.6325263E+02
    2.1000   4.0818766E+04  -2.6325177E+02
    2.1100   4.0842063E+04  -2.6325087E+02
    2.1200   4.0864468E+04  -2.6324993E+02
    2.1300   4.0886599E+04  -2.6324897E+02
    2.1400   4.0908996E+04  -2.6324799E+02
    2.1500   4.0932011E+04  -2.6324699E+02
    2.1600   4.0955782E+04  -2.6324596E+02
    2.1700   4.0980267E+04  -2.6324492E+02
    2.1800   4.1005307E+04  -2.6324386E+02
    2.1900   4.1030684E+04  -2.6324281E+02
    2.2000   4.1056181E+04  -2.6324173E+02
    2.2100   4.1081628E+04  -2.6324062E+02
    2.2200   4.1106936E+04  -2.6323947E+02
    2.2300   4.1132116E+04  -2.6323829E+02
    2.2400   4.1157272E+04  -2.6323709E+02
    2.2500   4.1182586E+04  -2.6323587E+02
    2.2600   4.1208279E+04  -2.6323464E+02
    2.2700   4.1234587E+04  -2.6323341E+02
    2.2800   4.1261732E+04  -2.6323216E+02
    2.2900   4.1289873E+04  -2.6323090E+02
    2.3000   4.1319054E+04  -2.6322962E+02
    2.3100   4.1349185E+04  -2.6322832E+02
    2.3200   4.1380045E+04  -2.6322699E+02
    2.3300   4.1411318E+04  -2.6322564E+02
    2.3400   4.1442644E+04  -2.6322428E+02
    2.3500   4.1473681E+04  -2.6322290E+02
    2.3600   4.1504148E+04  -2.6322151E+02
    2.3700   4.1533866E+04  -2.6322012E+02
    2.3800   4.1562770E+04  -2.6321872E+02
    2.3900   4.1590906E+04  -2.6321732E+02
    2.4000   4.1618406E+04  -2.6321592E+02
    2.4100   4.1645452E+04  -2.6321451E+02
    2.4200   4.1672245E+04  -2.6321312E+02
    2.4300   4.1698968E+04  -2.6321172E+02
    2.4400   4.1725768E+04  -2.6321034E+02
    2.4500   4.1752744E+04  -2.6320896E+02
    2.4600   4.1779941E+04  -2.6320759E+02
    2.4700   4.1807359E+04  -2.6320623E+02
    2.4800   4.1834962E+04  -2.6320486E+02
    2.4900   4.1862698E+04  -2.6320350E+02
    2.5000   4.1890504E+04  -2.6320213E+02
    2.5100   4.1918324E+04  -2.6320077E+02
    2.5200   4.1946112E+04  -2.6319940E+02
    2.5300   4.1973834E+04  -2.6319802E+02
    2.5400   4.2001466E+04  -2.6319663E+02
    2.5500   4.2028990E+04  -2.6319524E+02
    2.5600   4.2056389E+04  -2.6319383E+02
    2.5700   4.2083643E+04  -2.6319241E+02
    2.5800   4.2110728E+04  -2.6319098E+02
    2.5900   4.2137614E+04  -2.6318954E+02
    2.6000   4.2164268E+04  -2.6318809E+02
    2.6100   4.2190656E+04  -2.6318663E+02
    2.6200   4.2216752E+04  -2.6318516E+02
    2.6300   4.2246470E+04  -2.6318369E+02
    2.6400   4.2358598E+04  -2.6318220E+02
    2.6500   4.2685649E+04  -2.6318072E+02
    2.6600   4.2953423E+04  -2.6317923E+02
    2.6700   4.2857268E+04  -2.6317773E+02
    2.6800   4.2581485E+04  -2.6317624E+02
    2.6900   4.2391814E+04  -2.6317474E+02
    2.7000   4.2345217E+04  -2.6317325E+02
    2.7100   4.2381295E+04  -2.6317172E+02
    2.7200   4.2437953E+04  -2.6317017E+02
    2.7300   4.2485120E+04  -2.6316859E+02
    2.7400   4.2517527E+04  -2.6316699E+02
    2.7500   4.2540390E+04  -2.6316539E+02
    2.7600   4.2559706E+04  -2.6316377E+02
