## This file was generated by InflowWind_Driver on 14-Jul-2023 at 22:09:52.
## This file contains the wind velocity at the 1 points specified in the file ./Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)
      0.00000000         0.00000000         0.00000000       150.00000000        22.53014207        -0.25935763         0.36367425
      0.50000000         0.00000000         0.00000000       150.00000000        24.20869344         0.75560856        -0.19234584
      1.00000000         0.00000000         0.00000000       150.00000000        24.03792691        -0.48087350        -0.18480146
      1.50000000         0.00000000         0.00000000       150.00000000        24.89661276         0.69550866        -0.12867135
      2.00000000         0.00000000         0.00000000       150.00000000        25.43872190         0.55363339        -0.29590490
      2.50000000         0.00000000         0.00000000       150.00000000        24.65097678        -0.40435281        -0.00793627
      3.00000000         0.00000000         0.00000000       150.00000000        26.26228476         1.06612492         0.03466427
      3.50000000         0.00000000         0.00000000       150.00000000        25.96927738         0.67859530         0.08267161
      4.00000000         0.00000000         0.00000000       150.00000000        24.83676410        -1.68960440        -0.14290507
      4.50000000         0.00000000         0.00000000       150.00000000        24.96177733         0.58795279        -0.25745377
      5.00000000         0.00000000         0.00000000       150.00000000        25.64669228         0.84378797         0.03348232
      5.50000000         0.00000000         0.00000000       150.00000000        23.76825905         2.29341125        -0.06595248
      6.00000000         0.00000000         0.00000000       150.00000000        24.01320142        -0.01009074         0.02002819
      6.50000000         0.00000000         0.00000000       150.00000000        24.44832158         1.17203867        -0.24586056
      7.00000000         0.00000000         0.00000000       150.00000000        24.03168744         1.92279518         0.20313007
      7.50000000         0.00000000         0.00000000       150.00000000        26.14096856         1.34971106        -0.18409733
      8.00000000         0.00000000         0.00000000       150.00000000        25.08910131        -0.76610178        -0.17084438
      8.50000000         0.00000000         0.00000000       150.00000000        25.31578851        -0.26477650         0.19639042
      9.00000000         0.00000000         0.00000000       150.00000000        26.73391509        -0.58941460         0.11199407
      9.50000000         0.00000000         0.00000000       150.00000000        26.31566381        -0.43867218         0.09240384
     10.00000000         0.00000000         0.00000000       150.00000000        24.25722015        -0.92062098         0.16045408
     10.50000000         0.00000000         0.00000000       150.00000000        27.21617484         0.43047783         0.18698511
     11.00000000         0.00000000         0.00000000       150.00000000        23.45607221         0.21175352        -0.17808697
     11.50000000         0.00000000         0.00000000       150.00000000        23.00616312         1.18254793         0.19558570
     12.00000000         0.00000000         0.00000000       150.00000000        23.51314831        -0.29745376        -0.09258411
     12.50000000         0.00000000         0.00000000       150.00000000        23.42187274         0.42522320        -0.32208386
     13.00000000         0.00000000         0.00000000       150.00000000        24.81527376        -0.06477182        -0.03393921
     13.50000000         0.00000000         0.00000000       150.00000000        24.58627486        -0.09761330        -0.17544645
