Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	M1N1FBxi	M1N1FByi	M1N1FBzi	M1N1MBxi	M1N1MByi	M1N1MBzi	M1N2FBxi	M1N2FByi	M1N2FBzi	M1N2MBxi	M1N2MByi	M1N2MBzi	M1N3FBxi	M1N3FByi	M1N3FBzi	M1N3MBxi	M1N3MByi	M1N3MBzi	M1N4FBxi	M1N4FByi	M1N4FBzi	M1N4MBxi	M1N4MByi	M1N4MBzi	M1N5FBxi	M1N5FByi	M1N5FBzi	M1N5MBxi	M1N5MByi	M1N5MBzi	M1N6FBxi	M1N6FByi	M1N6FBzi	M1N6MBxi	M1N6MByi	M1N6MBzi	M1N7FBxi	M1N7FByi	M1N7FBzi	M1N7MBxi	M1N7MByi	M1N7MBzi	M1N8FBxi	M1N8FByi	M1N8FBzi	M1N8MBxi	M1N8MByi	M1N8MBzi	M1N9FBxi	M1N9FByi	M1N9FBzi	M1N9MBxi	M1N9MByi	M1N9MBzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)
    0.4500	  -3.806185E+00	   4.559401E+04	  -3.335127E+04	   3.912296E+06	   2.184258E+07	   2.336294E+07	  -1.194730E+05	  -8.239104E+04	   7.538990E+04	   4.279808E+05	   5.836477E+04	   6.814400E+04	  -1.608602E+03	  -7.414720E+04	   6.610761E+04	   3.833035E+05	   5.407849E+04	   6.321393E+04	  -1.260565E+03	  -5.658995E+04	   4.733489E+04	   2.887308E+05	   4.598255E+04	   5.391427E+04	  -5.651562E+02	  -3.359187E+04	   2.627655E+04	   1.687128E+05	   4.426296E+04	   5.219595E+04	   3.767161E+02	  -9.953604E+03	   7.354321E+03	   4.929510E+04	   2.317652E+04	   2.742360E+04	   4.856087E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.5000	  -3.754786E+00	   4.688745E+04	  -3.374014E+04	   3.969453E+06	   2.200161E+07	   2.351255E+07	  -1.314012E+05	  -8.252287E+04	   7.577988E+04	   4.289079E+05	   5.830243E+04	   6.805443E+04	  -1.658790E+03	  -7.439308E+04	   6.653897E+04	   3.847405E+05	   5.403243E+04	   6.314467E+04	  -1.307107E+03	  -5.713037E+04	   4.789059E+04	   2.915017E+05	   4.592143E+04	   5.382951E+04	  -6.049187E+02	  -3.493743E+04	   2.730388E+04	   1.753101E+05	   4.371627E+04	   5.153683E+04	   3.274165E+02	  -1.093871E+04	   8.062323E+03	   5.409493E+04	   2.267604E+04	   2.682478E+04	   4.546229E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.5500	  -3.702461E+00	   4.817791E+04	  -3.408146E+04	   4.026699E+06	   2.215473E+07	   2.365492E+07	  -1.440255E+05	  -8.264060E+04	   7.616548E+04	   4.297731E+05	   5.823576E+04	   6.795966E+04	  -1.709256E+03	  -7.462288E+04	   6.696523E+04	   3.861074E+05	   5.398299E+04	   6.307129E+04	  -1.354180E+03	  -5.764686E+04	   4.843586E+04	   2.941642E+05	   4.586393E+04	   5.374872E+04	  -6.455068E+02	  -3.630164E+04	   2.834523E+04	   1.819901E+05	   4.270220E+04	   5.032150E+04	   2.584641E+02	  -1.195736E+04	   8.791853E+03	   5.904674E+04	   2.170338E+04	   2.566422E+04	   4.044191E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.6000	  -3.649223E+00	   4.946228E+04	  -3.437138E+04	   4.083973E+06	   2.230159E+07	   2.378967E+07	  -1.573621E+05	  -8.274405E+04	   7.654638E+04	   4.305750E+05	   5.816473E+04	   6.785970E+04	  -1.759948E+03	  -7.483633E+04	   6.738610E+04	   3.874030E+05	   5.393009E+04	   6.299366E+04	  -1.401736E+03	  -5.813938E+04	   4.897076E+04	   2.967187E+05	   4.580916E+04	   5.367090E+04	  -6.868969E+02	  -3.766839E+04	   2.938958E+04	   1.886745E+05	   4.125820E+04	   4.859414E+04	   1.702340E+02	  -1.300798E+04	   9.541726E+03	   6.414230E+04	   2.038099E+04	   2.408720E+04	   3.386553E+02	  -1.465948E+01	   1.000132E+01	   7.092714E+01	   8.422581E+01	   1.001522E+02	   3.285754E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.6500	  -3.595084E+00	   5.073906E+04	  -3.460445E+04	   4.141214E+06	   2.244187E+07	   2.391643E+07	  -1.714259E+05	  -8.283311E+04	   7.692224E+04	   4.313128E+05	   5.808929E+04	   6.775449E+04	  -1.810791E+03	  -7.503327E+04	   6.780130E+04	   3.886263E+05	   5.387362E+04	   6.291171E+04	  -1.449713E+03	  -5.860789E+04	   4.949538E+04	   2.991655E+05	   4.575636E+04	   5.359514E+04	  -7.290607E+02	  -3.884000E+04	   3.030324E+04	   1.944105E+05	   4.039140E+04	   4.755240E+04	   1.023337E+02	  -1.408876E+04	   1.031104E+04	   6.937338E+04	   2.077635E+04	   2.455252E+04	   3.392597E+02	  -2.399464E+02	   1.629976E+02	   1.158517E+03	   1.312335E+03	   1.560806E+03	   5.218327E+01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.7000	  -3.540059E+00	   5.200660E+04	  -3.477966E+04	   4.198352E+06	   2.257524E+07	   2.403487E+07	  -1.862299E+05	  -8.290769E+04	   7.729271E+04	   4.319858E+05	   5.800943E+04	   6.764408E+04	  -1.861711E+03	  -7.521352E+04	   6.821054E+04	   3.897764E+05	   5.381352E+04	   6.282536E+04	  -1.498052E+03	  -5.905238E+04	   5.000976E+04	   3.015049E+05	   4.570486E+04	   5.352068E+04	  -7.719644E+02	  -3.988836E+04	   3.113647E+04	   1.995498E+05	   3.982607E+04	   4.686866E+04	   4.470864E+01	  -1.519786E+04	   1.109823E+04	   7.472991E+04	   2.205613E+04	   2.607004E+04	   3.760302E+02	  -6.022027E+02	   4.073314E+02	   2.901524E+03	   3.126128E+03	   3.718741E+03	   1.265534E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.7500	  -3.484159E+00	   5.326154E+04	  -3.489412E+04	   4.255322E+06	   2.270139E+07	   2.414466E+07	  -2.017863E+05	  -8.296773E+04	   7.765749E+04	   4.325934E+05	   5.792516E+04	   6.752845E+04	  -1.912637E+03	  -7.537701E+04	   6.861359E+04	   3.908528E+05	   5.374970E+04	   6.273455E+04	  -1.546689E+03	  -5.947288E+04	   5.051398E+04	   3.037377E+05	   4.565407E+04	   5.344681E+04	  -8.155729E+02	  -4.085189E+04	   3.191619E+04	   2.042810E+05	   3.940851E+04	   4.636023E+04	  -8.396977E+00	  -1.633358E+04	   1.190194E+04	   8.020294E+04	   2.375447E+04	   2.808600E+04	   4.313642E+02	  -1.061428E+03	   7.148990E+02	   5.103522E+03	   5.212913E+03	   6.202255E+03	   2.145589E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.8000	  -3.427400E+00	   5.450104E+04	  -3.494533E+04	   4.312062E+06	   2.282004E+07	   2.424550E+07	  -2.181038E+05	  -8.301327E+04	   7.801624E+04	   4.331351E+05	   5.783648E+04	   6.740767E+04	  -1.963479E+03	  -7.552366E+04	   6.901016E+04	   3.918548E+05	   5.368213E+04	   6.263924E+04	  -1.595552E+03	  -5.986942E+04	   5.100810E+04	   3.058641E+05	   4.560346E+04	   5.337294E+04	  -8.598458E+02	  -4.174626E+04	   3.265363E+04	   2.086816E+05	   3.908365E+04	   4.596168E+04	  -5.898317E+01	  -1.749410E+04	   1.272080E+04	   8.578298E+04	   2.565256E+04	   3.034015E+04	   4.965957E+02	  -1.600233E+03	   1.073242E+03	   7.678209E+03	   7.408478E+03	   8.816004E+03	   3.095452E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.8500	  -3.369796E+00	   5.572253E+04	  -3.493068E+04	   4.368508E+06	   2.293094E+07	   2.433713E+07	  -2.351927E+05	  -8.304434E+04	   7.836870E+04	   4.336108E+05	   5.774341E+04	   6.728178E+04	  -2.014164E+03	  -7.565349E+04	   6.940005E+04	   3.927824E+05	   5.361077E+04	   6.253943E+04	  -1.644574E+03	  -6.024208E+04	   5.149217E+04	   3.078851E+05	   4.555258E+04	   5.329855E+04	  -9.047408E+02	  -4.258054E+04	   3.335545E+04	   2.127973E+05	   3.882271E+04	   4.563881E+04	  -1.080685E+02	  -1.867758E+04	   1.355347E+04	   9.146062E+04	   2.760531E+04	   3.265979E+04	   5.654713E+02	  -2.207793E+03	   1.474497E+03	   1.057142E+04	   9.596117E+03	   1.142100E+04	   4.062913E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.9000	  -3.311360E+00	   5.692276E+04	  -3.484746E+04	   4.424594E+06	   2.303383E+07	   2.441928E+07	  -2.530579E+05	  -8.306105E+04	   7.871450E+04	   4.340204E+05	   5.764599E+04	   6.715086E+04	  -2.064589E+03	  -7.576652E+04	   6.978298E+04	   3.936353E+05	   5.353561E+04	   6.243511E+04	  -1.693673E+03	  -6.059096E+04	   5.196624E+04	   3.098012E+05	   4.550102E+04	   5.322320E+04	  -9.502089E+02	  -4.336077E+04	   3.402614E+04	   2.166585E+05	   3.860820E+04	   4.537086E+04	  -1.562509E+02	  -1.988208E+04	   1.439856E+04	   9.722612E+04	   2.950296E+04	   3.491408E+04	   6.327435E+02	  -2.876277E+03	   1.912926E+03	   1.374373E+04	   1.168318E+04	   1.390673E+04	   5.001636E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
